Date,Price
10/3/2019,82772
11/3/2019,82772
14/3/2019,82772
17/3/2019,82772
20/3/2019,82772
23/3/2019,82772
26/3/2019,82772
29/3/2019,82772
1/4/2019,82772
4/4/2019,82772
7/4/2019,82772
10/4/2019,82772
13/4/2019,82772
16/4/2019,82772
19/4/2019,82772
22/4/2019,82772
25/4/2019,82772
28/4/2019,82772
1/5/2019,82772
4/5/2019,82772
7/5/2019,82772
10/5/2019,82772
13/5/2019,82772
16/5/2019,82772
19/5/2019,82772
22/5/2019,82772
25/5/2019,82772
28/5/2019,82772
31/5/2019,82772
3/6/2019,82772
6/6/2019,82772
9/6/2019,82772
12/6/2019,82772
15/6/2019,82772
18/6/2019,82772
21/6/2019,82772
24/6/2019,82772
27/6/2019,82772
30/6/2019,82772
3/7/2019,82772
6/7/2019,82772
9/7/2019,82772
12/7/2019,82772
15/7/2019,82772
18/7/2019,82772
21/7/2019,82772
24/7/2019,82772
27/7/2019,82772
30/7/2019,82772
2/8/2019,82772
5/8/2019,82772
8/8/2019,82772
11/8/2019,82772
14/8/2019,82772
17/8/2019,82772
20/8/2019,82772
23/8/2019,82772
26/8/2019,82772
29/8/2019,82772
1/9/2019,82772
4/9/2019,82772
7/9/2019,82772
10/9/2019,82772
13/9/2019,82772
16/9/2019,82772
19/9/2019,82772
22/9/2019,82772
25/9/2019,82772
28/9/2019,82772
1/10/2019,82772
4/10/2019,82772
7/10/2019,82772
10/10/2019,82772
13/10/2019,82772
16/10/2019,82772
19/10/2019,82772
22/10/2019,82772
25/10/2019,82772
28/10/2019,82772
31/10/2019,82772
3/11/2019,82772
6/11/2019,82772
9/11/2019,82772
12/11/2019,82772
15/11/2019,82772
18/11/2019,82772
21/11/2019,82772
24/11/2019,82772
27/11/2019,82772
30/11/2019,82772
3/12/2019,82772
6/12/2019,82772
10/12/2019,82772
13/12/2019,82772
16/12/2019,82772
19/12/2019,82772
22/12/2019,82772
25/12/2019,82772
28/12/2019,82772
31/12/2019,82772
3/1/2020,82772
6/1/2020,82772
9/1/2020,82772
12/1/2020,82772
15/1/2020,82772
18/1/2020,82772
21/1/2020,82772
24/1/2020,82772
27/1/2020,82772
30/1/2020,82772
2/2/2020,82772
5/2/2020,82772
8/2/2020,82772
11/2/2020,82772
14/2/2020,82772
17/2/2020,82772
20/2/2020,82772
23/2/2020,82772
26/2/2020,82772
29/2/2020,82772
3/3/2020,82772
6/3/2020,82772
9/3/2020,82772
12/3/2020,82772
15/3/2020,82772
18/3/2020,82772
21/3/2020,82772
24/3/2020,82772
27/3/2020,82772
30/3/2020,82772
2/4/2020,82772
5/4/2020,82772
8/4/2020,82772
11/4/2020,82772
14/4/2020,82772
17/4/2020,82772
20/4/2020,82772
23/4/2020,82772
26/4/2020,82772
29/4/2020,82772
2/5/2020,82772
5/5/2020,82772
8/5/2020,82772
11/5/2020,82772
14/5/2020,82772
17/5/2020,82772
20/5/2020,82772
23/5/2020,82772
26/5/2020,82772
29/5/2020,82772
1/6/2020,82772
4/6/2020,82772
7/6/2020,82772
10/6/2020,82772
13/6/2020,82772
16/6/2020,82772
19/6/2020,82772
22/6/2020,82772
25/6/2020,82772
28/6/2020,82772
1/7/2020,82772
4/7/2020,82772
7/7/2020,82772
10/7/2020,82772
13/7/2020,82772
16/7/2020,82772
19/7/2020,82772
22/7/2020,82772
25/7/2020,82772
28/7/2020,82772
31/7/2020,82772
3/8/2020,82772
6/8/2020,82772
9/8/2020,82772
12/8/2020,82772
15/8/2020,82772
18/8/2020,82772
21/8/2020,82772
24/8/2020,82772
27/8/2020,82772
30/8/2020,82772
2/9/2020,82772
5/9/2020,82772
9/9/2020,82772
12/9/2020,82772
15/9/2020,82772
18/9/2020,82772
21/9/2020,82772
24/9/2020,82772
27/9/2020,82772
30/9/2020,82772
3/10/2020,82772
6/10/2020,82772
9/10/2020,82772
12/10/2020,82772
15/10/2020,82772
18/10/2020,82772
21/10/2020,82772
24/10/2020,82772
27/10/2020,82772
30/10/2020,82772
2/11/2020,82772
5/11/2020,82772
8/11/2020,82772
13/11/2020,82772
15/11/2020,76848
17/11/2020,76848
20/11/2020,73601
25/11/2020,73601
27/11/2020,73871
1/12/2020,73871
3/12/2020,73871
5/12/2020,73550
8/12/2020,73550
13/12/2020,73550
16/12/2020,74691
17/12/2020,74691
20/12/2020,74691
23/12/2020,74691
28/12/2020,74691
30/12/2020,74691
1/1/2021,75159
4/1/2021,75159
7/1/2021,75159
10/1/2021,75159
13/1/2021,75159
18/1/2021,75159
19/1/2021,74894
22/1/2021,74894
25/1/2021,74894
28/1/2021,74894
2/2/2021,74894
5/2/2021,74881
7/2/2021,74881
9/2/2021,75676
14/2/2021,75676
16/2/2021,75676
18/2/2021,75819
23/2/2021,75819
24/2/2021,76032
27/2/2021,76032
2/3/2021,76032
5/3/2021,76032
8/3/2021,76032
9/3/2021,76032
10/3/2021,76032
11/3/2021,76032
12/3/2021,76032
13/3/2021,76032
14/3/2021,76032
15/3/2021,76032
16/3/2021,76032
17/3/2021,76032
18/3/2021,76032
19/3/2021,76032
20/3/2021,76032
21/3/2021,76032
22/3/2021,76032
23/3/2021,76032
24/3/2021,76032
25/3/2021,76032
26/3/2021,76032
27/3/2021,76032
28/3/2021,76032
29/3/2021,76032
30/3/2021,76032
31/3/2021,76032
1/4/2021,76032
2/4/2021,76032
3/4/2021,76482
4/4/2021,76482
5/4/2021,76482
6/4/2021,76482
7/4/2021,76482
8/4/2021,76482
9/4/2021,76482
10/4/2021,76482
11/4/2021,76482
12/4/2021,76482
13/4/2021,76482
14/4/2021,76482
15/4/2021,76482
16/4/2021,77032
17/4/2021,77032
18/4/2021,77032
19/4/2021,77032
20/4/2021,77032
21/4/2021,77471
22/4/2021,77471
23/4/2021,77471
24/4/2021,77471
25/4/2021,77471
26/4/2021,77471
27/4/2021,77471
28/4/2021,77471
29/4/2021,77471
30/4/2021,77471
1/5/2021,77600
2/5/2021,77600
3/5/2021,77600
4/5/2021,77600
5/5/2021,77600
6/5/2021,77600
7/5/2021,77896
8/5/2021,78041
9/5/2021,78041
10/5/2021,78041
11/5/2021,78041
12/5/2021,78041
13/5/2021,78312
14/5/2021,78312
15/5/2021,78714
16/5/2021,78714
17/5/2021,78714
18/5/2021,78714
19/5/2021,78714
20/5/2021,78714
21/5/2021,78714
22/5/2021,78714
23/5/2021,78714
24/5/2021,78714
25/5/2021,78714
26/5/2021,78714
27/5/2021,78714
28/5/2021,78714
29/5/2021,78714
30/5/2021,78714
31/5/2021,78714
1/6/2021,78714
2/6/2021,78714
3/6/2021,79098
4/6/2021,79098
5/6/2021,79098
6/6/2021,79098
7/6/2021,79098
8/6/2021,79098
9/6/2021,79098
10/6/2021,79098
11/6/2021,79098
12/6/2021,79136
13/6/2021,79136
14/6/2021,79136
15/6/2021,79136
16/6/2021,79136
17/6/2021,79136
18/6/2021,79136
19/6/2021,79136
20/6/2021,79136
21/6/2021,79136
22/6/2021,79136
23/6/2021,79136
24/6/2021,79136
25/6/2021,79136
26/6/2021,79420
27/6/2021,79420
28/6/2021,79420
29/6/2021,77818
30/6/2021,77818
1/7/2021,77970
2/7/2021,77970
3/7/2021,77970
4/7/2021,77970
5/7/2021,77970
6/7/2021,79610
7/7/2021,79610
8/7/2021,79610
9/7/2021,79610
10/7/2021,79610
11/7/2021,79610
12/7/2021,79610
13/7/2021,79610
14/7/2021,79599
15/7/2021,79599
16/7/2021,79853
17/7/2021,79853
18/7/2021,80414
19/7/2021,80414
20/7/2021,80944
21/7/2021,80944
22/7/2021,80944
23/7/2021,81331
24/7/2021,81331
25/7/2021,81331
26/7/2021,81405
27/7/2021,81405
28/7/2021,81405
29/7/2021,81405
30/7/2021,81405
31/7/2021,81729
1/8/2021,81729
2/8/2021,81729
3/8/2021,81729
4/8/2021,82008
5/8/2021,82008
6/8/2021,82036
7/8/2021,82036
8/8/2021,82036
9/8/2021,82389
10/8/2021,82748
11/8/2021,82748
12/8/2021,82748
13/8/2021,83255
14/8/2021,83255
15/8/2021,83255
16/8/2021,83146
17/8/2021,83146
18/8/2021,83527
19/8/2021,83527
20/8/2021,83648
21/8/2021,83618
22/8/2021,83618
23/8/2021,83618
24/8/2021,83618
25/8/2021,83618
26/8/2021,83618
27/8/2021,83618
28/8/2021,83424
29/8/2021,83424
30/8/2021,83424
31/8/2021,83424
1/9/2021,83424
2/9/2021,83337
3/9/2021,83337
4/9/2021,83337
5/9/2021,83438
6/9/2021,83438
7/9/2021,83438
8/9/2021,83438
9/9/2021,83438
10/9/2021,83438
11/9/2021,83438
12/9/2021,83409
13/9/2021,83409
14/9/2021,83465
15/9/2021,83465
16/9/2021,83465
17/9/2021,83465
18/9/2021,83465
19/9/2021,83465
20/9/2021,83418
21/9/2021,83418
22/9/2021,83418
23/9/2021,83365
24/9/2021,83365
25/9/2021,83149
26/9/2021,83149
27/9/2021,83149
28/9/2021,83650
29/9/2021,83550
30/9/2021,83550
1/10/2021,83361
2/10/2021,83361
3/10/2021,83361
4/10/2021,83361
5/10/2021,83361
6/10/2021,83361
7/10/2021,83361
8/10/2021,82888
9/10/2021,82888
10/10/2021,82888
11/10/2021,82872
12/10/2021,82872
13/10/2021,82872
14/10/2021,82872
15/10/2021,82872
16/10/2021,82872
17/10/2021,82867
18/10/2021,82867
19/10/2021,82867
20/10/2021,82867
21/10/2021,82867
22/10/2021,82867
23/10/2021,82726
24/10/2021,82726
25/10/2021,82726
26/10/2021,82718
27/10/2021,82718
28/10/2021,82719
29/10/2021,82719
30/10/2021,82719
31/10/2021,82722
1/11/2021,82722
2/11/2021,82746
3/11/2021,82746
4/11/2021,82746
5/11/2021,82746
6/11/2021,82746
7/11/2021,82746
8/11/2021,82746
9/11/2021,82746
10/11/2021,82746
11/11/2021,82746
12/11/2021,82746
13/11/2021,82979
14/11/2021,83005
15/11/2021,83005
16/11/2021,83005
17/11/2021,83005
18/11/2021,83005
19/11/2021,83131
20/11/2021,83131
21/11/2021,83131
22/11/2021,83131
23/11/2021,83291
24/11/2021,83291
25/11/2021,83291
26/11/2021,83456
27/11/2021,83456
28/11/2021,83456
29/11/2021,83610
30/11/2021,83610
1/12/2021,83610
2/12/2021,83610
3/12/2021,83610
4/12/2021,83610
5/12/2021,83610
6/12/2021,83549
7/12/2021,83549
8/12/2021,83971
9/12/2021,83971
10/12/2021,84192
11/12/2021,84192
12/12/2021,84192
13/12/2021,84192
14/12/2021,84394
15/12/2021,84394
16/12/2021,84394
17/12/2021,84595
18/12/2021,84595
19/12/2021,84595
20/12/2021,84595
21/12/2021,84595
22/12/2021,84871
23/12/2021,84871
24/12/2021,84871
25/12/2021,84871
26/12/2021,84871
27/12/2021,84871
28/12/2021,84871
29/12/2021,84724
30/12/2021,84724
31/12/2021,84724
1/1/2022,84724
2/1/2022,84724
3/1/2022,84935
4/1/2022,84935
5/1/2022,84935
6/1/2022,85174
7/1/2022,85817
8/1/2022,85817
9/1/2022,86022
10/1/2022,86022
11/1/2022,85944
12/1/2022,85944
13/1/2022,85944
14/1/2022,85944
15/1/2022,85944
16/1/2022,85944
17/1/2022,85944
18/1/2022,85944
19/1/2022,85944
20/1/2022,85944
21/1/2022,85944
22/1/2022,85944
23/1/2022,86169
24/1/2022,86169
25/1/2022,85932
26/1/2022,85932
27/1/2022,85932
28/1/2022,85932
29/1/2022,85932
30/1/2022,86424
31/1/2022,86424
1/2/2022,86424
2/2/2022,86782
3/2/2022,86782
4/2/2022,86782
5/2/2022,86782
6/2/2022,86782
7/2/2022,86782
8/2/2022,86782
9/2/2022,86782
10/2/2022,86782
11/2/2022,87060
12/2/2022,87060
13/2/2022,87060
14/2/2022,87298
15/2/2022,87298
16/2/2022,87528
17/2/2022,87528
18/2/2022,87762
19/2/2022,87762
20/2/2022,87762
21/2/2022,87762
22/2/2022,87961
23/2/2022,87961
24/2/2022,87961
25/2/2022,87961
26/2/2022,87961
27/2/2022,87961
28/2/2022,87961
1/3/2022,87961
2/3/2022,88467
3/3/2022,88467
4/3/2022,88667
5/3/2022,88667
6/3/2022,88667
7/3/2022,88667
8/3/2022,88667
