Date,Price
8/3/2019,27254
11/3/2019,27254
14/3/2019,27254
17/3/2019,27254
20/3/2019,27254
23/3/2019,27254
26/3/2019,27254
29/3/2019,27254
1/4/2019,27254
4/4/2019,27254
7/4/2019,27254
10/4/2019,27254
13/4/2019,27254
15/4/2019,27559
17/4/2019,27559
20/4/2019,27559
23/4/2019,27559
26/4/2019,27559
29/4/2019,27559
2/5/2019,27559
5/5/2019,27559
8/5/2019,27559
13/5/2019,27559
14/5/2019,27835
19/5/2019,27835
22/5/2019,27835
25/5/2019,27835
28/5/2019,27835
30/5/2019,27835
1/6/2019,27651
6/6/2019,27651
9/6/2019,27651
12/6/2019,27651
15/6/2019,27651
18/6/2019,27651
21/6/2019,27651
24/6/2019,27651
27/6/2019,27651
30/6/2019,27651
3/7/2019,27651
6/7/2019,27651
9/7/2019,27651
12/7/2019,27651
15/7/2019,27651
18/7/2019,27651
21/7/2019,27651
24/7/2019,27651
27/7/2019,27651
30/7/2019,27651
2/8/2019,27651
5/8/2019,27651
8/8/2019,27651
11/8/2019,27651
14/8/2019,27651
17/8/2019,27651
20/8/2019,27651
23/8/2019,27651
26/8/2019,27651
29/8/2019,27651
1/9/2019,27651
4/9/2019,27651
7/9/2019,27651
10/9/2019,27651
13/9/2019,27651
16/9/2019,27651
19/9/2019,27651
22/9/2019,27651
25/9/2019,27651
28/9/2019,27651
1/10/2019,27651
4/10/2019,27651
7/10/2019,27651
10/10/2019,27651
13/10/2019,27651
16/10/2019,27651
19/10/2019,27651
21/10/2019,27456
23/10/2019,27456
26/10/2019,27456
29/10/2019,27456
1/11/2019,27456
4/11/2019,27456
7/11/2019,27456
10/11/2019,27456
13/11/2019,27456
16/11/2019,27456
19/11/2019,27456
22/11/2019,27456
25/11/2019,27456
28/11/2019,27456
1/12/2019,27456
4/12/2019,27456
8/12/2019,27456
13/12/2019,27456
15/12/2019,27456
17/12/2019,27654
20/12/2019,27654
23/12/2019,27654
28/12/2019,27654
29/12/2019,27335
1/1/2020,27335
4/1/2020,27335
7/1/2020,27335
10/1/2020,27335
13/1/2020,27335
16/1/2020,27335
19/1/2020,27335
22/1/2020,27335
25/1/2020,27335
28/1/2020,27335
31/1/2020,27335
5/2/2020,27335
6/2/2020,27061
9/2/2020,27061
12/2/2020,27061
15/2/2020,27061
18/2/2020,27061
23/2/2020,27061
25/2/2020,27061
27/2/2020,27246
1/3/2020,27246
4/3/2020,27246
9/3/2020,27246
10/3/2020,27619
13/3/2020,27619
16/3/2020,27619
19/3/2020,27619
24/3/2020,27619
26/3/2020,28019
28/3/2020,28019
31/3/2020,28019
3/4/2020,28019
6/4/2020,28019
9/4/2020,28019
12/4/2020,28019
15/4/2020,28019
18/4/2020,28019
21/4/2020,28019
24/4/2020,28019
27/4/2020,28019
2/5/2020,28019
3/5/2020,26622
6/5/2020,26622
11/5/2020,26622
13/5/2020,26622
15/5/2020,26171
20/5/2020,26171
23/5/2020,26171
26/5/2020,26171
28/5/2020,26288
1/6/2020,26288
2/6/2020,25866
5/6/2020,25866
8/6/2020,26033
11/6/2020,26033
14/6/2020,26033
17/6/2020,26033
20/6/2020,26033
23/6/2020,26033
28/6/2020,26033
1/7/2020,26138
2/7/2020,26138
5/7/2020,26138
8/7/2020,26138
11/7/2020,26138
14/7/2020,26138
17/7/2020,26138
20/7/2020,26138
23/7/2020,26138
26/7/2020,26138
29/7/2020,26138
3/8/2020,26138
5/8/2020,26238
7/8/2020,26238
10/8/2020,26238
13/8/2020,26238
18/8/2020,26238
20/8/2020,26302
24/8/2020,26302
27/8/2020,26302
30/8/2020,26302
2/9/2020,26302
3/9/2020,25808
7/9/2020,25827
