Date,Price
8/3/2019,15782
9/3/2019,15782
12/3/2019,15782
15/3/2019,15782
18/3/2019,15782
21/3/2019,15782
24/3/2019,15782
27/3/2019,15782
30/3/2019,15782
2/4/2019,15782
5/4/2019,15782
8/4/2019,15782
11/4/2019,15782
14/4/2019,15782
17/4/2019,15782
20/4/2019,15782
23/4/2019,15782
26/4/2019,15782
29/4/2019,15782
2/5/2019,15782
5/5/2019,15782
8/5/2019,15782
11/5/2019,15782
14/5/2019,15782
17/5/2019,15782
20/5/2019,15782
23/5/2019,15782
26/5/2019,15782
29/5/2019,15782
1/6/2019,15782
4/6/2019,15782
7/6/2019,15782
10/6/2019,15782
13/6/2019,15782
16/6/2019,15782
19/6/2019,15782
22/6/2019,15782
25/6/2019,15782
28/6/2019,15782
1/7/2019,15782
4/7/2019,15782
7/7/2019,15782
10/7/2019,15782
13/7/2019,15782
16/7/2019,15782
19/7/2019,15782
22/7/2019,15782
25/7/2019,15782
28/7/2019,15782
31/7/2019,15782
3/8/2019,15782
6/8/2019,15782
9/8/2019,15782
12/8/2019,15782
15/8/2019,15782
18/8/2019,15782
21/8/2019,15782
24/8/2019,15782
27/8/2019,15782
30/8/2019,15782
2/9/2019,15782
5/9/2019,15782
8/9/2019,15782
11/9/2019,15782
14/9/2019,15782
17/9/2019,15782
20/9/2019,15782
23/9/2019,15782
26/9/2019,15782
29/9/2019,15782
2/10/2019,15782
5/10/2019,15782
8/10/2019,15782
11/10/2019,15782
14/10/2019,15782
17/10/2019,15782
20/10/2019,15782
23/10/2019,15782
26/10/2019,15782
29/10/2019,15782
1/11/2019,15782
4/11/2019,15782
9/11/2019,15782
10/11/2019,15332
13/11/2019,15332
16/11/2019,15332
19/11/2019,15332
22/11/2019,15332
27/11/2019,15332
28/11/2019,15943
1/12/2019,15943
4/12/2019,15943
8/12/2019,15943
11/12/2019,15943
14/12/2019,15943
17/12/2019,15943
20/12/2019,15943
23/12/2019,15943
26/12/2019,15943
29/12/2019,15943
1/1/2020,15943
4/1/2020,15943
7/1/2020,15943
10/1/2020,15943
13/1/2020,15943
16/1/2020,15943
19/1/2020,15943
22/1/2020,15943
25/1/2020,15943
28/1/2020,15943
31/1/2020,15943
3/2/2020,15943
6/2/2020,15943
9/2/2020,15943
12/2/2020,15943
15/2/2020,15943
18/2/2020,15943
21/2/2020,15943
26/2/2020,15943
29/2/2020,16314
1/3/2020,16314
4/3/2020,16314
