Date,Price
8/3/2019,39694
9/3/2019,39694
12/3/2019,39694
15/3/2019,39694
18/3/2019,39694
21/3/2019,39694
24/3/2019,39694
27/3/2019,39694
30/3/2019,39694
2/4/2019,39694
5/4/2019,39694
8/4/2019,39694
11/4/2019,39694
14/4/2019,39694
17/4/2019,39694
20/4/2019,39694
23/4/2019,39694
26/4/2019,39694
29/4/2019,39694
2/5/2019,39694
5/5/2019,39694
8/5/2019,39694
11/5/2019,39694
14/5/2019,39694
17/5/2019,39694
20/5/2019,39694
23/5/2019,39694
26/5/2019,39694
29/5/2019,39694
1/6/2019,39694
6/6/2019,39694
7/6/2019,38877
10/6/2019,38877
15/6/2019,38877
16/6/2019,38237
19/6/2019,38237
22/6/2019,38237
25/6/2019,38237
28/6/2019,38237
1/7/2019,38237
4/7/2019,38237
7/7/2019,38237
12/7/2019,38237
14/7/2019,38237
16/7/2019,38189
19/7/2019,38189
22/7/2019,38189
25/7/2019,38189
28/7/2019,38189
31/7/2019,38189
5/8/2019,38189
7/8/2019,41047
9/8/2019,41047
12/8/2019,41047
17/8/2019,41047
19/8/2019,41047
21/8/2019,40436
24/8/2019,40436
27/8/2019,40436
30/8/2019,40436
2/9/2019,40436
5/9/2019,40436
8/9/2019,40436
11/9/2019,40436
14/9/2019,40436
17/9/2019,40436
20/9/2019,40436
23/9/2019,40436
26/9/2019,40436
29/9/2019,40436
2/10/2019,40436
5/10/2019,40436
8/10/2019,40436
13/10/2019,40436
14/10/2019,39493
17/10/2019,39493
20/10/2019,39493
23/10/2019,39493
26/10/2019,39493
29/10/2019,39493
1/11/2019,39493
4/11/2019,39493
7/11/2019,39493
12/11/2019,39493
13/11/2019,39237
16/11/2019,39237
19/11/2019,39237
22/11/2019,39237
25/11/2019,39237
28/11/2019,39237
1/12/2019,39237
4/12/2019,39237
8/12/2019,39237
13/12/2019,39237
14/12/2019,40487
17/12/2019,40487
20/12/2019,40487
23/12/2019,40487
26/12/2019,40487
29/12/2019,40487
1/1/2020,40487
4/1/2020,40487
7/1/2020,40487
12/1/2020,40487
15/1/2020,41530
16/1/2020,40950
19/1/2020,40950
22/1/2020,40950
25/1/2020,40950
28/1/2020,40950
31/1/2020,40950
3/2/2020,40950
6/2/2020,40950
9/2/2020,40950
12/2/2020,40950
15/2/2020,40950
18/2/2020,40950
21/2/2020,40950
24/2/2020,40950
27/2/2020,40950
1/3/2020,40950
4/3/2020,40950
7/3/2020,40950
10/3/2020,40950
13/3/2020,40950
16/3/2020,40950
19/3/2020,40950
22/3/2020,40950
27/3/2020,40950
28/3/2020,42222
31/3/2020,42222
3/4/2020,42222
8/4/2020,42222
11/4/2020,43070
12/4/2020,43070
15/4/2020,43070
18/4/2020,43070
21/4/2020,43070
24/4/2020,43070
27/4/2020,43070
30/4/2020,43070
3/5/2020,43070
6/5/2020,43070
9/5/2020,43070
12/5/2020,43070
15/5/2020,43070
18/5/2020,43070
21/5/2020,43070
24/5/2020,43070
27/5/2020,43070
30/5/2020,43070
2/6/2020,43070
5/6/2020,43070
8/6/2020,43070
11/6/2020,43070
14/6/2020,43070
17/6/2020,43070
20/6/2020,43070
23/6/2020,43070
26/6/2020,43070
29/6/2020,43070
2/7/2020,43070
5/7/2020,43070
8/7/2020,43070
11/7/2020,43070
16/7/2020,43070
18/7/2020,44035
22/7/2020,44035
25/7/2020,44035
28/7/2020,44035
31/7/2020,44035
3/8/2020,44035
6/8/2020,44035
9/8/2020,44035
12/8/2020,44035
15/8/2020,44035
18/8/2020,44035
21/8/2020,44035
24/8/2020,44035
27/8/2020,44035
30/8/2020,44035
31/8/2020,44035
6/9/2020,44035
9/9/2020,44035
12/9/2020,44035
15/9/2020,44035
18/9/2020,44035
21/9/2020,44035
24/9/2020,44035
27/9/2020,44035
30/9/2020,44035
3/10/2020,44035
6/10/2020,44035
9/10/2020,44035
12/10/2020,44035
15/10/2020,44035
18/10/2020,44035
21/10/2020,44035
23/10/2020,44035
25/10/2020,46072
28/10/2020,46072
2/11/2020,46072
5/11/2020,46229
6/11/2020,47767
9/11/2020,47767
14/11/2020,47767
15/11/2020,51623
20/11/2020,51878
22/11/2020,51476
24/11/2020,51476
27/11/2020,52056
2/12/2020,51980
5/12/2020,52030
8/12/2020,51966
10/12/2020,52687
12/12/2020,53031
16/12/2020,53072
20/12/2020,53369
21/12/2020,54199
24/12/2020,54388
28/12/2020,54355
1/1/2021,54755
2/1/2021,54755
5/1/2021,55305
10/1/2021,55304
12/1/2021,55304
14/1/2021,57166
19/1/2021,56832
20/1/2021,57749
25/1/2021,57683
27/1/2021,60622
29/1/2021,61366
2/2/2021,61803
5/2/2021,63030
9/2/2021,63172
12/2/2021,61803
15/2/2021,61803
17/2/2021,61991
19/2/2021,61344
22/2/2021,61344
27/2/2021,59664
2/3/2021,59874
4/3/2021,61046
6/3/2021,61522
7/3/2021,61522
8/3/2021,61522
9/3/2021,61522
10/3/2021,61522
11/3/2021,61615
12/3/2021,62031
13/3/2021,62404
14/3/2021,62404
15/3/2021,62404
16/3/2021,62404
17/3/2021,62515
18/3/2021,62134
19/3/2021,62082
20/3/2021,61899
21/3/2021,61899
22/3/2021,61899
23/3/2021,61899
24/3/2021,61649
25/3/2021,61649
26/3/2021,61562
27/3/2021,61546
28/3/2021,61546
29/3/2021,61546
30/3/2021,61546
31/3/2021,61379
1/4/2021,60838
2/4/2021,60249
3/4/2021,60249
4/4/2021,60249
5/4/2021,60249
6/4/2021,60249
7/4/2021,61773
8/4/2021,61879
9/4/2021,61655
10/4/2021,63523
11/4/2021,64128
12/4/2021,64868
13/4/2021,65415
14/4/2021,65673
15/4/2021,65673
16/4/2021,65673
17/4/2021,65673
18/4/2021,65673
19/4/2021,67367
20/4/2021,68107
21/4/2021,69195
22/4/2021,70372
23/4/2021,71137
24/4/2021,71137
25/4/2021,71137
26/4/2021,71137
27/4/2021,71137
28/4/2021,70536
29/4/2021,70823
30/4/2021,70645
1/5/2021,71387
2/5/2021,71147
3/5/2021,71147
4/5/2021,72196
5/5/2021,71813
6/5/2021,71932
7/5/2021,72115
8/5/2021,73105
9/5/2021,73105
10/5/2021,73540
11/5/2021,73540
12/5/2021,73657
13/5/2021,73191
14/5/2021,73369
15/5/2021,73369
16/5/2021,74143
17/5/2021,74143
18/5/2021,75827
19/5/2021,75315
20/5/2021,76193
21/5/2021,76193
22/5/2021,76193
23/5/2021,76193
24/5/2021,77018
25/5/2021,77018
26/5/2021,77018
27/5/2021,77018
28/5/2021,79080
29/5/2021,81011
30/5/2021,81906
31/5/2021,82075
1/6/2021,82186
2/6/2021,81823
3/6/2021,81367
4/6/2021,81782
5/6/2021,81782
6/6/2021,82397
7/6/2021,82397
8/6/2021,84636
9/6/2021,84426
10/6/2021,84426
11/6/2021,84426
12/6/2021,84783
13/6/2021,85638
14/6/2021,85638
15/6/2021,85270
16/6/2021,84466
17/6/2021,85115
18/6/2021,83859
19/6/2021,83947
20/6/2021,83525
21/6/2021,84857
22/6/2021,86376
23/6/2021,87395
24/6/2021,88063
25/6/2021,89317
26/6/2021,89773
27/6/2021,88753
28/6/2021,88753
29/6/2021,88279
30/6/2021,90340
1/7/2021,89976
2/7/2021,89961
3/7/2021,89961
4/7/2021,89320
5/7/2021,89320
6/7/2021,89320
7/7/2021,89320
8/7/2021,89320
9/7/2021,88510
10/7/2021,88531
11/7/2021,88672
12/7/2021,88672
13/7/2021,88672
14/7/2021,89831
15/7/2021,91317
16/7/2021,91425
17/7/2021,91425
18/7/2021,91425
19/7/2021,92664
20/7/2021,92704
21/7/2021,92704
22/7/2021,92704
23/7/2021,92526
24/7/2021,92291
25/7/2021,93003
26/7/2021,92557
27/7/2021,92557
28/7/2021,93043
29/7/2021,92950
30/7/2021,93862
31/7/2021,95242
1/8/2021,95242
2/8/2021,95242
3/8/2021,95069
4/8/2021,96166
5/8/2021,96166
6/8/2021,96166
7/8/2021,97025
8/8/2021,95734
9/8/2021,95656
10/8/2021,95656
11/8/2021,96874
12/8/2021,96354
13/8/2021,97037
14/8/2021,97970
15/8/2021,97970
16/8/2021,100361
17/8/2021,99011
18/8/2021,99152
19/8/2021,97391
20/8/2021,97391
21/8/2021,97840
