Date,Price
8/3/2019,24764
9/3/2019,24764
12/3/2019,24764
15/3/2019,24764
18/3/2019,24764
21/3/2019,24764
24/3/2019,24764
27/3/2019,24764
30/3/2019,24764
2/4/2019,24764
5/4/2019,24764
8/4/2019,24764
11/4/2019,24764
14/4/2019,24764
17/4/2019,24764
20/4/2019,24764
23/4/2019,24764
26/4/2019,24764
29/4/2019,24764
2/5/2019,24764
5/5/2019,24764
8/5/2019,24764
11/5/2019,24764
14/5/2019,24764
17/5/2019,24764
20/5/2019,24764
23/5/2019,24764
26/5/2019,24764
29/5/2019,24764
1/6/2019,24764
4/6/2019,24764
7/6/2019,24764
10/6/2019,24764
13/6/2019,24764
16/6/2019,24764
19/6/2019,24764
22/6/2019,24764
25/6/2019,24764
28/6/2019,24764
1/7/2019,24764
4/7/2019,24764
7/7/2019,24764
10/7/2019,24764
13/7/2019,24764
18/7/2019,24764
19/7/2019,24804
24/7/2019,24804
27/7/2019,24804
30/7/2019,24804
2/8/2019,24804
5/8/2019,24804
8/8/2019,24804
11/8/2019,24804
14/8/2019,24804
17/8/2019,24804
20/8/2019,24804
23/8/2019,24804
26/8/2019,24804
29/8/2019,24804
1/9/2019,24804
4/9/2019,24804
7/9/2019,24804
10/9/2019,24804
13/9/2019,24804
16/9/2019,24804
19/9/2019,24804
22/9/2019,24804
25/9/2019,24804
28/9/2019,24804
1/10/2019,24804
3/10/2019,25130
5/10/2019,25130
8/10/2019,25130
11/10/2019,25130
14/10/2019,25130
17/10/2019,25130
20/10/2019,25130
23/10/2019,25130
26/10/2019,25130
29/10/2019,25130
1/11/2019,25130
4/11/2019,25130
7/11/2019,25130
10/11/2019,25130
13/11/2019,25130
16/11/2019,25130
19/11/2019,25130
24/11/2019,25130
27/11/2019,25063
28/11/2019,25063
1/12/2019,25063
4/12/2019,25063
8/12/2019,25063
11/12/2019,25063
14/12/2019,25063
17/12/2019,25063
20/12/2019,25063
23/12/2019,25063
26/12/2019,25063
29/12/2019,25063
1/1/2020,25063
4/1/2020,25063
7/1/2020,25063
10/1/2020,25063
13/1/2020,25063
16/1/2020,25063
19/1/2020,25063
22/1/2020,25063
25/1/2020,25063
28/1/2020,25063
31/1/2020,25063
3/2/2020,25063
6/2/2020,25063
9/2/2020,25063
12/2/2020,25063
15/2/2020,25063
18/2/2020,25063
21/2/2020,25063
24/2/2020,25063
27/2/2020,25063
1/3/2020,25063
4/3/2020,25063
7/3/2020,25063
10/3/2020,25063
13/3/2020,25063
16/3/2020,25063
19/3/2020,25063
22/3/2020,25063
25/3/2020,25063
28/3/2020,25063
31/3/2020,25063
3/4/2020,25063
6/4/2020,25063
9/4/2020,25063
12/4/2020,25063
15/4/2020,25063
18/4/2020,25063
21/4/2020,25063
24/4/2020,25063
27/4/2020,25063
30/4/2020,25063
3/5/2020,25063
6/5/2020,25063
9/5/2020,25063
12/5/2020,25063
17/5/2020,25063
20/5/2020,25023
21/5/2020,25023
26/5/2020,25023
27/5/2020,25021
30/5/2020,25021
2/6/2020,25021
5/6/2020,25021
8/6/2020,25021
11/6/2020,25021
16/6/2020,25021
18/6/2020,25021
20/6/2020,24970
25/6/2020,24970
28/6/2020,24970
1/7/2020,24970
4/7/2020,24970
7/7/2020,24970
10/7/2020,24970
13/7/2020,24970
16/7/2020,24970
19/7/2020,24970
22/7/2020,24970
25/7/2020,24970
28/7/2020,24970
31/7/2020,24970
3/8/2020,24970
6/8/2020,24970
9/8/2020,24970
12/8/2020,24970
15/8/2020,24970
18/8/2020,24970
21/8/2020,24970
24/8/2020,24970
27/8/2020,24970
30/8/2020,24970
31/8/2020,24970
6/9/2020,24970
9/9/2020,24970
12/9/2020,24970
15/9/2020,24970
18/9/2020,24970
21/9/2020,24970
24/9/2020,24970
27/9/2020,24970
30/9/2020,24970
3/10/2020,24970
6/10/2020,24970
9/10/2020,24970
12/10/2020,24970
15/10/2020,24970
18/10/2020,24970
21/10/2020,24970
24/10/2020,24970
27/10/2020,24970
30/10/2020,24970
2/11/2020,24970
5/11/2020,24970
