Date,Price
8/3/2019,23370
9/3/2019,23370
12/3/2019,23370
15/3/2019,23370
18/3/2019,23370
21/3/2019,23370
24/3/2019,23370
27/3/2019,23370
30/3/2019,23370
2/4/2019,23370
7/4/2019,23370
9/4/2019,23793
11/4/2019,23793
14/4/2019,23793
17/4/2019,23793
20/4/2019,23793
23/4/2019,23793
26/4/2019,23793
29/4/2019,23793
2/5/2019,23793
5/5/2019,23793
8/5/2019,23793
11/5/2019,23793
14/5/2019,23793
17/5/2019,23793
20/5/2019,23793
23/5/2019,23793
26/5/2019,23793
31/5/2019,23793
3/6/2019,23789
6/6/2019,23789
7/6/2019,23789
10/6/2019,21999
13/6/2019,21999
16/6/2019,21999
19/6/2019,21999
22/6/2019,21999
25/6/2019,21999
30/6/2019,21999
2/7/2019,21999
4/7/2019,22181
7/7/2019,22181
10/7/2019,22181
13/7/2019,22181
16/7/2019,22181
19/7/2019,22181
22/7/2019,22181
25/7/2019,22181
28/7/2019,22181
31/7/2019,22181
3/8/2019,22181
6/8/2019,22181
9/8/2019,22181
12/8/2019,22181
15/8/2019,22181
18/8/2019,22181
21/8/2019,22181
24/8/2019,22181
27/8/2019,22181
30/8/2019,22181
2/9/2019,22181
5/9/2019,22181
8/9/2019,22181
11/9/2019,22181
14/9/2019,22181
17/9/2019,22181
20/9/2019,22181
23/9/2019,22181
26/9/2019,22181
1/10/2019,22181
3/10/2019,22157
5/10/2019,22157
8/10/2019,22157
11/10/2019,22157
14/10/2019,22157
17/10/2019,22157
22/10/2019,22157
24/10/2019,22150
26/10/2019,22150
29/10/2019,22150
1/11/2019,22150
4/11/2019,22150
9/11/2019,22150
10/11/2019,22217
15/11/2019,22217
17/11/2019,22217
19/11/2019,22707
24/11/2019,22895
27/11/2019,23642
28/11/2019,23642
1/12/2019,23642
4/12/2019,23642
8/12/2019,23642
11/12/2019,23642
14/12/2019,23642
17/12/2019,23642
20/12/2019,23642
23/12/2019,23642
26/12/2019,23642
29/12/2019,23642
1/1/2020,23642
4/1/2020,23642
7/1/2020,23642
10/1/2020,23642
13/1/2020,23642
16/1/2020,23642
19/1/2020,23642
22/1/2020,23642
25/1/2020,23642
28/1/2020,23642
31/1/2020,23642
5/2/2020,23642
8/2/2020,24028
9/2/2020,24028
12/2/2020,24028
15/2/2020,24028
18/2/2020,24028
21/2/2020,24028
24/2/2020,24028
27/2/2020,24028
1/3/2020,24028
4/3/2020,24028
7/3/2020,24028
10/3/2020,24028
13/3/2020,24028
16/3/2020,24028
21/3/2020,24028
24/3/2020,24306
27/3/2020,24306
29/3/2020,24530
