Date,Price
10/3/2019,539
11/3/2019,539
14/3/2019,539
17/3/2019,539
20/3/2019,539
23/3/2019,539
26/3/2019,539
29/3/2019,539
3/4/2019,539
4/4/2019,2669
7/4/2019,2669
10/4/2019,2669
13/4/2019,2669
16/4/2019,2669
19/4/2019,2669
22/4/2019,2669
25/4/2019,2669
28/4/2019,2669
1/5/2019,2669
4/5/2019,2669
7/5/2019,2669
10/5/2019,2669
13/5/2019,2669
16/5/2019,2669
19/5/2019,2669
22/5/2019,2669
25/5/2019,2669
28/5/2019,2669
31/5/2019,2669
3/6/2019,2669
6/6/2019,2669
9/6/2019,2669
12/6/2019,2669
15/6/2019,2669
18/6/2019,2669
21/6/2019,2669
24/6/2019,2669
27/6/2019,2669
30/6/2019,2669
3/7/2019,2669
6/7/2019,2669
9/7/2019,2669
12/7/2019,2669
15/7/2019,2669
20/7/2019,2669
22/7/2019,2669
24/7/2019,4120
27/7/2019,4120
30/7/2019,4120
2/8/2019,4120
5/8/2019,4120
8/8/2019,4120
11/8/2019,4120
14/8/2019,4120
17/8/2019,4120
22/8/2019,4120
23/8/2019,4291
26/8/2019,4291
29/8/2019,4291
1/9/2019,4291
4/9/2019,4291
7/9/2019,4291
10/9/2019,4291
13/9/2019,4291
16/9/2019,4291
19/9/2019,4291
22/9/2019,4291
25/9/2019,4291
28/9/2019,4291
1/10/2019,4291
4/10/2019,4291
7/10/2019,4291
10/10/2019,4291
13/10/2019,4291
16/10/2019,4291
19/10/2019,4291
22/10/2019,4291
25/10/2019,4291
28/10/2019,4291
2/11/2019,4291
4/11/2019,4291
6/11/2019,4819
9/11/2019,4819
12/11/2019,4819
15/11/2019,4819
18/11/2019,4819
21/11/2019,4819
24/11/2019,4819
27/11/2019,4819
30/11/2019,4819
3/12/2019,4819
6/12/2019,4819
10/12/2019,4819
13/12/2019,4819
16/12/2019,4819
19/12/2019,4819
22/12/2019,4819
25/12/2019,4819
28/12/2019,4819
31/12/2019,4819
3/1/2020,4819
6/1/2020,4819
9/1/2020,4819
12/1/2020,4819
17/1/2020,4819
19/1/2020,4819
21/1/2020,4416
24/1/2020,4416
27/1/2020,4416
30/1/2020,4416
2/2/2020,4416
7/2/2020,4416
9/2/2020,3868
13/2/2020,3868
15/2/2020,3868
18/2/2020,3272
20/2/2020,3272
23/2/2020,3272
26/2/2020,3272
29/2/2020,3272
3/3/2020,3272
6/3/2020,3272
9/3/2020,3272
12/3/2020,3272
15/3/2020,3272
18/3/2020,3272
21/3/2020,3272
24/3/2020,3272
29/3/2020,3272
31/3/2020,3001
2/4/2020,3001
5/4/2020,3001
8/4/2020,3001
11/4/2020,3001
14/4/2020,3001
17/4/2020,3001
20/4/2020,3001
23/4/2020,3001
26/4/2020,3001
29/4/2020,3001
2/5/2020,3001
5/5/2020,3001
8/5/2020,3001
13/5/2020,3001
15/5/2020,2939
19/5/2020,2939
20/5/2020,2863
24/5/2020,2863
26/5/2020,2790
29/5/2020,2790
1/6/2020,2790
4/6/2020,2790
9/6/2020,2790
12/6/2020,2880
13/6/2020,2880
16/6/2020,2880
19/6/2020,2880
22/6/2020,2880
25/6/2020,2880
28/6/2020,2880
1/7/2020,2880
4/7/2020,2880
7/7/2020,2880
10/7/2020,2880
15/7/2020,2880
16/7/2020,2811
19/7/2020,2811
22/7/2020,2811
25/7/2020,2811
28/7/2020,2811
31/7/2020,2811
3/8/2020,2811
6/8/2020,2811
9/8/2020,2811
12/8/2020,2811
15/8/2020,2811
18/8/2020,2811
21/8/2020,2811
24/8/2020,2811
27/8/2020,2811
30/8/2020,2811
2/9/2020,2811
5/9/2020,2811
9/9/2020,2811
12/9/2020,2811
15/9/2020,2811
20/9/2020,2811
21/9/2020,2732
26/9/2020,2732
29/9/2020,2732
2/10/2020,2732
5/10/2020,2732
8/10/2020,2732
11/10/2020,2732
14/10/2020,2732
17/10/2020,2732
20/10/2020,2732
23/10/2020,2732
26/10/2020,2732
29/10/2020,2732
1/11/2020,2732
4/11/2020,2732
7/11/2020,2732
10/11/2020,2732
13/11/2020,2732
15/11/2020,3456
17/11/2020,3456
20/11/2020,3456
25/11/2020,3456
27/11/2020,3683
1/12/2020,3683
4/12/2020,3705
7/12/2020,3705
8/12/2020,3821
13/12/2020,3891
15/12/2020,4002
19/12/2020,4002
20/12/2020,4046
23/12/2020,4046
26/12/2020,4046
31/12/2020,4046
1/1/2021,4146
4/1/2021,4146
9/1/2021,4146
12/1/2021,4197
13/1/2021,4275
16/1/2021,4295
19/1/2021,4295
24/1/2021,4295
25/1/2021,4295
28/1/2021,4461
2/2/2021,4461
4/2/2021,4636
6/2/2021,4697
11/2/2021,4697
13/2/2021,4693
15/2/2021,4693
20/2/2021,4693
21/2/2021,4732
26/2/2021,4732
27/2/2021,4674
2/3/2021,4674
5/3/2021,4674
8/3/2021,4674
9/3/2021,4674
10/3/2021,4674
11/3/2021,4674
12/3/2021,4674
13/3/2021,4674
14/3/2021,4674
15/3/2021,4674
16/3/2021,4674
17/3/2021,4674
18/3/2021,4674
19/3/2021,4674
20/3/2021,4674
21/3/2021,4674
22/3/2021,4674
23/3/2021,4804
24/3/2021,5006
25/3/2021,5006
26/3/2021,5006
27/3/2021,5006
28/3/2021,5006
29/3/2021,5006
30/3/2021,5006
31/3/2021,5173
1/4/2021,5173
2/4/2021,5173
3/4/2021,5173
4/4/2021,5173
5/4/2021,5173
6/4/2021,5173
7/4/2021,5173
8/4/2021,5173
9/4/2021,5173
10/4/2021,5173
11/4/2021,5173
12/4/2021,5173
13/4/2021,5173
14/4/2021,5173
15/4/2021,5173
16/4/2021,5173
17/4/2021,5173
18/4/2021,5173
19/4/2021,5173
20/4/2021,5173
21/4/2021,5173
22/4/2021,5339
23/4/2021,5339
24/4/2021,5465
25/4/2021,5585
26/4/2021,5585
27/4/2021,5585
28/4/2021,5585
29/4/2021,5673
30/4/2021,5673
1/5/2021,5673
2/5/2021,5673
3/5/2021,5673
