Date,Price
20/11/2020,6500
21/11/2020,6500
22/11/2020,6500
23/11/2020,6500
24/11/2020,6500
26/11/2020,6500
27/11/2020,6500
28/11/2020,6500
30/11/2020,6500
1/12/2020,6500
2/12/2020,6500
4/12/2020,6500
5/12/2020,6500
6/12/2020,6500
7/12/2020,6500
9/12/2020,6500
10/12/2020,6500
11/12/2020,6613
13/12/2020,6613
14/12/2020,6613
15/12/2020,6613
17/12/2020,6613
18/12/2020,6613
19/12/2020,6613
20/12/2020,6613
22/12/2020,6613
23/12/2020,6613
24/12/2020,6613
26/12/2020,6613
27/12/2020,6613
28/12/2020,6613
30/12/2020,6613
31/12/2020,6613
1/1/2021,6613
2/1/2021,6613
4/1/2021,6613
5/1/2021,6575
6/1/2021,6575
8/1/2021,6575
9/1/2021,6575
10/1/2021,6575
12/1/2021,6575
13/1/2021,6575
14/1/2021,6575
15/1/2021,6575
17/1/2021,6575
18/1/2021,6575
19/1/2021,6575
21/1/2021,6575
22/1/2021,6575
23/1/2021,6575
25/1/2021,6575
26/1/2021,6575
27/1/2021,6575
28/1/2021,6575
30/1/2021,6575
31/1/2021,6575
1/2/2021,6575
3/2/2021,6575
4/2/2021,6575
5/2/2021,6575
7/2/2021,6575
8/2/2021,6575
9/2/2021,6575
10/2/2021,6575
12/2/2021,6575
13/2/2021,6575
14/2/2021,6575
16/2/2021,6575
17/2/2021,6575
18/2/2021,6575
20/2/2021,6575
21/2/2021,6575
22/2/2021,6575
23/2/2021,6575
25/2/2021,6575
26/2/2021,6575
27/2/2021,6575
1/3/2021,6575
2/3/2021,6619
3/3/2021,6619
5/3/2021,6619
6/3/2021,6619
7/3/2021,6619
8/3/2021,6619
9/3/2021,6619
10/3/2021,6619
11/3/2021,6619
12/3/2021,6619
13/3/2021,6619
14/3/2021,6619
15/3/2021,6619
16/3/2021,6619
17/3/2021,6619
18/3/2021,6619
19/3/2021,6619
20/3/2021,6619
21/3/2021,6619
22/3/2021,6619
23/3/2021,6619
24/3/2021,6619
25/3/2021,6725
26/3/2021,6725
27/3/2021,6725
28/3/2021,6725
29/3/2021,6725
30/3/2021,6725
31/3/2021,6725
1/4/2021,6725
2/4/2021,6725
3/4/2021,6725
4/4/2021,6725
5/4/2021,6725
6/4/2021,6725
7/4/2021,6725
8/4/2021,6725
9/4/2021,6725
10/4/2021,6725
11/4/2021,6725
12/4/2021,6725
13/4/2021,6725
14/4/2021,6725
15/4/2021,6725
16/4/2021,6725
17/4/2021,6725
18/4/2021,6808
19/4/2021,6808
20/4/2021,6808
21/4/2021,6808
22/4/2021,6808
23/4/2021,6808
24/4/2021,6808
25/4/2021,6808
26/4/2021,6879
27/4/2021,6784
28/4/2021,6784
29/4/2021,6784
30/4/2021,6784
1/5/2021,6784
2/5/2021,6784
3/5/2021,6784
4/5/2021,6784
5/5/2021,6784
6/5/2021,6784
7/5/2021,6784
8/5/2021,6784
9/5/2021,6784
10/5/2021,6784
11/5/2021,6784
12/5/2021,6784
13/5/2021,6784
14/5/2021,6784
15/5/2021,6784
16/5/2021,6784
17/5/2021,6784
18/5/2021,6784
19/5/2021,7161
20/5/2021,7161
21/5/2021,7161
22/5/2021,7161
23/5/2021,7161
24/5/2021,7161
25/5/2021,7161
26/5/2021,7161
27/5/2021,7161
28/5/2021,7161
29/5/2021,7161
30/5/2021,7161
31/5/2021,7161
1/6/2021,7161
2/6/2021,7161
3/6/2021,7161
4/6/2021,7161
5/6/2021,7161
6/6/2021,7161
7/6/2021,7161
8/6/2021,7207
9/6/2021,7207
10/6/2021,7207
11/6/2021,7207
12/6/2021,7207
13/6/2021,7207
14/6/2021,7207
15/6/2021,7207
16/6/2021,7207
17/6/2021,7223
18/6/2021,7211
19/6/2021,7211
20/6/2021,7211
21/6/2021,7211
22/6/2021,7211
23/6/2021,7211
24/6/2021,7211
25/6/2021,7211
26/6/2021,7211
27/6/2021,7211
28/6/2021,7211
29/6/2021,7211
30/6/2021,7211
1/7/2021,7211
2/7/2021,7211
3/7/2021,7211
4/7/2021,7211
5/7/2021,7211
6/7/2021,7211
7/7/2021,7211
8/7/2021,7211
9/7/2021,7211
10/7/2021,7211
11/7/2021,7211
12/7/2021,7211
13/7/2021,7211
14/7/2021,7211
15/7/2021,7187
16/7/2021,7187
17/7/2021,7187
18/7/2021,7187
19/7/2021,7187
20/7/2021,7157
21/7/2021,7157
22/7/2021,7157
23/7/2021,7263
24/7/2021,7273
25/7/2021,7273
26/7/2021,7273
27/7/2021,7273
28/7/2021,7273
29/7/2021,7273
30/7/2021,7273
31/7/2021,7273
1/8/2021,7273
2/8/2021,7273
3/8/2021,7273
4/8/2021,7273
5/8/2021,7273
6/8/2021,7273
7/8/2021,7273
8/8/2021,7273
9/8/2021,7273
10/8/2021,7273
11/8/2021,7273
12/8/2021,7273
13/8/2021,7273
14/8/2021,7273
15/8/2021,7273
16/8/2021,7273
17/8/2021,7273
18/8/2021,7273
19/8/2021,7273
20/8/2021,7273
21/8/2021,7273
22/8/2021,7273
23/8/2021,7273
24/8/2021,7273
25/8/2021,7273
26/8/2021,7273
27/8/2021,7273
28/8/2021,7273
29/8/2021,7273
30/8/2021,7273
31/8/2021,7273
1/9/2021,7273
2/9/2021,7273
3/9/2021,7273
4/9/2021,7273
5/9/2021,7273
6/9/2021,7273
7/9/2021,7273
8/9/2021,7273
9/9/2021,7273
10/9/2021,7273
11/9/2021,7288
12/9/2021,7288
13/9/2021,7288
14/9/2021,7288
15/9/2021,7288
16/9/2021,7288
17/9/2021,7288
18/9/2021,7288
19/9/2021,7288
20/9/2021,7288
21/9/2021,7288
22/9/2021,7288
23/9/2021,7288
24/9/2021,7288
25/9/2021,7288
26/9/2021,7288
27/9/2021,7288
28/9/2021,7288
29/9/2021,7288
30/9/2021,7354
1/10/2021,7354
2/10/2021,7354
3/10/2021,7354
4/10/2021,7354
5/10/2021,7354
6/10/2021,7354
7/10/2021,7354
8/10/2021,7354
9/10/2021,7354
10/10/2021,7354
11/10/2021,7354
12/10/2021,7354
13/10/2021,7354
14/10/2021,7354
15/10/2021,7354
16/10/2021,7354
17/10/2021,7354
18/10/2021,7354
19/10/2021,7354
20/10/2021,7354
21/10/2021,7344
22/10/2021,7344
23/10/2021,7344
24/10/2021,7321
25/10/2021,7321
26/10/2021,7321
27/10/2021,7321
28/10/2021,7321
29/10/2021,7321
30/10/2021,7321
31/10/2021,7321
1/11/2021,7321
2/11/2021,7321
3/11/2021,7321
4/11/2021,7321
5/11/2021,7321
6/11/2021,7321
7/11/2021,7321
8/11/2021,7321
9/11/2021,7321
10/11/2021,7321
11/11/2021,7321
12/11/2021,7321
13/11/2021,7321
14/11/2021,7336
15/11/2021,7336
16/11/2021,7336
17/11/2021,7336
18/11/2021,7336
19/11/2021,7336
20/11/2021,7334
21/11/2021,7319
22/11/2021,7319
23/11/2021,7319
24/11/2021,7301
25/11/2021,7291
26/11/2021,7291
27/11/2021,7291
28/11/2021,7291
29/11/2021,7291
30/11/2021,7288
1/12/2021,7288
2/12/2021,7288
3/12/2021,7288
4/12/2021,7322
5/12/2021,7322
6/12/2021,7322
7/12/2021,7322
8/12/2021,7322
9/12/2021,7322
10/12/2021,7352
11/12/2021,7352
12/12/2021,7352
13/12/2021,7352
14/12/2021,7324
15/12/2021,7324
16/12/2021,7324
17/12/2021,7324
18/12/2021,7344
19/12/2021,7344
20/12/2021,7344
21/12/2021,7344
22/12/2021,7344
23/12/2021,7344
24/12/2021,7344
25/12/2021,7344
26/12/2021,7344
27/12/2021,7344
28/12/2021,7391
29/12/2021,7405
30/12/2021,7444
31/12/2021,7444
1/1/2022,7443
2/1/2022,7434
3/1/2022,7434
4/1/2022,7434
5/1/2022,7434
6/1/2022,7434
7/1/2022,7434
8/1/2022,7434
9/1/2022,7451
10/1/2022,7451
11/1/2022,7451
12/1/2022,7494
13/1/2022,7494
14/1/2022,7494
15/1/2022,7494
16/1/2022,7494
17/1/2022,7494
18/1/2022,7422
19/1/2022,7422
20/1/2022,7422
21/1/2022,7410
22/1/2022,7410
23/1/2022,7407
24/1/2022,7422
25/1/2022,7422
26/1/2022,7422
27/1/2022,7422
28/1/2022,7422
29/1/2022,7422
30/1/2022,7422
31/1/2022,7422
1/2/2022,7430
2/2/2022,7430
3/2/2022,7454
4/2/2022,7454
5/2/2022,7454
6/2/2022,7454
7/2/2022,7454
8/2/2022,7454
9/2/2022,7454
10/2/2022,7454
11/2/2022,7454
12/2/2022,7454
13/2/2022,7454
14/2/2022,7391
15/2/2022,7391
16/2/2022,7391
17/2/2022,7391
18/2/2022,7391
19/2/2022,7391
20/2/2022,7391
21/2/2022,7391
22/2/2022,7380
23/2/2022,7380
24/2/2022,7380
25/2/2022,7380
26/2/2022,7339
27/2/2022,7339
28/2/2022,7339
1/3/2022,7349
2/3/2022,7349
3/3/2022,7346
4/3/2022,7317
5/3/2022,7317
6/3/2022,7317
7/3/2022,7307
8/3/2022,7307
