Date,Price
26/8/2020,6772
27/8/2020,6772
28/8/2020,6772
30/8/2020,6772
31/8/2020,6772
2/9/2020,6772
3/9/2020,6772
5/9/2020,6772
6/9/2020,6772
8/9/2020,6772
9/9/2020,6772
11/9/2020,6772
12/9/2020,6772
14/9/2020,6772
15/9/2020,6772
17/9/2020,6772
19/9/2020,6772
20/9/2020,6772
22/9/2020,6772
23/9/2020,6772
25/9/2020,6772
26/9/2020,6772
28/9/2020,6772
29/9/2020,6772
1/10/2020,6772
2/10/2020,6772
4/10/2020,6772
5/10/2020,6772
7/10/2020,6772
8/10/2020,6772
10/10/2020,6772
12/10/2020,6772
13/10/2020,6772
15/10/2020,6772
16/10/2020,6772
18/10/2020,6772
19/10/2020,6772
21/10/2020,6772
22/10/2020,6772
24/10/2020,6772
25/10/2020,6772
27/10/2020,6772
28/10/2020,6772
30/10/2020,6772
31/10/2020,6772
2/11/2020,6772
4/11/2020,6772
5/11/2020,6772
7/11/2020,6772
8/11/2020,6772
10/11/2020,6772
11/11/2020,6772
13/11/2020,6772
14/11/2020,6772
16/11/2020,8790
17/11/2020,8790
19/11/2020,8790
20/11/2020,8790
22/11/2020,8790
23/11/2020,8790
25/11/2020,8790
27/11/2020,8790
28/11/2020,8790
30/11/2020,8790
1/12/2020,8790
3/12/2020,8790
4/12/2020,8790
6/12/2020,8790
7/12/2020,8790
9/12/2020,8790
10/12/2020,8790
12/12/2020,8790
13/12/2020,8790
15/12/2020,8790
17/12/2020,8790
18/12/2020,8790
20/12/2020,8790
21/12/2020,8790
23/12/2020,8790
24/12/2020,8790
26/12/2020,8790
27/12/2020,8790
29/12/2020,8790
30/12/2020,8790
1/1/2021,8790
2/1/2021,8790
4/1/2021,8790
5/1/2021,8790
7/1/2021,8790
9/1/2021,8790
10/1/2021,8790
12/1/2021,8790
13/1/2021,8790
15/1/2021,8790
16/1/2021,8790
18/1/2021,8790
19/1/2021,8790
21/1/2021,8790
22/1/2021,8790
24/1/2021,8790
25/1/2021,8790
27/1/2021,9205
29/1/2021,9205
30/1/2021,9795
1/2/2021,9974
2/2/2021,9974
4/2/2021,9974
5/2/2021,9974
7/2/2021,9974
8/2/2021,9974
10/2/2021,9974
11/2/2021,9974
13/2/2021,9974
14/2/2021,9974
16/2/2021,9974
17/2/2021,9974
19/2/2021,9974
21/2/2021,9957
22/2/2021,10052
24/2/2021,10050
25/2/2021,10050
27/2/2021,10050
1/3/2021,10050
2/3/2021,10163
4/3/2021,10163
5/3/2021,10464
6/3/2021,10464
8/3/2021,10464
9/3/2021,10464
10/3/2021,10464
11/3/2021,10464
12/3/2021,10522
13/3/2021,10522
14/3/2021,10522
15/3/2021,10522
16/3/2021,10522
17/3/2021,10522
18/3/2021,10522
19/3/2021,10452
20/3/2021,10452
21/3/2021,10452
22/3/2021,10452
23/3/2021,10452
24/3/2021,10452
25/3/2021,10452
26/3/2021,10452
27/3/2021,10452
28/3/2021,10452
29/3/2021,10606
30/3/2021,10671
31/3/2021,10671
1/4/2021,10671
2/4/2021,10615
3/4/2021,10615
4/4/2021,10615
5/4/2021,10615
6/4/2021,10573
7/4/2021,10573
8/4/2021,10573
9/4/2021,10604
10/4/2021,10604
11/4/2021,10604
12/4/2021,10648
13/4/2021,10648
14/4/2021,10648
15/4/2021,10648
16/4/2021,10716
17/4/2021,10716
18/4/2021,10716
19/4/2021,10716
20/4/2021,10716
21/4/2021,10716
22/4/2021,10716
23/4/2021,10716
24/4/2021,10716
25/4/2021,10716
26/4/2021,10716
27/4/2021,10945
28/4/2021,10945
29/4/2021,10927
30/4/2021,10927
1/5/2021,10927
2/5/2021,10927
3/5/2021,10927
4/5/2021,10927
5/5/2021,10927
6/5/2021,10927
7/5/2021,10927
8/5/2021,10927
9/5/2021,10927
10/5/2021,10927
11/5/2021,10927
12/5/2021,10927
13/5/2021,10927
14/5/2021,10927
15/5/2021,10909
16/5/2021,10909
17/5/2021,10909
18/5/2021,10909
19/5/2021,10909
20/5/2021,10895
21/5/2021,10895
22/5/2021,10895
23/5/2021,10895
24/5/2021,10895
25/5/2021,10895
26/5/2021,10895
27/5/2021,10895
28/5/2021,10895
29/5/2021,10895
30/5/2021,10895
31/5/2021,10895
1/6/2021,10831
2/6/2021,10831
3/6/2021,10831
4/6/2021,10831
5/6/2021,10831
6/6/2021,10831
7/6/2021,10831
8/6/2021,10831
9/6/2021,10831
10/6/2021,10831
11/6/2021,10831
12/6/2021,11005
13/6/2021,11050
14/6/2021,11050
15/6/2021,11107
16/6/2021,11084
17/6/2021,11084
18/6/2021,11084
19/6/2021,11084
20/6/2021,11064
21/6/2021,11064
22/6/2021,11064
23/6/2021,11064
24/6/2021,11064
25/6/2021,11064
26/6/2021,11033
27/6/2021,11033
28/6/2021,11033
29/6/2021,11033
30/6/2021,11033
1/7/2021,11033
2/7/2021,11033
3/7/2021,11033
4/7/2021,11033
5/7/2021,11033
6/7/2021,10996
7/7/2021,10996
8/7/2021,10996
9/7/2021,10996
10/7/2021,10996
11/7/2021,10996
12/7/2021,10996
13/7/2021,10996
14/7/2021,10996
15/7/2021,10996
16/7/2021,10996
17/7/2021,10996
18/7/2021,10996
19/7/2021,10996
20/7/2021,10996
21/7/2021,10996
22/7/2021,10996
23/7/2021,11052
24/7/2021,11052
25/7/2021,11052
26/7/2021,11052
27/7/2021,11077
28/7/2021,11077
29/7/2021,11077
30/7/2021,11077
31/7/2021,11077
1/8/2021,11077
2/8/2021,11077
3/8/2021,11115
4/8/2021,11115
5/8/2021,11115
6/8/2021,11115
7/8/2021,11182
8/8/2021,11182
9/8/2021,11182
10/8/2021,11255
11/8/2021,11255
12/8/2021,11255
13/8/2021,11255
14/8/2021,11255
15/8/2021,11255
16/8/2021,11255
17/8/2021,11255
18/8/2021,11255
19/8/2021,11255
20/8/2021,11255
21/8/2021,11255
22/8/2021,11255
23/8/2021,11255
24/8/2021,11295
25/8/2021,11295
26/8/2021,11295
27/8/2021,11295
28/8/2021,11295
29/8/2021,11295
30/8/2021,11295
31/8/2021,11317
1/9/2021,11317
2/9/2021,11317
3/9/2021,11340
4/9/2021,11240
5/9/2021,11240
6/9/2021,11240
7/9/2021,11240
8/9/2021,11240
9/9/2021,11240
10/9/2021,11240
11/9/2021,11219
12/9/2021,11219
13/9/2021,11219
14/9/2021,11219
15/9/2021,11219
16/9/2021,11310
17/9/2021,11310
18/9/2021,11310
19/9/2021,11310
20/9/2021,11310
21/9/2021,11310
22/9/2021,11272
23/9/2021,11272
24/9/2021,11272
25/9/2021,11272
26/9/2021,11272
27/9/2021,11272
28/9/2021,11272
29/9/2021,11272
30/9/2021,11270
1/10/2021,11270
2/10/2021,11270
3/10/2021,11270
4/10/2021,11270
5/10/2021,11270
6/10/2021,11270
7/10/2021,11270
8/10/2021,11270
9/10/2021,11270
10/10/2021,11270
11/10/2021,11300
12/10/2021,11300
13/10/2021,11300
14/10/2021,11300
15/10/2021,11369
16/10/2021,11369
17/10/2021,11369
18/10/2021,11369
19/10/2021,11314
20/10/2021,11307
21/10/2021,11307
22/10/2021,11307
23/10/2021,11240
24/10/2021,11240
25/10/2021,11240
26/10/2021,11240
27/10/2021,11240
28/10/2021,11240
29/10/2021,11240
30/10/2021,11240
31/10/2021,11240
1/11/2021,11240
2/11/2021,11240
3/11/2021,11240
4/11/2021,11240
5/11/2021,11240
6/11/2021,11240
7/11/2021,11240
8/11/2021,11240
9/11/2021,11240
10/11/2021,11240
11/11/2021,11240
12/11/2021,11240
13/11/2021,11240
14/11/2021,11240
