brand_index,Brand,Date
"32,449",A. Lange & Söhne,2019-03-27
"32,449",A. Lange & Söhne,2019-03-28
"32,449",A. Lange & Söhne,2019-03-29
"32,449",A. Lange & Söhne,2019-03-30
"32,449",A. Lange & Söhne,2019-03-31
"32,449",A. Lange & Söhne,2019-04-01
"32,449",A. Lange & Söhne,2019-04-02
"32,449",A. Lange & Söhne,2019-04-03
"32,449",A. Lange & Söhne,2019-04-04
"32,449",A. Lange & Söhne,2019-04-05
"32,449",A. Lange & Söhne,2019-04-06
"32,449",A. Lange & Söhne,2019-04-07
"32,449",A. Lange & Söhne,2019-04-08
"32,449",A. Lange & Söhne,2019-04-09
"32,449",A. Lange & Söhne,2019-04-10
"32,449",A. Lange & Söhne,2019-04-11
"32,449",A. Lange & Söhne,2019-04-12
"32,449",A. Lange & Söhne,2019-04-13
"32,449",A. Lange & Söhne,2019-04-14
"32,449",A. Lange & Söhne,2019-04-15
"32,449",A. Lange & Söhne,2019-04-16
"32,449",A. Lange & Söhne,2019-04-17
"32,449",A. Lange & Söhne,2019-04-18
"32,449",A. Lange & Söhne,2019-04-19
"32,449",A. Lange & Söhne,2019-04-20
"32,449",A. Lange & Söhne,2019-04-21
"32,449",A. Lange & Söhne,2019-04-22
"32,449",A. Lange & Söhne,2019-04-23
"32,405",A. Lange & Söhne,2019-04-24
"32,405",A. Lange & Söhne,2019-04-25
"32,405",A. Lange & Söhne,2019-04-26
"32,405",A. Lange & Söhne,2019-04-27
"32,405",A. Lange & Söhne,2019-04-28
"32,405",A. Lange & Söhne,2019-04-29
"32,405",A. Lange & Söhne,2019-04-30
"32,405",A. Lange & Söhne,2019-05-01
"32,405",A. Lange & Söhne,2019-05-02
"32,405",A. Lange & Söhne,2019-05-03
"32,405",A. Lange & Söhne,2019-05-04
"32,405",A. Lange & Söhne,2019-05-05
"32,405",A. Lange & Söhne,2019-05-06
"32,405",A. Lange & Söhne,2019-05-07
"32,405",A. Lange & Söhne,2019-05-08
"32,405",A. Lange & Söhne,2019-05-09
"32,405",A. Lange & Söhne,2019-05-10
"32,405",A. Lange & Söhne,2019-05-11
"32,405",A. Lange & Söhne,2019-05-12
