Price,Model,Date
50931.0,A. Lange & Söhne 140.029,2019-03-10
50931.0,A. Lange & Söhne 140.029,2019-03-11
50931.0,A. Lange & Söhne 140.029,2019-03-12
50931.0,A. Lange & Söhne 140.029,2019-03-13
50931.0,A. Lange & Söhne 140.029,2019-03-14
50931.0,A. Lange & Söhne 140.029,2019-03-15
50931.0,A. Lange & Söhne 140.029,2019-03-16
50931.0,A. Lange & Söhne 140.029,2019-03-17
50931.0,A. Lange & Söhne 140.029,2019-03-18
50931.0,A. Lange & Söhne 140.029,2019-03-19
50931.0,A. Lange & Söhne 140.029,2019-03-20
50931.0,A. Lange & Söhne 140.029,2019-03-21
50931.0,A. Lange & Söhne 140.029,2019-03-22
50931.0,A. Lange & Söhne 140.029,2019-03-23
50931.0,A. Lange & Söhne 140.029,2019-03-24
50931.0,A. Lange & Söhne 140.029,2019-03-25
50931.0,A. Lange & Söhne 140.029,2019-03-26
50931.0,A. Lange & Söhne 140.029,2019-03-27
50931.0,A. Lange & Söhne 140.029,2019-03-28
50931.0,A. Lange & Söhne 140.029,2019-03-29
50931.0,A. Lange & Söhne 140.029,2019-03-30
50931.0,A. Lange & Söhne 140.029,2019-03-31
50931.0,A. Lange & Söhne 140.029,2019-04-01
50931.0,A. Lange & Söhne 140.029,2019-04-02
50931.0,A. Lange & Söhne 140.029,2019-04-03
50931.0,A. Lange & Söhne 140.029,2019-04-04
50931.0,A. Lange & Söhne 140.029,2019-04-05
50931.0,A. Lange & Söhne 140.029,2019-04-06
50931.0,A. Lange & Söhne 140.029,2019-04-07
50931.0,A. Lange & Söhne 140.029,2019-04-08
50931.0,A. Lange & Söhne 140.029,2019-04-09
50931.0,A. Lange & Söhne 140.029,2019-04-10
50931.0,A. Lange & Söhne 140.029,2019-04-11
50931.0,A. Lange & Söhne 140.029,2019-04-12
50931.0,A. Lange & Söhne 140.029,2019-04-13
50931.0,A. Lange & Söhne 140.029,2019-04-14
50931.0,A. Lange & Söhne 140.029,2019-04-15
