Date,Gold price (USD)
02-01-17,"1,145.9"
03-01-17,"1,151.0"
04-01-17,"1,164.3"
05-01-17,"1,176.7"
06-01-17,"1,175.9"
09-01-17,"1,178.5"
10-01-17,"1,189.5"
11-01-17,"1,178.6"
12-01-17,"1,205.1"
13-01-17,"1,190.4"
16-01-17,"1,203.0"
17-01-17,"1,216.1"
18-01-17,"1,214.8"
19-01-17,"1,196.1"
20-01-17,"1,200.6"
23-01-17,"1,212.9"
24-01-17,"1,216.8"
25-01-17,"1,195.0"
26-01-17,"1,189.7"
27-01-17,"1,184.9"
30-01-17,"1,192.8"
31-01-17,"1,212.8"
01-02-17,"1,203.7"
02-02-17,"1,222.0"
03-02-17,"1,215.2"
06-02-17,"1,226.8"
07-02-17,"1,231.0"
08-02-17,"1,242.1"
09-02-17,"1,236.8"
10-02-17,"1,228.3"
13-02-17,"1,222.3"
14-02-17,"1,230.8"
15-02-17,"1,224.4"
16-02-17,"1,240.6"
17-02-17,"1,242.0"
20-02-17,"1,237.3"
21-02-17,"1,233.2"
22-02-17,"1,236.7"
23-02-17,"1,247.9"
24-02-17,"1,253.7"
27-02-17,"1,257.2"
28-02-17,"1,255.6"
01-03-17,"1,240.4"
02-03-17,"1,238.1"
03-03-17,"1,226.5"
06-03-17,"1,231.0"
07-03-17,"1,216.7"
08-03-17,"1,209.2"
09-03-17,"1,206.6"
10-03-17,"1,202.7"
13-03-17,"1,204.2"
14-03-17,"1,204.6"
15-03-17,"1,198.8"
16-03-17,"1,229.4"
17-03-17,"1,229.6"
20-03-17,"1,232.4"
21-03-17,"1,241.6"
22-03-17,"1,249.1"
23-03-17,"1,247.5"
24-03-17,"1,247.5"
27-03-17,"1,257.6"
28-03-17,"1,257.3"
29-03-17,"1,251.1"
30-03-17,"1,248.8"
31-03-17,"1,244.9"
03-04-17,"1,247.3"
04-04-17,"1,257.7"
05-04-17,"1,245.8"
06-04-17,"1,252.5"
07-04-17,"1,266.5"
10-04-17,"1,250.1"
11-04-17,"1,252.9"
12-04-17,"1,274.3"
13-04-17,"1,284.2"
14-04-17,"1,284.2"
17-04-17,"1,284.2"
18-04-17,"1,279.0"
19-04-17,"1,279.1"
20-04-17,"1,282.1"
21-04-17,"1,281.9"
24-04-17,"1,269.4"
25-04-17,"1,267.8"
26-04-17,"1,261.9"
27-04-17,"1,262.8"
28-04-17,"1,266.5"
01-05-17,"1,266.5"
02-05-17,"1,255.5"
03-05-17,"1,250.3"
04-05-17,"1,228.5"
05-05-17,"1,228.1"
08-05-17,"1,229.8"
09-05-17,"1,220.4"
10-05-17,"1,223.0"
11-05-17,"1,223.2"
12-05-17,"1,231.3"
15-05-17,"1,233.3"
16-05-17,"1,234.2"
17-05-17,"1,257.4"
18-05-17,"1,255.9"
19-05-17,"1,252.0"
22-05-17,"1,258.9"
23-05-17,"1,260.2"
24-05-17,"1,252.6"
25-05-17,"1,257.0"
26-05-17,"1,265.1"
29-05-17,"1,265.1"
30-05-17,"1,262.7"
31-05-17,"1,266.2"
01-06-17,"1,264.9"
02-06-17,"1,275.0"
05-06-17,"1,280.0"
06-06-17,"1,293.5"
07-06-17,"1,291.0"
08-06-17,"1,273.1"
09-06-17,"1,266.6"
12-06-17,"1,266.4"
13-06-17,"1,262.0"
14-06-17,"1,275.5"
15-06-17,"1,254.6"
16-06-17,"1,255.4"
19-06-17,"1,248.2"
20-06-17,"1,242.2"
21-06-17,"1,242.5"
22-06-17,"1,250.8"
23-06-17,"1,255.7"
26-06-17,"1,245.3"
27-06-17,"1,249.6"
28-06-17,"1,248.0"
29-06-17,"1,243.5"
30-06-17,"1,242.3"
03-07-17,"1,229.3"
04-07-17,"1,223.8"
05-07-17,"1,220.3"
06-07-17,"1,224.9"
07-07-17,"1,215.7"
10-07-17,"1,211.9"
11-07-17,"1,211.1"
12-07-17,"1,218.8"
13-07-17,"1,218.9"
14-07-17,"1,230.3"
17-07-17,"1,234.1"
18-07-17,"1,240.8"
19-07-17,"1,242.2"
20-07-17,"1,238.7"
21-07-17,"1,248.6"
24-07-17,"1,255.6"
25-07-17,"1,254.4"
26-07-17,"1,248.1"
27-07-17,"1,261.1"
28-07-17,"1,264.9"
31-07-17,"1,267.6"
01-08-17,"1,271.0"
02-08-17,"1,269.6"
03-08-17,"1,268.1"
04-08-17,"1,257.7"
07-08-17,"1,258.0"
08-08-17,"1,261.8"
09-08-17,"1,271.1"
10-08-17,"1,284.4"
11-08-17,"1,286.1"
14-08-17,"1,282.3"
15-08-17,"1,270.3"
16-08-17,"1,272.8"
17-08-17,"1,285.2"
18-08-17,"1,295.8"
21-08-17,"1,292.9"
22-08-17,"1,284.2"
23-08-17,"1,286.7"
24-08-17,"1,289.0"
25-08-17,"1,285.3"
28-08-17,"1,285.3"
29-08-17,"1,318.7"
30-08-17,"1,308.5"
31-08-17,"1,311.8"
01-09-17,"1,320.4"
04-09-17,"1,333.1"
05-09-17,"1,335.6"
06-09-17,"1,337.9"
07-09-17,"1,343.5"
08-09-17,"1,346.3"
11-09-17,"1,334.2"
12-09-17,"1,326.5"
13-09-17,"1,327.6"
14-09-17,"1,324.6"
15-09-17,"1,322.9"
18-09-17,"1,312.1"
19-09-17,"1,309.6"
20-09-17,"1,311.3"
21-09-17,"1,292.1"
22-09-17,"1,294.8"
25-09-17,"1,293.3"
26-09-17,"1,300.1"
27-09-17,"1,282.6"
28-09-17,"1,283.4"
29-09-17,"1,283.1"
02-10-17,"1,273.7"
03-10-17,"1,271.3"
04-10-17,"1,274.3"
05-10-17,"1,274.5"
06-10-17,"1,261.8"
09-10-17,"1,278.8"
10-10-17,"1,291.4"
11-10-17,"1,289.3"
12-10-17,"1,290.3"
13-10-17,"1,299.6"
16-10-17,"1,303.3"
