Date,Price
9/3/2019,4316
10/3/2019,4316
15/3/2019,4316
17/3/2019,4290
19/3/2019,4290
24/3/2019,4290
25/3/2019,4278
29/3/2019,4278
31/3/2019,4233
3/4/2019,4233
6/4/2019,4206
9/4/2019,4206
12/4/2019,4206
17/4/2019,4206
19/4/2019,4206
21/4/2019,4236
24/4/2019,4236
27/4/2019,4236
2/5/2019,4236
5/5/2019,4231
6/5/2019,4221
9/5/2019,4221
12/5/2019,4221
17/5/2019,4221
19/5/2019,4221
21/5/2019,4260
24/5/2019,4260
27/5/2019,4260
30/5/2019,4260
4/6/2019,4260
6/6/2019,4086
8/6/2019,4137
12/6/2019,4137
14/6/2019,4123
18/6/2019,4123
22/6/2019,4130
24/6/2019,4130
26/6/2019,4151
29/6/2019,4151
2/7/2019,4151
7/7/2019,4151
8/7/2019,4161
11/7/2019,4161
14/7/2019,4161
17/7/2019,4161
20/7/2019,4161
23/7/2019,4161
26/7/2019,4161
29/7/2019,4161
1/8/2019,4161
4/8/2019,4161
7/8/2019,4161
10/8/2019,4161
13/8/2019,4161
18/8/2019,4161
19/8/2019,4188
22/8/2019,4188
25/8/2019,4188
28/8/2019,4188
2/9/2019,4188
3/9/2019,4201
6/9/2019,4201
11/9/2019,4201
12/9/2019,4194
17/9/2019,4194
19/9/2019,4205
21/9/2019,4205
24/9/2019,4205
27/9/2019,4205
2/10/2019,4205
3/10/2019,4221
6/10/2019,4221
9/10/2019,4221
14/10/2019,4221
16/10/2019,4233
18/10/2019,4227
22/10/2019,4227
24/10/2019,4212
29/10/2019,4212
31/10/2019,4212
2/11/2019,4109
5/11/2019,4109
8/11/2019,4109
13/11/2019,4109
14/11/2019,4086
17/11/2019,4086
22/11/2019,4086
23/11/2019,4069
26/11/2019,4069
1/12/2019,4069
3/12/2019,4044
7/12/2019,4012
11/12/2019,4012
13/12/2019,4040
16/12/2019,4040
20/12/2019,4032
21/12/2019,4051
24/12/2019,4038
29/12/2019,4038
30/12/2019,4069
4/1/2020,4069
7/1/2020,4069
10/1/2020,4069
13/1/2020,4069
14/1/2020,4098
17/1/2020,4098
22/1/2020,4098
24/1/2020,4068
28/1/2020,4067
31/1/2020,4072
1/2/2020,4039
4/2/2020,4039
7/2/2020,4039
12/2/2020,4039
14/2/2020,4039
16/2/2020,4068
19/2/2020,4068
22/2/2020,4068
27/2/2020,4068
29/2/2020,4068
2/3/2020,4051
6/3/2020,4066
8/3/2020,4066
13/3/2020,4066
15/3/2020,4066
17/3/2020,4074
22/3/2020,4074
24/3/2020,4056
28/3/2020,4056
29/3/2020,4051
3/4/2020,4038
4/4/2020,4038
8/4/2020,4132
10/4/2020,4132
13/4/2020,4132
16/4/2020,4132
19/4/2020,4132
24/4/2020,4132
26/4/2020,4143
28/4/2020,4143
1/5/2020,4143
4/5/2020,4143
7/5/2020,4143
10/5/2020,4143
13/5/2020,4143
18/5/2020,4143
20/5/2020,4143
22/5/2020,4153
25/5/2020,4153
28/5/2020,4153
2/6/2020,4153
4/6/2020,4157
6/6/2020,4157
9/6/2020,4157
12/6/2020,4157
15/6/2020,4157
20/6/2020,4157
22/6/2020,4161
26/6/2020,4161
28/6/2020,4161
2/7/2020,4216
5/7/2020,4216
6/7/2020,4233
10/7/2020,4233
12/7/2020,4227
15/7/2020,4227
18/7/2020,4227
21/7/2020,4227
24/7/2020,4227
27/7/2020,4227
30/7/2020,4227
2/8/2020,4227
5/8/2020,4227
8/8/2020,4227
13/8/2020,4227
14/8/2020,4242
17/8/2020,4242
20/8/2020,4242
23/8/2020,4242
28/8/2020,4242
31/8/2020,4261
2/9/2020,4245
5/9/2020,4249
8/9/2020,4249
11/9/2020,4249
16/9/2020,4249
18/9/2020,4265
20/9/2020,4273
23/9/2020,4273
26/9/2020,4273
1/10/2020,4273
3/10/2020,4273
5/10/2020,4265
10/10/2020,4265
11/10/2020,4219
14/10/2020,4219
17/10/2020,4219
20/10/2020,4219
23/10/2020,4219
26/10/2020,4219
29/10/2020,4219
1/11/2020,4219
4/11/2020,4219
9/11/2020,4219
10/11/2020,4184
14/11/2020,4174
17/11/2020,4184
19/11/2020,4288
23/11/2020,4395
25/11/2020,4395
30/11/2020,4414
3/12/2020,4340
5/12/2020,4338
8/12/2020,4438
11/12/2020,4435
15/12/2020,4435
18/12/2020,4474
20/12/2020,4464
22/12/2020,4491
25/12/2020,4473
29/12/2020,4473
31/12/2020,4494
4/1/2021,4494
8/1/2021,4514
10/1/2021,4624
13/1/2021,4654
17/1/2021,4663
20/1/2021,4734
23/1/2021,4699
25/1/2021,4699
29/1/2021,4726
1/2/2021,4807
4/2/2021,4798
5/2/2021,4827
9/2/2021,4812
11/2/2021,4771
16/2/2021,4771
19/2/2021,4764
20/2/2021,4790
25/2/2021,4781
26/2/2021,4804
3/3/2021,4788
4/3/2021,4816
7/3/2021,4817
8/3/2021,4808
9/3/2021,4808
10/3/2021,4808
11/3/2021,4808
12/3/2021,4776
13/3/2021,4776
14/3/2021,4776
15/3/2021,4776
16/3/2021,4776
17/3/2021,4790
18/3/2021,4804
19/3/2021,4804
20/3/2021,4804
21/3/2021,4834
22/3/2021,4834
23/3/2021,4834
24/3/2021,4853
25/3/2021,4873
26/3/2021,4836
27/3/2021,4836
28/3/2021,4836
29/3/2021,4836
30/3/2021,4836
31/3/2021,4856
1/4/2021,4835
2/4/2021,4835
3/4/2021,4814
4/4/2021,4814
5/4/2021,4822
6/4/2021,4822
7/4/2021,4797
8/4/2021,4771
9/4/2021,4781
10/4/2021,4781
11/4/2021,4790
12/4/2021,4790
13/4/2021,4790
14/4/2021,4790
15/4/2021,4758
16/4/2021,4758
17/4/2021,4785
18/4/2021,4785
19/4/2021,4805
20/4/2021,4805
21/4/2021,4805
22/4/2021,4805
23/4/2021,4809
24/4/2021,4814
25/4/2021,4792
26/4/2021,4772
27/4/2021,4740
28/4/2021,4761
29/4/2021,4761
30/4/2021,4761
1/5/2021,4761
2/5/2021,4769
3/5/2021,4769
4/5/2021,4769
5/5/2021,4721
6/5/2021,4766
7/5/2021,4766
8/5/2021,4788
9/5/2021,4826
10/5/2021,4796
11/5/2021,4822
12/5/2021,4829
13/5/2021,4842
14/5/2021,4842
15/5/2021,4842
16/5/2021,4842
17/5/2021,4854
18/5/2021,4854
19/5/2021,4825
20/5/2021,4825
21/5/2021,4825
22/5/2021,4796
23/5/2021,4796
24/5/2021,4834
25/5/2021,4834
26/5/2021,4834
27/5/2021,4797
28/5/2021,4834
29/5/2021,4852
30/5/2021,4852
31/5/2021,4852
1/6/2021,4830
2/6/2021,4889
3/6/2021,4918
4/6/2021,4918
5/6/2021,4932
6/6/2021,4930
7/6/2021,4930
8/6/2021,4943
9/6/2021,4951
10/6/2021,4951
11/6/2021,4927
12/6/2021,4927
13/6/2021,4927
14/6/2021,4927
15/6/2021,4927
16/6/2021,4922
17/6/2021,4948
18/6/2021,5006
19/6/2021,5006
20/6/2021,5030
21/6/2021,5030
22/6/2021,5030
23/6/2021,5035
24/6/2021,5041
25/6/2021,5041
26/6/2021,5019
27/6/2021,5030
28/6/2021,4985
29/6/2021,4985
30/6/2021,4947
1/7/2021,4947
2/7/2021,4947
3/7/2021,4947
4/7/2021,4947
5/7/2021,4947
6/7/2021,4947
7/7/2021,4947
8/7/2021,4947
9/7/2021,4970
10/7/2021,4914
11/7/2021,4896
12/7/2021,4896
13/7/2021,4896
14/7/2021,4896
15/7/2021,4902
16/7/2021,4902
17/7/2021,4891
18/7/2021,4891
19/7/2021,4891
20/7/2021,4897
21/7/2021,4897
22/7/2021,4897
23/7/2021,4897
24/7/2021,4897
25/7/2021,4943
26/7/2021,4943
27/7/2021,4909
28/7/2021,4908
29/7/2021,4896
30/7/2021,4896
31/7/2021,4898
1/8/2021,4898
2/8/2021,4898
3/8/2021,4922
4/8/2021,4887
5/8/2021,4847
6/8/2021,4847
7/8/2021,4847
8/8/2021,4847
9/8/2021,4743
10/8/2021,4730
11/8/2021,4745
12/8/2021,4745
13/8/2021,4745
14/8/2021,4748
15/8/2021,4770
16/8/2021,4770
17/8/2021,4731
18/8/2021,4731
19/8/2021,4731
20/8/2021,4723
21/8/2021,4725
22/8/2021,4725
23/8/2021,4725
24/8/2021,4725
25/8/2021,4725
26/8/2021,4727
27/8/2021,4727
28/8/2021,4727
29/8/2021,4727
30/8/2021,4727
31/8/2021,4733
1/9/2021,4733
2/9/2021,4798
3/9/2021,4787
4/9/2021,4787
5/9/2021,4787
6/9/2021,4787
7/9/2021,4808
8/9/2021,4808
9/9/2021,4828
10/9/2021,4828
11/9/2021,4813
12/9/2021,4813
13/9/2021,4783
14/9/2021,4870
15/9/2021,4870
16/9/2021,4862
17/9/2021,4862
18/9/2021,4862
19/9/2021,4846
20/9/2021,4846
21/9/2021,4846
22/9/2021,4846
23/9/2021,4846
24/9/2021,4846
25/9/2021,4846
26/9/2021,4833
27/9/2021,4833
28/9/2021,4835
29/9/2021,4835
30/9/2021,4878
1/10/2021,4878
2/10/2021,4878
3/10/2021,4871
4/10/2021,4871
5/10/2021,4871
6/10/2021,4934
7/10/2021,4934
8/10/2021,4934
9/10/2021,4934
10/10/2021,4948
11/10/2021,4948
12/10/2021,4947
13/10/2021,4925
14/10/2021,4935
15/10/2021,4979
16/10/2021,5028
17/10/2021,5028
18/10/2021,5028
19/10/2021,5028
20/10/2021,4974
21/10/2021,4971
22/10/2021,4974
23/10/2021,4990
24/10/2021,4989
25/10/2021,5002
26/10/2021,5013
27/10/2021,5033
28/10/2021,5059
29/10/2021,5059
30/10/2021,5028
31/10/2021,5028
1/11/2021,4959
2/11/2021,4959
3/11/2021,4959
4/11/2021,4959
5/11/2021,4959
6/11/2021,4987
7/11/2021,4987
8/11/2021,4987
9/11/2021,4991
10/11/2021,4991
11/11/2021,4991
12/11/2021,4969
13/11/2021,4976
14/11/2021,4975
15/11/2021,4975
16/11/2021,4975
17/11/2021,4975
18/11/2021,4975
19/11/2021,4987
20/11/2021,4987
21/11/2021,4983
22/11/2021,4983
23/11/2021,4992
24/11/2021,4995
25/11/2021,4995
26/11/2021,5007
27/11/2021,5007
28/11/2021,5007
29/11/2021,5007
30/11/2021,5007
1/12/2021,5008
2/12/2021,5033
3/12/2021,5036
4/12/2021,5036
5/12/2021,5036
6/12/2021,5031
7/12/2021,5031
8/12/2021,5031
9/12/2021,5031
10/12/2021,5031
11/12/2021,5009
12/12/2021,5009
13/12/2021,4973
14/12/2021,4958
15/12/2021,4958
16/12/2021,4958
17/12/2021,5008
18/12/2021,5002
19/12/2021,5002
20/12/2021,4994
21/12/2021,4994
22/12/2021,4994
23/12/2021,4994
24/12/2021,4994
25/12/2021,4994
26/12/2021,4994
27/12/2021,4994
28/12/2021,5008
29/12/2021,5008
30/12/2021,5008
31/12/2021,5008
1/1/2022,5008
2/1/2022,5008
3/1/2022,4995
4/1/2022,4995
5/1/2022,5001
6/1/2022,4978
7/1/2022,4978
8/1/2022,4969
9/1/2022,4969
10/1/2022,4969
11/1/2022,4969
12/1/2022,4969
13/1/2022,4969
14/1/2022,4969
15/1/2022,4969
16/1/2022,4969
17/1/2022,4969
18/1/2022,5003
19/1/2022,5003
20/1/2022,5038
21/1/2022,5038
22/1/2022,5038
23/1/2022,5027
24/1/2022,5081
25/1/2022,5081
26/1/2022,5081
27/1/2022,5081
28/1/2022,5081
29/1/2022,5086
30/1/2022,5086
31/1/2022,5094
1/2/2022,5101
2/2/2022,5127
3/2/2022,5129
4/2/2022,5129
5/2/2022,5120
6/2/2022,5120
7/2/2022,5120
8/2/2022,5120
9/2/2022,5120
10/2/2022,5108
11/2/2022,5120
12/2/2022,5120
13/2/2022,5120
14/2/2022,5120
15/2/2022,5083
16/2/2022,5083
17/2/2022,5051
18/2/2022,5051
19/2/2022,5051
20/2/2022,5055
21/2/2022,5055
22/2/2022,5055
23/2/2022,5055
