Date,Brand A,Brand B,Brand C,Brand D,Brand E
11-01-20,11111,35987,169241,4925,86403
12-01-20,11307.14,36591.05,167248.79,4843.69,88303.23
13-01-20,11515.12,37667.9,167057.4,4795.15,87567.41
14-01-20,11459.59,38683.16,167761.1,4828.23,87845.61
15-01-20,11376.34,38415.56,167722.41,4884.83,86511.45
16-01-20,11605.3,38712.28,165094.03,4823.06,87569.63
17-01-20,11453.72,39710.63,161859.05,4893.85,88004.8
18-01-20,11750.34,39643.01,162122.95,4889.44,89212.76
19-01-20,12050.78,40772.78,165049.23,4953.08,90003.55
20-01-20,11839.2,41279.05,163167.22,5017.25,88982
21-01-20,11841.02,42069.2,162959.04,4944.67,88997.43
22-01-20,11870.49,42413.21,161090.13,4929.27,88008.37
23-01-20,12136.34,43648.75,163099.02,4930.38,89127.24
24-01-20,12466.7,43354.83,164216.69,4972.07,89051.69
25-01-20,12641.12,43796.71,168780.6,4974.74,90252.94
26-01-20,12462.56,44234.95,165526.46,4938.09,88722.14
27-01-20,12275.84,43592.12,165778.2,5022.81,87819.29
28-01-20,12252.5,43597.79,163227.06,5092.26,88870.78
29-01-20,12136.76,44559.31,165044.52,5182.25,88561.14
30-01-20,11895.31,44022.27,165161.98,5194.45,89708.61
31-01-20,11771.54,43348.79,164267.43,5221.53,90148.63
01-02-20,11854.11,44142.49,168493.05,5302.02,88653.12
02-02-20,11703.66,44495.43,165231.41,5383.08,88978.45
03-02-20,11970.01,45519.77,166944.11,5435.6,87870.77
04-02-20,12114.98,44976.05,164644.8,5436.56,89097.65
05-02-20,11923.87,45378.09,161627.58,5472.53,89769.2
06-02-20,12225.21,45301.39,161520.12,5577.49,89165.79
07-02-20,11987.42,44854.25,162233.81,5477.48,88267.89
08-02-20,11753.32,44166.62,165761.39,5596.69,86953.9
09-02-20,12002.1,44493.78,169657.68,5611.19,87785.25
10-02-20,12146.83,43976.41,174133.26,5697.71,89630.22
11-02-20,12299.33,44111.63,179028.79,5664.34,90419.26
12-02-20,12640.64,44111.26,176416.61,5756.31,89693.4
13-02-20,12825.75,44228.44,176716.7,5770.96,88105.19
14-02-20,12621.95,44648.91,173838.26,5756.83,88440.88
15-02-20,12535.15,44359.5,174733.34,5760.57,87710
16-02-20,12872.49,45198.44,171262.03,5719.61,88472.24
17-02-20,13005.78,45996.91,175885.92,5683.78,88274.04
18-02-20,13269.17,45882.28,174447.88,5650.65,87660.81
19-02-20,13082.1,46953.4,176643.25,5645.58,86418.56
20-02-20,12823.15,47251.42,180328.63,5622.81,87268.7
21-02-20,12993.29,46474.28,176757.54,5692.89,86314
22-02-20,12856.77,45669.25,180854.79,5658.29,87514.63
23-02-20,12617.57,46059.84,180352.84,5682.9,87818.96
24-02-20,12656.26,46492.99,179299.6,5654.07,86102.75
25-02-20,12945.54,45607.26,184436.49,5552.55,84763.51
26-02-20,13040.69,46331.58,182560.85,5441.77,85332.18
27-02-20,13088.55,45580.64,182980.8,5340.11,84391.02
28-02-20,12859.48,45937.89,186478.41,5440.97,86185.32
29-02-20,12748.27,45230.47,188214.87,5470.74,87994.62
01-03-20,12853.08,45434.46,187684.71,5394.03,89362.06
02-03-20,12799.2,44808.75,191366.53,5337.75,90011.41
03-03-20,13002.73,45060.66,193621.46,5430.11,91228.36
04-03-20,13275.56,44275.91,191039.12,5377.36,90720.96
05-03-20,13116.72,45589.03,188192.82,5359.93,92423.19
06-03-20,12967.14,46624.16,188203.34,5451.88,94137.53
07-03-20,12789.52,46366.57,191960.13,5553.11,96086.49
08-03-20,12698.24,45846.4,197247.12,5580.42,96444.51
09-03-20,12809.58,45615.49,195470.45,5641.41,97088.89
10-03-20,12580.78,45104.9,194460.88,5623.02,97966.37
11-03-20,12453.99,44459.12,198727.45,5611.29,96538.66
12-03-20,12338.83,44970.94,196905.18,5571.37,95301.12
