Date,Model,Model A
11-01-20,Model A,11111
12-01-20,Model A,11307.14
13-01-20,Model A,11515.12
14-01-20,Model A,11459.59
15-01-20,Model A,11376.34
16-01-20,Model A,11605.3
17-01-20,Model A,11453.72
18-01-20,Model A,11750.34
19-01-20,Model A,12050.78
20-01-20,Model A,11839.2
21-01-20,Model A,11841.02
22-01-20,Model A,11870.49
23-01-20,Model A,12136.34
24-01-20,Model A,12466.7
25-01-20,Model A,12641.12
26-01-20,Model A,12462.56
27-01-20,Model A,12275.84
28-01-20,Model A,12252.5
29-01-20,Model A,12136.76
30-01-20,Model A,11895.31
31-01-20,Model A,11771.54
01-02-20,Model A,11854.11
02-02-20,Model A,11703.66
03-02-20,Model A,11970.01
04-02-20,Model A,12114.98
05-02-20,Model A,11923.87
06-02-20,Model A,12225.21
07-02-20,Model A,11987.42
08-02-20,Model A,11753.32
09-02-20,Model A,12002.1
10-02-20,Model A,12146.83
11-02-20,Model A,12299.33
12-02-20,Model A,12640.64
13-02-20,Model A,12825.75
14-02-20,Model A,12621.95
15-02-20,Model A,12535.15
16-02-20,Model A,12872.49
17-02-20,Model A,13005.78
18-02-20,Model A,13269.17
19-02-20,Model A,13082.1
20-02-20,Model A,12823.15
21-02-20,Model A,12993.29
22-02-20,Model A,12856.77
23-02-20,Model A,12617.57
24-02-20,Model A,12656.26
25-02-20,Model A,12945.54
26-02-20,Model A,13040.69
27-02-20,Model A,13088.55
28-02-20,Model A,12859.48
29-02-20,Model A,12748.27
01-03-20,Model A,12853.08
02-03-20,Model A,12799.2
03-03-20,Model A,13002.73
04-03-20,Model A,13275.56
05-03-20,Model A,13116.72
06-03-20,Model A,12967.14
07-03-20,Model A,12789.52
08-03-20,Model A,12698.24
09-03-20,Model A,12809.58
10-03-20,Model A,12580.78
11-03-20,Model A,12453.99
12-03-20,Model A,12338.83
13-03-20,Model A,12405.24
14-03-20,Model A,12355.06
15-03-20,Model A,12500.6
16-03-20,Model A,12639.81
17-03-20,Model A,12931.47
18-03-20,Model A,13148.45
19-03-20,Model A,13478.72
20-03-20,Model A,13471.38
21-03-20,Model A,13715.76
22-03-20,Model A,13468.25
23-03-20,Model A,13688.7
24-03-20,Model A,13614.81
25-03-20,Model A,13371.04
26-03-20,Model A,13442.11
27-03-20,Model A,13787.77
28-03-20,Model A,14146.31
29-03-20,Model A,14017.96
30-03-20,Model A,14012.58
31-03-20,Model A,13998.7
01-04-20,Model A,14331.77
02-04-20,Model A,14592.46
03-04-20,Model A,14910.44
04-04-20,Model A,14808.08
05-04-20,Model A,14728.37
06-04-20,Model A,15157.17
07-04-20,Model A,15312.5
08-04-20,Model A,15502.39
09-04-20,Model A,15607.46
10-04-20,Model A,15877.81
11-04-20,Model A,16127.07
12-04-20,Model A,15849.77
13-04-20,Model A,15922.44
14-04-20,Model A,16136.65
15-04-20,Model A,15882.69
16-04-20,Model A,15670.48
17-04-20,Model A,16095.11
18-04-20,Model A,16107.56
19-04-20,Model A,16583.03
20-04-20,Model A,17071.71
21-04-20,Model A,17053.04
22-04-20,Model A,17370.18
23-04-20,Model A,17459.66
24-04-20,Model A,17485.05
25-04-20,Model A,17655.69
26-04-20,Model A,17840.27
27-04-20,Model A,18012.82
28-04-20,Model A,17750.86
29-04-20,Model A,17971.1
30-04-20,Model A,18406.43
01-05-20,Model A,18165.63
02-05-20,Model A,17912.57
03-05-20,Model A,17759.34
04-05-20,Model A,17450.73
05-05-20,Model A,17229.46
06-05-20,Model A,17739.66
07-05-20,Model A,17834.7
08-05-20,Model A,18071.08
09-05-20,Model A,17943.94
10-05-20,Model A,17676.24
11-05-20,Model A,17739.25
12-05-20,Model A,18050.95
13-05-20,Model A,18113.54
14-05-20,Model A,18282.91
15-05-20,Model A,18737.72
16-05-20,Model A,18642.36
17-05-20,Model A,18580.21
18-05-20,Model A,18580.37
19-05-20,Model A,18406.21
20-05-20,Model A,18552.22
21-05-20,Model A,19024.44
22-05-20,Model A,19424.17
23-05-20,Model A,19687.48
24-05-20,Model A,19571.73
25-05-20,Model A,19389.62
26-05-20,Model A,19916.81
27-05-20,Model A,19779.76
28-05-20,Model A,20183.98
29-05-20,Model A,20761.15
30-05-20,Model A,20675.22
31-05-20,Model A,20469.06
01-06-20,Model A,21072.77
02-06-20,Model A,21003.04
03-06-20,Model A,21093.63
04-06-20,Model A,21647.53
05-06-20,Model A,21230.12
06-06-20,Model A,21414.25
07-06-20,Model A,21165.27
08-06-20,Model A,20752.89
09-06-20,Model A,21147.72
10-06-20,Model A,21666.41
11-06-20,Model A,22249.51
12-06-20,Model A,22828.06
13-06-20,Model A,23489.29
14-06-20,Model A,23764.63
15-06-20,Model A,23294.55
16-06-20,Model A,23524.97
17-06-20,Model A,23639
18-06-20,Model A,23195.92
19-06-20,Model A,23151.83
20-06-20,Model A,22748.71
21-06-20,Model A,23259.44
22-06-20,Model A,23843.28
23-06-20,Model A,24043.57
24-06-20,Model A,24381.65
25-06-20,Model A,24635.2
26-06-20,Model A,25051.06
27-06-20,Model A,25284.19
28-06-20,Model A,25668.59
29-06-20,Model A,25375.35
30-06-20,Model A,25279.83
01-07-20,Model A,25548.89
02-07-20,Model A,26165.84
03-07-20,Model A,26276.23
04-07-20,Model A,26301.41
05-07-20,Model A,26978.68
06-07-20,Model A,27570.97
07-07-20,Model A,27263.59
08-07-20,Model A,27673.25
09-07-20,Model A,27702.12
10-07-20,Model A,27332.12
11-07-20,Model A,26912.9
12-07-20,Model A,27534.16
13-07-20,Model A,28296.29
14-07-20,Model A,28535.25
15-07-20,Model A,28290.84
16-07-20,Model A,28332.3
17-07-20,Model A,29082.73
18-07-20,Model A,28783.73
19-07-20,Model A,28396.01
20-07-20,Model A,27987.93
21-07-20,Model A,28200.85
22-07-20,Model A,28975.15
23-07-20,Model A,29025.47
24-07-20,Model A,29710.29
