Date,Rolex 116610LV,Rolex
11-03-21,19839.00,12171.00
12-03-21,19887.00,12167.00
13-03-21,19879.00,12166.00
14-03-21,19875.00,12172.00
15-03-21,19883.00,12155.00
16-03-21,19957.00,12134.00
17-03-21,19973.00,12158.00
18-03-21,19956.00,12169.00
19-03-21,19932.00,12236.00
20-03-21,19927.00,12213.00
21-03-21,19960.00,12216.00
22-03-21,19944.00,12203.00
23-03-21,20032.00,12184.00
24-03-21,20033.00,12215.00
25-03-21,20105.00,12230.00
26-03-21,20080.00,12229.00
27-03-21,20126.00,12235.00
28-03-21,20215.00,12244.00
29-03-21,20206.00,12262.00
30-03-21,20149.00,12231.00
31-03-21,20119.00,12233.00
01-04-21,20124.00,12177.00
02-04-21,20137.00,12173.00
03-04-21,20100.00,12130.00
04-04-21,20072.00,12133.00
05-04-21,20090.00,12109.00
06-04-21,20103.00,12107.00
07-04-21,20099.00,12109.00
08-04-21,20069.00,12071.00
09-04-21,20062.00,12061.00
10-04-21,20076.00,12057.00
11-04-21,20067.00,12051.00
12-04-21,20194.00,12051.00
13-04-21,20181.00,12038.00
14-04-21,20181.00,12059.00
15-04-21,20189.00,12060.00
16-04-21,20160.00,12063.00
17-04-21,20119.00,12064.00
18-04-21,20066.00,12086.00
19-04-21,20101.00,12124.00
20-04-21,20078.00,12091.00
21-04-21,20091.00,12076.00
22-04-21,20096.00,12069.00
23-04-21,20023.00,12065.00
24-04-21,20053.00,12058.00
25-04-21,20081.00,12062.00
26-04-21,20132.00,12042.00
27-04-21,20158.00,12031.00
28-04-21,20085.00,12036.00
29-04-21,20065.00,12046.00
30-04-21,20090.00,12042.00
01-05-21,20123.00,12062.00
02-05-21,20160.00,12107.00
03-05-21,20179.00,12115.00
04-05-21,20216.00,12135.00
05-05-21,20242.00,12162.00
06-05-21,20196.00,12193.00
07-05-21,20203.00,12205.00
08-05-21,20211.00,12254.00
09-05-21,20218.00,12272.00
10-05-21,20241.00,12291.00
11-05-21,20256.00,12284.00
12-05-21,20261.00,12363.00
13-05-21,20202.00,12351.00
14-05-21,20189.00,12359.00
15-05-21,20175.00,12388.00
16-05-21,20184.00,12372.00
17-05-21,20240.00,12380.00
18-05-21,20286.00,12385.00
19-05-21,20264.00,12369.00
20-05-21,20289.00,12370.00
21-05-21,20365.00,12388.00
22-05-21,20381.00,12394.00
23-05-21,20378.00,12384.00
24-05-21,20402.00,12419.00
25-05-21,20416.00,12412.00
26-05-21,20395.00,12448.00
27-05-21,20410.00,12459.00
28-05-21,20404.00,12453.00
29-05-21,20419.00,12435.00
30-05-21,20419.00,12450.00
31-05-21,20430.00,12476.00
01-06-21,20451.00,12471.00
02-06-21,20502.00,12481.00
03-06-21,20482.00,12477.00
04-06-21,20499.00,12474.00
05-06-21,20547.00,12465.00
06-06-21,20587.00,12487.00
07-06-21,20620.00,12486.00
08-06-21,20652.00,12481.00
09-06-21,20660.00,12467.00
10-06-21,20702.00,12471.00
11-06-21,20690.00,12413.00
12-06-21,20853.00,12430.00
13-06-21,20881.00,12430.00
14-06-21,20916.00,12425.00
15-06-21,20916.00,12420.00
16-06-21,20979.00,12417.00
17-06-21,21002.00,12462.00
18-06-21,21017.00,12473.00
19-06-21,21041.00,12467.00
20-06-21,21025.00,12450.00
21-06-21,21053.00,12456.00
22-06-21,21053.00,12460.00
23-06-21,21032.00,12461.00
24-06-21,21008.00,12453.00
25-06-21,21028.00,12457.00
26-06-21,21018.00,12440.00
27-06-21,20999.00,12467.00
28-06-21,21016.00,12486.00
