Date,Price
8/3/2019,5747
11/3/2019,5747
14/3/2019,5764
16/3/2019,5611
19/3/2019,5994
22/3/2019,5913
24/3/2019,5719
29/3/2019,5451
1/4/2019,5551
3/4/2019,5184
5/4/2019,5245
8/4/2019,5182
13/4/2019,5193
16/4/2019,5151
17/4/2019,5024
21/4/2019,5055
24/4/2019,4795
26/4/2019,4622
29/4/2019,4491
4/5/2019,4748
7/5/2019,4694
10/5/2019,4722
13/5/2019,4936
15/5/2019,4904
17/5/2019,4943
22/5/2019,4956
24/5/2019,4908
28/5/2019,4917
29/5/2019,4842
3/6/2019,4762
4/6/2019,4725
8/6/2019,5718
12/6/2019,5293
13/6/2019,5919
18/6/2019,5941
21/6/2019,6090
23/6/2019,6085
27/6/2019,6011
30/6/2019,5364
1/7/2019,5998
6/7/2019,6058
8/7/2019,5866
12/7/2019,5642
15/7/2019,5978
18/7/2019,5978
20/7/2019,5978
22/7/2019,6207
25/7/2019,6187
28/7/2019,6368
2/8/2019,6368
3/8/2019,5646
7/8/2019,5695
10/8/2019,5629
13/8/2019,5109
15/8/2019,5392
20/8/2019,5385
23/8/2019,5343
26/8/2019,5244
29/8/2019,5293
31/8/2019,5261
2/9/2019,4798
6/9/2019,4883
10/9/2019,4770
11/9/2019,4794
15/9/2019,4813
18/9/2019,4587
20/9/2019,4690
24/9/2019,4683
26/9/2019,4503
1/10/2019,4535
2/10/2019,4653
7/10/2019,4571
10/10/2019,4708
13/10/2019,4698
15/10/2019,4655
18/10/2019,4591
22/10/2019,4714
24/10/2019,4926
27/10/2019,4959
30/10/2019,4962
1/11/2019,4824
5/11/2019,4671
9/11/2019,4685
10/11/2019,4657
13/11/2019,4672
16/11/2019,4951
20/11/2019,4928
22/11/2019,5033
25/11/2019,4943
29/11/2019,5357
3/12/2019,5468
5/12/2019,5391
9/12/2019,5404
13/12/2019,5197
14/12/2019,5043
17/12/2019,5672
22/12/2019,5760
25/12/2019,5678
26/12/2019,5770
31/12/2019,5686
3/1/2020,5682
5/1/2020,5513
8/1/2020,5822
12/1/2020,5635
14/1/2020,5635
16/1/2020,4496
19/1/2020,4566
24/1/2020,4891
26/1/2020,4613
29/1/2020,4634
31/1/2020,5178
4/2/2020,4896
8/2/2020,4943
10/2/2020,4758
14/2/2020,4776
17/2/2020,4655
20/2/2020,5005
23/2/2020,4643
25/2/2020,4886
27/2/2020,5032
1/3/2020,4895
6/3/2020,4832
9/3/2020,4957
10/3/2020,4753
13/3/2020,4804
17/3/2020,4474
20/3/2020,4554
24/3/2020,4558
25/3/2020,4517
28/3/2020,4680
1/4/2020,4363
4/4/2020,4566
8/4/2020,4350
11/4/2020,4386
12/4/2020,4337
17/4/2020,4303
20/4/2020,4375
22/4/2020,4226
24/4/2020,4397
27/4/2020,4267
2/5/2020,4446
4/5/2020,4320
7/5/2020,4341
10/5/2020,4480
13/5/2020,4388
16/5/2020,4527
18/5/2020,4343
22/5/2020,4370
26/5/2020,4351
27/5/2020,4229
30/5/2020,4342
2/6/2020,4310
7/6/2020,4301
9/6/2020,4407
12/6/2020,4400
14/6/2020,4536
17/6/2020,4385
20/6/2020,4385
23/6/2020,4301
26/6/2020,4301
29/6/2020,4378
3/7/2020,4359
6/7/2020,4229
8/7/2020,4291
11/7/2020,4259
15/7/2020,4510
19/7/2020,4577
22/7/2020,4304
23/7/2020,4381
26/7/2020,4301
31/7/2020,4307
2/8/2020,4161
4/8/2020,4193
7/8/2020,4193
12/8/2020,4193
14/8/2020,4289
17/8/2020,4246
21/8/2020,4256
23/8/2020,4294
26/8/2020,4598
30/8/2020,4634
2/9/2020,4383
4/9/2020,4470
9/9/2020,4327
12/9/2020,4353
15/9/2020,4656
18/9/2020,4656
21/9/2020,4607
23/9/2020,4701
27/9/2020,4642
28/9/2020,4834
2/10/2020,4745
4/10/2020,4900
8/10/2020,4891
12/10/2020,4776
14/10/2020,4711
16/10/2020,4873
20/10/2020,4966
22/10/2020,4884
25/10/2020,4909
30/10/2020,4909
1/11/2020,4813
5/11/2020,4813
6/11/2020,4660
11/11/2020,4711
12/11/2020,4884
15/11/2020,4702
18/11/2020,4887
21/11/2020,4972
25/11/2020,4933
27/11/2020,5098
30/11/2020,5042
4/12/2020,5057
6/12/2020,4927
11/12/2020,5159
12/12/2020,5268
16/12/2020,5441
18/12/2020,5424
22/12/2020,5458
24/12/2020,5565
29/12/2020,5532
31/12/2020,5387
2/1/2021,5657
5/1/2021,5697
9/1/2021,6037
12/1/2021,5855
15/1/2021,5846
19/1/2021,5661
20/1/2021,5741
25/1/2021,5819
27/1/2021,5774
29/1/2021,5822
2/2/2021,5818
5/2/2021,5603
9/2/2021,5473
11/2/2021,5385
13/2/2021,5774
17/2/2021,6040
20/2/2021,6156
22/2/2021,6055
25/2/2021,6049
1/3/2021,5857
5/3/2021,6000
6/3/2021,5898
7/3/2021,5898
8/3/2021,5898
9/3/2021,5984
10/3/2021,5900
11/3/2021,6055
12/3/2021,5990
13/3/2021,6038
14/3/2021,6124
15/3/2021,6289
16/3/2021,6289
17/3/2021,6342
18/3/2021,6217
19/3/2021,6162
20/3/2021,6064
21/3/2021,6124
22/3/2021,6017
23/3/2021,6017
24/3/2021,6011
25/3/2021,5973
26/3/2021,5966
27/3/2021,5966
28/3/2021,5966
29/3/2021,5966
30/3/2021,5966
31/3/2021,5976
1/4/2021,5916
2/4/2021,5897
3/4/2021,5918
4/4/2021,5932
5/4/2021,5968
6/4/2021,5969
7/4/2021,6021
8/4/2021,6113
9/4/2021,6089
10/4/2021,6089
11/4/2021,6182
12/4/2021,6225
13/4/2021,6187
14/4/2021,6271
15/4/2021,6255
16/4/2021,6255
17/4/2021,6231
18/4/2021,6200
19/4/2021,6163
20/4/2021,6132
21/4/2021,6154
22/4/2021,6095
23/4/2021,6024
24/4/2021,6067
25/4/2021,6097
26/4/2021,6110
27/4/2021,6062
28/4/2021,6105
29/4/2021,6157
30/4/2021,6128
1/5/2021,6127
2/5/2021,6105
3/5/2021,6128
4/5/2021,6201
5/5/2021,6235
6/5/2021,6160
7/5/2021,6135
8/5/2021,6132
9/5/2021,6109
10/5/2021,6109
11/5/2021,6109
12/5/2021,6144
13/5/2021,6184
14/5/2021,6147
15/5/2021,6068
16/5/2021,6068
17/5/2021,6088
18/5/2021,6066
19/5/2021,6017
20/5/2021,6110
21/5/2021,6164
22/5/2021,6194
23/5/2021,6194
24/5/2021,6194
25/5/2021,6212
26/5/2021,6159
27/5/2021,6082
28/5/2021,6116
29/5/2021,6106
30/5/2021,6212
31/5/2021,6275
1/6/2021,6144
2/6/2021,6150
3/6/2021,6073
4/6/2021,6137
5/6/2021,6132
6/6/2021,6149
7/6/2021,6111
8/6/2021,6083
9/6/2021,6070
10/6/2021,6162
11/6/2021,6301
12/6/2021,6312
13/6/2021,6312
14/6/2021,6271
15/6/2021,6205
16/6/2021,6187
17/6/2021,6187
18/6/2021,6185
19/6/2021,6246
20/6/2021,6249
21/6/2021,6293
22/6/2021,6394
23/6/2021,6480
24/6/2021,6469
25/6/2021,6469
26/6/2021,6469
27/6/2021,6442
28/6/2021,6452
29/6/2021,6454
30/6/2021,6448
1/7/2021,6407
2/7/2021,6368
3/7/2021,6368
4/7/2021,6173
5/7/2021,6117
6/7/2021,6132
7/7/2021,6074
8/7/2021,6074
9/7/2021,6143
10/7/2021,6122
11/7/2021,6223
12/7/2021,6374
13/7/2021,6464
14/7/2021,6396
15/7/2021,6378
16/7/2021,6297
17/7/2021,6297
18/7/2021,6297
19/7/2021,6297
20/7/2021,6150
21/7/2021,6226
22/7/2021,6210
23/7/2021,6355
24/7/2021,6355
25/7/2021,6355
26/7/2021,6358
27/7/2021,6347
28/7/2021,6347
29/7/2021,6279
30/7/2021,7358
31/7/2021,7327
1/8/2021,7314
2/8/2021,7101
3/8/2021,7162
4/8/2021,7162
5/8/2021,7110
6/8/2021,7149
7/8/2021,7076
8/8/2021,7111
9/8/2021,7111
10/8/2021,7067
11/8/2021,7067
12/8/2021,7119
13/8/2021,7119
14/8/2021,7138
15/8/2021,7053
16/8/2021,7167
17/8/2021,7013
18/8/2021,7013
19/8/2021,7041
20/8/2021,7031
21/8/2021,6176
22/8/2021,6177
23/8/2021,6097
24/8/2021,6088
25/8/2021,6036
26/8/2021,6074
27/8/2021,5958
28/8/2021,5948
29/8/2021,5948
30/8/2021,5907
31/8/2021,5907
1/9/2021,5863
2/9/2021,5882
3/9/2021,5873
4/9/2021,5873
5/9/2021,5873
6/9/2021,5873
7/9/2021,5970
8/9/2021,6031
9/9/2021,6056
10/9/2021,6058
11/9/2021,5965
12/9/2021,5965
13/9/2021,5965
14/9/2021,5962
15/9/2021,5967
16/9/2021,5926
17/9/2021,5942
18/9/2021,5899
19/9/2021,5870
20/9/2021,5932
21/9/2021,5885
22/9/2021,5885
23/9/2021,5885
24/9/2021,5978
25/9/2021,5865
26/9/2021,5995
27/9/2021,5995
28/9/2021,5937
29/9/2021,5906
30/9/2021,6010
1/10/2021,6007
2/10/2021,6100
3/10/2021,6179
4/10/2021,6216
5/10/2021,6204
6/10/2021,6239
7/10/2021,6302
8/10/2021,6306
9/10/2021,6383
10/10/2021,6429
11/10/2021,6512
12/10/2021,6412
13/10/2021,6412
14/10/2021,6407
15/10/2021,6557
16/10/2021,6534
17/10/2021,6685
18/10/2021,6625
19/10/2021,6542
20/10/2021,6669
21/10/2021,6705
22/10/2021,6748
23/10/2021,6699
24/10/2021,6629
25/10/2021,6678
26/10/2021,6715
27/10/2021,6595
28/10/2021,6517
29/10/2021,6668
30/10/2021,6668
31/10/2021,6625
1/11/2021,6594
2/11/2021,6557
3/11/2021,6564
4/11/2021,6501
5/11/2021,6510
6/11/2021,6510
7/11/2021,6481
8/11/2021,6607
9/11/2021,6726
10/11/2021,6726
11/11/2021,6726
12/11/2021,6559
13/11/2021,6645
14/11/2021,6637
15/11/2021,6637
16/11/2021,6565
17/11/2021,6612
18/11/2021,6576
19/11/2021,6541
20/11/2021,6592
21/11/2021,6567
22/11/2021,6484
23/11/2021,6610
24/11/2021,6610
25/11/2021,6523
26/11/2021,6535
27/11/2021,6546
28/11/2021,6608
29/11/2021,6608
30/11/2021,6648
1/12/2021,6653
2/12/2021,6602
3/12/2021,6579
4/12/2021,6649
5/12/2021,6742
6/12/2021,6829
7/12/2021,6805
8/12/2021,6778
9/12/2021,6797
10/12/2021,6825
11/12/2021,6825
12/12/2021,6801
13/12/2021,6792
14/12/2021,6764
15/12/2021,6764
16/12/2021,6786
17/12/2021,6809
18/12/2021,6726
19/12/2021,6669
20/12/2021,6699
21/12/2021,6685
22/12/2021,6673
23/12/2021,6611
24/12/2021,6571
25/12/2021,6578
26/12/2021,6646
27/12/2021,6646
28/12/2021,6582
29/12/2021,6582
