Date,Price
8/3/2019,3158
11/3/2019,3158
12/3/2019,3177
15/3/2019,3186
20/3/2019,3188
22/3/2019,3209
26/3/2019,3209
29/3/2019,3268
30/3/2019,3278
4/4/2019,3278
5/4/2019,3288
8/4/2019,3312
11/4/2019,3298
16/4/2019,3293
18/4/2019,3266
20/4/2019,3266
23/4/2019,3291
27/4/2019,3291
29/4/2019,3345
2/5/2019,3345
7/5/2019,3375
8/5/2019,3400
11/5/2019,3400
16/5/2019,3400
18/5/2019,3422
22/5/2019,3422
24/5/2019,3440
27/5/2019,3440
29/5/2019,3438
1/6/2019,3453
5/6/2019,3453
7/6/2019,3447
12/6/2019,3446
13/6/2019,3464
18/6/2019,3458
19/6/2019,3466
23/6/2019,3466
26/6/2019,3451
28/6/2019,3479
3/7/2019,3480
6/7/2019,3492
9/7/2019,3476
12/7/2019,3523
13/7/2019,3523
16/7/2019,3507
21/7/2019,3513
23/7/2019,3507
27/7/2019,3511
30/7/2019,3565
1/8/2019,3542
4/8/2019,3549
8/8/2019,3535
9/8/2019,3564
13/8/2019,3587
17/8/2019,3544
20/8/2019,3557
23/8/2019,3475
24/8/2019,3481
28/8/2019,3477
1/9/2019,3477
3/9/2019,3477
5/9/2019,3459
9/9/2019,3451
12/9/2019,3451
15/9/2019,3461
19/9/2019,3461
20/9/2019,3463
25/9/2019,3463
28/9/2019,3463
1/10/2019,3493
2/10/2019,3482
5/10/2019,3477
10/10/2019,3477
12/10/2019,3478
15/10/2019,3463
17/10/2019,3463
22/10/2019,3463
24/10/2019,3463
26/10/2019,3434
31/10/2019,3434
3/11/2019,3486
4/11/2019,3471
9/11/2019,3471
10/11/2019,3529
15/11/2019,3565
18/11/2019,3547
20/11/2019,3573
23/11/2019,3570
25/11/2019,3578
30/11/2019,3575
3/12/2019,3582
5/12/2019,3601
10/12/2019,3602
13/12/2019,3569
14/12/2019,3593
18/12/2019,3599
21/12/2019,3599
25/12/2019,3594
27/12/2019,3608
29/12/2019,3568
2/1/2020,3547
4/1/2020,3562
7/1/2020,3562
11/1/2020,3578
13/1/2020,3636
18/1/2020,3635
21/1/2020,3617
24/1/2020,3698
27/1/2020,3698
29/1/2020,3685
1/2/2020,3684
5/2/2020,3699
7/2/2020,3733
11/2/2020,3711
14/2/2020,3760
15/2/2020,3716
18/2/2020,3702
23/2/2020,3727
25/2/2020,3811
27/2/2020,3793
3/3/2020,3799
4/3/2020,3778
7/3/2020,3756
10/3/2020,3769
13/3/2020,3725
17/3/2020,3723
20/3/2020,3702
22/3/2020,3690
27/3/2020,3675
30/3/2020,3696
31/3/2020,3750
3/4/2020,3728
8/4/2020,3723
10/4/2020,3683
12/4/2020,3683
17/4/2020,3683
19/4/2020,3683
21/4/2020,3643
26/4/2020,3643
27/4/2020,3599
30/4/2020,3629
4/5/2020,3628
7/5/2020,3632
9/5/2020,3678
13/5/2020,3693
16/5/2020,3693
20/5/2020,3663
21/5/2020,3609
26/5/2020,3609
27/5/2020,3599
30/5/2020,3605
2/6/2020,3623
6/6/2020,3659
10/6/2020,3732
13/6/2020,3724
16/6/2020,3806
19/6/2020,3848
20/6/2020,3768
24/6/2020,3848
27/6/2020,3858
1/7/2020,3915
3/7/2020,3894
6/7/2020,3894
10/7/2020,3884
11/7/2020,3834
14/7/2020,3852
19/7/2020,3840
22/7/2020,3823
24/7/2020,3898
28/7/2020,3898
30/7/2020,3898
1/8/2020,3921
6/8/2020,3923
7/8/2020,3916
12/8/2020,3916
14/8/2020,3916
17/8/2020,3843
20/8/2020,3865
23/8/2020,3846
27/8/2020,3846
30/8/2020,3852
31/8/2020,3954
3/9/2020,3982
8/9/2020,3972
11/9/2020,3932
13/9/2020,3947
18/9/2020,3947
21/9/2020,3938
22/9/2020,3970
27/9/2020,3983
29/9/2020,3964
1/10/2020,3985
6/10/2020,3985
9/10/2020,4010
12/10/2020,4010
14/10/2020,3992
18/10/2020,3984
20/10/2020,3992
23/10/2020,4055
25/10/2020,4070
28/10/2020,4019
2/11/2020,4029
3/11/2020,4008
7/11/2020,4016
9/11/2020,3983
14/11/2020,3995
16/11/2020,4207
19/11/2020,4207
22/11/2020,4181
26/11/2020,4248
29/11/2020,4255
1/12/2020,4244
4/12/2020,4293
6/12/2020,4285
10/12/2020,4298
12/12/2020,4334
17/12/2020,4402
19/12/2020,4398
22/12/2020,4447
26/12/2020,4454
28/12/2020,4465
1/1/2021,4434
2/1/2021,4432
7/1/2021,4465
9/1/2021,4414
12/1/2021,4438
16/1/2021,4439
19/1/2021,4414
21/1/2021,4473
24/1/2021,4462
28/1/2021,4494
30/1/2021,4542
3/2/2021,4590
5/2/2021,4620
9/2/2021,4735
11/2/2021,4748
14/2/2021,4757
18/2/2021,4751
20/2/2021,4774
22/2/2021,4755
26/2/2021,4770
2/3/2021,4904
5/3/2021,4912
7/3/2021,4955
8/3/2021,4949
9/3/2021,4904
10/3/2021,4896
11/3/2021,4894
12/3/2021,4893
13/3/2021,4909
14/3/2021,4899
15/3/2021,4949
16/3/2021,4942
17/3/2021,4963
18/3/2021,4976
19/3/2021,5003
20/3/2021,4981
21/3/2021,4979
22/3/2021,4993
23/3/2021,4994
24/3/2021,4983
25/3/2021,4983
26/3/2021,4971
27/3/2021,4991
28/3/2021,4991
29/3/2021,5005
30/3/2021,4999
31/3/2021,4965
1/4/2021,4919
2/4/2021,4925
3/4/2021,4919
4/4/2021,4937
5/4/2021,4916
6/4/2021,4912
7/4/2021,4893
8/4/2021,4862
9/4/2021,4841
10/4/2021,4875
11/4/2021,4886
12/4/2021,4921
13/4/2021,4932
14/4/2021,4930
15/4/2021,4893
16/4/2021,4910
17/4/2021,4943
18/4/2021,4945
19/4/2021,4975
20/4/2021,4966
21/4/2021,4993
22/4/2021,5005
23/4/2021,5003
24/4/2021,5010
25/4/2021,5029
26/4/2021,5028
27/4/2021,4993
28/4/2021,4982
29/4/2021,4989
30/4/2021,4991
1/5/2021,4993
2/5/2021,5018
3/5/2021,5018
4/5/2021,5009
5/5/2021,4983
6/5/2021,5002
7/5/2021,5029
8/5/2021,5069
9/5/2021,5086
10/5/2021,5099
11/5/2021,5058
12/5/2021,5072
13/5/2021,5078
14/5/2021,5079
15/5/2021,5079
16/5/2021,5060
17/5/2021,5064
18/5/2021,5042
19/5/2021,5021
20/5/2021,5001
21/5/2021,5031
22/5/2021,5061
23/5/2021,5072
24/5/2021,5079
25/5/2021,5102
26/5/2021,5106
27/5/2021,5119
28/5/2021,5111
29/5/2021,5108
30/5/2021,5119
31/5/2021,5117
1/6/2021,5111
2/6/2021,5129
3/6/2021,5143
4/6/2021,5156
5/6/2021,5154
6/6/2021,5163
7/6/2021,5135
8/6/2021,5115
9/6/2021,5131
10/6/2021,5171
11/6/2021,5130
12/6/2021,5104
13/6/2021,5101
14/6/2021,5098
15/6/2021,5137
16/6/2021,5142
17/6/2021,5145
18/6/2021,5155
19/6/2021,5167
20/6/2021,5157
21/6/2021,5124
22/6/2021,5128
23/6/2021,5137
24/6/2021,5115
25/6/2021,5116
26/6/2021,5106
27/6/2021,5120
28/6/2021,5128
29/6/2021,5116
30/6/2021,5101
1/7/2021,5124
2/7/2021,5080
3/7/2021,5082
4/7/2021,5094
5/7/2021,5094
6/7/2021,5096
7/7/2021,5069
8/7/2021,5061
9/7/2021,5069
10/7/2021,5069
11/7/2021,5060
12/7/2021,5036
13/7/2021,5061
14/7/2021,5066
15/7/2021,5080
16/7/2021,5081
17/7/2021,5090
18/7/2021,5059
19/7/2021,5068
20/7/2021,5092
21/7/2021,5066
22/7/2021,5057
23/7/2021,5067
24/7/2021,5042
25/7/2021,5011
26/7/2021,5017
27/7/2021,5030
28/7/2021,5042
29/7/2021,5043
30/7/2021,5020
31/7/2021,5033
1/8/2021,5054
2/8/2021,5054
3/8/2021,5067
4/8/2021,5092
5/8/2021,5094
6/8/2021,5089
7/8/2021,5107
8/8/2021,5139
9/8/2021,5139
10/8/2021,5154
11/8/2021,5166
12/8/2021,5170
13/8/2021,5186
14/8/2021,5177
15/8/2021,5202
16/8/2021,5201
17/8/2021,5196
18/8/2021,5161
19/8/2021,5178
20/8/2021,5156
21/8/2021,5158
22/8/2021,5154
23/8/2021,5153
24/8/2021,5147
25/8/2021,5161
26/8/2021,5161
27/8/2021,5143
28/8/2021,5143
29/8/2021,5133
30/8/2021,5125
31/8/2021,5125
1/9/2021,5126
2/9/2021,5159
3/9/2021,5146
4/9/2021,5148
5/9/2021,5148
6/9/2021,5153
7/9/2021,5134
8/9/2021,5114
9/9/2021,5103
10/9/2021,5081
11/9/2021,5047
12/9/2021,5034
13/9/2021,5036
14/9/2021,5035
15/9/2021,5010
16/9/2021,5017
17/9/2021,4986
18/9/2021,4987
19/9/2021,4987
20/9/2021,4994
21/9/2021,5013
22/9/2021,5019
23/9/2021,5024
24/9/2021,5038
25/9/2021,5035
26/9/2021,5011
27/9/2021,5031
28/9/2021,5038
29/9/2021,5042
30/9/2021,5035
