Date,Price
8/3/2019,30803
9/3/2019,30803
14/3/2019,30803
16/3/2019,31549
18/3/2019,31549
21/3/2019,31549
24/3/2019,31549
27/3/2019,31549
30/3/2019,31549
2/4/2019,31549
5/4/2019,31549
8/4/2019,31549
11/4/2019,31549
14/4/2019,31549
19/4/2019,31549
21/4/2019,32239
23/4/2019,32239
26/4/2019,32239
29/4/2019,32239
2/5/2019,32239
5/5/2019,32239
8/5/2019,32239
11/5/2019,32239
14/5/2019,32239
17/5/2019,32239
20/5/2019,32239
23/5/2019,32239
26/5/2019,32239
29/5/2019,32239
1/6/2019,32239
4/6/2019,32239
7/6/2019,32239
10/6/2019,32239
13/6/2019,32239
16/6/2019,32239
19/6/2019,32239
22/6/2019,32239
25/6/2019,32239
28/6/2019,32239
1/7/2019,32239
4/7/2019,32239
7/7/2019,32239
10/7/2019,32239
13/7/2019,32239
16/7/2019,32239
19/7/2019,32239
24/7/2019,32239
26/7/2019,32239
28/7/2019,34032
2/8/2019,34032
3/8/2019,35413
6/8/2019,35413
9/8/2019,35413
12/8/2019,35413
15/8/2019,35413
18/8/2019,35413
21/8/2019,35413
26/8/2019,35413
28/8/2019,35897
30/8/2019,35897
2/9/2019,35897
5/9/2019,35897
8/9/2019,35897
11/9/2019,35897
16/9/2019,35897
17/9/2019,36902
20/9/2019,36902
23/9/2019,36902
26/9/2019,36902
29/9/2019,36902
2/10/2019,36902
5/10/2019,36902
8/10/2019,36902
11/10/2019,36902
14/10/2019,36902
17/10/2019,36902
20/10/2019,36902
23/10/2019,36902
26/10/2019,36902
31/10/2019,36902
1/11/2019,37957
4/11/2019,37957
7/11/2019,37957
10/11/2019,37957
13/11/2019,37957
16/11/2019,37957
19/11/2019,37957
22/11/2019,37957
25/11/2019,37957
28/11/2019,37957
1/12/2019,37957
7/12/2019,37957
8/12/2019,38774
11/12/2019,38774
14/12/2019,38774
17/12/2019,38774
20/12/2019,38774
23/12/2019,38774
26/12/2019,38774
29/12/2019,38774
1/1/2020,38774
4/1/2020,38774
7/1/2020,38774
10/1/2020,38774
13/1/2020,38774
18/1/2020,38774
19/1/2020,39882
22/1/2020,39882
25/1/2020,39882
28/1/2020,39882
31/1/2020,39882
3/2/2020,39882
6/2/2020,39882
9/2/2020,39882
12/2/2020,39882
15/2/2020,39882
18/2/2020,39882
21/2/2020,39882
24/2/2020,39882
27/2/2020,39882
1/3/2020,39882
4/3/2020,39882
7/3/2020,39882
10/3/2020,39882
13/3/2020,39882
