Date,Price
8/3/2019,38149
9/3/2019,38149
12/3/2019,38149
15/3/2019,38149
18/3/2019,38149
21/3/2019,38149
24/3/2019,38149
27/3/2019,38149
30/3/2019,38149
2/4/2019,38149
5/4/2019,38149
8/4/2019,38149
11/4/2019,38149
14/4/2019,38149
17/4/2019,38149
20/4/2019,38149
23/4/2019,38149
26/4/2019,38149
1/5/2019,38149
3/5/2019,37869
5/5/2019,37869
8/5/2019,37869
13/5/2019,37869
15/5/2019,38353
17/5/2019,38353
20/5/2019,38353
23/5/2019,38353
26/5/2019,38353
29/5/2019,38353
1/6/2019,38353
4/6/2019,38353
7/6/2019,38353
10/6/2019,38353
13/6/2019,38353
16/6/2019,38353
19/6/2019,38353
22/6/2019,38353
25/6/2019,38353
28/6/2019,38353
1/7/2019,38353
4/7/2019,38353
7/7/2019,38353
10/7/2019,38353
13/7/2019,38353
16/7/2019,38353
19/7/2019,38353
22/7/2019,38353
25/7/2019,38353
28/7/2019,38353
31/7/2019,38353
3/8/2019,38353
6/8/2019,38353
9/8/2019,38353
12/8/2019,38353
15/8/2019,38353
18/8/2019,38353
21/8/2019,38353
24/8/2019,38353
27/8/2019,38353
30/8/2019,38353
2/9/2019,38353
5/9/2019,38353
8/9/2019,38353
11/9/2019,38353
14/9/2019,38353
17/9/2019,38353
20/9/2019,38353
23/9/2019,38353
26/9/2019,38353
29/9/2019,38353
2/10/2019,38353
5/10/2019,38353
8/10/2019,38353
11/10/2019,38353
14/10/2019,38353
17/10/2019,38353
20/10/2019,38353
23/10/2019,38353
26/10/2019,38353
29/10/2019,38353
1/11/2019,38353
4/11/2019,38353
7/11/2019,38353
10/11/2019,38353
13/11/2019,38353
16/11/2019,38353
19/11/2019,38353
22/11/2019,38353
25/11/2019,38353
28/11/2019,38353
1/12/2019,38353
4/12/2019,38353
8/12/2019,38353
11/12/2019,38353
14/12/2019,38353
17/12/2019,38353
20/12/2019,38353
23/12/2019,38353
26/12/2019,38353
29/12/2019,38353
1/1/2020,38353
4/1/2020,38353
7/1/2020,38353
10/1/2020,38353
13/1/2020,38353
16/1/2020,38353
19/1/2020,38353
22/1/2020,38353
25/1/2020,38353
28/1/2020,38353
31/1/2020,38353
5/2/2020,38353
6/2/2020,38731
9/2/2020,38731
12/2/2020,38731
15/2/2020,38731
18/2/2020,38731
21/2/2020,38731
24/2/2020,38731
27/2/2020,38731
1/3/2020,38731
4/3/2020,38731
7/3/2020,38731
10/3/2020,38731
13/3/2020,38731
16/3/2020,38731
19/3/2020,38731
22/3/2020,38731
25/3/2020,38731
28/3/2020,38731
31/3/2020,38731
3/4/2020,38731
6/4/2020,38731
9/4/2020,38731
12/4/2020,38731
15/4/2020,38731
18/4/2020,38731
21/4/2020,38731
24/4/2020,38731
27/4/2020,38731
30/4/2020,38731
5/5/2020,38731
6/5/2020,38888
9/5/2020,38888
12/5/2020,38888
15/5/2020,38888
18/5/2020,38888
21/5/2020,38888
24/5/2020,38888
27/5/2020,38888
30/5/2020,38888
2/6/2020,38888
5/6/2020,38888
8/6/2020,38888
11/6/2020,38888
14/6/2020,38888
17/6/2020,38888
20/6/2020,38888
23/6/2020,38888
26/6/2020,38888
29/6/2020,38888
2/7/2020,38888
5/7/2020,38888
8/7/2020,38888
11/7/2020,38888
14/7/2020,38888
17/7/2020,38888
20/7/2020,38888
23/7/2020,38888
26/7/2020,38888
29/7/2020,38888
1/8/2020,38888
4/8/2020,38888
7/8/2020,38888
10/8/2020,38888
13/8/2020,38888
16/8/2020,38888
19/8/2020,38888
22/8/2020,38888
25/8/2020,38888
28/8/2020,38888
31/8/2020,38888
3/9/2020,38888
7/9/2020,38888
10/9/2020,38888
13/9/2020,38888
16/9/2020,38888
19/9/2020,38888
22/9/2020,38888
25/9/2020,38888
28/9/2020,38888
1/10/2020,38888
4/10/2020,38888
7/10/2020,38888
10/10/2020,38888
13/10/2020,38888
16/10/2020,38888
19/10/2020,38888
22/10/2020,38888
25/10/2020,38888
28/10/2020,38888
31/10/2020,38888
3/11/2020,38888
6/11/2020,38888
9/11/2020,38888
14/11/2020,38888
15/11/2020,39112
18/11/2020,39112
23/11/2020,39112
25/11/2020,39112
28/11/2020,39545
1/12/2020,38916
5/12/2020,38916
6/12/2020,38691
11/12/2020,38648
14/12/2020,38756
17/12/2020,38516
18/12/2020,38639
22/12/2020,38773
24/12/2020,38487
27/12/2020,38487
30/12/2020,38487
2/1/2021,38487
7/1/2021,38487
9/1/2021,38493
13/1/2021,38493
16/1/2021,38348
18/1/2021,38244
20/1/2021,38551
23/1/2021,38356
26/1/2021,38356
29/1/2021,38326
3/2/2021,38326
6/2/2021,38349
9/2/2021,38185
10/2/2021,38123
13/2/2021,38765
16/2/2021,38765
21/2/2021,38765
22/2/2021,38702
25/2/2021,38639
28/2/2021,38639
5/3/2021,38639
6/3/2021,38522
7/3/2021,38522
8/3/2021,38522
9/3/2021,38524
10/3/2021,38524
11/3/2021,38524
12/3/2021,38524
13/3/2021,38524
14/3/2021,38524
15/3/2021,38524
16/3/2021,38524
17/3/2021,38524
18/3/2021,38401
19/3/2021,38401
20/3/2021,38401
21/3/2021,38401
22/3/2021,38401
23/3/2021,38401
24/3/2021,38401
25/3/2021,38401
26/3/2021,38401
27/3/2021,38401
28/3/2021,38401
29/3/2021,38401
30/3/2021,38401
31/3/2021,38213
1/4/2021,38213
2/4/2021,38213
3/4/2021,38213
4/4/2021,38615
5/4/2021,38615
6/4/2021,38615
7/4/2021,38758
8/4/2021,38758
9/4/2021,38844
10/4/2021,39056
11/4/2021,39056
12/4/2021,39056
13/4/2021,39056
14/4/2021,39056
15/4/2021,39056
16/4/2021,39056
17/4/2021,39056
18/4/2021,39392
19/4/2021,39392
20/4/2021,39464
21/4/2021,39722
22/4/2021,39722
23/4/2021,39722
24/4/2021,39722
25/4/2021,39722
26/4/2021,39722
27/4/2021,39722
28/4/2021,39722
29/4/2021,39722
30/4/2021,39722
1/5/2021,39722
2/5/2021,39722
3/5/2021,39722
4/5/2021,39722
5/5/2021,39722
6/5/2021,39653
7/5/2021,39653
8/5/2021,39653
9/5/2021,39653
10/5/2021,39653
11/5/2021,39865
12/5/2021,39890
13/5/2021,40072
14/5/2021,40072
15/5/2021,40362
16/5/2021,40362
17/5/2021,40362
18/5/2021,40362
19/5/2021,40362
20/5/2021,40520
21/5/2021,40735
22/5/2021,40735
23/5/2021,40735
24/5/2021,40735
25/5/2021,40735
26/5/2021,40735
27/5/2021,40872
28/5/2021,40872
29/5/2021,40872
30/5/2021,40872
31/5/2021,40872
1/6/2021,41142
2/6/2021,41142
3/6/2021,41459
4/6/2021,41459
5/6/2021,41459
6/6/2021,41459
7/6/2021,41459
8/6/2021,41505
9/6/2021,41505
10/6/2021,41505
11/6/2021,41505
12/6/2021,41505
13/6/2021,41505
14/6/2021,41505
15/6/2021,41505
16/6/2021,41395
17/6/2021,41395
18/6/2021,41746
19/6/2021,41878
20/6/2021,41878
21/6/2021,41878
22/6/2021,41818
23/6/2021,41818
24/6/2021,41818
25/6/2021,41818
26/6/2021,41818
27/6/2021,41923
28/6/2021,41923
29/6/2021,41923
30/6/2021,41923
1/7/2021,41923
2/7/2021,41711
3/7/2021,41834
4/7/2021,41834
5/7/2021,41834
6/7/2021,41834
7/7/2021,41834
8/7/2021,41834
9/7/2021,41834
10/7/2021,41834
11/7/2021,41834
12/7/2021,41834
13/7/2021,41834
14/7/2021,41834
15/7/2021,41834
16/7/2021,42327
17/7/2021,42327
18/7/2021,42327
19/7/2021,42327
20/7/2021,42327
21/7/2021,42327
22/7/2021,42327
23/7/2021,42709
24/7/2021,42709
25/7/2021,42709
26/7/2021,42701
27/7/2021,42701
28/7/2021,42924
29/7/2021,42924
30/7/2021,42924
31/7/2021,43009
1/8/2021,43009
2/8/2021,43009
3/8/2021,43009
4/8/2021,43158
5/8/2021,43158
6/8/2021,43191
7/8/2021,43191
8/8/2021,43191
9/8/2021,43191
10/8/2021,43191
11/8/2021,43191
12/8/2021,43191
13/8/2021,43515
14/8/2021,43515
15/8/2021,43515
16/8/2021,43515
17/8/2021,43402
18/8/2021,43402
19/8/2021,43402
20/8/2021,43402
21/8/2021,43402
22/8/2021,43402
23/8/2021,43402
24/8/2021,43402
25/8/2021,43402
26/8/2021,43402
27/8/2021,43402
28/8/2021,43402
29/8/2021,43276
30/8/2021,43276
31/8/2021,43276
1/9/2021,43276
2/9/2021,43287
3/9/2021,43287
4/9/2021,43056
5/9/2021,43056
6/9/2021,43056
7/9/2021,43056
8/9/2021,43056
9/9/2021,43056
10/9/2021,43156
11/9/2021,43281
12/9/2021,43281
13/9/2021,43281
14/9/2021,43281
15/9/2021,43281
16/9/2021,43410
17/9/2021,43322
18/9/2021,43322
19/9/2021,43322
20/9/2021,43322
21/9/2021,43322
22/9/2021,43322
23/9/2021,43337
24/9/2021,43664
25/9/2021,43664
26/9/2021,43664
27/9/2021,43664
28/9/2021,43664
29/9/2021,43664
30/9/2021,43784
1/10/2021,43651
2/10/2021,43651
3/10/2021,43651
4/10/2021,43651
5/10/2021,43717
6/10/2021,43717
7/10/2021,43717
8/10/2021,43717
9/10/2021,43540
10/10/2021,43634
11/10/2021,43634
12/10/2021,43634
13/10/2021,43948
14/10/2021,43651
15/10/2021,43651
16/10/2021,43884
17/10/2021,43884
18/10/2021,43900
19/10/2021,43832
20/10/2021,44079
21/10/2021,44079
22/10/2021,44085
23/10/2021,44085
24/10/2021,44085
25/10/2021,44085
26/10/2021,44085
27/10/2021,43838
28/10/2021,43838
29/10/2021,43610
30/10/2021,43726
31/10/2021,43726
1/11/2021,43726
2/11/2021,43726
3/11/2021,43726
4/11/2021,43726
5/11/2021,43726
6/11/2021,43726
7/11/2021,43726
8/11/2021,43726
9/11/2021,43726
10/11/2021,43726
11/11/2021,43726
12/11/2021,43675
13/11/2021,43691
14/11/2021,43691
15/11/2021,43691
16/11/2021,43691
17/11/2021,43453
18/11/2021,43453
19/11/2021,43453
20/11/2021,43567
21/11/2021,43567
22/11/2021,43567
23/11/2021,43425
24/11/2021,43342
25/11/2021,43389
26/11/2021,43546
27/11/2021,43546
28/11/2021,43546
29/11/2021,43546
30/11/2021,43546
1/12/2021,43531
2/12/2021,43531
3/12/2021,43531
4/12/2021,43531
5/12/2021,43531
6/12/2021,43531
7/12/2021,43531
8/12/2021,43570
9/12/2021,43570
10/12/2021,43570
11/12/2021,43579
12/12/2021,43579
13/12/2021,43579
14/12/2021,43645
15/12/2021,43645
16/12/2021,43645
17/12/2021,43802
18/12/2021,43802
19/12/2021,43802
20/12/2021,43802
21/12/2021,43802
22/12/2021,43802
23/12/2021,43802
24/12/2021,43802
25/12/2021,43802
26/12/2021,43802
27/12/2021,43802
28/12/2021,43926
29/12/2021,43762
30/12/2021,43762
31/12/2021,43762
1/1/2022,43762
2/1/2022,43762
3/1/2022,43762
4/1/2022,43762
5/1/2022,43762
6/1/2022,43771
7/1/2022,43780
8/1/2022,43780
9/1/2022,43831
10/1/2022,43831
11/1/2022,43831
12/1/2022,43831
13/1/2022,43831
14/1/2022,43831
15/1/2022,43831
16/1/2022,43831
17/1/2022,43831
18/1/2022,43831
19/1/2022,43831
20/1/2022,43831
21/1/2022,43991
22/1/2022,43991
23/1/2022,43913
24/1/2022,43913
25/1/2022,43913
26/1/2022,43913
27/1/2022,43913
28/1/2022,43913
29/1/2022,44578
30/1/2022,45251
31/1/2022,45251
1/2/2022,45251
2/2/2022,45634
3/2/2022,45634
4/2/2022,45634
5/2/2022,45634
6/2/2022,45634
7/2/2022,45634
8/2/2022,45634
9/2/2022,45634
10/2/2022,45634
11/2/2022,45663
12/2/2022,45663
13/2/2022,45663
14/2/2022,45663
15/2/2022,46248
16/2/2022,46248
17/2/2022,46248
18/2/2022,46517
19/2/2022,46517
20/2/2022,46517
21/2/2022,46517
22/2/2022,46517
23/2/2022,46517
24/2/2022,46517
25/2/2022,46517
26/2/2022,46668
27/2/2022,46668
28/2/2022,46668
1/3/2022,46668
2/3/2022,48066
3/3/2022,48066
4/3/2022,48066
5/3/2022,48066
6/3/2022,48066
