,Date,Price
730,2017-03-12,26877.0
731,2017-03-13,26877.0
732,2017-03-22,26877.0
733,2017-03-23,26859.0
734,2017-04-01,26859.0
735,2017-04-06,26859.0
736,2017-04-11,26859.0
737,2017-04-16,26859.0
738,2017-04-21,26859.0
739,2017-04-26,26859.0
740,2017-05-01,26859.0
741,2017-05-06,26859.0
742,2017-05-11,26859.0
743,2017-05-16,26859.0
744,2017-05-21,26859.0
745,2017-05-26,26859.0
746,2017-05-31,26859.0
747,2017-06-05,26859.0
748,2017-06-10,26859.0
749,2017-06-15,26859.0
750,2017-06-20,26859.0
751,2017-06-25,26859.0
752,2017-06-30,26859.0
753,2017-07-05,26859.0
754,2017-07-06,26819.0
755,2017-07-15,26819.0
756,2017-07-20,26819.0
757,2017-07-25,26819.0
758,2017-07-30,26819.0
759,2017-08-04,26819.0
760,2017-08-05,26583.0
761,2017-08-10,26583.0
762,2017-08-15,26583.0
763,2017-08-20,26583.0
764,2017-08-25,26583.0
765,2017-08-30,26583.0
766,2017-09-04,26583.0
767,2017-09-09,26583.0
768,2017-09-14,26583.0
769,2017-09-23,26583.0
770,2017-09-26,26355.0
771,2017-10-03,26355.0
772,2017-10-08,26355.0
773,2017-10-13,26355.0
774,2017-10-18,26355.0
775,2017-10-23,26355.0
776,2017-10-29,26355.0
777,2017-11-03,26355.0
778,2017-11-08,26355.0
779,2017-11-13,26355.0
780,2017-11-16,26252.0
781,2017-11-23,26252.0
782,2017-11-28,26252.0
783,2017-12-03,26252.0
784,2017-12-08,26252.0
785,2017-12-09,26139.0
786,2017-12-14,26139.0
787,2017-12-19,26139.0
788,2017-12-24,26139.0
789,2017-12-29,26139.0
790,2018-01-03,26139.0
791,2018-01-08,26139.0
792,2018-01-13,26139.0
793,2018-01-18,26139.0
794,2018-01-23,26139.0
795,2018-01-28,26139.0
796,2018-02-02,26139.0
797,2018-02-07,26139.0
798,2018-02-12,26139.0
799,2018-02-17,26139.0
800,2018-02-22,26139.0
801,2018-02-27,26139.0
802,2018-03-04,26139.0
803,2018-03-09,26139.0
804,2018-03-14,26139.0
805,2018-03-19,26139.0
806,2018-03-24,26139.0
807,2018-03-29,26139.0
808,2018-04-03,26139.0
809,2018-04-08,26139.0
810,2018-04-13,26139.0
811,2018-04-18,26139.0
812,2018-04-27,26139.0
813,2018-05-01,26816.0
814,2018-05-03,26816.0
815,2018-05-08,26816.0
816,2018-05-13,26816.0
817,2018-05-18,26816.0
818,2018-05-23,26816.0
819,2018-05-28,26816.0
820,2018-06-06,26816.0
821,2018-06-07,26816.0
822,2018-06-13,26816.0
823,2018-06-18,26816.0
824,2018-06-23,26816.0
825,2018-06-28,26816.0
826,2018-07-03,26816.0
827,2018-07-08,26816.0
828,2018-07-13,26816.0
829,2018-07-18,26816.0
830,2018-07-23,26816.0
831,2018-07-28,26816.0
832,2018-08-02,26816.0
833,2018-08-07,26816.0
834,2018-08-12,26816.0
835,2018-08-17,26816.0
