Date,Price
2017-06-09,9575.0
2017-06-10,9575.0
2017-06-14,9575.0
2017-06-23,9575.0
2017-06-24,4791.0
2017-07-01,6896.0
2017-07-03,6896.0
2017-07-08,6896.0
2017-07-13,6896.0
2017-07-18,6896.0
2017-07-22,6896.0
2017-07-27,6896.0
2017-08-01,6896.0
2017-08-06,6896.0
2017-08-11,6896.0
2017-08-15,6896.0
2017-08-20,6896.0
2017-08-25,6896.0
2017-08-30,6896.0
2017-09-03,6896.0
2017-09-08,6896.0
2017-09-13,6896.0
2017-09-18,6896.0
2017-09-23,6896.0
2017-09-27,6896.0
2017-10-02,6896.0
2017-10-11,6896.0
2017-10-15,7080.0
2017-10-18,6070.0
2017-10-21,6070.0
2017-10-26,6070.0
2017-10-31,6070.0
2017-11-05,6070.0
2017-11-09,6070.0
2017-11-14,6070.0
2017-11-19,6070.0
2017-11-24,6070.0
2017-11-28,6070.0
2017-12-03,6070.0
2017-12-08,6070.0
2017-12-17,6070.0
2017-12-20,6965.0
2017-12-26,6965.0
2017-12-27,7212.0
2018-01-01,7212.0
2018-01-09,7212.0
2018-01-10,7374.0
2018-01-19,7374.0
2018-01-23,7403.0
2018-01-25,7403.0
2018-01-30,7403.0
2018-02-03,7403.0
2018-02-08,7403.0
2018-02-13,7403.0
2018-02-18,7403.0
2018-02-22,7403.0
2018-02-27,7403.0
2018-03-04,7403.0
2018-03-09,7403.0
2018-03-14,7403.0
2018-03-18,7403.0
2018-03-23,7403.0
2018-04-01,7403.0
2018-04-04,7403.0
2018-04-06,7448.0
2018-04-11,7448.0
2018-04-20,7448.0
2018-04-21,7522.0
2018-04-29,7522.0
2018-05-02,7555.0
2018-05-05,7555.0
2018-05-10,7555.0
2018-05-15,7555.0
2018-05-19,7555.0
2018-05-28,7555.0
2018-05-31,7620.0
2018-06-03,7620.0
2018-06-08,7620.0
2018-06-12,7620.0
2018-06-21,7620.0
2018-06-22,7683.0
2018-06-27,7683.0
2018-07-05,7683.0
2018-07-08,7713.0
2018-07-15,7713.0
2018-07-19,7713.0
2018-07-21,7767.0
2018-07-25,7767.0
2018-08-03,7767.0
2018-08-07,7818.0
2018-08-12,7818.0
2018-08-15,8392.0
2018-08-22,8392.0
2018-08-24,8379.0
2018-08-28,8379.0
2018-09-02,8379.0
2018-09-06,8379.0
2018-09-11,8379.0
2018-09-16,8379.0
2018-09-21,8379.0
2018-09-29,8379.0
2018-09-30,8355.0
2018-10-05,8355.0
2018-10-10,8355.0
2018-10-15,8355.0
2018-10-19,8355.0
2018-10-24,8355.0
2018-10-29,8355.0
2018-11-03,8355.0
2018-11-07,8355.0
2018-11-12,8355.0
2018-11-17,8355.0
2018-11-26,8355.0
2018-11-30,7963.0
2018-12-01,7963.0
2018-12-10,7963.0
2018-12-14,7989.0
2018-12-16,7989.0
2018-12-24,7989.0
2018-12-26,8056.0
2019-01-01,8007.0
2019-01-04,8134.0
