,Date,Price
730,2017-03-12,8743.0
731,2017-03-16,8761.0
732,2017-03-19,8745.0
733,2017-03-27,8748.0
734,2017-03-29,8761.0
735,2017-04-04,8756.0
736,2017-04-07,8767.0
737,2017-04-13,8784.0
738,2017-04-19,8784.0
739,2017-04-23,8807.0
740,2017-05-01,8805.0
741,2017-05-04,8814.0
742,2017-05-10,8799.0
743,2017-05-15,8814.0
744,2017-05-18,8819.0
745,2017-05-23,8804.0
746,2017-05-27,8804.0
747,2017-06-05,8820.0
748,2017-06-08,8834.0
749,2017-06-14,8836.0
750,2017-06-18,8836.0
751,2017-06-24,8662.0
752,2017-06-27,8717.0
753,2017-07-01,8753.0
754,2017-07-08,8767.0
755,2017-07-14,8767.0
756,2017-07-18,8777.0
757,2017-07-23,8786.0
758,2017-07-26,8762.0
759,2017-08-02,8797.0
760,2017-08-08,8803.0
761,2017-08-12,8796.0
762,2017-08-17,8798.0
763,2017-08-20,8819.0
764,2017-08-25,8825.0
765,2017-09-02,8827.0
766,2017-09-05,8828.0
767,2017-09-09,8841.0
768,2017-09-17,8841.0
769,2017-09-19,8860.0
770,2017-09-27,8862.0
771,2017-10-01,8867.0
772,2017-10-04,8880.0
773,2017-10-09,8875.0
774,2017-10-17,8890.0
775,2017-10-19,8856.0
776,2017-10-24,8853.0
777,2017-10-30,8866.0
778,2017-11-05,8873.0
779,2017-11-10,8892.0
780,2017-11-17,8895.0
781,2017-11-23,8905.0
782,2017-11-24,8932.0
783,2017-12-01,8954.0
784,2017-12-05,8952.0
785,2017-12-11,8981.0
786,2017-12-18,9003.0
787,2017-12-20,9042.0
788,2017-12-25,9035.0
789,2017-12-30,9056.0
790,2018-01-03,9049.0
791,2018-01-11,9098.0
792,2018-01-14,9112.0
793,2018-01-18,9084.0
794,2018-01-27,9101.0
795,2018-02-01,9104.0
796,2018-02-03,9118.0
797,2018-02-10,9127.0
798,2018-02-14,9145.0
799,2018-02-21,9158.0
800,2018-02-25,9194.0
801,2018-03-01,9208.0
802,2018-03-07,9224.0
803,2018-03-12,9222.0
804,2018-03-15,9287.0
805,2018-03-22,9297.0
806,2018-03-24,9291.0
807,2018-03-29,9293.0
808,2018-04-07,9320.0
809,2018-04-10,9390.0
810,2018-04-15,9404.0
811,2018-04-18,9434.0
812,2018-04-25,9457.0
813,2018-04-28,9448.0
814,2018-05-04,9462.0
815,2018-05-11,9474.0
816,2018-05-16,9470.0
