Date,Price
8/3/2019,14735
11/3/2019,14735
14/3/2019,14774
17/3/2019,14774
20/3/2019,14774
23/3/2019,14774
26/3/2019,14847
27/3/2019,14847
30/3/2019,14847
2/4/2019,14847
5/4/2019,14847
8/4/2019,14847
11/4/2019,14847
14/4/2019,14847
17/4/2019,14847
20/4/2019,14847
23/4/2019,14847
26/4/2019,14847
29/4/2019,14847
2/5/2019,14847
5/5/2019,14847
8/5/2019,14847
11/5/2019,14847
14/5/2019,14847
17/5/2019,14847
20/5/2019,14847
23/5/2019,14847
26/5/2019,14847
29/5/2019,14847
1/6/2019,14847
4/6/2019,14847
7/6/2019,14847
10/6/2019,14847
13/6/2019,14847
18/6/2019,14847
20/6/2019,14879
22/6/2019,14879
25/6/2019,14879
28/6/2019,14879
1/7/2019,14879
4/7/2019,14879
7/7/2019,14879
10/7/2019,14879
15/7/2019,14879
16/7/2019,15004
19/7/2019,15004
22/7/2019,15004
25/7/2019,15004
28/7/2019,15004
31/7/2019,15004
3/8/2019,15004
6/8/2019,15004
9/8/2019,15004
12/8/2019,15004
15/8/2019,15004
18/8/2019,15004
21/8/2019,15004
24/8/2019,15004
29/8/2019,15004
1/9/2019,15105
2/9/2019,15105
7/9/2019,15105
8/9/2019,15110
13/9/2019,15110
15/9/2019,15110
17/9/2019,15139
20/9/2019,15139
25/9/2019,15139
26/9/2019,15258
1/10/2019,15258
4/10/2019,15258
7/10/2019,15258
10/10/2019,15258
13/10/2019,15258
16/10/2019,15258
19/10/2019,15258
22/10/2019,15258
25/10/2019,15258
28/10/2019,15258
31/10/2019,15258
3/11/2019,15258
4/11/2019,15492
7/11/2019,15570
10/11/2019,15570
13/11/2019,15570
16/11/2019,15570
19/11/2019,15570
24/11/2019,15570
26/11/2019,15699
28/11/2019,15699
1/12/2019,15699
4/12/2019,15699
10/12/2019,15699
12/12/2019,15818
14/12/2019,15818
17/12/2019,15818
20/12/2019,15818
23/12/2019,15818
26/12/2019,15818
29/12/2019,15818
1/1/2020,15818
4/1/2020,15818
7/1/2020,15818
10/1/2020,15818
13/1/2020,15818
16/1/2020,15818
19/1/2020,15818
22/1/2020,15818
27/1/2020,15818
29/1/2020,15818
31/1/2020,15907
5/2/2020,15907
6/2/2020,16013
9/2/2020,16013
12/2/2020,16013
15/2/2020,16013
18/2/2020,16013
21/2/2020,16013
24/2/2020,16013
27/2/2020,16013
3/3/2020,16013
6/3/2020,15993
9/3/2020,15993
12/3/2020,15993
15/3/2020,15993
18/3/2020,15993
21/3/2020,15993
24/3/2020,15993
27/3/2020,15993
30/3/2020,15993
2/4/2020,15993
5/4/2020,15993
8/4/2020,15993
11/4/2020,15993
14/4/2020,15993
17/4/2020,15993
20/4/2020,15993
21/4/2020,16099
24/4/2020,16031
27/4/2020,16031
2/5/2020,16031
5/5/2020,16072
8/5/2020,16072
11/5/2020,16072
14/5/2020,16072
17/5/2020,16072
20/5/2020,16072
23/5/2020,16072
26/5/2020,16072
29/5/2020,16072
1/6/2020,16072
4/6/2020,16072
7/6/2020,16072
9/6/2020,16016
13/6/2020,16016
16/6/2020,16016
19/6/2020,16016
22/6/2020,16016
24/6/2020,16256
28/6/2020,16256
1/7/2020,16256
4/7/2020,16256
7/7/2020,16256
10/7/2020,16256
13/7/2020,16256
16/7/2020,16256
18/7/2020,16811
20/7/2020,16811
23/7/2020,16811
28/7/2020,16811
31/7/2020,16953
1/8/2020,16953
6/8/2020,16953
8/8/2020,17051
10/8/2020,17051
13/8/2020,17051
18/8/2020,17051
21/8/2020,16560
22/8/2020,16560
25/8/2020,16560
28/8/2020,16560
31/8/2020,16560
3/9/2020,16560
7/9/2020,16560
10/9/2020,16560
13/9/2020,16560
16/9/2020,16560
19/9/2020,16560
22/9/2020,16560
25/9/2020,16560
28/9/2020,16560
1/10/2020,16560
4/10/2020,16560
7/10/2020,16560
10/10/2020,16560
13/10/2020,16560
16/10/2020,16560
19/10/2020,16560
22/10/2020,16560
27/10/2020,16560
29/10/2020,16560
31/10/2020,16510
3/11/2020,16510
6/11/2020,16510
9/11/2020,16510
14/11/2020,16510
17/11/2020,16618
18/11/2020,17944
21/11/2020,18076
25/11/2020,18187
29/11/2020,18171
2/12/2020,18439
5/12/2020,18478
7/12/2020,18669
9/12/2020,18775
14/12/2020,18794
16/12/2020,18981
20/12/2020,19200
23/12/2020,19159
26/12/2020,19316
28/12/2020,19644
31/12/2020,19716
3/1/2021,19563
5/1/2021,19737
8/1/2021,19636
13/1/2021,19671
15/1/2021,20100
19/1/2021,20119
22/1/2021,20199
25/1/2021,20742
28/1/2021,21087
31/1/2021,21032
3/2/2021,21390
4/2/2021,21290
8/2/2021,21161
11/2/2021,21389
14/2/2021,21300
16/2/2021,21387
21/2/2021,21387
23/2/2021,21229
27/2/2021,21402
1/3/2021,21402
4/3/2021,21327
6/3/2021,21540
7/3/2021,21540
8/3/2021,21605
9/3/2021,21661
10/3/2021,21761
11/3/2021,21761
12/3/2021,21497
13/3/2021,21527
14/3/2021,21591
15/3/2021,21591
16/3/2021,21591
17/3/2021,21591
18/3/2021,21501
19/3/2021,21410
20/3/2021,21410
21/3/2021,21305
22/3/2021,21305
23/3/2021,21495
24/3/2021,21316
25/3/2021,21325
26/3/2021,21276
27/3/2021,21076
28/3/2021,21076
29/3/2021,21172
30/3/2021,21196
31/3/2021,21280
1/4/2021,21378
2/4/2021,21342
3/4/2021,21365
4/4/2021,21344
5/4/2021,21344
6/4/2021,21500
7/4/2021,21600
8/4/2021,21570
9/4/2021,21570
10/4/2021,21536
11/4/2021,21536
12/4/2021,21536
13/4/2021,21666
14/4/2021,21736
15/4/2021,21913
16/4/2021,22100
17/4/2021,22281
18/4/2021,22185
19/4/2021,22185
20/4/2021,22174
21/4/2021,22149
22/4/2021,22435
23/4/2021,22449
24/4/2021,22416
25/4/2021,22386
26/4/2021,22644
27/4/2021,22801
28/4/2021,22646
29/4/2021,22575
30/4/2021,22575
1/5/2021,22666
2/5/2021,22726
3/5/2021,22747
4/5/2021,22747
5/5/2021,22752
6/5/2021,22751
7/5/2021,22825
8/5/2021,22825
9/5/2021,22802
10/5/2021,22922
11/5/2021,22979
12/5/2021,22971
13/5/2021,22971
14/5/2021,22830
15/5/2021,22830
16/5/2021,22830
17/5/2021,22830
18/5/2021,22830
19/5/2021,22830
20/5/2021,22808
21/5/2021,22808
22/5/2021,22908
23/5/2021,22908
24/5/2021,22896
25/5/2021,22896
26/5/2021,22824
27/5/2021,22781
28/5/2021,22705
29/5/2021,22800
30/5/2021,22769
31/5/2021,23145
1/6/2021,23074
2/6/2021,23084
3/6/2021,23084
4/6/2021,23070
5/6/2021,23104
6/6/2021,23158
7/6/2021,23077
8/6/2021,23077
9/6/2021,23077
10/6/2021,23090
11/6/2021,23068
12/6/2021,23068
13/6/2021,23070
14/6/2021,23228
15/6/2021,23228
16/6/2021,23259
17/6/2021,23265
18/6/2021,23241
19/6/2021,23241
20/6/2021,23230
21/6/2021,23230
22/6/2021,23257
23/6/2021,23215
24/6/2021,23482
25/6/2021,23275
26/6/2021,23271
27/6/2021,23639
28/6/2021,23639
29/6/2021,23639
30/6/2021,23639
1/7/2021,23868
2/7/2021,23914
3/7/2021,23891
4/7/2021,23891
5/7/2021,23891
6/7/2021,23891
7/7/2021,23942
8/7/2021,24019
9/7/2021,24077
10/7/2021,24005
11/7/2021,23872
12/7/2021,23891
13/7/2021,23667
14/7/2021,23667
15/7/2021,23708
16/7/2021,23936
17/7/2021,23936
18/7/2021,23936
19/7/2021,23955
20/7/2021,23955
21/7/2021,23930
22/7/2021,23930
23/7/2021,23943
24/7/2021,23943
25/7/2021,23940
26/7/2021,23940
27/7/2021,23968
28/7/2021,23968
29/7/2021,24015
30/7/2021,24274
31/7/2021,24209
1/8/2021,24209
2/8/2021,24209
3/8/2021,23986
4/8/2021,23986
5/8/2021,24173
6/8/2021,24305
7/8/2021,24089
8/8/2021,24084
9/8/2021,24096
10/8/2021,23945
11/8/2021,24061
12/8/2021,24061
13/8/2021,24207
14/8/2021,24207
15/8/2021,24207
16/8/2021,24207
17/8/2021,23950
18/8/2021,23956
19/8/2021,24007
20/8/2021,23970
21/8/2021,23970
22/8/2021,23988
23/8/2021,23988
24/8/2021,23967
25/8/2021,24020
26/8/2021,24026
27/8/2021,24085
28/8/2021,24046
29/8/2021,24046
30/8/2021,24046
31/8/2021,24044
1/9/2021,24149
2/9/2021,24014
3/9/2021,24014
4/9/2021,24127
5/9/2021,24106
6/9/2021,24106
7/9/2021,24121
8/9/2021,24121
9/9/2021,24428
10/9/2021,24138
11/9/2021,24276
12/9/2021,24770
13/9/2021,24770
14/9/2021,24895
15/9/2021,24929
16/9/2021,24986
17/9/2021,24707
18/9/2021,24645
19/9/2021,24645
20/9/2021,24645
21/9/2021,24645
22/9/2021,24645
23/9/2021,24659
24/9/2021,24717
25/9/2021,24717
26/9/2021,24741
27/9/2021,24741
28/9/2021,24966
29/9/2021,24921
30/9/2021,25068
1/10/2021,25068
2/10/2021,24998
3/10/2021,25078
4/10/2021,25078
5/10/2021,25180
6/10/2021,25182
7/10/2021,25182
8/10/2021,25142
9/10/2021,25577
10/10/2021,25619
11/10/2021,25619
12/10/2021,25619
13/10/2021,25764
14/10/2021,25764
15/10/2021,25894
16/10/2021,25894
17/10/2021,25894
18/10/2021,25954
19/10/2021,25906
20/10/2021,25953
21/10/2021,25883
22/10/2021,25883
23/10/2021,25883
24/10/2021,25883
25/10/2021,25563
26/10/2021,25486
27/10/2021,25486
28/10/2021,25537
29/10/2021,25651
30/10/2021,25674
31/10/2021,25680
1/11/2021,25680
2/11/2021,25640
3/11/2021,25640
4/11/2021,25640
5/11/2021,25640
6/11/2021,25640
7/11/2021,25640
8/11/2021,25640
9/11/2021,25640
10/11/2021,25650
11/11/2021,25650
12/11/2021,25714
13/11/2021,25282
14/11/2021,25282
15/11/2021,25282
16/11/2021,25282
17/11/2021,25446
18/11/2021,25448
19/11/2021,25595
20/11/2021,25595
21/11/2021,25593
22/11/2021,25489
23/11/2021,25500
24/11/2021,25396
25/11/2021,25488
26/11/2021,25594
27/11/2021,25629
28/11/2021,25603
29/11/2021,25603
30/11/2021,25733
1/12/2021,25699
2/12/2021,25699
3/12/2021,25545
4/12/2021,25545
5/12/2021,25233
6/12/2021,25233
7/12/2021,25233
8/12/2021,25116
9/12/2021,25157
10/12/2021,25157
11/12/2021,25214
12/12/2021,25214
13/12/2021,25214
14/12/2021,25395
15/12/2021,25277
16/12/2021,25283
17/12/2021,25386
18/12/2021,25498
19/12/2021,25672
20/12/2021,25672
21/12/2021,25672
22/12/2021,25672
23/12/2021,25672
24/12/2021,25881
25/12/2021,25895
26/12/2021,25895
27/12/2021,25895
28/12/2021,25895
29/12/2021,25915
30/12/2021,26203
31/12/2021,26228
1/1/2022,26339
2/1/2022,26251
3/1/2022,26251
4/1/2022,26275
5/1/2022,26090
6/1/2022,26304
7/1/2022,26197
8/1/2022,26269
9/1/2022,26343
10/1/2022,26343
11/1/2022,26343
12/1/2022,26429
13/1/2022,26429
14/1/2022,26532
15/1/2022,26532
16/1/2022,26532
17/1/2022,26599
18/1/2022,26682
19/1/2022,26682
20/1/2022,26682
21/1/2022,26682
22/1/2022,26761
23/1/2022,26784
24/1/2022,27187
25/1/2022,27211
26/1/2022,27211
27/1/2022,27211
28/1/2022,27467
29/1/2022,27493
30/1/2022,27558
31/1/2022,27558
1/2/2022,27631
2/2/2022,27838
3/2/2022,27912
4/2/2022,27912
5/2/2022,27912
6/2/2022,28052
7/2/2022,28052
8/2/2022,28052
9/2/2022,28052
10/2/2022,27933
11/2/2022,27845
12/2/2022,28105
13/2/2022,28105
14/2/2022,28105
15/2/2022,28098
16/2/2022,28165
17/2/2022,28165
18/2/2022,28165
19/2/2022,28108
20/2/2022,28108
21/2/2022,28253
22/2/2022,28309
23/2/2022,28309
24/2/2022,28457
25/2/2022,28457
26/2/2022,28712
27/2/2022,28953
28/2/2022,28953
1/3/2022,29038
2/3/2022,29038
3/3/2022,29324
4/3/2022,29346
5/3/2022,29346
6/3/2022,29346
