Date,Price
8/3/2019,39458
9/3/2019,39450
12/3/2019,39450
15/3/2019,39450
18/3/2019,39450
21/3/2019,39450
24/3/2019,39450
27/3/2019,39450
30/3/2019,39450
2/4/2019,39450
7/4/2019,39450
9/4/2019,39678
11/4/2019,39678
14/4/2019,39678
17/4/2019,39678
22/4/2019,39678
23/4/2019,39707
26/4/2019,39707
29/4/2019,39707
2/5/2019,39707
5/5/2019,39707
8/5/2019,39707
11/5/2019,39707
14/5/2019,39707
17/5/2019,39707
20/5/2019,39707
23/5/2019,39707
26/5/2019,39707
29/5/2019,39707
1/6/2019,39707
4/6/2019,39707
7/6/2019,39707
10/6/2019,39707
13/6/2019,39707
16/6/2019,39707
19/6/2019,39707
22/6/2019,39707
25/6/2019,39707
28/6/2019,39707
1/7/2019,39707
4/7/2019,39707
7/7/2019,39707
10/7/2019,39707
13/7/2019,39707
16/7/2019,39707
19/7/2019,39707
24/7/2019,39707
25/7/2019,39694
28/7/2019,39694
31/7/2019,39694
3/8/2019,39694
6/8/2019,39694
11/8/2019,39694
13/8/2019,40195
15/8/2019,40195
18/8/2019,40195
23/8/2019,40195
25/8/2019,40673
27/8/2019,40673
30/8/2019,40673
2/9/2019,40673
5/9/2019,40673
8/9/2019,40673
11/9/2019,40673
14/9/2019,40673
17/9/2019,40673
20/9/2019,40673
23/9/2019,40673
26/9/2019,40673
29/9/2019,40673
2/10/2019,40673
5/10/2019,40673
8/10/2019,40673
13/10/2019,40673
15/10/2019,40673
17/10/2019,40563
20/10/2019,40563
23/10/2019,40563
26/10/2019,40563
29/10/2019,40563
1/11/2019,40563
4/11/2019,40563
7/11/2019,40563
10/11/2019,40563
13/11/2019,40563
16/11/2019,40563
19/11/2019,40563
22/11/2019,40563
25/11/2019,40563
28/11/2019,40563
1/12/2019,40563
4/12/2019,40563
8/12/2019,40563
11/12/2019,40563
14/12/2019,40563
17/12/2019,40563
20/12/2019,40563
23/12/2019,40563
26/12/2019,40563
31/12/2019,40563
2/1/2020,40526
4/1/2020,40526
7/1/2020,40526
10/1/2020,40526
13/1/2020,40526
16/1/2020,40526
19/1/2020,40526
22/1/2020,40526
25/1/2020,40526
28/1/2020,40526
31/1/2020,40526
3/2/2020,40526
6/2/2020,40526
9/2/2020,40526
12/2/2020,40526
15/2/2020,40526
18/2/2020,40526
21/2/2020,40526
24/2/2020,40526
27/2/2020,40526
3/3/2020,40526
5/3/2020,40526
7/3/2020,40266
10/3/2020,40266
13/3/2020,40266
16/3/2020,40266
19/3/2020,40266
24/3/2020,40266
27/3/2020,39959
28/3/2020,39959
31/3/2020,39959
3/4/2020,39959
6/4/2020,39959
9/4/2020,39959
12/4/2020,39959
15/4/2020,39959
18/4/2020,39959
21/4/2020,39959
24/4/2020,39959
27/4/2020,39959
30/4/2020,39959
3/5/2020,39959
6/5/2020,39959
9/5/2020,39959
12/5/2020,39959
15/5/2020,39959
18/5/2020,39959
21/5/2020,39959
24/5/2020,39959
27/5/2020,39959
30/5/2020,39959
2/6/2020,39959
5/6/2020,39959
8/6/2020,39959
11/6/2020,39959
14/6/2020,39959
17/6/2020,39959
20/6/2020,39959
23/6/2020,39959
26/6/2020,39959
29/6/2020,39959
