Date,Price
10-03-19,4568.00
11-03-19,4568.00
14-03-19,4568.00
17-03-19,4568.00
22-03-19,4568.00
25-03-19,4386.00
28-03-19,4386.00
31-03-19,4336.00
01-04-19,4049.00
04-04-19,4101.00
07-04-19,4101.00
10-04-19,4101.00
13-04-19,4101.00
18-04-19,4101.00
20-04-19,4101.00
22-04-19,3931.00
27-04-19,3931.00
30-04-19,3931.00
03-05-19,3931.00
06-05-19,3931.00
09-05-19,3931.00
12-05-19,3931.00
15-05-19,3931.00
17-05-19,3931.00
21-05-19,3938.00
22-05-19,4016.00
25-05-19,4016.00
28-05-19,4016.00
31-05-19,4016.00
03-06-19,4016.00
06-06-19,4016.00
09-06-19,4016.00
14-06-19,4016.00
16-06-19,4016.00
18-06-19,3929.00
21-06-19,3929.00
26-06-19,3929.00
27-06-19,3788.00
30-06-19,3788.00
03-07-19,3788.00
08-07-19,3788.00
10-07-19,3792.00
12-07-19,3792.00
15-07-19,3792.00
18-07-19,3792.00
21-07-19,3792.00
24-07-19,3792.00
27-07-19,3792.00
30-07-19,3792.00
04-08-19,3792.00
07-08-19,3634.00
08-08-19,3634.00
11-08-19,3634.00
14-08-19,3634.00
19-08-19,3634.00
22-08-19,3592.00
25-08-19,3889.00
27-08-19,3889.00
29-08-19,3889.00
03-09-19,3889.00
04-09-19,3904.00
09-09-19,3904.00
12-09-19,3904.00
15-09-19,3904.00
18-09-19,3904.00
21-09-19,3904.00
23-09-19,3855.00
25-09-19,4021.00
28-09-19,4021.00
03-10-19,4021.00
04-10-19,4064.00
09-10-19,4064.00
12-10-19,4064.00
15-10-19,4064.00
18-10-19,4064.00
21-10-19,4064.00
24-10-19,4064.00
27-10-19,4064.00
30-10-19,4064.00
02-11-19,4064.00
05-11-19,4064.00
08-11-19,4064.00
09-11-19,4107.00
12-11-19,4074.00
17-11-19,4074.00
19-11-19,4054.00
21-11-19,4054.00
24-11-19,4054.00
29-11-19,4054.00
30-11-19,3923.00
03-12-19,3923.00
06-12-19,3923.00
10-12-19,3923.00
13-12-19,3923.00
16-12-19,3923.00
19-12-19,3923.00
22-12-19,3923.00
25-12-19,3923.00
28-12-19,3923.00
31-12-19,3923.00
05-01-20,3923.00
07-01-20,3839.00
11-01-20,3839.00
14-01-20,3839.00
17-01-20,3839.00
20-01-20,3839.00
22-01-20,4002.00
24-01-20,4002.00
27-01-20,4002.00
01-02-20,4002.00
03-02-20,3931.00
07-02-20,3931.00
09-02-20,3910.00
11-02-20,3910.00
16-02-20,3910.00
18-02-20,3910.00
20-02-20,4041.00
25-02-20,4041.00
27-02-20,4018.00
02-03-20,4243.00
03-03-20,4243.00
06-03-20,4243.00
09-03-20,4243.00
14-03-20,4243.00
16-03-20,4358.00
18-03-20,4324.00
23-03-20,4324.00
25-03-20,4324.00
27-03-20,4335.00
30-03-20,4335.00
02-04-20,4335.00
05-04-20,4335.00
08-04-20,4335.00
13-04-20,4335.00
15-04-20,4335.00
17-04-20,4256.00
22-04-20,4256.00
23-04-20,4325.00
26-04-20,4325.00
29-04-20,4439.00
02-05-20,4439.00
07-05-20,4413.00
10-05-20,4279.00
12-05-20,4320.00
14-05-20,4320.00
19-05-20,4320.00
21-05-20,4201.00
25-05-20,4201.00
27-05-20,4082.00
31-05-20,4082.00
03-06-20,4101.00
04-06-20,4027.00
09-06-20,4027.00
10-06-20,4540.00
15-06-20,4540.00
17-06-20,3895.00
19-06-20,3895.00
24-06-20,3895.00
26-06-20,3773.00
29-06-20,3773.00
01-07-20,3795.00
06-07-20,3795.00
09-07-20,3824.00
