Date,Price
10/3/2019,5200
11/3/2019,5200
14/3/2019,5200
17/3/2019,5200
20/3/2019,5200
23/3/2019,5200
26/3/2019,5200
29/3/2019,5200
1/4/2019,5200
4/4/2019,5200
7/4/2019,5200
10/4/2019,5200
13/4/2019,5200
16/4/2019,5200
21/4/2019,5200
23/4/2019,3110
27/4/2019,3110
30/4/2019,3110
3/5/2019,3110
4/5/2019,2446
9/5/2019,2446
11/5/2019,2925
13/5/2019,2925
18/5/2019,2925
20/5/2019,2925
22/5/2019,3429
25/5/2019,3429
28/5/2019,3429
31/5/2019,3429
3/6/2019,3429
6/6/2019,3429
9/6/2019,3429
12/6/2019,3429
15/6/2019,3429
18/6/2019,3429
21/6/2019,3429
26/6/2019,3429
27/6/2019,3714
2/7/2019,3714
5/7/2019,3714
7/7/2019,3714
9/7/2019,3949
14/7/2019,3949
15/7/2019,3911
20/7/2019,3911
22/7/2019,3982
25/7/2019,3982
27/7/2019,4032
30/7/2019,4046
2/8/2019,4046
7/8/2019,4046
8/8/2019,4181
11/8/2019,4181
14/8/2019,4181
17/8/2019,4181
22/8/2019,4181
23/8/2019,4310
26/8/2019,4310
31/8/2019,4310
2/9/2019,4310
4/9/2019,4422
7/9/2019,4422
12/9/2019,4422
15/9/2019,4437
16/9/2019,4437
19/9/2019,4437
22/9/2019,4437
27/9/2019,4437
28/9/2019,4449
1/10/2019,4449
6/10/2019,4449
8/10/2019,4456
10/10/2019,4456
15/10/2019,4456
17/10/2019,4509
21/10/2019,4509
23/10/2019,4509
25/10/2019,4479
28/10/2019,4479
31/10/2019,4479
3/11/2019,4479
6/11/2019,4479
11/11/2019,4479
14/11/2019,4597
15/11/2019,4597
20/11/2019,4597
22/11/2019,4589
24/11/2019,4589
27/11/2019,4589
30/11/2019,4589
3/12/2019,4589
6/12/2019,4589
12/12/2019,4589
14/12/2019,4547
16/12/2019,4547
19/12/2019,4547
22/12/2019,4547
25/12/2019,4547
28/12/2019,4547
2/1/2020,4547
5/1/2020,4573
8/1/2020,4573
9/1/2020,4570
14/1/2020,4570
16/1/2020,4450
18/1/2020,4469
21/1/2020,4469
24/1/2020,4469
27/1/2020,4469
30/1/2020,4469
2/2/2020,4469
7/2/2020,4469
9/2/2020,4541
13/2/2020,4541
15/2/2020,4569
18/2/2020,4569
20/2/2020,4538
25/2/2020,4538
28/2/2020,4558
1/3/2020,4558
4/3/2020,4938
6/3/2020,4938
9/3/2020,4938
14/3/2020,4938
16/3/2020,4938
18/3/2020,5063
21/3/2020,5048
26/3/2020,5048
28/3/2020,5048
1/4/2020,5017
3/4/2020,5077
7/4/2020,5077
9/4/2020,5077
11/4/2020,4997
16/4/2020,4997
19/4/2020,4999
20/4/2020,4990
24/4/2020,5003
26/4/2020,4986
29/4/2020,4986
2/5/2020,4986
7/5/2020,4986
9/5/2020,4986
11/5/2020,4765
14/5/2020,4765
17/5/2020,4765
22/5/2020,4765
25/5/2020,4764
27/5/2020,4768
29/5/2020,4768
3/6/2020,4768
6/6/2020,4688
7/6/2020,4688
10/6/2020,4688
15/6/2020,4688
18/6/2020,4661
21/6/2020,4661
23/6/2020,4662
25/6/2020,4662
28/6/2020,4662
3/7/2020,4662
4/7/2020,4715
9/7/2020,4715
12/7/2020,4738
14/7/2020,4948
18/7/2020,4948
19/7/2020,4956
24/7/2020,4898
26/7/2020,5035
28/7/2020,5035
2/8/2020,5152
4/8/2020,5152
6/8/2020,4959
9/8/2020,5126
14/8/2020,5126
16/8/2020,5126
20/8/2020,5130
23/8/2020,5178
25/8/2020,5253
27/8/2020,5040
30/8/2020,4999
2/9/2020,4993
8/9/2020,4993
11/9/2020,5133
14/9/2020,5133
16/9/2020,5176
18/9/2020,5176
23/9/2020,5176
26/9/2020,5193
29/9/2020,5248
2/10/2020,5238
4/10/2020,5240
6/10/2020,4828
9/10/2020,4828
12/10/2020,4683
17/10/2020,4683
19/10/2020,4688
21/10/2020,4688
24/10/2020,4688
27/10/2020,4688
30/10/2020,4688
2/11/2020,4688
5/11/2020,4688
8/11/2020,4688
13/11/2020,4688
16/11/2020,4724
18/11/2020,4904
22/11/2020,4904
24/11/2020,4930
26/11/2020,4829
1/12/2020,4829
2/12/2020,4798
6/12/2020,4798
8/12/2020,4870
12/12/2020,4789
15/12/2020,4837
18/12/2020,4837
22/12/2020,4828
24/12/2020,4811
28/12/2020,4811
30/12/2020,4811
3/1/2021,4812
5/1/2021,4812
9/1/2021,4949
12/1/2021,5189
13/1/2021,5189
18/1/2021,5189
21/1/2021,5205
24/1/2021,5205
27/1/2021,5230
28/1/2021,5278
1/2/2021,5307
5/2/2021,5245
6/2/2021,5291
10/2/2021,5318
13/2/2021,5353
16/2/2021,5534
19/2/2021,5849
23/2/2021,5849
24/2/2021,5850
27/2/2021,5850
2/3/2021,5850
7/3/2021,5850
9/3/2021,5833
10/3/2021,5833
11/3/2021,5852
12/3/2021,6482
13/3/2021,6482
14/3/2021,6482
15/3/2021,6482
16/3/2021,6482
17/3/2021,6482
18/3/2021,6482
19/3/2021,6482
20/3/2021,6482
21/3/2021,6482
22/3/2021,6482
23/3/2021,6539
24/3/2021,6502
25/3/2021,6470
26/3/2021,6470
27/3/2021,6470
28/3/2021,6470
29/3/2021,6485
30/3/2021,6492
31/3/2021,6709
1/4/2021,6705
2/4/2021,6705
3/4/2021,6705
4/4/2021,6705
5/4/2021,6705
6/4/2021,6705
7/4/2021,6705
8/4/2021,6705
9/4/2021,6705
10/4/2021,6492
11/4/2021,6492
12/4/2021,6492
13/4/2021,6492
14/4/2021,6492
15/4/2021,6492
16/4/2021,6492
17/4/2021,6492
18/4/2021,6492
19/4/2021,6492
20/4/2021,6518
