Date,Price
15/11/2020,6415
16/11/2020,6415
17/11/2020,6415
18/11/2020,6415
19/11/2020,6415
21/11/2020,6415
22/11/2020,6415
23/11/2020,6415
25/11/2020,6415
26/11/2020,6415
27/11/2020,6415
29/11/2020,6415
30/11/2020,6415
1/12/2020,6232
3/12/2020,6232
4/12/2020,6232
5/12/2020,6232
6/12/2020,6232
8/12/2020,6232
9/12/2020,6232
10/12/2020,6232
12/12/2020,6232
13/12/2020,6232
14/12/2020,6232
16/12/2020,6232
17/12/2020,6232
18/12/2020,6232
20/12/2020,6232
21/12/2020,6232
22/12/2020,6232
24/12/2020,6232
25/12/2020,6232
26/12/2020,6232
27/12/2020,6232
29/12/2020,6232
30/12/2020,6232
31/12/2020,6232
2/1/2021,6232
3/1/2021,6232
4/1/2021,6232
6/1/2021,6232
7/1/2021,6232
8/1/2021,6232
10/1/2021,6232
11/1/2021,6232
12/1/2021,6232
14/1/2021,6232
15/1/2021,6232
16/1/2021,6232
17/1/2021,6232
19/1/2021,6232
20/1/2021,6232
21/1/2021,6232
23/1/2021,6232
24/1/2021,6232
25/1/2021,6427
27/1/2021,6427
28/1/2021,6427
29/1/2021,6427
31/1/2021,6427
1/2/2021,6427
2/2/2021,6427
3/2/2021,6427
5/2/2021,6427
6/2/2021,6427
7/2/2021,6427
9/2/2021,6427
10/2/2021,6427
11/2/2021,6427
13/2/2021,6427
14/2/2021,6427
15/2/2021,6427
17/2/2021,6427
18/2/2021,6427
19/2/2021,6427
21/2/2021,6427
22/2/2021,6427
23/2/2021,6427
24/2/2021,6427
26/2/2021,6427
27/2/2021,6427
28/2/2021,6427
2/3/2021,6427
3/3/2021,6427
4/3/2021,6427
6/3/2021,6427
7/3/2021,6427
8/3/2021,6427
9/3/2021,6427
10/3/2021,6427
11/3/2021,6427
12/3/2021,6427
13/3/2021,6427
14/3/2021,6427
15/3/2021,6427
16/3/2021,6427
17/3/2021,6427
18/3/2021,6427
19/3/2021,6427
20/3/2021,6427
21/3/2021,6427
22/3/2021,6427
23/3/2021,6427
24/3/2021,6427
25/3/2021,6379
26/3/2021,6379
27/3/2021,6379
28/3/2021,6379
29/3/2021,6379
30/3/2021,6379
31/3/2021,6379
1/4/2021,6379
2/4/2021,6379
3/4/2021,6379
4/4/2021,6379
5/4/2021,6379
6/4/2021,6379
7/4/2021,6379
8/4/2021,6379
9/4/2021,6379
10/4/2021,6379
11/4/2021,6379
12/4/2021,6379
13/4/2021,6379
14/4/2021,6379
15/4/2021,6379
16/4/2021,6379
17/4/2021,6379
18/4/2021,6379
19/4/2021,6379
20/4/2021,6379
21/4/2021,6379
22/4/2021,6379
23/4/2021,6379
24/4/2021,6379
25/4/2021,6379
26/4/2021,6379
27/4/2021,6379
28/4/2021,6379
29/4/2021,6379
30/4/2021,6379
1/5/2021,6379
2/5/2021,6379
3/5/2021,6379
4/5/2021,6379
5/5/2021,6379
6/5/2021,6379
7/5/2021,6379
8/5/2021,6379
9/5/2021,7134
10/5/2021,7134
11/5/2021,7134
12/5/2021,7134
13/5/2021,7134
14/5/2021,7134
15/5/2021,7190
16/5/2021,7190
17/5/2021,7190
18/5/2021,7190
19/5/2021,7190
20/5/2021,7190
21/5/2021,7190
22/5/2021,7190
23/5/2021,7190
24/5/2021,7190
25/5/2021,7190
26/5/2021,7190
27/5/2021,7190
28/5/2021,7190
29/5/2021,7060
30/5/2021,7060
31/5/2021,7060
1/6/2021,6916
2/6/2021,6916
3/6/2021,6916
4/6/2021,6916
5/6/2021,6916
6/6/2021,6840
7/6/2021,6840
8/6/2021,6840
9/6/2021,6761
10/6/2021,6761
11/6/2021,6761
12/6/2021,6761
13/6/2021,6761
14/6/2021,6761
15/6/2021,6761
16/6/2021,6761
17/6/2021,6673
18/6/2021,6673
19/6/2021,6673
20/6/2021,6673
21/6/2021,6673
22/6/2021,6673
23/6/2021,6673
24/6/2021,6238
25/6/2021,6238
26/6/2021,6238
27/6/2021,6231
28/6/2021,6231
29/6/2021,6203
30/6/2021,6171
1/7/2021,6208
2/7/2021,6208
3/7/2021,6208
4/7/2021,6208
5/7/2021,6208
6/7/2021,6208
7/7/2021,6208
8/7/2021,6208
9/7/2021,6181
10/7/2021,6181
11/7/2021,6181
12/7/2021,6181
13/7/2021,6181
14/7/2021,6181
15/7/2021,6181
16/7/2021,6181
17/7/2021,6181
18/7/2021,6181
19/7/2021,6181
20/7/2021,6181
21/7/2021,6181
22/7/2021,6181
23/7/2021,6181
24/7/2021,6155
25/7/2021,6155
26/7/2021,6155
27/7/2021,6155
28/7/2021,6155
29/7/2021,6155
30/7/2021,6155
31/7/2021,6155
1/8/2021,6155
2/8/2021,6155
3/8/2021,6155
4/8/2021,6155
5/8/2021,6155
6/8/2021,6155
7/8/2021,6155
8/8/2021,6132
9/8/2021,6112
10/8/2021,6153
11/8/2021,6153
12/8/2021,6153
13/8/2021,6153
14/8/2021,6153
15/8/2021,6136
16/8/2021,6136
17/8/2021,6136
18/8/2021,6136
19/8/2021,6136
20/8/2021,6136
21/8/2021,6136
22/8/2021,6136
23/8/2021,6136
24/8/2021,6136
25/8/2021,6136
26/8/2021,6136
27/8/2021,6136
28/8/2021,6136
29/8/2021,6136
30/8/2021,6136
31/8/2021,6136
1/9/2021,6136
2/9/2021,6136
3/9/2021,6119
4/9/2021,6119
5/9/2021,6103
6/9/2021,6103
7/9/2021,6103
8/9/2021,6103
9/9/2021,6089
10/9/2021,6089
11/9/2021,6089
12/9/2021,6089
13/9/2021,6089
14/9/2021,6089
