Date,Price
9/3/2019,8834
10/3/2019,8834
13/3/2019,8834
16/3/2019,8834
21/3/2019,8834
23/3/2019,8767
25/3/2019,8767
28/3/2019,8767
31/3/2019,8767
3/4/2019,8767
6/4/2019,8767
9/4/2019,8767
14/4/2019,8767
16/4/2019,8767
18/4/2019,8823
21/4/2019,8823
26/4/2019,8823
28/4/2019,8756
30/4/2019,8756
3/5/2019,8756
6/5/2019,8756
11/5/2019,8756
14/5/2019,8722
16/5/2019,8612
18/5/2019,8612
21/5/2019,8612
26/5/2019,8612
27/5/2019,8558
30/5/2019,8558
2/6/2019,8558
7/6/2019,8558
8/6/2019,8486
13/6/2019,8486
15/6/2019,8401
17/6/2019,8401
20/6/2019,8401
23/6/2019,8401
26/6/2019,8401
29/6/2019,8401
2/7/2019,8401
5/7/2019,8401
8/7/2019,8401
11/7/2019,8401
14/7/2019,8401
17/7/2019,8401
20/7/2019,8401
23/7/2019,8401
26/7/2019,8401
29/7/2019,8401
1/8/2019,8401
4/8/2019,8401
7/8/2019,8401
10/8/2019,8401
13/8/2019,8401
16/8/2019,8401
19/8/2019,8401
22/8/2019,8401
25/8/2019,8401
28/8/2019,8401
31/8/2019,8401
3/9/2019,8401
6/9/2019,8401
11/9/2019,8401
13/9/2019,8332
15/9/2019,8332
18/9/2019,8332
21/9/2019,8332
24/9/2019,8332
29/9/2019,8332
30/9/2019,8302
3/10/2019,8302
8/10/2019,8302
9/10/2019,8268
12/10/2019,8268
15/10/2019,8268
20/10/2019,8268
21/10/2019,8162
26/10/2019,8162
28/10/2019,8162
30/10/2019,8098
4/11/2019,8098
7/11/2019,8098
10/11/2019,8098
13/11/2019,8098
15/11/2019,8015
19/11/2019,8015
22/11/2019,8015
25/11/2019,8015
28/11/2019,8015
30/11/2019,7981
2/12/2019,7981
5/12/2019,7981
11/12/2019,7981
13/12/2019,7981
17/12/2019,7824
18/12/2019,7824
21/12/2019,7824
24/12/2019,7824
27/12/2019,7824
30/12/2019,7824
2/1/2020,7824
5/1/2020,7824
8/1/2020,7824
11/1/2020,7824
14/1/2020,7824
17/1/2020,7824
20/1/2020,7824
23/1/2020,7824
26/1/2020,7824
29/1/2020,7824
1/2/2020,7824
4/2/2020,7824
7/2/2020,7824
10/2/2020,7824
13/2/2020,7824
18/2/2020,7824
19/2/2020,7824
24/2/2020,7724
25/2/2020,7724
28/2/2020,7724
4/3/2020,7724
5/3/2020,7469
8/3/2020,7469
13/3/2020,7469
15/3/2020,7206
17/3/2020,7206
20/3/2020,7206
23/3/2020,7206
26/3/2020,7206
29/3/2020,7206
1/4/2020,7206
6/4/2020,7206
8/4/2020,7095
10/4/2020,7095
13/4/2020,7095
16/4/2020,7095
21/4/2020,7095
23/4/2020,7079
25/4/2020,7079
30/4/2020,7079
1/5/2020,6977
6/5/2020,6977
7/5/2020,6912
10/5/2020,6912
13/5/2020,6912
16/5/2020,6912
19/5/2020,6912
22/5/2020,6912
27/5/2020,6912
30/5/2020,7093
2/6/2020,7093
3/6/2020,6878
6/6/2020,6878
9/6/2020,6878
14/6/2020,6878
16/6/2020,6898
20/6/2020,6898
23/6/2020,6898
26/6/2020,6898
29/6/2020,6898
2/7/2020,6898
5/7/2020,6898
8/7/2020,6898
11/7/2020,6898
12/7/2020,7068
15/7/2020,7068
18/7/2020,7068
21/7/2020,7068
24/7/2020,7068
27/7/2020,7068
30/7/2020,7068
2/8/2020,7068
5/8/2020,7068
8/8/2020,7068
11/8/2020,7068
14/8/2020,7068
17/8/2020,7068
22/8/2020,7068
23/8/2020,7039
28/8/2020,7039
30/8/2020,6976
1/9/2020,6976
4/9/2020,6976
8/9/2020,6976
11/9/2020,6976
14/9/2020,6976
17/9/2020,6976
20/9/2020,6976
23/9/2020,6976
26/9/2020,6976
1/10/2020,6976
2/10/2020,7008
5/10/2020,7008
8/10/2020,7008
11/10/2020,7008
14/10/2020,7008
17/10/2020,7008
20/10/2020,7008
23/10/2020,7008
26/10/2020,7008
29/10/2020,7008
1/11/2020,7008
4/11/2020,7008
7/11/2020,7008
12/11/2020,7008
15/11/2020,6955
17/11/2020,6955
19/11/2020,7154
24/11/2020,7174
27/11/2020,7262
30/11/2020,7262
1/12/2020,7303
4/12/2020,7303
8/12/2020,7358
11/12/2020,7323
14/12/2020,7343
17/12/2020,7383
21/12/2020,7491
24/12/2020,7491
26/12/2020,7528
30/12/2020,7528
2/1/2021,7649
5/1/2021,7649
6/1/2021,7716
9/1/2021,7685
14/1/2021,7685
17/1/2021,7683
19/1/2021,7707
22/1/2021,7702
24/1/2021,7866
28/1/2021,7866
30/1/2021,7931
4/2/2021,7931
6/2/2021,7962
9/2/2021,7873
11/2/2021,7903
16/2/2021,7884
18/2/2021,7964
22/2/2021,7955
25/2/2021,7929
26/2/2021,7843
3/3/2021,7843
6/3/2021,7840
8/3/2021,7840
9/3/2021,7983
10/3/2021,8006
11/3/2021,8006
12/3/2021,8006
13/3/2021,8006
14/3/2021,8024
15/3/2021,8024
16/3/2021,8024
17/3/2021,8024
18/3/2021,8024
19/3/2021,8058
20/3/2021,8058
21/3/2021,8015
22/3/2021,8015
23/3/2021,8015
24/3/2021,8015
25/3/2021,7879
26/3/2021,7855
27/3/2021,7855
28/3/2021,7855
29/3/2021,7855
30/3/2021,7839
31/3/2021,7839
1/4/2021,7833
2/4/2021,7833
3/4/2021,7833
4/4/2021,7833
5/4/2021,7833
6/4/2021,7833
7/4/2021,7833
8/4/2021,7798
9/4/2021,7798
10/4/2021,7798
11/4/2021,7798
12/4/2021,7798
13/4/2021,7798
14/4/2021,7852
15/4/2021,7791
16/4/2021,7791
17/4/2021,7827
18/4/2021,7827
19/4/2021,7869
20/4/2021,7869
21/4/2021,7869
22/4/2021,7869
23/4/2021,7831
24/4/2021,7831
25/4/2021,7812
26/4/2021,7812
27/4/2021,7812
28/4/2021,7804
29/4/2021,7804
30/4/2021,7804
1/5/2021,7804
2/5/2021,7804
