Date,Price
9/3/2019,2434
10/3/2019,2434
13/3/2019,2434
18/3/2019,2434
20/3/2019,2388
22/3/2019,2395
25/3/2019,2395
30/3/2019,2395
31/3/2019,2408
4/4/2019,2408
6/4/2019,2419
9/4/2019,2421
12/4/2019,2421
17/4/2019,2421
18/4/2019,2458
23/4/2019,2458
24/4/2019,2469
27/4/2019,2460
1/5/2019,2460
3/5/2019,2453
8/5/2019,2444
11/5/2019,2477
14/5/2019,2467
15/5/2019,2498
18/5/2019,2498
21/5/2019,2527
26/5/2019,2520
27/5/2019,2507
31/5/2019,2522
2/6/2019,2529
5/6/2019,2539
8/6/2019,2525
13/6/2019,2545
14/6/2019,2641
19/6/2019,2638
20/6/2019,2645
25/6/2019,2646
27/6/2019,2646
30/6/2019,2628
4/7/2019,2628
5/7/2019,2632
8/7/2019,2644
13/7/2019,2620
15/7/2019,2620
17/7/2019,2415
20/7/2019,2428
23/7/2019,2372
26/7/2019,2372
29/7/2019,2372
3/8/2019,2372
4/8/2019,2338
9/8/2019,2338
11/8/2019,2338
13/8/2019,2321
18/8/2019,2321
21/8/2019,2312
24/8/2019,2268
25/8/2019,2268
29/8/2019,2260
1/9/2019,2235
5/9/2019,2235
6/9/2019,2224
11/9/2019,2210
12/9/2019,2404
16/9/2019,2407
18/9/2019,2407
23/9/2019,2407
26/9/2019,2437
27/9/2019,2437
2/10/2019,2437
3/10/2019,2426
8/10/2019,2426
11/10/2019,2405
12/10/2019,2277
16/10/2019,2277
18/10/2019,2468
21/10/2019,2484
26/10/2019,2474
29/10/2019,2539
1/11/2019,2539
3/11/2019,2543
6/11/2019,2543
10/11/2019,2543
11/11/2019,2475
14/11/2019,2528
17/11/2019,2541
22/11/2019,2552
23/11/2019,2514
27/11/2019,2562
29/11/2019,2558
4/12/2019,2558
6/12/2019,2558
10/12/2019,2569
12/12/2019,2614
15/12/2019,2614
18/12/2019,2614
21/12/2019,2614
26/12/2019,2614
27/12/2019,2625
30/12/2019,2625
4/1/2020,2625
6/1/2020,2610
10/1/2020,2622
12/1/2020,2649
16/1/2020,2649
18/1/2020,2649
20/1/2020,2751
23/1/2020,2750
26/1/2020,2750
29/1/2020,2750
3/2/2020,2750
5/2/2020,2749
8/2/2020,2773
12/2/2020,2778
13/2/2020,2718
17/2/2020,2694
21/2/2020,2687
23/2/2020,2678
27/2/2020,2804
1/3/2020,2824
4/3/2020,2788
5/3/2020,2826
10/3/2020,2817
12/3/2020,2842
15/3/2020,2854
18/3/2020,2806
22/3/2020,2806
23/3/2020,2806
27/3/2020,2693
29/3/2020,2696
3/4/2020,2696
5/4/2020,2708
8/4/2020,2708
10/4/2020,2726
14/4/2020,2727
16/4/2020,2725
21/4/2020,2725
22/4/2020,2785
25/4/2020,2813
29/4/2020,2813
1/5/2020,2845
5/5/2020,2882
7/5/2020,2810
11/5/2020,2767
13/5/2020,2779
16/5/2020,2779
19/5/2020,2825
22/5/2020,2825
25/5/2020,2842
30/5/2020,2842
2/6/2020,2842
3/6/2020,2841
8/6/2020,2841
11/6/2020,2841
13/6/2020,2839
15/6/2020,2850
20/6/2020,2850
22/6/2020,2850
26/6/2020,2879
27/6/2020,2917
30/6/2020,2917
3/7/2020,2917
8/7/2020,2917
10/7/2020,2909
14/7/2020,2909
16/7/2020,2917
19/7/2020,2919
23/7/2020,2919
26/7/2020,2914
28/7/2020,2923
31/7/2020,2920
3/8/2020,2912
7/8/2020,2873
10/8/2020,2873
11/8/2020,2874
14/8/2020,2874
17/8/2020,2874
20/8/2020,2874
23/8/2020,2874
28/8/2020,2874
30/8/2020,2874
1/9/2020,2846
6/9/2020,2834
9/9/2020,2844
11/9/2020,2915
16/9/2020,2909
19/9/2020,2937
22/9/2020,2937
25/9/2020,2937
28/9/2020,2990
30/9/2020,2976
2/10/2020,2976
7/10/2020,2976
9/10/2020,2942
13/10/2020,2942
16/10/2020,2938
19/10/2020,2938
22/10/2020,2938
25/10/2020,2938
28/10/2020,2938
31/10/2020,2938
2/11/2020,2939
4/11/2020,2939
7/11/2020,2939
12/11/2020,2939
15/11/2020,2953
17/11/2020,3030
19/11/2020,3030
24/11/2020,3113
25/11/2020,3175
28/11/2020,3182
2/12/2020,3221
5/12/2020,3227
9/12/2020,3291
12/12/2020,3287
15/12/2020,3335
17/12/2020,3345
19/12/2020,3375
23/12/2020,3376
25/12/2020,3413
29/12/2020,3413
1/1/2021,3428
5/1/2021,3428
8/1/2021,3471
10/1/2021,3471
14/1/2021,3460
16/1/2021,3489
20/1/2021,3480
21/1/2021,3481
24/1/2021,3541
28/1/2021,3597
1/2/2021,3605
3/2/2021,3598
7/2/2021,3604
10/2/2021,3586
12/2/2021,3597
16/2/2021,3561
19/2/2021,3574
22/2/2021,3566
23/2/2021,3534
26/2/2021,3555
3/3/2021,3547
4/3/2021,3546
7/3/2021,3599
8/3/2021,3604
9/3/2021,3585
10/3/2021,3587
11/3/2021,3580
12/3/2021,3586
13/3/2021,3561
14/3/2021,3564
15/3/2021,3588
16/3/2021,3588
17/3/2021,3574
18/3/2021,3560
19/3/2021,3572
20/3/2021,3613
21/3/2021,3632
22/3/2021,3635
23/3/2021,3620
24/3/2021,3620
25/3/2021,3620
26/3/2021,3620
27/3/2021,3620
28/3/2021,3677
29/3/2021,3677
30/3/2021,3677
31/3/2021,3693
1/4/2021,3689
2/4/2021,3708
3/4/2021,3708
4/4/2021,3721
5/4/2021,3721
6/4/2021,3721
7/4/2021,3721
8/4/2021,3765
9/4/2021,3761
10/4/2021,3761
11/4/2021,3780
12/4/2021,3780
13/4/2021,3780
14/4/2021,3784
15/4/2021,3802
16/4/2021,3787
17/4/2021,3797
18/4/2021,3797
19/4/2021,3797
20/4/2021,3808
21/4/2021,3773
22/4/2021,3752
23/4/2021,3752
24/4/2021,3753
25/4/2021,3753
26/4/2021,3767
27/4/2021,3767
28/4/2021,3767
29/4/2021,3794
30/4/2021,3819
1/5/2021,3827
2/5/2021,3827
3/5/2021,3822
4/5/2021,3822
5/5/2021,3799
6/5/2021,3801
7/5/2021,3845
8/5/2021,3832
9/5/2021,3794
10/5/2021,3787
11/5/2021,3787
12/5/2021,3792
13/5/2021,3817
14/5/2021,3773
15/5/2021,3758
16/5/2021,3773
17/5/2021,3773
18/5/2021,3799
19/5/2021,3802
20/5/2021,3788
21/5/2021,3770
22/5/2021,3739
23/5/2021,3739
24/5/2021,3746
25/5/2021,3693
26/5/2021,3693
27/5/2021,3708
28/5/2021,3740
29/5/2021,3687
30/5/2021,3675
31/5/2021,3647
1/6/2021,3646
2/6/2021,3667
3/6/2021,3668
4/6/2021,3656
5/6/2021,3632
6/6/2021,3632
7/6/2021,3632
8/6/2021,3632
9/6/2021,3664
10/6/2021,3683
11/6/2021,3683
12/6/2021,3716
13/6/2021,3716
