Date,Price
8/3/2019,49477
11/3/2019,49477
14/3/2019,49477
17/3/2019,49477
20/3/2019,49477
23/3/2019,49477
26/3/2019,49477
29/3/2019,49477
1/4/2019,49477
4/4/2019,49477
7/4/2019,49477
10/4/2019,49477
13/4/2019,49477
16/4/2019,49477
19/4/2019,49477
22/4/2019,49477
25/4/2019,49477
28/4/2019,49477
1/5/2019,49477
4/5/2019,49477
7/5/2019,49477
10/5/2019,49477
13/5/2019,49477
16/5/2019,49477
19/5/2019,49477
22/5/2019,49477
25/5/2019,49477
28/5/2019,49477
31/5/2019,49477
3/6/2019,49477
6/6/2019,49477
9/6/2019,49477
12/6/2019,49477
15/6/2019,49477
18/6/2019,49477
21/6/2019,49477
24/6/2019,49477
27/6/2019,49477
30/6/2019,49477
3/7/2019,49477
6/7/2019,49477
9/7/2019,49477
12/7/2019,49477
15/7/2019,49477
18/7/2019,49477
21/7/2019,49477
24/7/2019,49477
27/7/2019,49477
30/7/2019,49477
2/8/2019,49477
5/8/2019,49477
8/8/2019,49477
11/8/2019,49477
14/8/2019,49477
17/8/2019,49477
20/8/2019,49477
23/8/2019,49477
26/8/2019,49477
29/8/2019,49477
1/9/2019,49477
4/9/2019,49477
7/9/2019,49477
10/9/2019,49477
13/9/2019,49477
16/9/2019,49477
19/9/2019,49477
22/9/2019,49477
25/9/2019,49477
28/9/2019,49477
1/10/2019,49477
4/10/2019,49477
7/10/2019,49477
10/10/2019,49477
13/10/2019,49477
16/10/2019,49477
19/10/2019,49477
22/10/2019,49477
25/10/2019,49477
28/10/2019,49477
31/10/2019,49477
3/11/2019,49477
6/11/2019,49477
9/11/2019,49477
12/11/2019,49477
15/11/2019,49477
18/11/2019,49477
21/11/2019,49477
24/11/2019,49477
27/11/2019,49477
30/11/2019,49477
1/12/2019,49477
7/12/2019,49477
10/12/2019,49477
13/12/2019,49477
16/12/2019,49477
19/12/2019,49477
22/12/2019,49477
25/12/2019,49477
28/12/2019,49477
31/12/2019,49477
3/1/2020,49477
6/1/2020,49477
9/1/2020,49477
12/1/2020,49477
15/1/2020,49477
18/1/2020,49477
21/1/2020,49477
