Date,Price
8/3/2019,34662
9/3/2019,34662
12/3/2019,34662
15/3/2019,34662
20/3/2019,34662
21/3/2019,35253
24/3/2019,35253
27/3/2019,35253
30/3/2019,35253
2/4/2019,35253
5/4/2019,35253
8/4/2019,35253
11/4/2019,35253
14/4/2019,35253
17/4/2019,35253
22/4/2019,35253
24/4/2019,30669
26/4/2019,30669
29/4/2019,30669
2/5/2019,30669
5/5/2019,30669
10/5/2019,30669
13/5/2019,30472
15/5/2019,30472
17/5/2019,31556
20/5/2019,31556
23/5/2019,31556
26/5/2019,31556
29/5/2019,31556
1/6/2019,31556
4/6/2019,31556
7/6/2019,31556
10/6/2019,31556
13/6/2019,31556
16/6/2019,31556
19/6/2019,31556
22/6/2019,31556
25/6/2019,31556
28/6/2019,31556
1/7/2019,31556
4/7/2019,31556
7/7/2019,31556
10/7/2019,31556
13/7/2019,31556
16/7/2019,31556
19/7/2019,31556
22/7/2019,31556
25/7/2019,31556
28/7/2019,31556
31/7/2019,31556
3/8/2019,31556
6/8/2019,31556
9/8/2019,31556
12/8/2019,31556
15/8/2019,31556
18/8/2019,31556
21/8/2019,31556
24/8/2019,31556
27/8/2019,31556
30/8/2019,31556
2/9/2019,31556
5/9/2019,31556
8/9/2019,31556
11/9/2019,31556
14/9/2019,31556
17/9/2019,31556
20/9/2019,31556
23/9/2019,31556
26/9/2019,31556
29/9/2019,31556
2/10/2019,31556
5/10/2019,31556
8/10/2019,31556
11/10/2019,31556
14/10/2019,31556
17/10/2019,31556
20/10/2019,31556
23/10/2019,31556
26/10/2019,31556
29/10/2019,31556
1/11/2019,31556
4/11/2019,31556
7/11/2019,31556
10/11/2019,31556
13/11/2019,31556
16/11/2019,31556
19/11/2019,31556
22/11/2019,31556
25/11/2019,31556
28/11/2019,31556
1/12/2019,31556
4/12/2019,31556
10/12/2019,31556
12/12/2019,31453
16/12/2019,31453
19/12/2019,31453
22/12/2019,31453
25/12/2019,31453
28/12/2019,31453
31/12/2019,31453
3/1/2020,31453
6/1/2020,31453
9/1/2020,31453
12/1/2020,31453
15/1/2020,31453
18/1/2020,31453
21/1/2020,31453
24/1/2020,31453
27/1/2020,31453
30/1/2020,31453
2/2/2020,31453
5/2/2020,31453
8/2/2020,31453
11/2/2020,31453
14/2/2020,31453
17/2/2020,31453
20/2/2020,31453
23/2/2020,31453
26/2/2020,31453
29/2/2020,31453
3/3/2020,31453
6/3/2020,31453
9/3/2020,31453
12/3/2020,31453
15/3/2020,31453
18/3/2020,31453
21/3/2020,31453
24/3/2020,31453
27/3/2020,31453
30/3/2020,31453
2/4/2020,31453
5/4/2020,31453
8/4/2020,31453
11/4/2020,31453
14/4/2020,31453
17/4/2020,31453
20/4/2020,31453
23/4/2020,31453
26/4/2020,31453
29/4/2020,31453
2/5/2020,31453
5/5/2020,31453
8/5/2020,31453
11/5/2020,31453
14/5/2020,31453
17/5/2020,31453
19/5/2020,31453
21/5/2020,27523
24/5/2020,27523
27/5/2020,27523
30/5/2020,27523
2/6/2020,27523
5/6/2020,27523
8/6/2020,27523
11/6/2020,27523
14/6/2020,27523
17/6/2020,27523
20/6/2020,27523
23/6/2020,27523
26/6/2020,27523
29/6/2020,27523
2/7/2020,27523
5/7/2020,27523
8/7/2020,27523
11/7/2020,27523
14/7/2020,27523
17/7/2020,27523
20/7/2020,27523
23/7/2020,27523
26/7/2020,27523
29/7/2020,27523
1/8/2020,27523
4/8/2020,27523
7/8/2020,27523
10/8/2020,27523
13/8/2020,27523
16/8/2020,27523
19/8/2020,27523
22/8/2020,27523
25/8/2020,27523
28/8/2020,27523
31/8/2020,27523
3/9/2020,27523
7/9/2020,27523
10/9/2020,27523
13/9/2020,27523
18/9/2020,27523
20/9/2020,29199
22/9/2020,29199
27/9/2020,29199
29/9/2020,29199
1/10/2020,29504
6/10/2020,29504
9/10/2020,29504
12/10/2020,29504
15/10/2020,29504
18/10/2020,29504
21/10/2020,29504
24/10/2020,29504
27/10/2020,29504
30/10/2020,29504
2/11/2020,29504
5/11/2020,29504
8/11/2020,29504
11/11/2020,29504
14/11/2020,29504
