Date,Price
8/3/2019,38097
9/3/2019,38097
12/3/2019,38097
15/3/2019,38097
20/3/2019,38097
22/3/2019,38097
26/3/2019,38181
28/3/2019,38181
1/4/2019,39664
2/4/2019,39457
5/4/2019,39457
8/4/2019,39457
11/4/2019,39457
14/4/2019,39457
17/4/2019,39457
20/4/2019,39457
23/4/2019,39457
26/4/2019,39457
29/4/2019,39457
2/5/2019,39457
7/5/2019,39457
9/5/2019,39457
13/5/2019,41971
14/5/2019,41971
17/5/2019,41971
22/5/2019,41971
23/5/2019,42820
28/5/2019,42820
31/5/2019,43086
1/6/2019,43086
4/6/2019,43086
9/6/2019,43086
11/6/2019,43086
13/6/2019,44240
16/6/2019,44240
19/6/2019,44240
22/6/2019,44240
25/6/2019,44240
28/6/2019,44240
3/7/2019,44240
5/7/2019,46014
9/7/2019,46014
11/7/2019,46246
14/7/2019,48942
16/7/2019,48968
21/7/2019,48968
23/7/2019,48968
25/7/2019,49800
28/7/2019,49800
31/7/2019,49800
5/8/2019,49800
6/8/2019,50840
9/8/2019,50840
12/8/2019,51742
15/8/2019,51742
18/8/2019,51742
21/8/2019,51742
26/8/2019,51742
27/8/2019,51971
30/8/2019,51971
2/9/2019,51971
5/9/2019,51971
10/9/2019,51971
12/9/2019,51971
14/9/2019,53037
19/9/2019,53037
22/9/2019,53037
25/9/2019,53037
28/9/2019,53037
1/10/2019,53037
3/10/2019,53112
5/10/2019,53112
8/10/2019,53112
11/10/2019,53112
14/10/2019,53112
19/10/2019,53112
20/10/2019,50236
25/10/2019,50690
26/10/2019,48104
29/10/2019,47278
2/11/2019,47278
4/11/2019,47782
9/11/2019,48553
11/11/2019,48553
13/11/2019,47352
18/11/2019,47352
21/11/2019,47352
24/11/2019,47352
27/11/2019,47352
30/11/2019,47352
1/12/2019,47352
7/12/2019,47352
10/12/2019,47352
12/12/2019,46061
16/12/2019,47066
17/12/2019,45794
21/12/2019,45640
23/12/2019,46821
26/12/2019,46821
31/12/2019,46821
2/1/2020,45510
6/1/2020,45510
9/1/2020,45510
12/1/2020,45510
15/1/2020,45510
18/1/2020,45510
21/1/2020,46726
23/1/2020,46726
27/1/2020,46634
29/1/2020,44519
31/1/2020,44519
3/2/2020,44519
6/2/2020,44519
9/2/2020,44519
12/2/2020,44519
15/2/2020,44519
20/2/2020,44519
23/2/2020,44652
25/2/2020,44652
27/2/2020,44114
2/3/2020,44738
4/3/2020,44738
7/3/2020,44738
10/3/2020,44738
13/3/2020,44738
16/3/2020,44738
19/3/2020,44738
22/3/2020,44738
25/3/2020,44738
28/3/2020,44738
2/4/2020,44738
4/4/2020,44738
6/4/2020,44902
9/4/2020,44902
12/4/2020,44902
15/4/2020,44902
20/4/2020,44902
22/4/2020,44902
25/4/2020,44196
29/4/2020,41209
30/4/2020,41209
3/5/2020,41209
6/5/2020,41209
9/5/2020,41209
12/5/2020,41209
15/5/2020,41209
18/5/2020,41209
21/5/2020,41209
26/5/2020,41209
28/5/2020,41209
30/5/2020,39184
2/6/2020,38870
5/6/2020,38870
8/6/2020,38870
11/6/2020,38870
14/6/2020,38870
19/6/2020,38870
22/6/2020,39220
25/6/2020,39220
26/6/2020,38474
1/7/2020,38474
3/7/2020,39452
5/7/2020,39452
8/7/2020,39452
11/7/2020,39452
16/7/2020,39452
19/7/2020,42986
20/7/2020,41339
25/7/2020,41339
26/7/2020,44525
29/7/2020,44525
1/8/2020,44525
6/8/2020,44525
7/8/2020,44529
12/8/2020,44529
14/8/2020,44529
16/8/2020,44867
19/8/2020,44867
22/8/2020,44867
25/8/2020,44867
28/8/2020,44867
31/8/2020,44867
6/9/2020,44867
8/9/2020,44867
12/9/2020,41148
13/9/2020,41148
16/9/2020,41148
19/9/2020,41148
22/9/2020,41148
25/9/2020,41148
28/9/2020,41148
1/10/2020,41148
4/10/2020,41148
9/10/2020,41148
11/10/2020,41148
13/10/2020,41448
18/10/2020,41448
19/10/2020,43548
22/10/2020,43548
27/10/2020,43548
29/10/2020,42030
31/10/2020,42030
3/11/2020,42030
6/11/2020,42030
9/11/2020,42030
14/11/2020,42030
17/11/2020,42335
18/11/2020,59756
21/11/2020,61052
25/11/2020,61052
29/11/2020,68981
2/12/2020,69657
5/12/2020,69685
7/12/2020,69932
11/12/2020,69976
12/12/2020,69972
17/12/2020,70396
19/12/2020,70201
22/12/2020,70396
24/12/2020,70371
28/12/2020,70435
31/12/2020,70646
2/1/2021,73323
7/1/2021,73083
10/1/2021,74310
13/1/2021,74527
14/1/2021,74332
19/1/2021,74652
22/1/2021,73864
23/1/2021,74114
27/1/2021,74175
29/1/2021,74765
3/2/2021,74757
5/2/2021,75573
7/2/2021,75673
12/2/2021,77527
14/2/2021,79345
16/2/2021,78891
20/2/2021,81353
23/2/2021,90018
25/2/2021,90444
1/3/2021,96568
3/3/2021,95983
7/3/2021,100369
8/3/2021,99141
9/3/2021,99141
10/3/2021,100332
11/3/2021,100428
12/3/2021,99112
13/3/2021,98527
14/3/2021,98347
15/3/2021,97834
16/3/2021,97834
17/3/2021,99019
18/3/2021,101348
19/3/2021,100967
20/3/2021,101037
21/3/2021,101151
22/3/2021,101151
23/3/2021,101245
24/3/2021,103543
25/3/2021,103106
26/3/2021,102722
27/3/2021,102626
28/3/2021,102515
29/3/2021,102515
30/3/2021,102515
31/3/2021,102161
1/4/2021,103685
2/4/2021,103571
3/4/2021,103553
4/4/2021,103553
5/4/2021,103509
6/4/2021,103133
7/4/2021,103380
8/4/2021,104680
9/4/2021,105005
