Date,Price
8/3/2019,16006
9/3/2019,16006
12/3/2019,16006
15/3/2019,16006
18/3/2019,16006
23/3/2019,16006
25/3/2019,16063
27/3/2019,16096
30/3/2019,16096
2/4/2019,16116
7/4/2019,16116
8/4/2019,16130
12/4/2019,16130
16/4/2019,16165
17/4/2019,16209
22/4/2019,16209
25/4/2019,16209
28/4/2019,16209
1/5/2019,16199
4/5/2019,16209
5/5/2019,16289
9/5/2019,16428
13/5/2019,16428
16/5/2019,16431
18/5/2019,16490
21/5/2019,16490
25/5/2019,16504
28/5/2019,16581
30/5/2019,16739
3/6/2019,16739
5/6/2019,16707
9/6/2019,16707
11/6/2019,16707
15/6/2019,16755
16/6/2019,16859
20/6/2019,16859
22/6/2019,16892
27/6/2019,16892
28/6/2019,16990
1/7/2019,16990
4/7/2019,16990
7/7/2019,16990
10/7/2019,16990
13/7/2019,16990
18/7/2019,16990
21/7/2019,16995
23/7/2019,16995
25/7/2019,16995
30/7/2019,16995
31/7/2019,17049
3/8/2019,17049
8/8/2019,17049
9/8/2019,17100
12/8/2019,17162
15/8/2019,17137
18/8/2019,17137
21/8/2019,17174
24/8/2019,17174
27/8/2019,17250
1/9/2019,17250
3/9/2019,17250
7/9/2019,17255
10/9/2019,17236
12/9/2019,17265
16/9/2019,17265
17/9/2019,17342
22/9/2019,17267
23/9/2019,17307
26/9/2019,17277
29/9/2019,17277
2/10/2019,17277
7/10/2019,17277
8/10/2019,17220
13/10/2019,17220
15/10/2019,17247
19/10/2019,17190
22/10/2019,17057
23/10/2019,17103
26/10/2019,17068
29/10/2019,17045
1/11/2019,17047
4/11/2019,17047
7/11/2019,17047
12/11/2019,17047
14/11/2019,17004
18/11/2019,17004
19/11/2019,17011
22/11/2019,17011
27/11/2019,17011
30/11/2019,17023
3/12/2019,16993
4/12/2019,16909
10/12/2019,16900
12/12/2019,16906
14/12/2019,16794
17/12/2019,16794
20/12/2019,16663
25/12/2019,16663
26/12/2019,16646
30/12/2019,16646
1/1/2020,16623
4/1/2020,16642
9/1/2020,16642
10/1/2020,16593
13/1/2020,16593
18/1/2020,16593
20/1/2020,16608
22/1/2020,16608
27/1/2020,16608
28/1/2020,16603
2/2/2020,16603
3/2/2020,16529
6/2/2020,16485
11/2/2020,16485
13/2/2020,16427
17/2/2020,16438
19/2/2020,16438
22/2/2020,16507
25/2/2020,16468
29/2/2020,16505
1/3/2020,16505
6/3/2020,16505
8/3/2020,16449
12/3/2020,16449
14/3/2020,16449
17/3/2020,16447
20/3/2020,16445
22/3/2020,16421
25/3/2020,16421
28/3/2020,16421
31/3/2020,16421
5/4/2020,16421
7/4/2020,16457
9/4/2020,16442
14/4/2020,16441
16/4/2020,16703
18/4/2020,16559
21/4/2020,16626
24/4/2020,16636
29/4/2020,16636
30/4/2020,16608
3/5/2020,16608
7/5/2020,16564
11/5/2020,16564
14/5/2020,16637
17/5/2020,16637
19/5/2020,16604
23/5/2020,16604
24/5/2020,16609
29/5/2020,16609
30/5/2020,16512
3/6/2020,16541
5/6/2020,16504
8/6/2020,16504
13/6/2020,16504
15/6/2020,16554
19/6/2020,16484
20/6/2020,16518
23/6/2020,16525
27/6/2020,16511
29/6/2020,16525
4/7/2020,16525
5/7/2020,16497
8/7/2020,16499
13/7/2020,16499
15/7/2020,16515
19/7/2020,16515
22/7/2020,16744
25/7/2020,16626
26/7/2020,16658
31/7/2020,16658
3/8/2020,16633
5/8/2020,16676
9/8/2020,16664
11/8/2020,16664
15/8/2020,16780
17/8/2020,16802
19/8/2020,16802
22/8/2020,16802
27/8/2020,16802
28/8/2020,16943
31/8/2020,16999
3/9/2020,17024
9/9/2020,17024
11/9/2020,17086
13/9/2020,17086
16/9/2020,17086
19/9/2020,17086
24/9/2020,17086
26/9/2020,17126
30/9/2020,17078
1/10/2020,17078
4/10/2020,17234
9/10/2020,17234
