Date,Price
8/3/2019,10155
11/3/2019,10155
14/3/2019,10143
15/3/2019,10257
20/3/2019,10245
21/3/2019,10179
24/3/2019,10289
28/3/2019,10251
1/4/2019,10267
3/4/2019,10373
6/4/2019,10456
8/4/2019,10328
12/4/2019,10337
14/4/2019,10543
18/4/2019,10351
20/4/2019,10069
25/4/2019,10087
27/4/2019,10411
30/4/2019,10438
2/5/2019,10588
6/5/2019,10608
9/5/2019,10507
11/5/2019,10665
14/5/2019,10590
18/5/2019,10642
20/5/2019,10804
25/5/2019,10804
28/5/2019,10470
30/5/2019,10512
3/6/2019,10512
5/6/2019,10615
9/6/2019,10485
12/6/2019,10955
15/6/2019,10955
17/6/2019,10930
20/6/2019,11233
22/6/2019,11260
27/6/2019,11235
28/6/2019,10768
2/7/2019,10735
4/7/2019,10809
9/7/2019,10809
10/7/2019,10758
15/7/2019,10770
18/7/2019,10649
21/7/2019,10649
22/7/2019,10756
25/7/2019,10671
29/7/2019,10663
31/7/2019,10839
3/8/2019,10902
7/8/2019,10930
9/8/2019,10818
12/8/2019,10875
15/8/2019,10797
18/8/2019,10842
21/8/2019,10704
26/8/2019,10729
28/8/2019,11147
30/8/2019,11199
4/9/2019,11199
6/9/2019,11180
8/9/2019,11331
13/9/2019,11269
16/9/2019,11726
17/9/2019,11780
22/9/2019,11728
24/9/2019,11574
26/9/2019,11548
1/10/2019,11582
4/10/2019,11524
5/10/2019,11281
10/10/2019,11261
11/10/2019,11366
15/10/2019,11280
19/10/2019,11280
21/10/2019,11230
25/10/2019,11344
26/10/2019,10890
30/10/2019,10857
1/11/2019,10933
4/11/2019,10876
9/11/2019,10939
11/11/2019,10942
15/11/2019,11131
16/11/2019,10857
21/11/2019,11046
22/11/2019,10950
26/11/2019,10947
28/11/2019,10969
3/12/2019,11009
5/12/2019,11407
9/12/2019,11442
12/12/2019,11528
16/12/2019,11515
19/12/2019,11457
20/12/2019,11457
25/12/2019,11247
28/12/2019,10796
29/12/2019,11351
3/1/2020,11275
5/1/2020,11154
7/1/2020,11154
12/1/2020,11154
14/1/2020,10943
18/1/2020,10943
20/1/2020,10243
23/1/2020,10737
26/1/2020,10663
28/1/2020,10648
2/2/2020,10674
4/2/2020,10358
7/2/2020,10147
10/2/2020,10147
13/2/2020,9774
17/2/2020,9730
18/2/2020,9452
23/2/2020,9509
25/2/2020,9684
27/2/2020,9661
3/3/2020,9661
5/3/2020,9907
8/3/2020,9535
10/3/2020,9618
15/3/2020,9936
17/3/2020,10247
20/3/2020,10250
22/3/2020,9970
25/3/2020,9970
28/3/2020,9653
2/4/2020,9624
3/4/2020,9665
7/4/2020,9660
10/4/2020,9736
12/4/2020,10384
17/4/2020,10653
20/4/2020,9789
23/4/2020,9855
26/4/2020,10361
27/4/2020,10513
1/5/2020,10196
4/5/2020,10377
7/5/2020,10341
10/5/2020,10621
12/5/2020,10663
16/5/2020,10616
20/5/2020,10731
22/5/2020,11048
25/5/2020,10938
27/5/2020,11143
31/5/2020,11145
2/6/2020,11205
7/6/2020,11234
10/6/2020,11530
11/6/2020,11597
15/6/2020,11728
18/6/2020,11590
22/6/2020,11713
24/6/2020,11677
27/6/2020,11709
1/7/2020,11930
3/7/2020,12333
7/7/2020,12235
8/7/2020,11530
12/7/2020,11837
15/7/2020,11741
18/7/2020,10888
20/7/2020,11538
24/7/2020,11320
27/7/2020,11320
31/7/2020,11282
2/8/2020,10953
6/8/2020,11045
9/8/2020,10923
10/8/2020,11383
13/8/2020,10927
17/8/2020,10919
20/8/2020,11184
23/8/2020,11192
27/8/2020,11105
30/8/2020,11139
31/8/2020,11522
5/9/2020,11055
9/9/2020,11329
10/9/2020,10616
15/9/2020,9943
16/9/2020,10141
19/9/2020,10173
23/9/2020,10059
25/9/2020,9856
30/9/2020,9898
1/10/2020,10075
6/10/2020,10134
9/10/2020,9898
12/10/2020,10007
14/10/2020,10007
18/10/2020,10042
20/10/2020,9891
24/10/2020,9726
25/10/2020,10061
29/10/2020,10026
2/11/2020,10331
3/11/2020,11709
6/11/2020,11275
10/11/2020,10823
14/11/2020,10873
16/11/2020,13891
18/11/2020,13890
22/11/2020,13777
25/11/2020,13802
27/11/2020,13776
1/12/2020,13743
3/12/2020,13849
6/12/2020,13849
9/12/2020,13806
13/12/2020,13865
17/12/2020,13775
19/12/2020,13387
22/12/2020,13389
24/12/2020,13531
29/12/2020,13485
1/1/2021,13538
4/1/2021,13562
7/1/2021,13533
9/1/2021,13658
12/1/2021,13597
15/1/2021,13651
17/1/2021,13572
21/1/2021,13603
23/1/2021,13386
26/1/2021,13487
29/1/2021,13526
1/2/2021,13460
6/2/2021,13622
7/2/2021,13674
10/2/2021,13588
13/2/2021,13669
16/2/2021,13677
19/2/2021,13737
22/2/2021,13891
25/2/2021,13950
1/3/2021,13845
4/3/2021,13837
7/3/2021,13913
8/3/2021,13855
9/3/2021,13864
10/3/2021,13937
11/3/2021,13987
12/3/2021,14020
13/3/2021,14017
14/3/2021,13990
15/3/2021,13999
16/3/2021,14016
17/3/2021,14053
18/3/2021,14030
19/3/2021,14013
20/3/2021,14026
21/3/2021,14026
22/3/2021,13963
23/3/2021,13962
24/3/2021,14123
25/3/2021,14086
26/3/2021,14070
27/3/2021,14037
28/3/2021,14093
29/3/2021,14118
30/3/2021,14116
31/3/2021,14129
1/4/2021,14120
2/4/2021,14174
3/4/2021,14128
4/4/2021,14137
5/4/2021,14089
6/4/2021,14022
7/4/2021,14067
8/4/2021,14002
9/4/2021,13973
10/4/2021,13942
11/4/2021,13930
12/4/2021,13970
13/4/2021,14016
14/4/2021,14030
15/4/2021,14013
16/4/2021,13976
17/4/2021,14003
18/4/2021,14035
19/4/2021,14049
20/4/2021,14090
21/4/2021,14124
22/4/2021,14119
23/4/2021,13946
24/4/2021,14031
25/4/2021,14051
26/4/2021,14032
27/4/2021,14017
28/4/2021,14052
29/4/2021,14102
30/4/2021,14126
1/5/2021,14140
2/5/2021,14142
3/5/2021,14138
4/5/2021,14145
5/5/2021,14165
6/5/2021,14207
7/5/2021,14186
8/5/2021,14217
9/5/2021,14190
10/5/2021,14172
11/5/2021,14204
12/5/2021,14344
13/5/2021,14297
14/5/2021,14303
15/5/2021,14304
16/5/2021,14332
17/5/2021,14336
18/5/2021,14310
19/5/2021,14300
20/5/2021,14293
21/5/2021,14272
22/5/2021,14286
23/5/2021,14283
24/5/2021,14290
25/5/2021,14310
26/5/2021,14332
27/5/2021,14372
28/5/2021,14324
29/5/2021,14414
30/5/2021,14440
31/5/2021,14515
1/6/2021,14540
2/6/2021,14538
3/6/2021,14507
4/6/2021,14517
5/6/2021,14507
6/6/2021,14491
7/6/2021,14569
8/6/2021,14593
9/6/2021,14622
10/6/2021,14571
11/6/2021,14466
12/6/2021,14484
13/6/2021,14478
14/6/2021,14469
15/6/2021,14467
16/6/2021,14485
17/6/2021,14520
18/6/2021,14508
19/6/2021,14502
20/6/2021,14533
21/6/2021,14545
22/6/2021,14565
23/6/2021,14534
24/6/2021,14499
25/6/2021,14474
26/6/2021,14441
27/6/2021,14501
28/6/2021,14381
29/6/2021,14366
30/6/2021,14365
1/7/2021,14341
2/7/2021,14516
3/7/2021,14522
4/7/2021,14559
5/7/2021,14615
6/7/2021,14642
7/7/2021,14534
8/7/2021,14535
9/7/2021,14547
10/7/2021,14547
11/7/2021,14588
12/7/2021,14556
13/7/2021,14531
14/7/2021,14486
15/7/2021,14504
16/7/2021,14595
17/7/2021,14561
18/7/2021,14526
19/7/2021,14637
20/7/2021,14641
21/7/2021,14621
22/7/2021,14627
23/7/2021,14637
24/7/2021,14704
25/7/2021,14754
26/7/2021,14728
27/7/2021,14785
28/7/2021,14744
29/7/2021,14797
30/7/2021,14750
31/7/2021,14686
1/8/2021,14780
2/8/2021,14634
3/8/2021,14616
4/8/2021,14602
5/8/2021,14544
6/8/2021,14533
7/8/2021,14501
8/8/2021,14484
9/8/2021,14493
10/8/2021,14447
11/8/2021,14468
12/8/2021,14468
13/8/2021,14485
14/8/2021,14547
15/8/2021,14580
16/8/2021,14581
17/8/2021,14598
18/8/2021,14659
