Date,Price
9/3/2019,16113
10/3/2019,16113
13/3/2019,16113
16/3/2019,16113
19/3/2019,16113
22/3/2019,16113
27/3/2019,16113
29/3/2019,16113
31/3/2019,16141
3/4/2019,16141
6/4/2019,16141
9/4/2019,16141
12/4/2019,16141
15/4/2019,16141
18/4/2019,16141
21/4/2019,16141
24/4/2019,16141
27/4/2019,16141
30/4/2019,16141
3/5/2019,16141
6/5/2019,16141
9/5/2019,16141
12/5/2019,16141
15/5/2019,16141
18/5/2019,16141
21/5/2019,16141
24/5/2019,16141
27/5/2019,16141
30/5/2019,16141
2/6/2019,16141
7/6/2019,16141
9/6/2019,16141
11/6/2019,16726
14/6/2019,16726
17/6/2019,16726
20/6/2019,16726
23/6/2019,16726
26/6/2019,16726
29/6/2019,16726
2/7/2019,16726
5/7/2019,16726
10/7/2019,16726
12/7/2019,16726
14/7/2019,16858
17/7/2019,16858
20/7/2019,16858
23/7/2019,16858
26/7/2019,16858
29/7/2019,16858
1/8/2019,16858
4/8/2019,16858
7/8/2019,16858
10/8/2019,16858
13/8/2019,16858
16/8/2019,16858
19/8/2019,16858
22/8/2019,16858
25/8/2019,16858
28/8/2019,16858
31/8/2019,16858
3/9/2019,16858
6/9/2019,16858
9/9/2019,16858
12/9/2019,16858
15/9/2019,16858
18/9/2019,16858
21/9/2019,16858
24/9/2019,16858
27/9/2019,16858
30/9/2019,16858
3/10/2019,16858
6/10/2019,16858
9/10/2019,16858
12/10/2019,16858
15/10/2019,16858
18/10/2019,16858
21/10/2019,16858
24/10/2019,16858
27/10/2019,16858
30/10/2019,16858
2/11/2019,16858
5/11/2019,16858
8/11/2019,16858
11/11/2019,16858
14/11/2019,16858
17/11/2019,16858
20/11/2019,16858
23/11/2019,16858
26/11/2019,16858
29/11/2019,16858
2/12/2019,16858
5/12/2019,16858
11/12/2019,16858
12/12/2019,17174
15/12/2019,17174
18/12/2019,17410
21/12/2019,17410
24/12/2019,17410
27/12/2019,17410
30/12/2019,17410
2/1/2020,17410
5/1/2020,17410
8/1/2020,17410
11/1/2020,17410
14/1/2020,17410
17/1/2020,17410
20/1/2020,17410
23/1/2020,17410
26/1/2020,17410
29/1/2020,17410
1/2/2020,17410
4/2/2020,17410
7/2/2020,17410
12/2/2020,17410
13/2/2020,17142
16/2/2020,17142
19/2/2020,17142
22/2/2020,17142
25/2/2020,17142
28/2/2020,17142
2/3/2020,17142
5/3/2020,17142
8/3/2020,17142
11/3/2020,17142
14/3/2020,17142
17/3/2020,17142
20/3/2020,17142
23/3/2020,17142
26/3/2020,17142
29/3/2020,17142
1/4/2020,17142
4/4/2020,17142
7/4/2020,17142
10/4/2020,17142
13/4/2020,17142
16/4/2020,17142
19/4/2020,17142
22/4/2020,17142
25/4/2020,17142
28/4/2020,17142
1/5/2020,17142
4/5/2020,17142
7/5/2020,17142
10/5/2020,17142
13/5/2020,17142
16/5/2020,17142
19/5/2020,17142
22/5/2020,17142
25/5/2020,17142
28/5/2020,17142
31/5/2020,17142
3/6/2020,17142
6/6/2020,17142
9/6/2020,17142
12/6/2020,17142
15/6/2020,17142
18/6/2020,17142
21/6/2020,17142
24/6/2020,17142
27/6/2020,17142
30/6/2020,17142
3/7/2020,17142
6/7/2020,17142
9/7/2020,17142
12/7/2020,17142
15/7/2020,17142
18/7/2020,17142
21/7/2020,17142
24/7/2020,17142
27/7/2020,17142
30/7/2020,17142
2/8/2020,17142
5/8/2020,17142
8/8/2020,17142
11/8/2020,17142
14/8/2020,17142
17/8/2020,17142
20/8/2020,17142
23/8/2020,17142
26/8/2020,17142
29/8/2020,17142
1/9/2020,17142
4/9/2020,17142
8/9/2020,17142
11/9/2020,17142
14/9/2020,17142
17/9/2020,17142
20/9/2020,17142
23/9/2020,17142
26/9/2020,17142
29/9/2020,17142
2/10/2020,17142
5/10/2020,17142
8/10/2020,17142
11/10/2020,17142
14/10/2020,17142
17/10/2020,17142
20/10/2020,17142
23/10/2020,17142
26/10/2020,17142
29/10/2020,17142
1/11/2020,17142
4/11/2020,17142
7/11/2020,17142
12/11/2020,17142
14/11/2020,17142
16/11/2020,17883
21/11/2020,18378
24/11/2020,18378
25/11/2020,18689
28/11/2020,18598
1/12/2020,18585
4/12/2020,18585
7/12/2020,18585
10/12/2020,18585
15/12/2020,18585
16/12/2020,18664
20/12/2020,18781
23/12/2020,18781
26/12/2020,18795
28/12/2020,18899
31/12/2020,18887
5/1/2021,18887
6/1/2021,18907
11/1/2021,18907
12/1/2021,18956
15/1/2021,18956
18/1/2021,18956
23/1/2021,18956
26/1/2021,19435
29/1/2021,19435
31/1/2021,19435
4/2/2021,19995
7/2/2021,19995
10/2/2021,20407
13/2/2021,20415
14/2/2021,20415
18/2/2021,20750
21/2/2021,21229
25/2/2021,21272
27/2/2021,21127
1/3/2021,21127
4/3/2021,21581
8/3/2021,21950
9/3/2021,21950
10/3/2021,22076
11/3/2021,22076
12/3/2021,22918
13/3/2021,22918
14/3/2021,22918
15/3/2021,22918
16/3/2021,23147
17/3/2021,23325
18/3/2021,23325
19/3/2021,23325
20/3/2021,23325
21/3/2021,23325
22/3/2021,23386
23/3/2021,23431
24/3/2021,23431
25/3/2021,23142
26/3/2021,23142
27/3/2021,22585
28/3/2021,22549
29/3/2021,22549
30/3/2021,22549
31/3/2021,22583
1/4/2021,22583
2/4/2021,22474
3/4/2021,22474
4/4/2021,22699
5/4/2021,22661
6/4/2021,23252
7/4/2021,23478
8/4/2021,23478
9/4/2021,23664
10/4/2021,23664
11/4/2021,23664
12/4/2021,23726
13/4/2021,23952
14/4/2021,23903
15/4/2021,23963
16/4/2021,24061
17/4/2021,24061
18/4/2021,24061
19/4/2021,24129
20/4/2021,24129
21/4/2021,24129
22/4/2021,24129
23/4/2021,24221
24/4/2021,24221
25/4/2021,24221
26/4/2021,24344
27/4/2021,24644
28/4/2021,24816
29/4/2021,24855
30/4/2021,24993
1/5/2021,25384
2/5/2021,25304
3/5/2021,25429
4/5/2021,25206
5/5/2021,25206
6/5/2021,25206
7/5/2021,25152
8/5/2021,25233
9/5/2021,25330
10/5/2021,25330
11/5/2021,25680
12/5/2021,25887
13/5/2021,26323
14/5/2021,26323
15/5/2021,26323
16/5/2021,26323
17/5/2021,26323
18/5/2021,26323
19/5/2021,26323
20/5/2021,26323
21/5/2021,26323
22/5/2021,26323
23/5/2021,26323
24/5/2021,26323
25/5/2021,26323
26/5/2021,26323
27/5/2021,26323
28/5/2021,26662
29/5/2021,27192
30/5/2021,27192
31/5/2021,27192
1/6/2021,27192
2/6/2021,27192
3/6/2021,27192
4/6/2021,27507
5/6/2021,27507
6/6/2021,27507
7/6/2021,27507
8/6/2021,27507
9/6/2021,27335
10/6/2021,27424
11/6/2021,27424
12/6/2021,27424
13/6/2021,27424
14/6/2021,27424
15/6/2021,27424
16/6/2021,27424
17/6/2021,27424
18/6/2021,27379
19/6/2021,27379
20/6/2021,27379
21/6/2021,27379
22/6/2021,27379
23/6/2021,27379
24/6/2021,27379
25/6/2021,27379
26/6/2021,27311
27/6/2021,27223
28/6/2021,28224
29/6/2021,28224
30/6/2021,28224
1/7/2021,28463
2/7/2021,28463
3/7/2021,28463
4/7/2021,28773
5/7/2021,28773
6/7/2021,28773
7/7/2021,28773
8/7/2021,28773
9/7/2021,28989
10/7/2021,28989
11/7/2021,28989
12/7/2021,28989
13/7/2021,29014
14/7/2021,30116
15/7/2021,30116
16/7/2021,30116
17/7/2021,30116
18/7/2021,30116
19/7/2021,30116
20/7/2021,30116
21/7/2021,30300
22/7/2021,30300
23/7/2021,30300
24/7/2021,30300
25/7/2021,30300
26/7/2021,30300
27/7/2021,30572
28/7/2021,30872
29/7/2021,30872
30/7/2021,30872
31/7/2021,30872
1/8/2021,30872
2/8/2021,31086
3/8/2021,31264
4/8/2021,31264
5/8/2021,31264
6/8/2021,31708
7/8/2021,31708
8/8/2021,31708
9/8/2021,31915
10/8/2021,31915
11/8/2021,31953
12/8/2021,31974
13/8/2021,32292
14/8/2021,32391
15/8/2021,32503
16/8/2021,32503
17/8/2021,32644
18/8/2021,32644
19/8/2021,32644
20/8/2021,32644
21/8/2021,32644
22/8/2021,32739
23/8/2021,33231
24/8/2021,33794
25/8/2021,33848
26/8/2021,33765
27/8/2021,33663
28/8/2021,33663
29/8/2021,33663
30/8/2021,33663
31/8/2021,33892
1/9/2021,33874
2/9/2021,34056
3/9/2021,33833
4/9/2021,33979
5/9/2021,33979
6/9/2021,34087
7/9/2021,34074
8/9/2021,34074
9/9/2021,34074
10/9/2021,34532
11/9/2021,34532
12/9/2021,34532
13/9/2021,34532
14/9/2021,34524
15/9/2021,34524
16/9/2021,34823
17/9/2021,34385
18/9/2021,34385
19/9/2021,34385
20/9/2021,34385
21/9/2021,34442
22/9/2021,34550
23/9/2021,34476
24/9/2021,34476
25/9/2021,34454
26/9/2021,34454
27/9/2021,34437
28/9/2021,34028
29/9/2021,34028
30/9/2021,33959
1/10/2021,34146
2/10/2021,34989
3/10/2021,34989
4/10/2021,34989
5/10/2021,34989
6/10/2021,34989
7/10/2021,35051
8/10/2021,35176
9/10/2021,35176
10/10/2021,35176
11/10/2021,35425
12/10/2021,35425
13/10/2021,35425
14/10/2021,35480
15/10/2021,35480
16/10/2021,35480
17/10/2021,35480
18/10/2021,35507
19/10/2021,35245
20/10/2021,35032
21/10/2021,35124
22/10/2021,35107
23/10/2021,35107
24/10/2021,35107
25/10/2021,35107
26/10/2021,35107
27/10/2021,35107
28/10/2021,35107
29/10/2021,35050
30/10/2021,35050
31/10/2021,34905
1/11/2021,35009
2/11/2021,35096
3/11/2021,35147
4/11/2021,35147
5/11/2021,35147
6/11/2021,35147
7/11/2021,35221
8/11/2021,35221
9/11/2021,35221
10/11/2021,35221
11/11/2021,35221
12/11/2021,35221
13/11/2021,35276
14/11/2021,35338
15/11/2021,35348
16/11/2021,35348
17/11/2021,35589
18/11/2021,35589
19/11/2021,35576
20/11/2021,35576
21/11/2021,35791
22/11/2021,35791
23/11/2021,35953
24/11/2021,35953
25/11/2021,35953
26/11/2021,36029
27/11/2021,36166
28/11/2021,36166
29/11/2021,36283
30/11/2021,36283
1/12/2021,36435
2/12/2021,36435
3/12/2021,36430
4/12/2021,36430
5/12/2021,36568
6/12/2021,37359
7/12/2021,37359
8/12/2021,37359
9/12/2021,37359
10/12/2021,37359
11/12/2021,37153
12/12/2021,37153
13/12/2021,37153
14/12/2021,37333
15/12/2021,37333
16/12/2021,37475
17/12/2021,37436
18/12/2021,37436
19/12/2021,37436
20/12/2021,37436
21/12/2021,37436
22/12/2021,37724
23/12/2021,38039
24/12/2021,37617
25/12/2021,37617
26/12/2021,37617
27/12/2021,37617
28/12/2021,37617
29/12/2021,37617
30/12/2021,37617
31/12/2021,37944
1/1/2022,37356
2/1/2022,38468
3/1/2022,38468
4/1/2022,38468
5/1/2022,38468
6/1/2022,38806
7/1/2022,39414
8/1/2022,39483
9/1/2022,39505
10/1/2022,39505
11/1/2022,40027
12/1/2022,40027
13/1/2022,40027
14/1/2022,40027
15/1/2022,40027
16/1/2022,40027
17/1/2022,40286
18/1/2022,40286
19/1/2022,40086
20/1/2022,40086
21/1/2022,40086
22/1/2022,40086
23/1/2022,40479
24/1/2022,41033
25/1/2022,40994
26/1/2022,40994
27/1/2022,41098
28/1/2022,41098
29/1/2022,41673
30/1/2022,41962
31/1/2022,41962
1/2/2022,41962
2/2/2022,42116
3/2/2022,43121
4/2/2022,43121
5/2/2022,43121
6/2/2022,43121
7/2/2022,43121
8/2/2022,42890
9/2/2022,42890
10/2/2022,43864
11/2/2022,44307
12/2/2022,46012
13/2/2022,46012
14/2/2022,46012
15/2/2022,46012
16/2/2022,46012
17/2/2022,45890
18/2/2022,45890
19/2/2022,46817
20/2/2022,46817
21/2/2022,47677
22/2/2022,47759
23/2/2022,47625
24/2/2022,47625
25/2/2022,47625
26/2/2022,47718
