Date,Price
9/3/2019,8688
10/3/2019,8688
13/3/2019,8688
16/3/2019,8688
19/3/2019,8688
22/3/2019,8688
25/3/2019,8688
28/3/2019,8688
31/3/2019,8688
3/4/2019,8688
6/4/2019,8688
9/4/2019,8688
12/4/2019,8688
15/4/2019,8688
18/4/2019,8688
21/4/2019,8688
24/4/2019,8688
27/4/2019,8688
30/4/2019,8688
3/5/2019,8688
6/5/2019,8688
9/5/2019,8688
12/5/2019,8688
15/5/2019,8688
18/5/2019,8688
21/5/2019,8688
24/5/2019,8688
27/5/2019,8688
30/5/2019,8688
2/6/2019,8688
5/6/2019,8688
8/6/2019,8688
11/6/2019,8688
14/6/2019,8688
17/6/2019,8688
20/6/2019,8688
23/6/2019,8688
26/6/2019,8688
29/6/2019,8688
2/7/2019,8688
5/7/2019,8688
8/7/2019,8688
11/7/2019,8688
14/7/2019,8688
17/7/2019,8688
20/7/2019,8688
23/7/2019,8688
26/7/2019,8688
29/7/2019,8688
1/8/2019,8688
4/8/2019,8688
7/8/2019,8688
10/8/2019,8688
13/8/2019,8688
16/8/2019,8688
19/8/2019,8688
22/8/2019,8688
25/8/2019,8688
28/8/2019,8688
31/8/2019,8688
3/9/2019,8688
6/9/2019,8688
9/9/2019,8688
12/9/2019,8688
15/9/2019,8688
18/9/2019,8688
21/9/2019,8688
24/9/2019,8688
27/9/2019,8688
30/9/2019,8688
3/10/2019,8688
6/10/2019,8688
9/10/2019,8688
12/10/2019,8688
15/10/2019,8688
18/10/2019,8688
21/10/2019,8688
24/10/2019,8688
27/10/2019,8688
30/10/2019,8688
2/11/2019,8688
5/11/2019,8688
8/11/2019,8688
11/11/2019,8688
14/11/2019,8688
17/11/2019,8688
20/11/2019,8688
23/11/2019,8688
26/11/2019,8688
29/11/2019,8688
2/12/2019,8688
5/12/2019,8688
9/12/2019,8688
12/12/2019,8688
15/12/2019,8688
18/12/2019,8688
21/12/2019,8688
24/12/2019,8688
27/12/2019,8688
30/12/2019,8688
2/1/2020,8688
5/1/2020,8688
8/1/2020,8688
11/1/2020,8688
14/1/2020,8688
17/1/2020,8688
20/1/2020,8688
23/1/2020,8688
26/1/2020,8688
29/1/2020,8688
1/2/2020,8688
