,Date,Price
730,2017-03-12,39790.0
731,2017-03-13,39790.0
732,2017-03-18,39790.0
733,2017-03-27,39790.0
734,2017-03-30,39790.0
735,2017-04-06,39790.0
736,2017-04-10,39841.0
737,2017-04-12,39846.0
738,2017-04-21,39846.0
739,2017-04-24,39846.0
740,2017-04-27,39865.0
741,2017-05-05,39865.0
742,2017-05-07,39868.0
743,2017-05-16,39870.0
744,2017-05-19,39843.0
745,2017-05-26,39843.0
746,2017-05-29,39602.0
747,2017-06-05,39602.0
748,2017-06-08,39602.0
749,2017-06-12,39614.0
750,2017-06-19,39630.0
751,2017-06-21,39624.0
752,2017-06-26,39624.0
753,2017-07-01,39624.0
754,2017-07-10,39624.0
755,2017-07-12,39588.0
756,2017-07-18,39588.0
757,2017-07-21,39587.0
758,2017-07-26,39587.0
759,2017-08-04,39587.0
760,2017-08-09,39589.0
761,2017-08-13,39584.0
762,2017-08-19,39589.0
763,2017-08-22,39560.0
764,2017-08-27,39561.0
765,2017-08-30,39603.0
766,2017-09-05,39646.0
767,2017-09-13,39646.0
768,2017-09-17,39643.0
769,2017-09-19,39643.0
770,2017-09-24,39643.0
771,2017-09-29,39643.0
772,2017-10-04,39643.0
773,2017-10-09,39643.0
774,2017-10-14,39643.0
775,2017-10-23,39643.0
776,2017-10-28,39643.0
777,2017-10-30,39674.0
778,2017-11-04,39674.0
779,2017-11-13,39674.0
780,2017-11-17,39744.0
781,2017-11-23,39744.0
782,2017-11-26,39749.0
783,2017-11-29,39749.0
784,2017-12-04,39749.0
785,2017-12-09,39749.0
786,2017-12-14,39749.0
787,2017-12-19,39749.0
788,2017-12-24,39749.0
789,2017-12-29,39749.0
790,2018-01-03,39749.0
791,2018-01-08,39749.0
792,2018-01-17,39749.0
793,2018-01-19,39766.0
794,2018-01-27,39766.0
795,2018-02-01,39779.0
796,2018-02-02,39914.0
797,2018-02-11,39914.0
798,2018-02-14,39914.0
799,2018-02-20,39946.0
800,2018-02-22,39989.0
801,2018-02-28,39985.0
802,2018-03-07,40015.0
803,2018-03-09,40015.0
804,2018-03-18,40015.0
805,2018-03-22,40013.0
806,2018-03-24,40013.0
807,2018-04-02,40013.0
808,2018-04-04,40064.0
809,2018-04-12,40119.0
810,2018-04-13,40077.0
811,2018-04-20,40077.0
812,2018-04-24,40130.0
813,2018-04-29,40135.0
814,2018-05-05,40325.0
815,2018-05-08,40325.0
816,2018-05-17,40325.0
817,2018-05-20,40519.0
818,2018-05-23,40519.0
819,2018-06-01,40519.0
820,2018-06-05,40515.0
821,2018-06-07,40515.0
822,2018-06-13,40515.0
823,2018-06-18,40515.0
824,2018-06-27,40515.0
825,2018-06-30,40535.0
826,2018-07-05,40535.0
827,2018-07-12,40587.0
828,2018-07-13,40587.0
829,2018-07-18,40587.0
830,2018-07-23,40587.0
831,2018-07-28,40587.0
832,2018-08-06,40587.0
833,2018-08-10,40689.0
834,2018-08-13,40689.0
835,2018-08-17,40784.0
836,2018-08-24,40874.0
837,2018-08-30,40874.0
838,2018-09-01,40806.0
839,2018-09-06,40831.0
840,2018-09-13,40831.0
841,2018-09-19,40850.0
842,2018-09-25,40914.0
843,2018-09-27,41051.0
844,2018-10-01,41084.0
845,2018-10-06,41084.0
846,2018-10-15,41084.0
847,2018-10-16,40965.0
848,2018-10-22,40991.0
849,2018-10-30,40991.0
850,2018-10-31,41010.0
851,2018-11-09,41010.0
852,2018-11-11,41010.0
853,2018-11-17,41568.0
854,2018-11-20,41585.0
855,2018-11-25,41585.0
856,2018-12-04,41585.0
857,2018-12-07,41492.0
858,2018-12-11,41598.0
859,2018-12-17,41607.0
860,2018-12-20,41712.0
861,2018-12-29,41712.0
862,2019-01-01,41741.0
863,2019-01-06,41758.0
864,2019-01-13,41763.0
865,2019-01-14,41694.0
866,2019-01-20,41725.0
867,2019-01-29,41725.0
868,2019-02-03,41742.0
869,2019-02-04,41866.0
870,2019-02-13,41887.0
871,2019-02-16,41887.0
872,2019-02-19,41996.0
873,2019-02-28,42059.0
874,2019-03-02,42019.0
875,2019-03-08,42029.0
365,2019-03-12,42013.0
366,2019-03-15,42013.0
367,2019-03-16,42038.0
877,2019-03-20,42038.0
878,2019-03-21,41979.0
369,2019-03-22,41979.0
370,2019-03-27,41990.0
879,2019-03-29,42011.0
