Date,Price
8/3/2019,29977
10/3/2019,29831
12/3/2019,29831
15/3/2019,29831
18/3/2019,29831
21/3/2019,29831
24/3/2019,29831
27/3/2019,29831
30/3/2019,29831
4/4/2019,29831
6/4/2019,28275
8/4/2019,28275
11/4/2019,28275
14/4/2019,28275
17/4/2019,28275
20/4/2019,28275
23/4/2019,28275
26/4/2019,28275
29/4/2019,28275
2/5/2019,28275
5/5/2019,28275
8/5/2019,28275
11/5/2019,28275
14/5/2019,28275
17/5/2019,28275
20/5/2019,28275
23/5/2019,28275
26/5/2019,28275
29/5/2019,28275
1/6/2019,28275
4/6/2019,28275
7/6/2019,28275
10/6/2019,28275
13/6/2019,28275
16/6/2019,28275
19/6/2019,28275
22/6/2019,28275
25/6/2019,28275
28/6/2019,28275
1/7/2019,28275
6/7/2019,28275
8/7/2019,28275
10/7/2019,28974
13/7/2019,28974
16/7/2019,28974
19/7/2019,28974
22/7/2019,28974
25/7/2019,28974
28/7/2019,28974
2/8/2019,28974
4/8/2019,29550
8/8/2019,29550
11/8/2019,29550
14/8/2019,29550
17/8/2019,29550
20/8/2019,29550
23/8/2019,29550
26/8/2019,29550
29/8/2019,29550
1/9/2019,29550
4/9/2019,29550
5/9/2019,30737
10/9/2019,30737
13/9/2019,30737
16/9/2019,30737
19/9/2019,30737
22/9/2019,30737
25/9/2019,30737
28/9/2019,30737
1/10/2019,30737
4/10/2019,30737
7/10/2019,30737
10/10/2019,30737
13/10/2019,30737
16/10/2019,30737
19/10/2019,30737
22/10/2019,30737
25/10/2019,30737
28/10/2019,30737
31/10/2019,30737
3/11/2019,30737
6/11/2019,30737
9/11/2019,30737
12/11/2019,30737
15/11/2019,30737
18/11/2019,30737
21/11/2019,30737
24/11/2019,30737
27/11/2019,30737
30/11/2019,30737
1/12/2019,30737
7/12/2019,30737
10/12/2019,30737
13/12/2019,30737
16/12/2019,30737
19/12/2019,30737
22/12/2019,30737
25/12/2019,30737
28/12/2019,30737
31/12/2019,30737
3/1/2020,30737
6/1/2020,30737
9/1/2020,30737
12/1/2020,30737
15/1/2020,30737
18/1/2020,30737
21/1/2020,30737
24/1/2020,30737
27/1/2020,30737
30/1/2020,30737
2/2/2020,30737
5/2/2020,30737
8/2/2020,30737
11/2/2020,30737
14/2/2020,30737
17/2/2020,30737
20/2/2020,30737
23/2/2020,30737
26/2/2020,30737
29/2/2020,30737
3/3/2020,30737
6/3/2020,30737
9/3/2020,30737
12/3/2020,30737
15/3/2020,30737
18/3/2020,30737
21/3/2020,30737
24/3/2020,30737
25/3/2020,31754
28/3/2020,31754
31/3/2020,31754
3/4/2020,31754
6/4/2020,31754
9/4/2020,31754
12/4/2020,31754
15/4/2020,31754
18/4/2020,31754
21/4/2020,31754
24/4/2020,31754
27/4/2020,31754
30/4/2020,31754
3/5/2020,31754
6/5/2020,31754
9/5/2020,31754
12/5/2020,31754
15/5/2020,31754
20/5/2020,31754
21/5/2020,31526
24/5/2020,31526
27/5/2020,31526
30/5/2020,31526
2/6/2020,31526
5/6/2020,31526
8/6/2020,31526
11/6/2020,31526
14/6/2020,31526
17/6/2020,31526
20/6/2020,31526
23/6/2020,31526
26/6/2020,31526
29/6/2020,31526
2/7/2020,31526
5/7/2020,31526
8/7/2020,31526
11/7/2020,31526
14/7/2020,31526
17/7/2020,31526
20/7/2020,31526
23/7/2020,31526
26/7/2020,31526
31/7/2020,31526
3/8/2020,31358
4/8/2020,31358
9/8/2020,31358
10/8/2020,32437
13/8/2020,32437
16/8/2020,32437
19/8/2020,32437
24/8/2020,32437
27/8/2020,32401
28/8/2020,33218
31/8/2020,33218
3/9/2020,33218
7/9/2020,33218
10/9/2020,33218
13/9/2020,33218
16/9/2020,33218
19/9/2020,33218
22/9/2020,33218
25/9/2020,33218
28/9/2020,33218
1/10/2020,33218
4/10/2020,33218
7/10/2020,33218
10/10/2020,33218
13/10/2020,33218
16/10/2020,33218
19/10/2020,33218
22/10/2020,33218
27/10/2020,33218
29/10/2020,33113
31/10/2020,33113
3/11/2020,33113
6/11/2020,33113
9/11/2020,33113
14/11/2020,33113
15/11/2020,36841
18/11/2020,36841
23/11/2020,36841
25/11/2020,36841
27/11/2020,38228
30/11/2020,38228
5/12/2020,38228
7/12/2020,39105
9/12/2020,39105
12/12/2020,39105
17/12/2020,39105
19/12/2020,41939
23/12/2020,41939
26/12/2020,42246
28/12/2020,43145
31/12/2020,43145
3/1/2021,43567
5/1/2021,45561
10/1/2021,45468
11/1/2021,46429
16/1/2021,46306
17/1/2021,47522
21/1/2021,48946
25/1/2021,48946
27/1/2021,50816
31/1/2021,50816
2/2/2021,52059
4/2/2021,52295
7/2/2021,51667
11/2/2021,51825
13/2/2021,51618
18/2/2021,51467
21/2/2021,52929
23/2/2021,53048
27/2/2021,51563
2/3/2021,51479
3/3/2021,52260
7/3/2021,52014
8/3/2021,52014
9/3/2021,52014
10/3/2021,52678
11/3/2021,52678
12/3/2021,52678
13/3/2021,52678
14/3/2021,52678
15/3/2021,52678
16/3/2021,51204
17/3/2021,51495
18/3/2021,51592
19/3/2021,51473
20/3/2021,52061
21/3/2021,52061
22/3/2021,51195
23/3/2021,51195
24/3/2021,50659
25/3/2021,50659
26/3/2021,49961
27/3/2021,49961
28/3/2021,49961
29/3/2021,49410
30/3/2021,49410
31/3/2021,48571
1/4/2021,48571
2/4/2021,48928
3/4/2021,49011
4/4/2021,49011
5/4/2021,49011
6/4/2021,49011
7/4/2021,49011
8/4/2021,49011
9/4/2021,49011
10/4/2021,48490
11/4/2021,48490
12/4/2021,48490
13/4/2021,48490
14/4/2021,48490
15/4/2021,48490
16/4/2021,48174
17/4/2021,48174
18/4/2021,48174
19/4/2021,48010
20/4/2021,48010
21/4/2021,48010
22/4/2021,47678
23/4/2021,49274
24/4/2021,49274
25/4/2021,49274
26/4/2021,49799
27/4/2021,49799
28/4/2021,50695
29/4/2021,50695
30/4/2021,52291
1/5/2021,52291
2/5/2021,52291
3/5/2021,52291
4/5/2021,52291
5/5/2021,52291
6/5/2021,52291
7/5/2021,52291
8/5/2021,52291
9/5/2021,52291
10/5/2021,53395
11/5/2021,53395
12/5/2021,53395
13/5/2021,53395
14/5/2021,53395
15/5/2021,52805
16/5/2021,52805
17/5/2021,52805
18/5/2021,53258
19/5/2021,52098
20/5/2021,52347
21/5/2021,52347
22/5/2021,52347
23/5/2021,52347
24/5/2021,52347
25/5/2021,52347
26/5/2021,52347
27/5/2021,52347
28/5/2021,52347
29/5/2021,52347
30/5/2021,52347
31/5/2021,52347
1/6/2021,51784
2/6/2021,51361
3/6/2021,51361
4/6/2021,51361
5/6/2021,51361
6/6/2021,50047
7/6/2021,50047
8/6/2021,50047
9/6/2021,50047
10/6/2021,49704
11/6/2021,49704
12/6/2021,49704
13/6/2021,49704
14/6/2021,49651
15/6/2021,49651
16/6/2021,49651
17/6/2021,49651
18/6/2021,49651
19/6/2021,49651
20/6/2021,49651
21/6/2021,49651
22/6/2021,49651
23/6/2021,49900
24/6/2021,49900
25/6/2021,49900
26/6/2021,49601
27/6/2021,49601
28/6/2021,49601
29/6/2021,49601
30/6/2021,49601
1/7/2021,49830
2/7/2021,49830
3/7/2021,49830
4/7/2021,49830
5/7/2021,49830
6/7/2021,49830
7/7/2021,49830
8/7/2021,49830
9/7/2021,50230
10/7/2021,50230
11/7/2021,50997
12/7/2021,50997
13/7/2021,50997
14/7/2021,50997
15/7/2021,52912
16/7/2021,52912
17/7/2021,52912
18/7/2021,52912
19/7/2021,52912
20/7/2021,52912
21/7/2021,52912
22/7/2021,52912
23/7/2021,52808
24/7/2021,53101
25/7/2021,54852
26/7/2021,57842
27/7/2021,57083
28/7/2021,57083
29/7/2021,57083
30/7/2021,57083
31/7/2021,57083
1/8/2021,57083
2/8/2021,57083
3/8/2021,57316
4/8/2021,57316
5/8/2021,57316
6/8/2021,57316
7/8/2021,57316
8/8/2021,57316
9/8/2021,59092
10/8/2021,59092
11/8/2021,59092
12/8/2021,59092
13/8/2021,59092
14/8/2021,59092
15/8/2021,59819
16/8/2021,62010
17/8/2021,62010
18/8/2021,62408
19/8/2021,62408
20/8/2021,62408
21/8/2021,62408
22/8/2021,60999
23/8/2021,60999
24/8/2021,60999
25/8/2021,60999
26/8/2021,63169
27/8/2021,63169
28/8/2021,63169
29/8/2021,63169
30/8/2021,63169
31/8/2021,61967
1/9/2021,61967
2/9/2021,61860
3/9/2021,61860
4/9/2021,61042
5/9/2021,61042
6/9/2021,62129
7/9/2021,62129
8/9/2021,62227
9/9/2021,62227
10/9/2021,62227
11/9/2021,63752
12/9/2021,63752
13/9/2021,63021
14/9/2021,64185
15/9/2021,64185
16/9/2021,64320
17/9/2021,64320
18/9/2021,64320
19/9/2021,64989
20/9/2021,64989
21/9/2021,64989
22/9/2021,64989
23/9/2021,64989
24/9/2021,64989
25/9/2021,64989
26/9/2021,64989
27/9/2021,64989
28/9/2021,64978
29/9/2021,64978
30/9/2021,64905
1/10/2021,64905
2/10/2021,64905
3/10/2021,64905
4/10/2021,64905
5/10/2021,64905
6/10/2021,64905
7/10/2021,64905
8/10/2021,64905
9/10/2021,64905
10/10/2021,64905
11/10/2021,64905
12/10/2021,64905
13/10/2021,64905
14/10/2021,64905
15/10/2021,64905
16/10/2021,64905
17/10/2021,64905
18/10/2021,65244
19/10/2021,65244
20/10/2021,65244
21/10/2021,68314
22/10/2021,68312
23/10/2021,69740
24/10/2021,70637
25/10/2021,68145
26/10/2021,68145
27/10/2021,68145
28/10/2021,68145
29/10/2021,68145
30/10/2021,68192
31/10/2021,68384
1/11/2021,68384
2/11/2021,68384
3/11/2021,68384
4/11/2021,68384
5/11/2021,68384
6/11/2021,68384
7/11/2021,68384
8/11/2021,68065
9/11/2021,68065
10/11/2021,68065
11/11/2021,68065
12/11/2021,68065
13/11/2021,66206
14/11/2021,66206
15/11/2021,66206
16/11/2021,65347
17/11/2021,65347
18/11/2021,66877
19/11/2021,66877
20/11/2021,67529
21/11/2021,67529
22/11/2021,68558
23/11/2021,67080
24/11/2021,67673
25/11/2021,69013
26/11/2021,69542
27/11/2021,69542
28/11/2021,71436
29/11/2021,71846
30/11/2021,71846
1/12/2021,71612
2/12/2021,71015
3/12/2021,71153
4/12/2021,71153
5/12/2021,71153
6/12/2021,71153
7/12/2021,71153
8/12/2021,71153
9/12/2021,71352
10/12/2021,71161
11/12/2021,71161
12/12/2021,71161
13/12/2021,71161
14/12/2021,72342
15/12/2021,72342
16/12/2021,71141
17/12/2021,71141
18/12/2021,71141
19/12/2021,71438
20/12/2021,71438
21/12/2021,71438
22/12/2021,71438
23/12/2021,71438
24/12/2021,74369
25/12/2021,74679
26/12/2021,74679
27/12/2021,75910
28/12/2021,73832
29/12/2021,73832
30/12/2021,73832
31/12/2021,74029
1/1/2022,74029
2/1/2022,72200
3/1/2022,72200
4/1/2022,72018
5/1/2022,73688
6/1/2022,75148
7/1/2022,76190
8/1/2022,76190
9/1/2022,76190
10/1/2022,76396
11/1/2022,76532
12/1/2022,78078
13/1/2022,78078
14/1/2022,78078
15/1/2022,78078
16/1/2022,78231
17/1/2022,78231
18/1/2022,76634
19/1/2022,76634
20/1/2022,76634
21/1/2022,76634
22/1/2022,76634
23/1/2022,76800
24/1/2022,78122
25/1/2022,78122
26/1/2022,78122
27/1/2022,78122
28/1/2022,78122
29/1/2022,78441
30/1/2022,77310
31/1/2022,76548
1/2/2022,76548
2/2/2022,76548
3/2/2022,76548
4/2/2022,76548
5/2/2022,76548
6/2/2022,76548
7/2/2022,76548
8/2/2022,74452
9/2/2022,74452
10/2/2022,75195
11/2/2022,78507
12/2/2022,79817
13/2/2022,79817
14/2/2022,79817
15/2/2022,79817
16/2/2022,79817
17/2/2022,79817
18/2/2022,79817
19/2/2022,79817
20/2/2022,79817
21/2/2022,79817
22/2/2022,79817
23/2/2022,79817
24/2/2022,79817
25/2/2022,79817
26/2/2022,79959
27/2/2022,79959
28/2/2022,79959
1/3/2022,79959
2/3/2022,79959
3/3/2022,79959
4/3/2022,81231
5/3/2022,81231
6/3/2022,81231
