Date,Price
15/11/2020,6400
16/11/2020,6400
17/11/2020,6400
18/11/2020,6400
19/11/2020,6400
21/11/2020,6400
22/11/2020,6400
23/11/2020,6400
25/11/2020,6400
26/11/2020,6208
27/11/2020,6245
29/11/2020,6245
30/11/2020,6245
2/12/2020,6186
3/12/2020,6186
4/12/2020,6186
5/12/2020,6186
6/12/2020,6265
8/12/2020,6265
9/12/2020,6265
10/12/2020,6265
12/12/2020,6265
13/12/2020,6265
14/12/2020,6265
16/12/2020,6265
17/12/2020,6265
18/12/2020,6265
20/12/2020,6265
21/12/2020,6265
23/12/2020,6265
24/12/2020,6389
25/12/2020,6389
26/12/2020,6389
28/12/2020,6389
29/12/2020,6443
30/12/2020,6443
31/12/2020,6374
2/1/2021,6374
3/1/2021,6374
4/1/2021,6360
6/1/2021,6368
7/1/2021,6368
8/1/2021,6368
10/1/2021,6314
11/1/2021,6287
12/1/2021,6287
14/1/2021,6247
15/1/2021,6247
16/1/2021,6247
18/1/2021,6247
19/1/2021,6301
20/1/2021,6301
21/1/2021,6345
23/1/2021,6345
24/1/2021,6345
25/1/2021,6345
27/1/2021,6345
28/1/2021,6345
29/1/2021,6345
31/1/2021,6345
1/2/2021,6370
2/2/2021,6370
4/2/2021,6370
5/2/2021,6378
6/2/2021,6378
7/2/2021,6378
9/2/2021,6378
10/2/2021,6378
11/2/2021,6378
13/2/2021,6378
14/2/2021,6431
15/2/2021,6431
17/2/2021,6431
18/2/2021,6431
19/2/2021,6431
21/2/2021,6431
22/2/2021,6431
23/2/2021,6431
24/2/2021,6431
26/2/2021,6431
27/2/2021,6431
28/2/2021,6431
2/3/2021,6431
3/3/2021,6431
4/3/2021,6445
6/3/2021,6445
7/3/2021,6445
8/3/2021,6445
9/3/2021,6445
10/3/2021,6445
11/3/2021,6445
12/3/2021,6445
13/3/2021,6465
14/3/2021,6465
15/3/2021,6465
16/3/2021,6465
17/3/2021,6439
18/3/2021,6439
19/3/2021,6439
20/3/2021,6439
21/3/2021,6486
22/3/2021,6486
23/3/2021,6486
24/3/2021,6486
25/3/2021,6487
26/3/2021,6487
27/3/2021,6487
28/3/2021,6487
29/3/2021,6487
30/3/2021,6487
31/3/2021,6487
1/4/2021,6487
2/4/2021,6498
3/4/2021,6540
4/4/2021,6510
5/4/2021,6510
6/4/2021,6510
7/4/2021,6510
8/4/2021,6510
9/4/2021,6510
10/4/2021,6510
11/4/2021,6510
12/4/2021,6510
13/4/2021,6510
14/4/2021,6510
15/4/2021,6535
16/4/2021,6554
17/4/2021,6554
18/4/2021,6554
19/4/2021,6554
20/4/2021,6554
21/4/2021,6554
22/4/2021,6554
23/4/2021,6554
24/4/2021,6554
25/4/2021,6554
26/4/2021,6554
27/4/2021,6554
28/4/2021,6554
29/4/2021,6554
30/4/2021,6612
1/5/2021,6612
2/5/2021,6612
3/5/2021,6612
4/5/2021,6612
5/5/2021,6612
6/5/2021,6612
7/5/2021,6612
8/5/2021,6612
9/5/2021,6612
10/5/2021,6612
11/5/2021,6612
12/5/2021,6612
13/5/2021,6626
14/5/2021,6626
15/5/2021,6626
16/5/2021,6626
17/5/2021,6626
18/5/2021,6626
19/5/2021,6626
20/5/2021,6636
21/5/2021,6636
22/5/2021,6636
23/5/2021,6636
24/5/2021,6664
25/5/2021,6664
26/5/2021,6664
27/5/2021,6664
28/5/2021,6638
29/5/2021,6638
30/5/2021,6680
31/5/2021,6680
1/6/2021,6657
2/6/2021,6657
3/6/2021,6657
4/6/2021,6657
5/6/2021,6657
6/6/2021,6643
7/6/2021,6643
8/6/2021,6643
9/6/2021,6643
10/6/2021,6643
11/6/2021,6643
12/6/2021,6643
13/6/2021,6643
14/6/2021,6643
15/6/2021,6643
16/6/2021,6643
17/6/2021,6643
18/6/2021,6605
19/6/2021,6605
20/6/2021,6638
21/6/2021,6638
22/6/2021,6638
23/6/2021,6638
24/6/2021,6638
25/6/2021,6638
26/6/2021,6638
27/6/2021,6638
28/6/2021,6638
29/6/2021,6638
30/6/2021,6638
1/7/2021,6638
2/7/2021,6627
3/7/2021,6627
4/7/2021,6661
5/7/2021,6661
6/7/2021,6661
7/7/2021,6661
8/7/2021,6661
9/7/2021,6661
10/7/2021,6661
11/7/2021,6661
12/7/2021,6661
13/7/2021,6698
14/7/2021,6698
15/7/2021,6698
16/7/2021,6698
17/7/2021,6698
18/7/2021,6698
19/7/2021,6698
20/7/2021,6735
21/7/2021,6735
22/7/2021,6735
23/7/2021,6780
24/7/2021,6794
25/7/2021,6794
26/7/2021,6794
27/7/2021,6794
28/7/2021,6794
29/7/2021,6794
30/7/2021,6794
31/7/2021,6794
1/8/2021,6794
2/8/2021,6794
3/8/2021,6794
4/8/2021,6772
5/8/2021,6772
6/8/2021,6772
7/8/2021,6779
8/8/2021,6779
9/8/2021,6779
10/8/2021,6840
11/8/2021,6840
12/8/2021,6851
13/8/2021,6851
14/8/2021,6851
15/8/2021,6851
16/8/2021,6851
17/8/2021,6851
18/8/2021,6851
19/8/2021,6871
20/8/2021,6871
21/8/2021,6871
22/8/2021,6871
23/8/2021,6871
24/8/2021,6871
25/8/2021,6885
26/8/2021,6885
27/8/2021,6885
28/8/2021,6885
29/8/2021,6885
30/8/2021,6885
31/8/2021,6885
1/9/2021,6885
2/9/2021,6920
3/9/2021,6920
4/9/2021,6920
5/9/2021,6883
6/9/2021,6883
7/9/2021,6814
8/9/2021,6814
9/9/2021,6814
10/9/2021,6826
11/9/2021,6826
12/9/2021,6826
13/9/2021,6807
14/9/2021,6807
15/9/2021,6807
16/9/2021,6949
17/9/2021,6949
18/9/2021,6949
19/9/2021,6949
20/9/2021,6949
21/9/2021,6949
22/9/2021,6949
23/9/2021,6949
24/9/2021,6949
25/9/2021,6948
26/9/2021,6948
27/9/2021,6952
28/9/2021,6952
29/9/2021,6952
30/9/2021,6952
1/10/2021,6952
2/10/2021,6952
3/10/2021,6952
4/10/2021,6952
5/10/2021,6952
6/10/2021,6909
7/10/2021,6909
8/10/2021,6909
9/10/2021,6909
10/10/2021,6909
11/10/2021,6914
12/10/2021,6914
13/10/2021,6914
14/10/2021,6914
15/10/2021,6914
16/10/2021,6914
17/10/2021,6914
18/10/2021,6914
19/10/2021,6914
20/10/2021,6914
21/10/2021,6914
22/10/2021,6914
23/10/2021,6942
24/10/2021,6942
25/10/2021,6942
26/10/2021,6942
27/10/2021,6942
28/10/2021,6813
29/10/2021,6813
30/10/2021,6813
31/10/2021,6813
1/11/2021,6813
2/11/2021,6813
3/11/2021,6813
4/11/2021,6813
5/11/2021,6813
6/11/2021,6813
7/11/2021,6813
8/11/2021,6813
9/11/2021,6813
10/11/2021,6813
11/11/2021,6813
12/11/2021,6796
13/11/2021,6758
14/11/2021,6758
15/11/2021,6758
16/11/2021,6758
17/11/2021,6758
18/11/2021,6758
19/11/2021,6748
20/11/2021,6748
21/11/2021,6748
22/11/2021,6748
23/11/2021,6722
24/11/2021,6751
25/11/2021,6728
26/11/2021,6728
27/11/2021,6728
28/11/2021,6728
29/11/2021,6728
30/11/2021,6728
1/12/2021,6728
2/12/2021,6728
3/12/2021,6728
4/12/2021,6728
5/12/2021,6728
6/12/2021,6728
7/12/2021,6728
8/12/2021,6728
9/12/2021,6728
10/12/2021,6728
11/12/2021,6728
12/12/2021,6765
13/12/2021,6765
14/12/2021,6765
15/12/2021,6765
16/12/2021,6765
17/12/2021,6765
18/12/2021,6708
19/12/2021,6708
20/12/2021,6708
21/12/2021,6708
22/12/2021,6708
23/12/2021,6708
24/12/2021,6708
25/12/2021,6708
26/12/2021,6708
27/12/2021,6708
28/12/2021,6731
29/12/2021,6690
30/12/2021,6690
31/12/2021,6690
1/1/2022,6684
2/1/2022,6684
3/1/2022,6684
4/1/2022,6684
5/1/2022,6647
6/1/2022,6647
7/1/2022,6647
8/1/2022,6647
9/1/2022,6647
10/1/2022,6647
11/1/2022,6647
12/1/2022,6647
13/1/2022,6647
14/1/2022,6647
15/1/2022,6647
16/1/2022,6647
17/1/2022,6647
18/1/2022,6647
19/1/2022,6647
20/1/2022,6647
21/1/2022,6647
22/1/2022,6647
23/1/2022,6647
24/1/2022,6647
25/1/2022,6647
26/1/2022,6647
27/1/2022,6647
28/1/2022,6647
29/1/2022,6698
30/1/2022,6699
31/1/2022,6699
1/2/2022,6699
2/2/2022,6746
3/2/2022,6746
4/2/2022,6746
5/2/2022,6746
6/2/2022,6746
7/2/2022,6733
8/2/2022,6733
9/2/2022,6733
10/2/2022,6728
11/2/2022,6721
12/2/2022,6721
13/2/2022,6721
14/2/2022,6721
15/2/2022,6721
16/2/2022,6719
17/2/2022,6719
18/2/2022,6719
19/2/2022,6719
20/2/2022,6736
21/2/2022,6736
