Date,Price
9/3/2019,3805
12/3/2019,3805
15/3/2019,3805
18/3/2019,3805
20/3/2019,3805
22/3/2019,3886
27/3/2019,3886
30/3/2019,3884
1/4/2019,3884
3/4/2019,3875
6/4/2019,3875
11/4/2019,3875
13/4/2019,3929
16/4/2019,3929
18/4/2019,3874
23/4/2019,3874
24/4/2019,3909
27/4/2019,3909
30/4/2019,3909
3/5/2019,3909
6/5/2019,3909
9/5/2019,3909
14/5/2019,3909
15/5/2019,3931
18/5/2019,3931
21/5/2019,3931
26/5/2019,3931
27/5/2019,3918
30/5/2019,3930
2/6/2019,3922
5/6/2019,3922
8/6/2019,3922
11/6/2019,3922
16/6/2019,3922
18/6/2019,3933
22/6/2019,3933
25/6/2019,3933
28/6/2019,3942
1/7/2019,3942
3/7/2019,3938
7/7/2019,3938
8/7/2019,3924
11/7/2019,3924
14/7/2019,3906
19/7/2019,3906
20/7/2019,3901
25/7/2019,3901
27/7/2019,3884
29/7/2019,3875
3/8/2019,3875
6/8/2019,3868
8/8/2019,3832
10/8/2019,3832
15/8/2019,3832
17/8/2019,3816
21/8/2019,3816
23/8/2019,3840
27/8/2019,3840
30/8/2019,3840
2/9/2019,3838
3/9/2019,3838
6/9/2019,3838
9/9/2019,3838
12/9/2019,3838
15/9/2019,3838
18/9/2019,3838
21/9/2019,3838
24/9/2019,3838
29/9/2019,3838
30/9/2019,3837
5/10/2019,3837
8/10/2019,3837
10/10/2019,3849
12/10/2019,3849
15/10/2019,3849
20/10/2019,3849
21/10/2019,3835
24/10/2019,3857
29/10/2019,3857
30/10/2019,3859
4/11/2019,3859
7/11/2019,3859
10/11/2019,3859
12/11/2019,3864
14/11/2019,3844
19/11/2019,3844
21/11/2019,3844
23/11/2019,3818
28/11/2019,3818
1/12/2019,3818
4/12/2019,3818
5/12/2019,3807
9/12/2019,3807
14/12/2019,3807
16/12/2019,3807
19/12/2019,3794
23/12/2019,3794
26/12/2019,3794
29/12/2019,3794
1/1/2020,3794
4/1/2020,3794
6/1/2020,3844
9/1/2020,3782
11/1/2020,3782
14/1/2020,3782
19/1/2020,3782
21/1/2020,3786
24/1/2020,3754
27/1/2020,3754
29/1/2020,3740
2/2/2020,3743
4/2/2020,3731
7/2/2020,3731
12/2/2020,3724
15/2/2020,3724
18/2/2020,3724
19/2/2020,3793
23/2/2020,3809
25/2/2020,3806
1/3/2020,3813
2/3/2020,3790
6/3/2020,3753
9/3/2020,3753
11/3/2020,3764
16/3/2020,3764
18/3/2020,3729
20/3/2020,3729
25/3/2020,3702
26/3/2020,3647
29/3/2020,3635
3/4/2020,3634
6/4/2020,3687
9/4/2020,3654
12/4/2020,3654
13/4/2020,3607
18/4/2020,3591
20/4/2020,3559
23/4/2020,3556
25/4/2020,3579
28/4/2020,3588
1/5/2020,3588
6/5/2020,3588
7/5/2020,3616
10/5/2020,3582
13/5/2020,3596
18/5/2020,3596
19/5/2020,3610
24/5/2020,3624
26/5/2020,3600
29/5/2020,3619
2/6/2020,3619
3/6/2020,3619
7/6/2020,3661
11/6/2020,3661
12/6/2020,3638
16/6/2020,3643
19/6/2020,3707
22/6/2020,3707
24/6/2020,3689
27/6/2020,3689
2/7/2020,3709
5/7/2020,3709
6/7/2020,3711
11/7/2020,3709
13/7/2020,3737
15/7/2020,3707
19/7/2020,3719
22/7/2020,3777
26/7/2020,3779
28/7/2020,3763
1/8/2020,3763
3/8/2020,3763
7/8/2020,3777
10/8/2020,3753
11/8/2020,3660
16/8/2020,3663
18/8/2020,3670
22/8/2020,3670
25/8/2020,3672
28/8/2020,3686
30/8/2020,3686
2/9/2020,3620
4/9/2020,3642
9/9/2020,3638
11/9/2020,3662
14/9/2020,3647
17/9/2020,3689
21/9/2020,3689
23/9/2020,3742
28/9/2020,3742
1/10/2020,3745
3/10/2020,3698
7/10/2020,3704
9/10/2020,3746
11/10/2020,3743
15/10/2020,3736
18/10/2020,3745
21/10/2020,3742
25/10/2020,3723
27/10/2020,3723
29/10/2020,3822
1/11/2020,3822
6/11/2020,3822
8/11/2020,3840
12/11/2020,3839
15/11/2020,3815
17/11/2020,3815
19/11/2020,3961
23/11/2020,4007
27/11/2020,3989
30/11/2020,3989
2/12/2020,3953
5/12/2020,3948
8/12/2020,3960
10/12/2020,3988
14/12/2020,4001
17/12/2020,4045
19/12/2020,4039
24/12/2020,4092
27/12/2020,4091
29/12/2020,4104
1/1/2021,4076
4/1/2021,4091
8/1/2021,4191
9/1/2021,4224
14/1/2021,4187
17/1/2021,4155
20/1/2021,4203
22/1/2021,4169
