Date,Price
8/3/2019,51579
9/3/2019,51579
12/3/2019,51579
15/3/2019,51579
18/3/2019,51579
21/3/2019,51579
24/3/2019,51579
27/3/2019,51579
30/3/2019,51579
2/4/2019,51579
5/4/2019,51579
8/4/2019,51579
11/4/2019,51579
14/4/2019,51579
17/4/2019,51579
20/4/2019,51579
23/4/2019,51579
26/4/2019,51579
29/4/2019,51579
2/5/2019,51579
5/5/2019,51579
8/5/2019,51579
13/5/2019,51579
15/5/2019,51579
17/5/2019,54682
20/5/2019,54682
23/5/2019,54682
26/5/2019,54682
29/5/2019,54682
1/6/2019,54682
6/6/2019,54682
7/6/2019,55986
12/6/2019,55986
14/6/2019,59189
18/6/2019,59189
21/6/2019,59189
24/6/2019,59189
27/6/2019,59189
30/6/2019,59189
3/7/2019,59189
6/7/2019,59189
9/7/2019,59189
12/7/2019,59189
15/7/2019,59189
18/7/2019,59189
21/7/2019,59189
24/7/2019,59189
27/7/2019,59189
30/7/2019,59189
2/8/2019,59189
5/8/2019,59189
8/8/2019,59189
11/8/2019,59189
14/8/2019,59189
17/8/2019,59189
20/8/2019,59189
23/8/2019,59189
26/8/2019,59189
29/8/2019,59189
1/9/2019,59189
4/9/2019,59189
7/9/2019,59189
10/9/2019,59189
13/9/2019,59189
16/9/2019,59189
19/9/2019,59189
22/9/2019,59189
25/9/2019,59189
28/9/2019,59189
1/10/2019,59189
4/10/2019,59189
7/10/2019,59189
10/10/2019,59189
13/10/2019,59189
16/10/2019,59189
19/10/2019,59189
22/10/2019,59189
25/10/2019,59189
28/10/2019,59189
31/10/2019,59189
3/11/2019,59189
6/11/2019,59189
9/11/2019,59189
12/11/2019,59189
15/11/2019,59189
18/11/2019,59189
21/11/2019,59189
24/11/2019,59189
27/11/2019,59189
30/11/2019,59189
1/12/2019,59189
7/12/2019,59189
10/12/2019,59189
13/12/2019,59189
16/12/2019,59189
19/12/2019,59189
22/12/2019,59189
25/12/2019,59189
28/12/2019,59189
31/12/2019,59189
3/1/2020,59189
6/1/2020,59189
9/1/2020,59189
12/1/2020,59189
15/1/2020,59189
18/1/2020,59189
21/1/2020,59189
24/1/2020,59189
27/1/2020,59189
30/1/2020,59189
2/2/2020,59189
5/2/2020,59189
8/2/2020,59189
11/2/2020,59189
14/2/2020,59189
17/2/2020,59189
20/2/2020,59189
23/2/2020,59189
26/2/2020,59189
29/2/2020,59189
3/3/2020,59189
6/3/2020,59189
9/3/2020,59189
12/3/2020,59189
15/3/2020,59189
18/3/2020,59189
21/3/2020,59189
24/3/2020,59189
27/3/2020,59189
30/3/2020,59189
2/4/2020,59189
5/4/2020,59189
8/4/2020,59189
11/4/2020,59189
14/4/2020,59189
17/4/2020,59189
20/4/2020,59189
23/4/2020,59189
26/4/2020,59189
29/4/2020,59189
2/5/2020,59189
5/5/2020,59189
8/5/2020,59305
9/5/2020,59305
12/5/2020,59305
17/5/2020,59305
19/5/2020,60119
21/5/2020,60119
24/5/2020,60119
27/5/2020,60119
30/5/2020,60119
2/6/2020,60119
5/6/2020,60119
8/6/2020,60119
11/6/2020,60119
14/6/2020,60119
17/6/2020,60119
20/6/2020,60119
23/6/2020,60119
26/6/2020,60119
29/6/2020,60119
2/7/2020,60119
5/7/2020,60119
8/7/2020,60119
11/7/2020,60119
14/7/2020,60119
17/7/2020,60119
20/7/2020,60119
23/7/2020,60119
26/7/2020,60119
29/7/2020,60119
1/8/2020,60119
4/8/2020,60119
7/8/2020,60119
10/8/2020,60119
13/8/2020,60119
16/8/2020,60119
19/8/2020,60119
22/8/2020,60119
25/8/2020,60119
28/8/2020,60119
31/8/2020,60119
3/9/2020,60119
7/9/2020,60119
10/9/2020,60119
13/9/2020,60119
16/9/2020,60119
19/9/2020,60119
22/9/2020,60119
25/9/2020,60119
28/9/2020,60119
1/10/2020,60119
4/10/2020,60119
7/10/2020,60119
10/10/2020,60119
13/10/2020,60119
16/10/2020,60119
19/10/2020,60119
22/10/2020,60119
25/10/2020,60119
28/10/2020,60119
31/10/2020,60119
3/11/2020,60119
6/11/2020,60119
9/11/2020,60119
14/11/2020,60119
15/11/2020,65234
18/11/2020,65814
23/11/2020,65814
25/11/2020,66534
29/11/2020,66534
1/12/2020,66387
3/12/2020,66733
6/12/2020,66940
9/12/2020,66940
14/12/2020,66940
16/12/2020,66718
19/12/2020,67951
21/12/2020,67951
26/12/2020,67951
28/12/2020,67951
31/12/2020,68381
2/1/2021,68445
5/1/2021,68445
10/1/2021,68445
11/1/2021,67789
15/1/2021,68761
17/1/2021,68761
22/1/2021,68761
25/1/2021,68846
27/1/2021,69326
29/1/2021,69326
2/2/2021,69543
5/2/2021,69982
9/2/2021,69982
12/2/2021,70836
14/2/2021,71017
17/2/2021,71017
20/2/2021,71417
23/2/2021,71417
27/2/2021,71678
1/3/2021,71678
3/3/2021,73345
7/3/2021,73345
8/3/2021,73345
9/3/2021,74096
10/3/2021,74607
11/3/2021,74678
12/3/2021,75118
13/3/2021,75118
14/3/2021,75118
15/3/2021,75118
16/3/2021,75118
17/3/2021,75118
18/3/2021,75118
19/3/2021,75118
20/3/2021,75118
21/3/2021,75118
22/3/2021,75118
23/3/2021,75759
24/3/2021,75759
25/3/2021,75759
26/3/2021,75759
27/3/2021,75741
28/3/2021,75741
29/3/2021,75741
30/3/2021,75741
31/3/2021,76048
1/4/2021,76048
2/4/2021,76498
3/4/2021,76498
4/4/2021,76498
5/4/2021,76498
6/4/2021,76498
7/4/2021,76498
8/4/2021,76579
9/4/2021,76585
10/4/2021,76884
11/4/2021,76884
12/4/2021,76884
13/4/2021,77330
14/4/2021,77330
15/4/2021,78057
16/4/2021,78771
17/4/2021,79065
18/4/2021,79065
19/4/2021,79065
20/4/2021,79232
21/4/2021,79757
22/4/2021,79943
23/4/2021,80405
24/4/2021,80844
25/4/2021,81195
26/4/2021,83150
27/4/2021,83150
28/4/2021,83150
29/4/2021,83150
30/4/2021,83150
1/5/2021,83150
2/5/2021,83150
3/5/2021,83150
4/5/2021,83150
5/5/2021,83150
6/5/2021,83580
7/5/2021,84839
8/5/2021,84839
9/5/2021,84839
10/5/2021,84839
11/5/2021,85591
12/5/2021,85591
13/5/2021,86555
14/5/2021,86555
15/5/2021,86555
16/5/2021,86555
17/5/2021,86555
18/5/2021,86555
19/5/2021,86555
20/5/2021,86555
21/5/2021,86555
22/5/2021,86555
23/5/2021,87296
24/5/2021,88297
25/5/2021,88297
26/5/2021,88297
27/5/2021,88297
28/5/2021,88297
29/5/2021,88297
30/5/2021,88297
31/5/2021,89049
1/6/2021,89688
2/6/2021,89688
3/6/2021,90539
4/6/2021,90539
5/6/2021,91020
6/6/2021,91020
7/6/2021,91020
8/6/2021,91020
9/6/2021,91286
10/6/2021,91798
11/6/2021,91798
12/6/2021,91798
13/6/2021,91798
14/6/2021,91798
15/6/2021,91798
16/6/2021,92023
17/6/2021,92023
18/6/2021,92023
19/6/2021,92023
20/6/2021,92023
21/6/2021,92801
22/6/2021,92801
23/6/2021,92801
24/6/2021,92801
25/6/2021,92801
26/6/2021,93251
27/6/2021,93251
28/6/2021,93251
29/6/2021,94158
30/6/2021,94158
1/7/2021,94487
2/7/2021,94772
3/7/2021,94772
4/7/2021,94772
5/7/2021,94772
6/7/2021,94772
