Date,Price
8/3/2019,23060
9/3/2019,23060
12/3/2019,23060
15/3/2019,23060
18/3/2019,23060
21/3/2019,23060
24/3/2019,23060
27/3/2019,23060
30/3/2019,23060
2/4/2019,23060
5/4/2019,23060
8/4/2019,23060
11/4/2019,23060
14/4/2019,23060
19/4/2019,23060
22/4/2019,23281
25/4/2019,23281
28/4/2019,23281
1/5/2019,23281
4/5/2019,23281
7/5/2019,23281
10/5/2019,23281
13/5/2019,23281
16/5/2019,23281
19/5/2019,23281
22/5/2019,23281
25/5/2019,23281
28/5/2019,23281
31/5/2019,23281
3/6/2019,23281
6/6/2019,23281
9/6/2019,23281
12/6/2019,23281
15/6/2019,23281
18/6/2019,23281
21/6/2019,23281
24/6/2019,23281
27/6/2019,23281
30/6/2019,23281
3/7/2019,23281
6/7/2019,23281
9/7/2019,23281
12/7/2019,23281
15/7/2019,23281
18/7/2019,23281
21/7/2019,23281
24/7/2019,23281
27/7/2019,23281
30/7/2019,23281
2/8/2019,23281
5/8/2019,23281
8/8/2019,23281
11/8/2019,23281
14/8/2019,23281
17/8/2019,23281
20/8/2019,23281
23/8/2019,23281
26/8/2019,23281
29/8/2019,23281
1/9/2019,23281
4/9/2019,23281
7/9/2019,23281
10/9/2019,23281
13/9/2019,23281
16/9/2019,23281
19/9/2019,23281
22/9/2019,23281
25/9/2019,23281
28/9/2019,23281
1/10/2019,23281
4/10/2019,23281
7/10/2019,23281
10/10/2019,23281
13/10/2019,23281
16/10/2019,23281
19/10/2019,23281
22/10/2019,23281
25/10/2019,23281
28/10/2019,23281
31/10/2019,23281
3/11/2019,23281
6/11/2019,23281
9/11/2019,23281
12/11/2019,23281
15/11/2019,23281
18/11/2019,23281
21/11/2019,23281
24/11/2019,23281
27/11/2019,23281
30/11/2019,23281
1/12/2019,23281
7/12/2019,23281
10/12/2019,23281
13/12/2019,23281
16/12/2019,23281
19/12/2019,23281
22/12/2019,23281
25/12/2019,23281
28/12/2019,23281
31/12/2019,23281
3/1/2020,23281
6/1/2020,23281
9/1/2020,23281
12/1/2020,23281
15/1/2020,23281
18/1/2020,23281
21/1/2020,23281
24/1/2020,23281
27/1/2020,23281
30/1/2020,23281
2/2/2020,23281
5/2/2020,23281
8/2/2020,23281
11/2/2020,23281
14/2/2020,23281
17/2/2020,23281
20/2/2020,23281
23/2/2020,23281
26/2/2020,23281
29/2/2020,23281
3/3/2020,23281
6/3/2020,23281
9/3/2020,23281
12/3/2020,23281
15/3/2020,23281
18/3/2020,23281
21/3/2020,23281
24/3/2020,23281
27/3/2020,23281
30/3/2020,23281
2/4/2020,23281
5/4/2020,23281
8/4/2020,23281
11/4/2020,23281
14/4/2020,23281
17/4/2020,23281
20/4/2020,23281
23/4/2020,23281
26/4/2020,23281
29/4/2020,23281
2/5/2020,23281
5/5/2020,23281
8/5/2020,23281
11/5/2020,23281
14/5/2020,23281
17/5/2020,23281
20/5/2020,23281
23/5/2020,23281
26/5/2020,23281
29/5/2020,23281
1/6/2020,23281
4/6/2020,23281
7/6/2020,23281
10/6/2020,23281
13/6/2020,23281
16/6/2020,23281
19/6/2020,23281
22/6/2020,23281
25/6/2020,23281
28/6/2020,23281
1/7/2020,23281
4/7/2020,23281
7/7/2020,23281
10/7/2020,23281
13/7/2020,23281
16/7/2020,23281
19/7/2020,23281
22/7/2020,23281
25/7/2020,23281
28/7/2020,23281
31/7/2020,23281
3/8/2020,23281
6/8/2020,23281
9/8/2020,23281
12/8/2020,23281
15/8/2020,23281
18/8/2020,23281
21/8/2020,23281
24/8/2020,23281
27/8/2020,23281
30/8/2020,23281
31/8/2020,23281
6/9/2020,23281
9/9/2020,23281
12/9/2020,23281
15/9/2020,23281
18/9/2020,23281
21/9/2020,23281
24/9/2020,23281
27/9/2020,23281
30/9/2020,23281
3/10/2020,23281
6/10/2020,23281
9/10/2020,23281
12/10/2020,23281
15/10/2020,23281
18/10/2020,23281
21/10/2020,23281
24/10/2020,23281
27/10/2020,23281
30/10/2020,23281
2/11/2020,23281
5/11/2020,23281
8/11/2020,23281
11/11/2020,23281
14/11/2020,23281
15/11/2020,24073
20/11/2020,24073
23/11/2020,24073
26/11/2020,24073
29/11/2020,24073
1/12/2020,23867
5/12/2020,23867
8/12/2020,23867
11/12/2020,23867
14/12/2020,23867
17/12/2020,23867
18/12/2020,24115
23/12/2020,24115
25/12/2020,24115
27/12/2020,23949
30/12/2020,24084
2/1/2021,24084
7/1/2021,24084
9/1/2021,23450
13/1/2021,23450
14/1/2021,24318
17/1/2021,24631
21/1/2021,24631
23/1/2021,24364
26/1/2021,24364
31/1/2021,24515
1/2/2021,24836
4/2/2021,24836
7/2/2021,25020
12/2/2021,24939
13/2/2021,25109
18/2/2021,25109
21/2/2021,25109
23/2/2021,25109
26/2/2021,25193
1/3/2021,25259
3/3/2021,25770
6/3/2021,25656
7/3/2021,25656
8/3/2021,25656
9/3/2021,25656
10/3/2021,25656
11/3/2021,25656
12/3/2021,25656
13/3/2021,25656
14/3/2021,25656
15/3/2021,25656
16/3/2021,25656
17/3/2021,25735
18/3/2021,25735
19/3/2021,25735
20/3/2021,25735
21/3/2021,25735
22/3/2021,25735
23/3/2021,25735
24/3/2021,25735
