Date,Price
8/3/2019,50161
9/3/2019,50161
12/3/2019,50161
15/3/2019,50161
18/3/2019,50161
21/3/2019,50161
24/3/2019,50161
27/3/2019,50161
30/3/2019,50161
2/4/2019,50161
5/4/2019,50161
10/4/2019,50161
12/4/2019,50161
14/4/2019,53032
17/4/2019,53032
20/4/2019,53032
23/4/2019,53032
26/4/2019,53032
29/4/2019,53032
2/5/2019,53032
5/5/2019,53032
8/5/2019,53032
11/5/2019,53032
14/5/2019,53032
17/5/2019,53032
20/5/2019,53032
23/5/2019,53032
26/5/2019,53032
29/5/2019,53032
1/6/2019,53032
6/6/2019,53032
7/6/2019,55235
12/6/2019,55235
15/6/2019,55235
18/6/2019,55235
21/6/2019,55235
24/6/2019,55235
27/6/2019,55235
30/6/2019,55235
3/7/2019,55235
6/7/2019,55235
9/7/2019,55235
12/7/2019,55235
15/7/2019,55235
18/7/2019,55235
21/7/2019,55235
24/7/2019,55235
27/7/2019,55235
30/7/2019,55235
2/8/2019,55235
5/8/2019,55235
8/8/2019,55235
11/8/2019,55235
14/8/2019,55235
17/8/2019,55235
20/8/2019,55235
23/8/2019,55235
26/8/2019,55235
29/8/2019,55235
1/9/2019,55235
4/9/2019,55235
7/9/2019,59100
8/9/2019,59100
11/9/2019,59100
14/9/2019,59100
17/9/2019,59100
20/9/2019,59100
23/9/2019,59100
26/9/2019,59100
29/9/2019,59100
2/10/2019,59100
5/10/2019,59100
8/10/2019,59100
11/10/2019,59100
14/10/2019,59100
17/10/2019,59100
20/10/2019,59100
25/10/2019,59100
26/10/2019,61189
31/10/2019,61189
3/11/2019,61189
6/11/2019,61189
9/11/2019,61189
12/11/2019,61189
15/11/2019,61189
18/11/2019,61189
21/11/2019,61189
24/11/2019,61189
27/11/2019,61189
30/11/2019,61189
1/12/2019,61189
7/12/2019,61189
10/12/2019,61189
12/12/2019,62369
14/12/2019,62369
17/12/2019,62369
20/12/2019,62369
23/12/2019,62369
26/12/2019,62369
29/12/2019,62369
1/1/2020,62369
4/1/2020,62369
7/1/2020,62369
10/1/2020,62369
13/1/2020,62369
16/1/2020,62369
21/1/2020,62369
23/1/2020,62369
25/1/2020,63872
28/1/2020,63872
31/1/2020,63872
3/2/2020,63872
6/2/2020,63872
9/2/2020,63872
12/2/2020,63872
15/2/2020,63872
18/2/2020,63872
21/2/2020,63872
24/2/2020,63872
27/2/2020,63872
1/3/2020,63872
4/3/2020,63872
7/3/2020,63872
10/3/2020,63872
15/3/2020,63872
16/3/2020,64416
19/3/2020,64416
22/3/2020,64416
25/3/2020,64416
28/3/2020,64416
31/3/2020,64416
3/4/2020,64416
6/4/2020,64416
9/4/2020,64416
12/4/2020,64416
15/4/2020,64416
18/4/2020,64416
21/4/2020,64416
24/4/2020,64416
27/4/2020,64416
30/4/2020,64416
3/5/2020,64416
6/5/2020,64416
9/5/2020,64416
12/5/2020,64416
15/5/2020,64416
18/5/2020,64416
23/5/2020,64416
24/5/2020,65045
29/5/2020,65045
1/6/2020,65045
2/6/2020,66162
5/6/2020,66162
8/6/2020,66162
11/6/2020,66162
14/6/2020,66162
17/6/2020,66162
22/6/2020,66162
24/6/2020,68520
26/6/2020,68520
29/6/2020,68520
2/7/2020,68520
5/7/2020,68520
8/7/2020,68520
11/7/2020,68520
14/7/2020,68520
19/7/2020,68520
20/7/2020,69595
23/7/2020,69595
26/7/2020,69595
29/7/2020,69595
1/8/2020,69595
4/8/2020,69595
7/8/2020,69595
10/8/2020,69595
13/8/2020,69595
16/8/2020,69595
19/8/2020,69595
22/8/2020,69595
25/8/2020,69595
28/8/2020,69595
31/8/2020,69595
3/9/2020,69595
7/9/2020,69595
10/9/2020,69595
13/9/2020,69595
16/9/2020,69595
19/9/2020,69595
22/9/2020,69595
25/9/2020,69595
28/9/2020,69595
1/10/2020,69595
4/10/2020,69595
7/10/2020,69595
10/10/2020,69595
13/10/2020,69595
16/10/2020,69595
19/10/2020,69595
22/10/2020,69595
27/10/2020,69595
29/10/2020,70876
31/10/2020,70876
3/11/2020,70876
8/11/2020,70876
10/11/2020,70876
14/11/2020,71787
15/11/2020,82801
18/11/2020,83342
23/11/2020,83342
26/11/2020,83798
28/11/2020,86590
30/11/2020,86590
5/12/2020,86590
7/12/2020,91855
10/12/2020,91518
12/12/2020,94293
15/12/2020,95757
19/12/2020,100267
23/12/2020,100267
24/12/2020,101191
27/12/2020,102648
30/12/2020,103548
2/1/2021,104365
5/1/2021,104365
9/1/2021,105462
11/1/2021,105462
14/1/2021,106815
17/1/2021,106815
22/1/2021,106815
25/1/2021,106533
28/1/2021,107882
30/1/2021,109657
