Date,Price
8/3/2019,20279
9/3/2019,20279
14/3/2019,20279
15/3/2019,20321
20/3/2019,20339
21/3/2019,20271
24/3/2019,20192
27/3/2019,20238
1/4/2019,20238
2/4/2019,20337
7/4/2019,20337
9/4/2019,20337
11/4/2019,20581
14/4/2019,20581
19/4/2019,20581
22/4/2019,20674
25/4/2019,20674
28/4/2019,20660
1/5/2019,20942
4/5/2019,20942
5/5/2019,21075
9/5/2019,21075
13/5/2019,21435
16/5/2019,21435
17/5/2019,21625
21/5/2019,21625
25/5/2019,21832
28/5/2019,21833
30/5/2019,22312
2/6/2019,22312
4/6/2019,22399
7/6/2019,22399
12/6/2019,22399
15/6/2019,22839
18/6/2019,22839
21/6/2019,22776
22/6/2019,22887
27/6/2019,22865
29/6/2019,23204
1/7/2019,23204
6/7/2019,23204
7/7/2019,23226
10/7/2019,23226
15/7/2019,23269
16/7/2019,23366
20/7/2019,23366
22/7/2019,23524
26/7/2019,23535
29/7/2019,23581
31/7/2019,23781
4/8/2019,23781
7/8/2019,23790
9/8/2019,23272
12/8/2019,23272
15/8/2019,23423
18/8/2019,23441
21/8/2019,23441
26/8/2019,23441
28/8/2019,23441
30/8/2019,23554
4/9/2019,23554
6/9/2019,23534
10/9/2019,23534
12/9/2019,23367
14/9/2019,23367
18/9/2019,23370
20/9/2019,23169
23/9/2019,23169
26/9/2019,23082
1/10/2019,23175
3/10/2019,22825
7/10/2019,23195
8/10/2019,23218
12/10/2019,23218
15/10/2019,23239
17/10/2019,23349
20/10/2019,23349
23/10/2019,23417
27/10/2019,23498
31/10/2019,22992
3/11/2019,22992
6/11/2019,22992
9/11/2019,22992
10/11/2019,22950
13/11/2019,22950
18/11/2019,22950
20/11/2019,23114
24/11/2019,23114
27/11/2019,23077
29/11/2019,23778
1/12/2019,23093
7/12/2019,23093
10/12/2019,23018
11/12/2019,22976
16/12/2019,23203
18/12/2019,23503
21/12/2019,23611
25/12/2019,23557
27/12/2019,23414
29/12/2019,23564
1/1/2020,23411
6/1/2020,23411
9/1/2020,23353
10/1/2020,23603
15/1/2020,23603
17/1/2020,23579
21/1/2020,23579
22/1/2020,23508
26/1/2020,23421
30/1/2020,23538
31/1/2020,23170
5/2/2020,23170
8/2/2020,23223
9/2/2020,23166
12/2/2020,23166
16/2/2020,23111
18/2/2020,22769
21/2/2020,22846
26/2/2020,22850
28/2/2020,22568
3/3/2020,22573
4/3/2020,22420
7/3/2020,22454
10/3/2020,22454
13/3/2020,22404
18/3/2020,22405
19/3/2020,22515
24/3/2020,22579
26/3/2020,22895
28/3/2020,22920
2/4/2020,22931
5/4/2020,22857
6/4/2020,22875
9/4/2020,22875
14/4/2020,22875
15/4/2020,22678
18/4/2020,22753
22/4/2020,22687
24/4/2020,22751
28/4/2020,22821
30/4/2020,22723
5/5/2020,22780
6/5/2020,22657
9/5/2020,22705
13/5/2020,22731
17/5/2020,22506
19/5/2020,22685
21/5/2020,22672
26/5/2020,22672
27/5/2020,22695
1/6/2020,22698
3/6/2020,22605
7/6/2020,22573
10/6/2020,22534
12/6/2020,22221
14/6/2020,22284
17/6/2020,22369
20/6/2020,22274
25/6/2020,22274
28/6/2020,22132
1/7/2020,22132
4/7/2020,22132
7/7/2020,22268
10/7/2020,22268
13/7/2020,22201
14/7/2020,22264
17/7/2020,22328
22/7/2020,22199
23/7/2020,22653
28/7/2020,22653
30/7/2020,22653
1/8/2020,22692
5/8/2020,22875
7/8/2020,23338
12/8/2020,23251
13/8/2020,23402
17/8/2020,23428
20/8/2020,23594
24/8/2020,23693
27/8/2020,23786
29/8/2020,24263
2/9/2020,24550
4/9/2020,24559
7/9/2020,23957
10/9/2020,24178
14/9/2020,24177
17/9/2020,24393
21/9/2020,24410
22/9/2020,24872
25/9/2020,24872
30/9/2020,24872
1/10/2020,24461
6/10/2020,24425
7/10/2020,24557
12/10/2020,24523
14/10/2020,24748
17/10/2020,24797
21/10/2020,24797
22/10/2020,24429
27/10/2020,24469
29/10/2020,24517
2/11/2020,24517
4/11/2020,24578
7/11/2020,24578
10/11/2020,24659
12/11/2020,24540
17/11/2020,24405
18/11/2020,26271
21/11/2020,26078
25/11/2020,26077
27/11/2020,25949
30/11/2020,25949
5/12/2020,25973
7/12/2020,26060
9/12/2020,26063
12/12/2020,25979
15/12/2020,26014
20/12/2020,25987
23/12/2020,25802
24/12/2020,25838
27/12/2020,25840
31/12/2020,25924
4/1/2021,25942
6/1/2021,25885
9/1/2021,25995
11/1/2021,26091
14/1/2021,26056
17/1/2021,26103
20/1/2021,26172
25/1/2021,26376
28/1/2021,26401
31/1/2021,26562
3/2/2021,26582
5/2/2021,26687
7/2/2021,26633
12/2/2021,26697
14/2/2021,26659
16/2/2021,26719
20/2/2021,26798
23/2/2021,26788
27/2/2021,26955
2/3/2021,27006
5/3/2021,27105
7/3/2021,27201
8/3/2021,27301
9/3/2021,27356
10/3/2021,27370
11/3/2021,27461
12/3/2021,27487
13/3/2021,27623
14/3/2021,27672
15/3/2021,28016
16/3/2021,28087
17/3/2021,28102
18/3/2021,28103
19/3/2021,28140
20/3/2021,28277
21/3/2021,28412
22/3/2021,28425
23/3/2021,28494
24/3/2021,28448
25/3/2021,28538
26/3/2021,28473
27/3/2021,28614
28/3/2021,28699
29/3/2021,28792
30/3/2021,28832
31/3/2021,28878
1/4/2021,28908
2/4/2021,29025
3/4/2021,29094
4/4/2021,29091
5/4/2021,29151
6/4/2021,29237
7/4/2021,29310
8/4/2021,29382
9/4/2021,29382
10/4/2021,29382
11/4/2021,29346
12/4/2021,29546
13/4/2021,29781
14/4/2021,29903
15/4/2021,30020
16/4/2021,30144
17/4/2021,30200
18/4/2021,30290
