,Date,Price
730,2017-03-12,15884.0
731,2017-03-13,15884.0
732,2017-03-18,15884.0
733,2017-03-23,15884.0
734,2017-03-28,15884.0
735,2017-04-02,15884.0
736,2017-04-07,15884.0
737,2017-04-12,15884.0
738,2017-04-17,15884.0
739,2017-04-22,15884.0
740,2017-04-27,15884.0
741,2017-05-06,15884.0
742,2017-05-08,15850.0
743,2017-05-16,15850.0
744,2017-05-21,15850.0
745,2017-05-26,15850.0
746,2017-05-31,15850.0
747,2017-06-05,15850.0
748,2017-06-10,15850.0
749,2017-06-15,15850.0
750,2017-06-20,15850.0
751,2017-06-25,15850.0
752,2017-06-30,15850.0
753,2017-07-05,15850.0
754,2017-07-10,15850.0
755,2017-07-15,15850.0
756,2017-07-20,15850.0
757,2017-07-25,15850.0
758,2017-07-30,15850.0
759,2017-08-04,15850.0
760,2017-08-05,15766.0
761,2017-08-10,15766.0
762,2017-08-15,15766.0
763,2017-08-20,15766.0
764,2017-08-25,15766.0
765,2017-08-30,15766.0
766,2017-09-04,15766.0
767,2017-09-09,15766.0
768,2017-09-14,15766.0
769,2017-09-19,15766.0
770,2017-09-24,15766.0
771,2017-09-29,15766.0
772,2017-10-04,15766.0
773,2017-10-09,15766.0
774,2017-10-14,15766.0
775,2017-10-23,15766.0
776,2017-10-24,15766.0
777,2017-10-30,15766.0
778,2017-11-04,15766.0
779,2017-11-09,15766.0
780,2017-11-14,15766.0
781,2017-11-19,15766.0
782,2017-11-24,15766.0
783,2017-11-29,15766.0
784,2017-12-04,15766.0
785,2017-12-09,15766.0
786,2017-12-14,15766.0
787,2017-12-19,15766.0
788,2017-12-24,15766.0
789,2017-12-29,15766.0
790,2018-01-03,15766.0
791,2018-01-08,15766.0
792,2018-01-13,15766.0
793,2018-01-18,15766.0
794,2018-01-23,15766.0
795,2018-01-28,15766.0
796,2018-02-02,15766.0
797,2018-02-07,15766.0
798,2018-02-12,15766.0
799,2018-02-17,15766.0
800,2018-02-22,15766.0
801,2018-02-27,15766.0
802,2018-03-04,15766.0
803,2018-03-09,15766.0
804,2018-03-14,15766.0
805,2018-03-19,15766.0
806,2018-03-24,15766.0
807,2018-03-29,15766.0
808,2018-04-03,15766.0
809,2018-04-08,15766.0
810,2018-04-13,15766.0
811,2018-04-18,15766.0
812,2018-04-27,15766.0
813,2018-04-30,15789.0
814,2018-05-03,15789.0
815,2018-05-08,15789.0
816,2018-05-13,15789.0
817,2018-05-18,15789.0
818,2018-05-23,15789.0
819,2018-05-28,15789.0
820,2018-06-06,15789.0
821,2018-06-12,15789.0
822,2018-06-14,16511.0
823,2018-06-18,16511.0
824,2018-06-23,16511.0
825,2018-07-02,16511.0
826,2018-07-06,16507.0
827,2018-07-08,16507.0
828,2018-07-13,16507.0
829,2018-07-18,16507.0
830,2018-07-23,16507.0
831,2018-07-28,16507.0
832,2018-08-06,16507.0
833,2018-08-09,16821.0
834,2018-08-12,16821.0
835,2018-08-17,16821.0
836,2018-08-22,16821.0
837,2018-08-27,16821.0
838,2018-09-01,16821.0
839,2018-09-10,16821.0
840,2018-09-12,17113.0
841,2018-09-18,17113.0
842,2018-09-21,17394.0
843,2018-09-26,17394.0
844,2018-10-01,17394.0
845,2018-10-06,17394.0
846,2018-10-11,17394.0
847,2018-10-16,17394.0
848,2018-10-21,17394.0
849,2018-10-26,17394.0
850,2018-10-31,17394.0
851,2018-11-09,17394.0
852,2018-11-10,17374.0
853,2018-11-15,17374.0
854,2018-11-20,17374.0
855,2018-11-25,17374.0
856,2018-11-30,17374.0
857,2018-12-05,17374.0
858,2018-12-10,17374.0
859,2018-12-15,17374.0
860,2018-12-20,17374.0
861,2018-12-25,17374.0
862,2019-01-03,17374.0
863,2019-01-04,17510.0
864,2019-01-13,17510.0
865,2019-01-15,17805.0
866,2019-01-21,17806.0
867,2019-01-29,17869.0
868,2019-02-03,18266.0
869,2019-02-07,18794.0
870,2019-02-09,18794.0
871,2019-02-18,18794.0
872,2019-02-19,18726.0
873,2019-02-27,18726.0
874,2019-03-01,18315.0
875,2019-03-06,18315.0
365,2019-03-12,18315.0
366,2019-03-15,18315.0
367,2019-03-17,18315.0
877,2019-03-18,18038.0
368,2019-03-19,18038.0
878,2019-03-21,18038.0
369,2019-03-22,18038.0
370,2019-03-25,18038.0
371,2019-03-30,18038.0
372,2019-03-31,18355.0
373,2019-04-04,18355.0
881,2019-04-05,17881.0
374,2019-04-06,17881.0
375,2019-04-11,17881.0
882,2019-04-14,17906.0
377,2019-04-17,18255.0
378,2019-04-18,18255.0
884,2019-04-20,18255.0
379,2019-04-21,18255.0
380,2019-04-24,18255.0
885,2019-04-25,18255.0
381,2019-04-27,18255.0
382,2019-04-30,18255.0
383,2019-05-03,18255.0
886,2019-05-04,18255.0
887,2019-05-08,18255.0
385,2019-05-09,18385.0
386,2019-05-13,18385.0
888,2019-05-14,18609.0
387,2019-05-15,18609.0
388,2019-05-18,18609.0
889,2019-05-19,18609.0
389,2019-05-23,18609.0
390,2019-05-24,18617.0
391,2019-05-29,18617.0
392,2019-05-31,18949.0
393,2019-06-02,18949.0
893,2019-06-04,18949.0
394,2019-06-05,18949.0
395,2019-06-08,18949.0
894,2019-06-09,18949.0
396,2019-06-11,18949.0
895,2019-06-14,18949.0
398,2019-06-17,18949.0
896,2019-06-19,18949.0
399,2019-06-20,18949.0
400,2019-06-23,18949.0
897,2019-06-24,18949.0
401,2019-06-26,18949.0
402,2019-06-29,18949.0
403,2019-07-02,18949.0
899,2019-07-04,18949.0
404,2019-07-05,18949.0
405,2019-07-08,18949.0
900,2019-07-13,18949.0
407,2019-07-16,19698.0
408,2019-07-17,19698.0
409,2019-07-20,19698.0
902,2019-07-23,19698.0
410,2019-07-25,19698.0
903,2019-07-26,19698.0
411,2019-07-27,20028.0
412,2019-07-29,20028.0
904,2019-07-31,20501.0
413,2019-08-01,20501.0
