Date,Price
9/3/2019,1065
10/3/2019,1065
13/3/2019,1065
16/3/2019,1065
19/3/2019,1065
22/3/2019,1065
25/3/2019,1065
28/3/2019,1065
31/3/2019,1065
3/4/2019,1065
6/4/2019,1065
9/4/2019,1065
14/4/2019,1065
16/4/2019,1065
19/4/2019,1107
21/4/2019,1370
24/4/2019,1291
27/4/2019,1291
2/5/2019,1291
3/5/2019,1322
6/5/2019,1322
9/5/2019,1322
12/5/2019,1322
15/5/2019,1322
20/5/2019,1322
22/5/2019,1438
24/5/2019,1438
27/5/2019,1438
30/5/2019,1438
2/6/2019,1438
5/6/2019,1438
8/6/2019,1438
11/6/2019,1438
14/6/2019,1438
17/6/2019,1438
20/6/2019,1438
23/6/2019,1438
26/6/2019,1438
29/6/2019,1438
4/7/2019,1438
5/7/2019,1385
10/7/2019,1385
11/7/2019,1365
16/7/2019,1365
17/7/2019,1333
22/7/2019,1333
23/7/2019,1323
28/7/2019,1328
30/7/2019,1387
2/8/2019,1361
6/8/2019,1361
7/8/2019,1349
12/8/2019,1349
14/8/2019,1330
16/8/2019,1354
20/8/2019,1368
22/8/2019,1368
25/8/2019,1368
28/8/2019,1368
31/8/2019,1368
3/9/2019,1368
8/9/2019,1368
11/9/2019,1382
14/9/2019,1382
16/9/2019,1382
19/9/2019,1423
23/9/2019,1423
25/9/2019,1423
27/9/2019,1401
2/10/2019,1401
4/10/2019,1380
7/10/2019,1380
10/10/2019,1367
12/10/2019,1371
17/10/2019,1371
19/10/2019,1364
22/10/2019,1359
26/10/2019,1359
27/10/2019,1366
30/10/2019,1351
4/11/2019,1351
5/11/2019,1366
8/11/2019,1366
11/11/2019,1366
14/11/2019,1366
17/11/2019,1366
20/11/2019,1366
23/11/2019,1366
26/11/2019,1366
1/12/2019,1366
2/12/2019,1375
8/12/2019,1375
9/12/2019,1385
12/12/2019,1385
15/12/2019,1385
20/12/2019,1385
23/12/2019,1386
26/12/2019,1357
27/12/2019,1357
1/1/2020,1357
2/1/2020,1381
6/1/2020,1381
8/1/2020,1410
13/1/2020,1410
16/1/2020,1410
19/1/2020,1410
22/1/2020,1410
24/1/2020,1410
26/1/2020,1402
29/1/2020,1402
3/2/2020,1402
6/2/2020,1394
8/2/2020,1362
12/2/2020,1363
14/2/2020,1396
17/2/2020,1401
19/2/2020,1383
22/2/2020,1383
26/2/2020,1326
1/3/2020,1328
3/3/2020,1328
5/3/2020,1341
9/3/2020,1341
13/3/2020,1345
14/3/2020,1374
18/3/2020,1374
20/3/2020,1363
23/3/2020,1363
28/3/2020,1363
29/3/2020,1379
3/4/2020,1379
6/4/2020,1387
7/4/2020,1432
12/4/2020,1485
13/4/2020,1475
18/4/2020,1475
21/4/2020,1465
22/4/2020,1482
25/4/2020,1482
28/4/2020,1502
1/5/2020,1502
4/5/2020,1502
7/5/2020,1502
10/5/2020,1502
13/5/2020,1502
16/5/2020,1502
21/5/2020,1502
22/5/2020,1502
27/5/2020,1502
30/5/2020,1458
1/6/2020,1479
3/6/2020,1479
6/6/2020,1479
9/6/2020,1479
14/6/2020,1479
15/6/2020,1514
18/6/2020,1514
23/6/2020,1578
26/6/2020,1578
28/6/2020,1578
30/6/2020,1590
5/7/2020,1590
8/7/2020,1590
11/7/2020,1590
14/7/2020,1590
16/7/2020,1565
19/7/2020,1581
21/7/2020,1581
24/7/2020,1581
27/7/2020,1581
1/8/2020,1581
4/8/2020,1593
6/8/2020,1568
10/8/2020,1568
13/8/2020,1568
15/8/2020,1568
19/8/2020,1564
20/8/2020,1572
24/8/2020,1572
26/8/2020,1559
29/8/2020,1559
1/9/2020,1559
4/9/2020,1559
8/9/2020,1559
11/9/2020,1559
14/9/2020,1559
19/9/2020,1559
21/9/2020,1559
23/9/2020,1562
28/9/2020,1562
30/9/2020,1562
2/10/2020,1560
5/10/2020,1560
8/10/2020,1560
13/10/2020,1560
15/10/2020,1560
19/10/2020,1529
22/10/2020,1529
24/10/2020,1499
27/10/2020,1489
29/10/2020,1489
3/11/2020,1489
5/11/2020,1489
9/11/2020,1485
12/11/2020,1485
14/11/2020,1485
16/11/2020,1503
21/11/2020,1521
22/11/2020,1504
25/11/2020,1504
28/11/2020,1504
1/12/2020,1504
6/12/2020,1504
8/12/2020,1533
12/12/2020,1583
15/12/2020,1582
18/12/2020,1548
19/12/2020,1548
24/12/2020,1548
25/12/2020,1522
28/12/2020,1514
31/12/2020,1514
3/1/2021,1514
6/1/2021,1514
11/1/2021,1514
13/1/2021,1514
15/1/2021,1543
20/1/2021,1544
22/1/2021,1544
26/1/2021,1540
29/1/2021,1567
30/1/2021,1567
2/2/2021,1567
7/2/2021,1567
8/2/2021,1585
13/2/2021,1585
15/2/2021,1578
19/2/2021,1547
22/2/2021,1547
25/2/2021,1542
27/2/2021,1542
3/3/2021,1558
5/3/2021,1549
8/3/2021,1549
9/3/2021,1549
10/3/2021,1531
11/3/2021,1534
12/3/2021,1534
13/3/2021,1534
14/3/2021,1534
15/3/2021,1534
16/3/2021,1534
17/3/2021,1534
18/3/2021,1534
19/3/2021,1535
20/3/2021,1535
21/3/2021,1535
22/3/2021,1512
23/3/2021,1512
24/3/2021,1498
25/3/2021,1498
26/3/2021,1498
27/3/2021,1498
28/3/2021,1498
29/3/2021,1498
30/3/2021,1496
31/3/2021,1492
1/4/2021,1478
2/4/2021,1488
3/4/2021,1488
4/4/2021,1488
5/4/2021,1488
6/4/2021,1458
7/4/2021,1473
8/4/2021,1458
9/4/2021,1458
10/4/2021,1481
11/4/2021,1481
12/4/2021,1481
13/4/2021,1481
14/4/2021,1481
15/4/2021,1493
16/4/2021,1489
17/4/2021,1489
18/4/2021,1485
19/4/2021,1485
20/4/2021,1485
21/4/2021,1485
22/4/2021,1485
23/4/2021,1485
24/4/2021,1478
25/4/2021,1471
26/4/2021,1466
27/4/2021,1466
28/4/2021,1445
29/4/2021,1445
30/4/2021,1445
1/5/2021,1445
2/5/2021,1424
3/5/2021,1431
4/5/2021,1431
5/5/2021,1431
6/5/2021,1431
7/5/2021,1431
8/5/2021,1431
9/5/2021,1441
10/5/2021,1445
11/5/2021,1445
12/5/2021,1469
13/5/2021,1486
14/5/2021,1486
15/5/2021,1486
16/5/2021,1486
17/5/2021,1486
18/5/2021,1492
19/5/2021,1486
20/5/2021,1474
21/5/2021,1474
22/5/2021,1489
23/5/2021,1489
24/5/2021,1489
25/5/2021,1489
26/5/2021,1489
27/5/2021,1489
28/5/2021,1490
29/5/2021,1490
30/5/2021,1490
31/5/2021,1490
1/6/2021,1506
2/6/2021,1522
3/6/2021,1522
4/6/2021,1523
5/6/2021,1506
6/6/2021,1508
7/6/2021,1508
8/6/2021,1503
9/6/2021,1503
10/6/2021,1507
11/6/2021,1494
12/6/2021,1494
13/6/2021,1513
14/6/2021,1513
15/6/2021,1513
16/6/2021,1505
17/6/2021,1507
18/6/2021,1507
19/6/2021,1490
20/6/2021,1511
21/6/2021,1511
22/6/2021,1505
23/6/2021,1505
24/6/2021,1517
25/6/2021,1517
26/6/2021,1530
27/6/2021,1530
28/6/2021,1531
29/6/2021,1534
30/6/2021,1540
1/7/2021,1558
2/7/2021,1558
3/7/2021,1558
4/7/2021,1558
5/7/2021,1558
6/7/2021,1564
7/7/2021,1564
8/7/2021,1564
9/7/2021,1564
10/7/2021,1574
11/7/2021,1566
12/7/2021,1566
13/7/2021,1562
14/7/2021,1562
15/7/2021,1562
16/7/2021,1568
17/7/2021,1599
18/7/2021,1616
19/7/2021,1616
20/7/2021,1616
21/7/2021,1631
22/7/2021,1631
23/7/2021,1631
24/7/2021,1632
25/7/2021,1632
26/7/2021,1632
27/7/2021,1632
28/7/2021,1657
29/7/2021,1664
30/7/2021,1675
31/7/2021,1699
1/8/2021,1699
2/8/2021,1715
3/8/2021,1743
4/8/2021,1743
5/8/2021,1744
6/8/2021,1744
7/8/2021,1744
8/8/2021,1744
9/8/2021,1752
10/8/2021,1743
11/8/2021,1743
12/8/2021,1743
13/8/2021,1741
14/8/2021,1757
15/8/2021,1757
16/8/2021,1757
17/8/2021,1748
18/8/2021,1725
19/8/2021,1732
20/8/2021,1706
21/8/2021,1701
22/8/2021,1715
23/8/2021,1741
24/8/2021,1741
25/8/2021,1741
26/8/2021,1753
27/8/2021,1753
28/8/2021,1758
29/8/2021,1749
30/8/2021,1749
31/8/2021,1749
1/9/2021,1748
2/9/2021,1748
3/9/2021,1747
4/9/2021,1747
5/9/2021,1747
6/9/2021,1732
7/9/2021,1732
8/9/2021,1732
9/9/2021,1732
10/9/2021,1710
11/9/2021,1682
12/9/2021,1682
13/9/2021,1682
14/9/2021,1669
15/9/2021,1679
16/9/2021,1661
17/9/2021,1661
18/9/2021,1651
19/9/2021,1642
20/9/2021,1642
21/9/2021,1629
22/9/2021,1629
23/9/2021,1629
24/9/2021,1624
25/9/2021,1624
26/9/2021,1624
27/9/2021,1602
28/9/2021,1594
29/9/2021,1572
30/9/2021,1562
1/10/2021,1573
2/10/2021,1559
3/10/2021,1560
4/10/2021,1560
5/10/2021,1586
6/10/2021,1594
7/10/2021,1604
8/10/2021,1617
9/10/2021,1633
10/10/2021,1641
11/10/2021,1641
12/10/2021,1641
13/10/2021,1631
14/10/2021,1608
15/10/2021,1607
16/10/2021,1595
17/10/2021,1605
18/10/2021,1605
19/10/2021,1605
20/10/2021,1605
21/10/2021,1592
22/10/2021,1604
23/10/2021,1604
24/10/2021,1604
25/10/2021,1605
26/10/2021,1605
27/10/2021,1605
28/10/2021,1605
29/10/2021,1593
30/10/2021,1593
31/10/2021,1595
1/11/2021,1605
2/11/2021,1636
3/11/2021,1631
4/11/2021,1631
5/11/2021,1631
6/11/2021,1631
7/11/2021,1631
8/11/2021,1631
9/11/2021,1631
10/11/2021,1631
11/11/2021,1631
12/11/2021,1637
13/11/2021,1649
14/11/2021,1657
15/11/2021,1642
16/11/2021,1642
17/11/2021,1644
18/11/2021,1653
19/11/2021,1633
20/11/2021,1633
21/11/2021,1633
22/11/2021,1633
23/11/2021,1633
24/11/2021,1633
25/11/2021,1633
26/11/2021,1618
27/11/2021,1618
28/11/2021,1601
29/11/2021,1590
30/11/2021,1568
1/12/2021,1568
2/12/2021,1568
3/12/2021,1568
4/12/2021,1568
5/12/2021,1557
6/12/2021,1551
7/12/2021,1544
8/12/2021,1544
9/12/2021,1554
10/12/2021,1554
11/12/2021,1551
12/12/2021,1551
13/12/2021,1547
14/12/2021,1546
15/12/2021,1546
16/12/2021,1546
17/12/2021,1519
18/12/2021,1519
19/12/2021,1519
20/12/2021,1519
21/12/2021,1519
22/12/2021,1519
23/12/2021,1519
24/12/2021,1519
25/12/2021,1519
26/12/2021,1519
27/12/2021,1519
28/12/2021,1524
29/12/2021,1517
30/12/2021,1517
31/12/2021,1517
1/1/2022,1518
2/1/2022,1518
3/1/2022,1518
4/1/2022,1518
5/1/2022,1517
6/1/2022,1514
7/1/2022,1514
8/1/2022,1514
9/1/2022,1521
10/1/2022,1515
11/1/2022,1515
12/1/2022,1515
13/1/2022,1515
14/1/2022,1515
15/1/2022,1515
16/1/2022,1515
17/1/2022,1515
18/1/2022,1511
19/1/2022,1511
20/1/2022,1511
21/1/2022,1489
22/1/2022,1489
23/1/2022,1486
24/1/2022,1486
25/1/2022,1486
26/1/2022,1486
27/1/2022,1486
28/1/2022,1486
29/1/2022,1486
30/1/2022,1486
31/1/2022,1475
1/2/2022,1463
2/2/2022,1463
3/2/2022,1452
4/2/2022,1476
5/2/2022,1483
6/2/2022,1483
7/2/2022,1483
