Date,Price
9/3/2019,1857
10/3/2019,1857
13/3/2019,1857
16/3/2019,1857
19/3/2019,1857
22/3/2019,1857
25/3/2019,1857
28/3/2019,1857
31/3/2019,1857
3/4/2019,1857
6/4/2019,1857
9/4/2019,1857
12/4/2019,1857
17/4/2019,1857
18/4/2019,2115
21/4/2019,1977
25/4/2019,2107
27/4/2019,2107
30/4/2019,2107
3/5/2019,2107
6/5/2019,2107
9/5/2019,2107
12/5/2019,2107
15/5/2019,2107
18/5/2019,2107
21/5/2019,2107
24/5/2019,2107
27/5/2019,2107
30/5/2019,2107
2/6/2019,2107
5/6/2019,2107
8/6/2019,2107
11/6/2019,2107
14/6/2019,2107
17/6/2019,2107
20/6/2019,2107
23/6/2019,2107
26/6/2019,2107
1/7/2019,2107
2/7/2019,2099
6/7/2019,2099
9/7/2019,2020
12/7/2019,2020
14/7/2019,1998
17/7/2019,1998
20/7/2019,1998
23/7/2019,1998
26/7/2019,1998
29/7/2019,1998
1/8/2019,1998
6/8/2019,1998
8/8/2019,1998
10/8/2019,2005
13/8/2019,2005
16/8/2019,2005
19/8/2019,2005
22/8/2019,2005
25/8/2019,2005
30/8/2019,2005
2/9/2019,2020
4/9/2019,2020
6/9/2019,1951
9/9/2019,1951
12/9/2019,1939
15/9/2019,1939
18/9/2019,1948
21/9/2019,1948
24/9/2019,1948
29/9/2019,1948
1/10/2019,1948
4/10/2019,1892
6/10/2019,1892
9/10/2019,1892
12/10/2019,1892
15/10/2019,1892
20/10/2019,1892
21/10/2019,1879
24/10/2019,1886
29/10/2019,1886
31/10/2019,1872
4/11/2019,1872
7/11/2019,1872
10/11/2019,1872
12/11/2019,1872
16/11/2019,1872
17/11/2019,1913
20/11/2019,1876
23/11/2019,1870
26/11/2019,1870
29/11/2019,1877
4/12/2019,1877
7/12/2019,1865
9/12/2019,1865
12/12/2019,1865
15/12/2019,1865
20/12/2019,1865
23/12/2019,1880
24/12/2019,1841
29/12/2019,1841
1/1/2020,1839
2/1/2020,1839
7/1/2020,1839
9/1/2020,1839
11/1/2020,1829
14/1/2020,1829
17/1/2020,1829
22/1/2020,1829
24/1/2020,1829
26/1/2020,1821
29/1/2020,1821
1/2/2020,1821
4/2/2020,1821
7/2/2020,1821
12/2/2020,1821
15/2/2020,1823
18/2/2020,1823
21/2/2020,1816
23/2/2020,1791
25/2/2020,1791
28/2/2020,1791
4/3/2020,1791
6/3/2020,1745
8/3/2020,1745
13/3/2020,1745
16/3/2020,1745
18/3/2020,1716
20/3/2020,1716
23/3/2020,1716
28/3/2020,1716
30/3/2020,1716
3/4/2020,1716
5/4/2020,1695
7/4/2020,1702
10/4/2020,1702
13/4/2020,1690
17/4/2020,1705
19/4/2020,1705
24/4/2020,1705
27/4/2020,1706
28/4/2020,1732
1/5/2020,1730
4/5/2020,1764
9/5/2020,1764
11/5/2020,1764
13/5/2020,1735
18/5/2020,1735
19/5/2020,1752
22/5/2020,1759
27/5/2020,1755
28/5/2020,1773
1/6/2020,1758
3/6/2020,1776
8/6/2020,1776
11/6/2020,1776
14/6/2020,1777
15/6/2020,1777
20/6/2020,1777
23/6/2020,1791
26/6/2020,1791
29/6/2020,1800
1/7/2020,1816
3/7/2020,1827
7/7/2020,1827
9/7/2020,1859
14/7/2020,1859
17/7/2020,1859
20/7/2020,1859
23/7/2020,1859
26/7/2020,1855
28/7/2020,1889
30/7/2020,1889
2/8/2020,1889
7/8/2020,1889
9/8/2020,1889
11/8/2020,1906
14/8/2020,1906
17/8/2020,1906
20/8/2020,1906
25/8/2020,1906
26/8/2020,1872
29/8/2020,1872
3/9/2020,1872
4/9/2020,1912
10/9/2020,1912
12/9/2020,1920
16/9/2020,1920
19/9/2020,1920
22/9/2020,1920
23/9/2020,1920
28/9/2020,1920
30/9/2020,1920
4/10/2020,1935
5/10/2020,1935
10/10/2020,1935
12/10/2020,1908
16/10/2020,1908
19/10/2020,1896
22/10/2020,1896
23/10/2020,1883
26/10/2020,1883
31/10/2020,1871
3/11/2020,1871
5/11/2020,1871
7/11/2020,1866
10/11/2020,1866
15/11/2020,1866
18/11/2020,1872
21/11/2020,1872
24/11/2020,1880
26/11/2020,1906
30/11/2020,1906
2/12/2020,1942
6/12/2020,1947
8/12/2020,1941
10/12/2020,1941
15/12/2020,1941
18/12/2020,1947
20/12/2020,1931
22/12/2020,1924
27/12/2020,1930
29/12/2020,1948
2/1/2021,1940
5/1/2021,1942
7/1/2021,1942
9/1/2021,1919
12/1/2021,1919
17/1/2021,1919
19/1/2021,1919
23/1/2021,1894
26/1/2021,1894
29/1/2021,1915
1/2/2021,1915
3/2/2021,1891
7/2/2021,1887
10/2/2021,1895
13/2/2021,1895
16/2/2021,1895
19/2/2021,1895
21/2/2021,1881
23/2/2021,1881
28/2/2021,1881
2/3/2021,1881
4/3/2021,1896
8/3/2021,1907
9/3/2021,1907
10/3/2021,1920
11/3/2021,1920
12/3/2021,1923
13/3/2021,1923
14/3/2021,1923
15/3/2021,1935
16/3/2021,1938
17/3/2021,1938
18/3/2021,1938
19/3/2021,1938
20/3/2021,1938
21/3/2021,1938
22/3/2021,1949
23/3/2021,1942
24/3/2021,1942
25/3/2021,1942
26/3/2021,1942
27/3/2021,1942
28/3/2021,1937
29/3/2021,1937
30/3/2021,1937
31/3/2021,1936
1/4/2021,1943
2/4/2021,1943
3/4/2021,1962
4/4/2021,1962
5/4/2021,1962
6/4/2021,1977
7/4/2021,1977
8/4/2021,1977
9/4/2021,1977
10/4/2021,1958
11/4/2021,1958
12/4/2021,1958
13/4/2021,1958
14/4/2021,1958
15/4/2021,1958
16/4/2021,1958
17/4/2021,1958
18/4/2021,1984
19/4/2021,2007
20/4/2021,2007
21/4/2021,2007
22/4/2021,2007
23/4/2021,2007
24/4/2021,2007
25/4/2021,2015
26/4/2021,2015
27/4/2021,2015
28/4/2021,1998
29/4/2021,1998
30/4/2021,1998
1/5/2021,1998
2/5/2021,2020
3/5/2021,2026
4/5/2021,2026
5/5/2021,2026
6/5/2021,2055
7/5/2021,2055
8/5/2021,2071
9/5/2021,2086
10/5/2021,2084
11/5/2021,2084
12/5/2021,2084
13/5/2021,2084
14/5/2021,2084
15/5/2021,2107
16/5/2021,2107
17/5/2021,2107
18/5/2021,2107
19/5/2021,2112
20/5/2021,2112
21/5/2021,2112
22/5/2021,2113
23/5/2021,2116
24/5/2021,2116
25/5/2021,2114
26/5/2021,2127
27/5/2021,2127
28/5/2021,2119
29/5/2021,2089
30/5/2021,2114
31/5/2021,2114
1/6/2021,2124
2/6/2021,2130
3/6/2021,2124
4/6/2021,2124
5/6/2021,2124
6/6/2021,2124
7/6/2021,2124
8/6/2021,2124
9/6/2021,2129
10/6/2021,2137
11/6/2021,2137
12/6/2021,2133
13/6/2021,2133
14/6/2021,2133
15/6/2021,2133
16/6/2021,2133
17/6/2021,2134
18/6/2021,2133
19/6/2021,2133
20/6/2021,2133
21/6/2021,2141
22/6/2021,2141
23/6/2021,2141
24/6/2021,2139
25/6/2021,2150
26/6/2021,2150
27/6/2021,2162
28/6/2021,2162
29/6/2021,2162
30/6/2021,2162
1/7/2021,2162
2/7/2021,2162
3/7/2021,2162
4/7/2021,2162
5/7/2021,2162
6/7/2021,2162
7/7/2021,2156
8/7/2021,2156
9/7/2021,2156
10/7/2021,2150
11/7/2021,2150
12/7/2021,2150
13/7/2021,2135
14/7/2021,2135
15/7/2021,2135
16/7/2021,2135
17/7/2021,2124
18/7/2021,2140
19/7/2021,2140
20/7/2021,2155
21/7/2021,2155
22/7/2021,2166
23/7/2021,2164
24/7/2021,2164
25/7/2021,2164
26/7/2021,2164
27/7/2021,2164
28/7/2021,2165
29/7/2021,2165
30/7/2021,2165
31/7/2021,2162
1/8/2021,2159
2/8/2021,2157
3/8/2021,2169
4/8/2021,2169
5/8/2021,2156
6/8/2021,2162
7/8/2021,2188
8/8/2021,2184
9/8/2021,2184
10/8/2021,2184
11/8/2021,2184
12/8/2021,2188
13/8/2021,2188
14/8/2021,2184
15/8/2021,2189
16/8/2021,2189
17/8/2021,2189
18/8/2021,2189
19/8/2021,2168
20/8/2021,2168
21/8/2021,2156
22/8/2021,2156
23/8/2021,2151
