Date,Price
3/10/2020,2100
4/10/2020,2100
5/10/2020,2100
6/10/2020,2100
8/10/2020,2100
9/10/2020,2100
11/10/2020,2100
12/10/2020,2100
14/10/2020,2100
15/10/2020,2100
16/10/2020,2100
18/10/2020,2100
19/10/2020,2100
21/10/2020,2100
22/10/2020,2100
24/10/2020,2100
25/10/2020,2100
26/10/2020,2100
28/10/2020,2100
29/10/2020,2100
31/10/2020,2100
1/11/2020,2100
3/11/2020,2100
4/11/2020,2100
5/11/2020,2100
7/11/2020,2100
8/11/2020,2100
10/11/2020,2100
11/11/2020,2100
13/11/2020,2100
14/11/2020,2100
15/11/2020,2100
17/11/2020,2100
18/11/2020,2100
20/11/2020,2100
21/11/2020,2100
23/11/2020,2100
24/11/2020,2100
25/11/2020,2100
27/11/2020,2100
28/11/2020,2100
30/11/2020,2100
1/12/2020,2100
3/12/2020,2100
4/12/2020,2100
5/12/2020,2100
7/12/2020,2100
8/12/2020,2100
10/12/2020,2100
11/12/2020,2100
13/12/2020,2100
14/12/2020,2100
15/12/2020,2100
17/12/2020,2100
18/12/2020,2100
20/12/2020,2100
21/12/2020,2100
23/12/2020,2100
24/12/2020,2100
25/12/2020,2100
27/12/2020,2100
28/12/2020,2100
30/12/2020,2100
31/12/2020,2100
2/1/2021,2100
3/1/2021,2100
4/1/2021,2100
6/1/2021,2100
7/1/2021,2100
9/1/2021,2100
10/1/2021,2100
12/1/2021,2100
13/1/2021,2100
14/1/2021,2100
16/1/2021,2100
17/1/2021,2100
19/1/2021,2100
20/1/2021,2100
22/1/2021,2100
23/1/2021,2100
24/1/2021,2100
26/1/2021,2100
27/1/2021,2100
29/1/2021,2100
30/1/2021,2100
1/2/2021,2100
2/2/2021,2100
3/2/2021,2100
5/2/2021,2100
6/2/2021,2100
8/2/2021,2100
9/2/2021,2100
11/2/2021,2100
12/2/2021,2100
13/2/2021,2100
15/2/2021,2100
16/2/2021,2100
18/2/2021,2100
19/2/2021,2100
21/2/2021,2100
22/2/2021,2375
23/2/2021,2375
25/2/2021,2375
26/2/2021,2375
28/2/2021,2375
1/3/2021,2375
3/3/2021,2375
4/3/2021,2375
5/3/2021,2375
7/3/2021,2375
8/3/2021,2375
9/3/2021,2375
10/3/2021,2367
11/3/2021,2367
12/3/2021,2367
13/3/2021,2367
14/3/2021,2367
15/3/2021,2367
16/3/2021,2367
17/3/2021,2270
18/3/2021,2270
19/3/2021,2246
20/3/2021,2246
21/3/2021,2246
22/3/2021,2246
23/3/2021,2246
24/3/2021,2246
25/3/2021,2225
26/3/2021,2225
27/3/2021,2225
28/3/2021,2225
29/3/2021,2225
30/3/2021,2119
31/3/2021,2139
1/4/2021,2139
2/4/2021,2139
3/4/2021,2139
4/4/2021,2133
5/4/2021,2133
