Date,Price
17/6/2020,19500
18/6/2020,19500
19/6/2020,19500
21/6/2020,19500
23/6/2020,19500
24/6/2020,19500
26/6/2020,19500
28/6/2020,19500
30/6/2020,19500
1/7/2020,19500
3/7/2020,19500
5/7/2020,19500
7/7/2020,19500
8/7/2020,19500
10/7/2020,19500
12/7/2020,19500
13/7/2020,19500
15/7/2020,19500
17/7/2020,19500
19/7/2020,19500
20/7/2020,19500
22/7/2020,19500
24/7/2020,19500
26/7/2020,19500
27/7/2020,19500
29/7/2020,19500
31/7/2020,19500
1/8/2020,19500
3/8/2020,19500
5/8/2020,19500
7/8/2020,19500
8/8/2020,19500
10/8/2020,19500
12/8/2020,19500
14/8/2020,19500
15/8/2020,19500
17/8/2020,19500
19/8/2020,19500
20/8/2020,19500
22/8/2020,19500
24/8/2020,19500
26/8/2020,19500
27/8/2020,19500
29/8/2020,19500
31/8/2020,19500
2/9/2020,19500
3/9/2020,19500
5/9/2020,19500
7/9/2020,19500
8/9/2020,19500
10/9/2020,19500
12/9/2020,19500
14/9/2020,19500
15/9/2020,19500
17/9/2020,19500
19/9/2020,19500
21/9/2020,19500
22/9/2020,19500
24/9/2020,19500
26/9/2020,19500
27/9/2020,19500
29/9/2020,19500
1/10/2020,19500
3/10/2020,19500
4/10/2020,19500
6/10/2020,19500
8/10/2020,19500
10/10/2020,19500
11/10/2020,19500
13/10/2020,19500
15/10/2020,19500
16/10/2020,19500
18/10/2020,19500
20/10/2020,19500
22/10/2020,19500
23/10/2020,19500
25/10/2020,19500
27/10/2020,19500
29/10/2020,19500
30/10/2020,19500
1/11/2020,19500
3/11/2020,19500
4/11/2020,19500
6/11/2020,19500
8/11/2020,19500
10/11/2020,19500
11/11/2020,19500
14/11/2020,19500
15/11/2020,19543
17/11/2020,19543
18/11/2020,19987
20/11/2020,19987
22/11/2020,19987
23/11/2020,19987
25/11/2020,19987
27/11/2020,19987
29/11/2020,19987
30/11/2020,19968
2/12/2020,19968
5/12/2020,19968
6/12/2020,20854
8/12/2020,20854
9/12/2020,20770
11/12/2020,20770
12/12/2020,20770
15/12/2020,20770
16/12/2020,21065
18/12/2020,21065
19/12/2020,21103
21/12/2020,21103
23/12/2020,21103
25/12/2020,21103
26/12/2020,21103
28/12/2020,21103
30/12/2020,21103
31/12/2020,21103
2/1/2021,21103
4/1/2021,21103
6/1/2021,21103
7/1/2021,21103
9/1/2021,21103
11/1/2021,21103
13/1/2021,21103
15/1/2021,21103
16/1/2021,21103
18/1/2021,21593
20/1/2021,21365
21/1/2021,21365
23/1/2021,21365
25/1/2021,21365
26/1/2021,22061
28/1/2021,22061
30/1/2021,22000
1/2/2021,22000
2/2/2021,22000
4/2/2021,22000
6/2/2021,22000
7/2/2021,22000
9/2/2021,22000
11/2/2021,22000
13/2/2021,22000
14/2/2021,22000
16/2/2021,22000
19/2/2021,22000
20/2/2021,22058
22/2/2021,22058
23/2/2021,22272
25/2/2021,22272
26/2/2021,22272
28/2/2021,22272
2/3/2021,22272
4/3/2021,22272
5/3/2021,22272
8/3/2021,22272
9/3/2021,22586
10/3/2021,22639
11/3/2021,22639
12/3/2021,22639
13/3/2021,22639
14/3/2021,22639
15/3/2021,22639
16/3/2021,22639
17/3/2021,22639
18/3/2021,22639
19/3/2021,22639
20/3/2021,22639
21/3/2021,22639
22/3/2021,22639
23/3/2021,22639
24/3/2021,22639
25/3/2021,22639
26/3/2021,22639
27/3/2021,22639
28/3/2021,22639
29/3/2021,22774
30/3/2021,22774
31/3/2021,22735
1/4/2021,22735
2/4/2021,22735
3/4/2021,22735
4/4/2021,22735
5/4/2021,22735
6/4/2021,23168
7/4/2021,23168
8/4/2021,23168
9/4/2021,23168
10/4/2021,23896
11/4/2021,23896
12/4/2021,23906
13/4/2021,23906
14/4/2021,23906
15/4/2021,24300
16/4/2021,24300
17/4/2021,24387
18/4/2021,24387
19/4/2021,24387
20/4/2021,24387
21/4/2021,24387
22/4/2021,24387
23/4/2021,24420
24/4/2021,24420
25/4/2021,24420
26/4/2021,24420
27/4/2021,24420
28/4/2021,24420
29/4/2021,24495
30/4/2021,24495
1/5/2021,24495
2/5/2021,24495
3/5/2021,24495
4/5/2021,24495
5/5/2021,24495
6/5/2021,24488
7/5/2021,24488
8/5/2021,24488
9/5/2021,24488
10/5/2021,24488
11/5/2021,24488
12/5/2021,24488
13/5/2021,24488
14/5/2021,24488
15/5/2021,24488
16/5/2021,24463
17/5/2021,24463
18/5/2021,24463
19/5/2021,24463
20/5/2021,24463
21/5/2021,24463
22/5/2021,24483
23/5/2021,24483
24/5/2021,24472
25/5/2021,24472
26/5/2021,24508
27/5/2021,24508
28/5/2021,24676
29/5/2021,24676
30/5/2021,24676
31/5/2021,25588
1/6/2021,25879
2/6/2021,26192
3/6/2021,26254
4/6/2021,26820
5/6/2021,26820
6/6/2021,26820
7/6/2021,26866
8/6/2021,27158
9/6/2021,27275
10/6/2021,27554
11/6/2021,27571
12/6/2021,27941
13/6/2021,28213
14/6/2021,28213
15/6/2021,28213
16/6/2021,28213
17/6/2021,28213
18/6/2021,28285
19/6/2021,28285
20/6/2021,28285
21/6/2021,28285
22/6/2021,28457
23/6/2021,28457
24/6/2021,28918
25/6/2021,28918
26/6/2021,28918
27/6/2021,28918
28/6/2021,28918
29/6/2021,28918
30/6/2021,28918
1/7/2021,28918
2/7/2021,29035
3/7/2021,29035
4/7/2021,29035
5/7/2021,29035
6/7/2021,29035
7/7/2021,29035
8/7/2021,29035
9/7/2021,29035
10/7/2021,29035
11/7/2021,29259
12/7/2021,29259
13/7/2021,29259
14/7/2021,29259
15/7/2021,29259
16/7/2021,29259
17/7/2021,29259
18/7/2021,29259
19/7/2021,29259
20/7/2021,29259
21/7/2021,29259
22/7/2021,29259
23/7/2021,29259
24/7/2021,29259
25/7/2021,29259
26/7/2021,29259
27/7/2021,29259
28/7/2021,29259
29/7/2021,29259
30/7/2021,29259
31/7/2021,29259
1/8/2021,29259
2/8/2021,29259
3/8/2021,29180
4/8/2021,29180
5/8/2021,29180
6/8/2021,29180
7/8/2021,29180
8/8/2021,29180
9/8/2021,29180
10/8/2021,29180
11/8/2021,29180
12/8/2021,29180
13/8/2021,29180
14/8/2021,29180
15/8/2021,29180
16/8/2021,29180
17/8/2021,29180
18/8/2021,29180
19/8/2021,29180
20/8/2021,29204
21/8/2021,29204
22/8/2021,29204
23/8/2021,29204
24/8/2021,29204
25/8/2021,29204
26/8/2021,29385
