,Date,Price
730,2017-03-12,7307.0
731,2017-03-13,7309.0
732,2017-03-18,7308.0
733,2017-03-25,7319.0
734,2017-03-30,7322.0
735,2017-04-04,7311.0
736,2017-04-11,7327.0
737,2017-04-16,7329.0
738,2017-04-20,7323.0
739,2017-04-25,7325.0
740,2017-04-29,7331.0
741,2017-05-03,7330.0
742,2017-05-09,7343.0
743,2017-05-15,7349.0
744,2017-05-17,7343.0
745,2017-05-22,7354.0
746,2017-05-27,7355.0
747,2017-06-05,7364.0
748,2017-06-09,7374.0
749,2017-06-14,7375.0
750,2017-06-20,7400.0
751,2017-06-24,7244.0
752,2017-06-26,7241.0
753,2017-07-01,7317.0
754,2017-07-07,7344.0
755,2017-07-15,7337.0
756,2017-07-19,7381.0
757,2017-07-22,7356.0
758,2017-07-26,7342.0
759,2017-07-31,7350.0
760,2017-08-06,7359.0
761,2017-08-13,7350.0
762,2017-08-18,7360.0
763,2017-08-20,7354.0
764,2017-08-26,7356.0
765,2017-09-01,7372.0
766,2017-09-06,7373.0
767,2017-09-11,7370.0
768,2017-09-18,7374.0
769,2017-09-23,7387.0
770,2017-09-24,7388.0
771,2017-10-02,7387.0
772,2017-10-04,7391.0
773,2017-10-13,7391.0
774,2017-10-17,7390.0
775,2017-10-19,7353.0
776,2017-10-24,7352.0
777,2017-11-01,7376.0
778,2017-11-06,7375.0
779,2017-11-12,7385.0
780,2017-11-14,7362.0
781,2017-11-19,7365.0
782,2017-11-26,7367.0
783,2017-11-29,7397.0
784,2017-12-05,7401.0
785,2017-12-09,7428.0
786,2017-12-18,7456.0
787,2017-12-20,7488.0
788,2017-12-25,7490.0
789,2017-12-30,7510.0
790,2018-01-06,7513.0
791,2018-01-11,7528.0
792,2018-01-17,7518.0
793,2018-01-19,7556.0
794,2018-01-27,7563.0
795,2018-01-30,7581.0
796,2018-02-05,7586.0
797,2018-02-10,7618.0
798,2018-02-14,7644.0
799,2018-02-19,7672.0
800,2018-02-22,7796.0
801,2018-03-02,7804.0
802,2018-03-08,7802.0
803,2018-03-13,7860.0
804,2018-03-14,7868.0
805,2018-03-22,7875.0
806,2018-03-25,7867.0
807,2018-03-31,7866.0
808,2018-04-05,7886.0
809,2018-04-10,7930.0
810,2018-04-15,7937.0
811,2018-04-20,7939.0
812,2018-04-23,7979.0
813,2018-05-01,7978.0
814,2018-05-05,8047.0
815,2018-05-09,8048.0
816,2018-05-16,8072.0
817,2018-05-20,8062.0
818,2018-05-25,8067.0
819,2018-05-30,8060.0
820,2018-06-03,8081.0
821,2018-06-08,8089.0
822,2018-06-15,8088.0
823,2018-06-22,8098.0
824,2018-06-27,8100.0
825,2018-06-30,8126.0
826,2018-07-07,8134.0
827,2018-07-09,8151.0
828,2018-07-17,8161.0
829,2018-07-21,8168.0
830,2018-07-23,8113.0
831,2018-07-31,8126.0
832,2018-08-02,8155.0
833,2018-08-11,8146.0
834,2018-08-14,8153.0
835,2018-08-18,8189.0
836,2018-08-26,8197.0
837,2018-08-29,8158.0
838,2018-09-04,8175.0
839,2018-09-07,8211.0
840,2018-09-11,8188.0
841,2018-09-20,8190.0
842,2018-09-21,8216.0
843,2018-09-27,8220.0
844,2018-10-05,8254.0
845,2018-10-07,8284.0
846,2018-10-12,8293.0
847,2018-10-17,8286.0
848,2018-10-22,8310.0
849,2018-10-30,8312.0
850,2018-11-03,8347.0
851,2018-11-07,8315.0
852,2018-11-13,8383.0
853,2018-11-16,8346.0
854,2018-11-20,8364.0
855,2018-11-29,8364.0
856,2018-11-30,8352.0
857,2018-12-05,8354.0
858,2018-12-10,8363.0
859,2018-12-15,8391.0
860,2018-12-20,8398.0
861,2018-12-26,8405.0
862,2018-12-30,8399.0
863,2019-01-04,8406.0
864,2019-01-09,8400.0
865,2019-01-18,8397.0
866,2019-01-21,8456.0
867,2019-01-29,8443.0
868,2019-01-31,8461.0
869,2019-02-07,8475.0
870,2019-02-12,8462.0
871,2019-02-15,8426.0
872,2019-02-21,8437.0
873,2019-02-27,8414.0
874,2019-03-01,8442.0
875,2019-03-08,8478.0
365,2019-03-12,8473.0
366,2019-03-15,8477.0
877,2019-03-18,8453.0
368,2019-03-21,8437.0
878,2019-03-23,8462.0
369,2019-03-24,8459.0
370,2019-03-25,8416.0
371,2019-03-28,8409.0
372,2019-04-01,8481.0
373,2019-04-04,8477.0
374,2019-04-06,8488.0
375,2019-04-09,8473.0
882,2019-04-12,8493.0
377,2019-04-16,8501.0
883,2019-04-18,8496.0
884,2019-04-23,8515.0
380,2019-04-25,8493.0
381,2019-04-28,8500.0
382,2019-05-01,8545.0
383,2019-05-04,8549.0
887,2019-05-07,8572.0
385,2019-05-10,8650.0
888,2019-05-13,8711.0
889,2019-05-15,8691.0
388,2019-05-19,8714.0
389,2019-05-23,8790.0
390,2019-05-25,8792.0
891,2019-05-29,8753.0
392,2019-06-01,8802.0
393,2019-06-04,8828.0
394,2019-06-05,8812.0
395,2019-06-10,8816.0
894,2019-06-11,8820.0
396,2019-06-12,8857.0
895,2019-06-14,8876.0
397,2019-06-16,8888.0
398,2019-06-19,8884.0
896,2019-06-20,8883.0
399,2019-06-22,8892.0
400,2019-06-25,8928.0
401,2019-06-28,8891.0
402,2019-06-29,8902.0
898,2019-07-03,8904.0
403,2019-07-04,8896.0
899,2019-07-05,8963.0
405,2019-07-10,8978.0
900,2019-07-11,8979.0
901,2019-07-15,9114.0
408,2019-07-17,9095.0
409,2019-07-22,9113.0
902,2019-07-23,9115.0
410,2019-07-24,9177.0
411,2019-07-26,9173.0
412,2019-07-31,9180.0
413,2019-08-01,9162.0
414,2019-08-06,9237.0
906,2019-08-09,9221.0
416,2019-08-10,9257.0
417,2019-08-14,9300.0
418,2019-08-16,9298.0
908,2019-08-19,9328.0
420,2019-08-24,9313.0
909,2019-08-25,9307.0
422,2019-08-28,9320.0
423,2019-08-31,9300.0
910,2019-09-01,9300.0
911,2019-09-03,9320.0
425,2019-09-07,9316.0
912,2019-09-09,9320.0
427,2019-09-13,9381.0
428,2019-09-15,9368.0
914,2019-09-18,9364.0
430,2019-09-21,9384.0
431,2019-09-25,9368.0
432,2019-09-27,9409.0
916,2019-09-28,9418.0
433,2019-09-30,9430.0
434,2019-10-03,9426.0
435,2019-10-06,9428.0
918,2019-10-10,9446.0
437,2019-10-12,9435.0
919,2019-10-17,9436.0
439,2019-10-19,9432.0
920,2019-10-20,9335.0
440,2019-10-21,9327.0
921,2019-10-25,9333.0
922,2019-10-28,9195.0
443,2019-10-30,9220.0
444,2019-11-02,9203.0
923,2019-11-03,9207.0
445,2019-11-07,9233.0
446,2019-11-09,9284.0
447,2019-11-12,9230.0
448,2019-11-14,9267.0
449,2019-11-19,9259.0
926,2019-11-20,9269.0
450,2019-11-22,9272.0
451,2019-11-23,9254.0
452,2019-11-28,9293.0
928,2019-11-29,9293.0
453,2019-11-30,9260.0
454,2019-12-03,9246.0
455,2019-12-07,9239.0
456,2019-12-09,9236.0
931,2019-12-12,9178.0
458,2019-12-15,9215.0
459,2019-12-20,9201.0
932,2019-12-21,9204.0
933,2019-12-22,9245.0
461,2019-12-26,9250.0
462,2019-12-27,9241.0
934,2019-12-30,9260.0
463,2019-12-31,9258.0
935,2020-01-02,9207.0
465,2020-01-07,9181.0
936,2020-01-08,9183.0
466,2020-01-10,9226.0
467,2020-01-13,9239.0
937,2020-01-14,9244.0
468,2020-01-15,9224.0
469,2020-01-18,9220.0
470,2020-01-21,9287.0
471,2020-01-23,9277.0
472,2020-01-28,9314.0
940,2020-01-29,9246.0
941,2020-02-01,9284.0
475,2020-02-04,9285.0
942,2020-02-09,9270.0
943,2020-02-12,9314.0
478,2020-02-14,9301.0
944,2020-02-17,9301.0
480,2020-02-19,9342.0
945,2020-02-22,9379.0
482,2020-02-25,9384.0
946,2020-02-27,9359.0
483,2020-02-28,9361.0
484,2020-03-02,9388.0
485,2020-03-06,9374.0
486,2020-03-08,9394.0
487,2020-03-13,9402.0
949,2020-03-15,9404.0
950,2020-03-16,9353.0
489,2020-03-17,9349.0
951,2020-03-21,9377.0
491,2020-03-25,9366.0
492,2020-03-27,9369.0
952,2020-03-30,9352.0
494,2020-04-01,9343.0
495,2020-04-06,9373.0
496,2020-04-07,9418.0
954,2020-04-08,9424.0
497,2020-04-11,9424.0
955,2020-04-13,9381.0
499,2020-04-18,9405.0
956,2020-04-19,9407.0
500,2020-04-20,9398.0
957,2020-04-21,9301.0
501,2020-04-22,9302.0
502,2020-04-25,9253.0
958,2020-04-29,9142.0
504,2020-05-03,9137.0
959,2020-05-04,9138.0
505,2020-05-06,9086.0
506,2020-05-07,9098.0
960,2020-05-08,9077.0
507,2020-05-11,9087.0
508,2020-05-15,9138.0
962,2020-05-17,9113.0
510,2020-05-21,9163.0
963,2020-05-22,9168.0
511,2020-05-24,9161.0
512,2020-05-25,9140.0
513,2020-05-28,9146.0
964,2020-05-29,9080.0
514,2020-06-01,9075.0
965,2020-06-02,9087.0
515,2020-06-05,9073.0
966,2020-06-07,9106.0
517,2020-06-09,9072.0
967,2020-06-12,9061.0
968,2020-06-16,9086.0
520,2020-06-20,9083.0
969,2020-06-21,9082.0
521,2020-06-23,9112.0
522,2020-06-26,9103.0
523,2020-06-27,9101.0
971,2020-06-30,9175.0
525,2020-07-05,9268.0
526,2020-07-06,9240.0
527,2020-07-09,9259.0
973,2020-07-12,9262.0
529,2020-07-16,9270.0
974,2020-07-19,9389.0
531,2020-07-21,9351.0
975,2020-07-24,9365.0
532,2020-07-25,9380.0
976,2020-07-26,9483.0
533,2020-07-27,9482.0
534,2020-07-30,9494.0
535,2020-08-02,9533.0
536,2020-08-06,9566.0
537,2020-08-10,9581.0
979,2020-08-11,9578.0
538,2020-08-13,9633.0
539,2020-08-14,9624.0
980,2020-08-15,9637.0
540,2020-08-18,9651.0
541,2020-08-20,9662.0
542,2020-08-25,9719.0
543,2020-08-27,9734.0
544,2020-08-29,9775.0
983,2020-09-01,9827.0
546,2020-09-06,9876.0
547,2020-09-08,9886.0
548,2020-09-12,9713.0
549,2020-09-16,9725.0
986,2020-09-17,9732.0
550,2020-09-18,9752.0
551,2020-09-21,9766.0
987,2020-09-22,9790.0
552,2020-09-25,9810.0
553,2020-09-27,9801.0
989,2020-09-30,9812.0
555,2020-10-02,9787.0
556,2020-10-06,9774.0
557,2020-10-08,9773.0
991,2020-10-12,9810.0
559,2020-10-14,9809.0
992,2020-10-17,9813.0
560,2020-10-19,9857.0
993,2020-10-20,9867.0
561,2020-10-22,9829.0
562,2020-10-23,9858.0
994,2020-10-26,9844.0
563,2020-10-28,9847.0
564,2020-10-29,9783.0
565,2020-11-01,9875.0
996,2020-11-02,9877.0
566,2020-11-05,9849.0
567,2020-11-08,9860.0
568,2020-11-10,9820.0
997,2020-11-11,9817.0
998,2020-11-15,9787.0
999,2020-11-18,11398.0
571,2020-11-20,11508.0
572,2020-11-24,11589.0
573,2020-11-27,11715.0
1001,2020-11-29,11958.0
575,2020-12-03,11998.0
1002,2020-12-06,12000.0
577,2020-12-09,12033.0
1003,2020-12-11,12135.0
1004,2020-12-14,12104.0
580,2020-12-17,12131.0
581,2020-12-20,12100.0
582,2020-12-23,12114.0
583,2020-12-25,12136.0
1006,2020-12-27,12143.0
584,2020-12-30,12172.0
585,2021-01-01,12305.0
1008,2021-01-02,12341.0
586,2021-01-03,12357.0
587,2021-01-07,12366.0
588,2021-01-10,12454.0
1010,2021-01-12,12462.0
589,2021-01-14,12460.0
590,2021-01-16,12493.0
1011,2021-01-19,12546.0
592,2021-01-23,12505.0
593,2021-01-26,12510.0
594,2021-01-29,12589.0
595,2021-02-01,12608.0
1014,2021-02-03,12622.0
597,2021-02-05,12685.0
1015,2021-02-07,12700.0
598,2021-02-10,12767.0
599,2021-02-12,12823.0
600,2021-02-14,12901.0
601,2021-02-18,12937.0
602,2021-02-20,13001.0
603,2021-02-23,13309.0
604,2021-02-28,13525.0
1019,2021-03-01,13568.0
1020,2021-03-03,13557.0
606,2021-03-04,13614.0
607,2021-03-07,13725.0
1021,2021-03-10,13767.0
0,2021-03-11,13758.0
1,2021-03-12,13735.0
2,2021-03-13,13718.0
3,2021-03-14,13706.0
609,2021-03-15,13700.0
1022,2021-03-16,13701.0
6,2021-03-17,13747.0
7,2021-03-18,13811.0
611,2021-03-19,13826.0
9,2021-03-20,13846.0
10,2021-03-21,13876.0
11,2021-03-22,13890.0
12,2021-03-23,13889.0
13,2021-03-24,13982.0
14,2021-03-25,13984.0
15,2021-03-26,13972.0
16,2021-03-27,13979.0
17,2021-03-28,14006.0
18,2021-03-29,14024.0
19,2021-03-30,14035.0
20,2021-03-31,14011.0
21,2021-04-01,14118.0
22,2021-04-02,14117.0
23,2021-04-03,14117.0
24,2021-04-04,14128.0
25,2021-04-05,14155.0
26,2021-04-06,14149.0
27,2021-04-07,14151.0
28,2021-04-08,14206.0
29,2021-04-09,14231.0
30,2021-04-10,14252.0
31,2021-04-11,14248.0
619,2021-04-12,14219.0
33,2021-04-13,14249.0
34,2021-04-14,14242.0
35,2021-04-15,14242.0
