Date,Price
2017-03-12,8743.0
2017-03-16,8761.0
2017-03-19,8745.0
2017-03-27,8748.0
2017-03-29,8761.0
2017-04-04,8756.0
2017-04-07,8767.0
2017-04-13,8784.0
2017-04-19,8784.0
2017-04-23,8807.0
2017-05-01,8805.0
2017-05-04,8814.0
2017-05-10,8799.0
2017-05-15,8814.0
2017-05-18,8819.0
2017-05-23,8804.0
2017-05-27,8804.0
2017-06-05,8820.0
2017-06-08,8834.0
2017-06-14,8836.0
2017-06-18,8836.0
2017-06-24,8662.0
2017-06-27,8717.0
2017-07-01,8753.0
2017-07-08,8767.0
2017-07-14,8767.0
2017-07-18,8777.0
2017-07-23,8786.0
2017-07-26,8762.0
2017-08-02,8797.0
2017-08-08,8803.0
2017-08-12,8796.0
2017-08-17,8798.0
2017-08-20,8819.0
2017-08-25,8825.0
2017-09-02,8827.0
2017-09-05,8828.0
2017-09-09,8841.0
2017-09-17,8841.0
2017-09-19,8860.0
2017-09-27,8862.0
2017-10-01,8867.0
2017-10-04,8880.0
2017-10-09,8875.0
2017-10-17,8890.0
2017-10-19,8856.0
2017-10-24,8853.0
2017-10-30,8866.0
2017-11-05,8873.0
2017-11-10,8892.0
2017-11-17,8895.0
2017-11-23,8905.0
2017-11-24,8932.0
2017-12-01,8954.0
2017-12-05,8952.0
2017-12-11,8981.0
2017-12-18,9003.0
2017-12-20,9042.0
2017-12-25,9035.0
2017-12-30,9056.0
2018-01-03,9049.0
2018-01-11,9098.0
2018-01-14,9112.0
2018-01-18,9084.0
2018-01-27,9101.0
2018-02-01,9104.0
2018-02-03,9118.0
2018-02-10,9127.0
2018-02-14,9145.0
2018-02-21,9158.0
2018-02-25,9194.0
2018-03-01,9208.0
2018-03-07,9224.0
2018-03-12,9222.0
2018-03-15,9287.0
2018-03-22,9297.0
2018-03-24,9291.0
2018-03-29,9293.0
2018-04-07,9320.0
2018-04-10,9390.0
2018-04-15,9404.0
2018-04-18,9434.0
2018-04-25,9457.0
2018-04-28,9448.0
2018-05-04,9462.0
2018-05-11,9474.0
2018-05-16,9470.0
2018-05-18,9407.0
2018-05-25,9444.0
2018-06-01,9426.0
2018-06-05,9231.0
2018-06-07,9287.0
2018-06-17,9332.0
2018-06-20,9450.0
2018-06-23,9465.0
2018-07-02,9472.0
2018-07-05,9494.0
2018-07-12,9504.0
2018-07-14,9580.0
2018-07-21,9615.0
2018-07-23,9564.0
2018-07-30,9570.0
2018-08-03,9590.0
2018-08-11,9602.0
2018-08-15,9639.0
2018-08-21,9636.0
2018-08-23,9600.0
2018-08-28,9625.0
2018-09-03,9618.0
2018-09-08,9633.0
2018-09-15,9631.0
2018-09-20,9597.0
2018-09-22,9610.0
2018-09-29,9638.0
2018-10-05,9654.0
2018-10-09,9681.0
2018-10-13,9652.0
2018-10-16,9631.0
2018-10-23,9647.0
2018-10-26,9636.0
2018-11-03,9651.0
2018-11-08,9662.0
2018-11-10,9652.0
2018-11-15,9660.0
2018-11-22,9622.0
2018-11-27,9681.0
2018-12-02,9663.0
2018-12-06,9688.0
2018-12-11,9662.0
2018-12-17,9664.0
2018-12-22,9680.0
2018-12-28,9672.0
2019-01-02,9676.0
2019-01-08,9694.0
2019-01-09,9795.0
2019-01-17,9804.0
2019-01-19,9693.0
2019-01-27,9712.0
2019-01-31,9822.0
2019-02-05,9805.0
2019-02-10,9844.0
2019-02-17,9805.0
2019-02-20,9814.0
2019-02-24,9782.0
2019-03-04,9826.0
2019-03-09,9882.0
2019-03-11,9890.0
2019-03-12,9880.0
2019-03-13,9835.0
2019-03-17,9807.0
2019-03-20,9816.0
2019-03-22,9811.0
2019-03-23,9804.0
2019-03-27,9824.0
2019-03-28,9799.0
2019-03-30,9794.0
2019-04-02,9807.0
2019-04-04,9834.0
2019-04-05,9841.0
2019-04-08,9833.0
2019-04-09,9828.0
2019-04-11,9874.0
2019-04-13,9861.0
2019-04-15,9872.0
2019-04-18,9841.0
2019-04-21,9844.0
2019-04-24,9814.0
2019-04-25,9807.0
2019-04-27,9814.0
2019-04-30,9860.0
2019-05-03,9897.0
2019-05-06,9894.0
2019-05-11,9962.0
2019-05-13,9962.0
2019-05-15,9961.0
2019-05-19,10007.0
2019-05-22,10042.0
2019-05-26,10014.0
2019-05-27,10082.0
2019-05-31,10062.0
2019-06-02,10114.0
2019-06-05,10101.0
2019-06-10,10119.0
2019-06-12,10171.0
2019-06-14,10161.0
2019-06-17,10185.0
2019-06-22,10197.0
2019-06-23,10223.0
2019-06-28,10185.0
2019-07-01,10210.0
2019-07-04,10209.0
2019-07-05,10217.0
2019-07-08,10206.0
2019-07-10,10206.0
2019-07-12,10248.0
2019-07-15,10242.0
2019-07-17,10215.0
2019-07-19,10212.0
2019-07-22,10231.0
2019-07-23,10222.0
2019-07-24,10232.0
2019-07-27,10236.0
2019-07-29,10227.0
2019-08-02,10272.0
2019-08-04,10284.0
2019-08-05,10284.0
2019-08-08,10258.0
2019-08-12,10238.0
2019-08-13,10263.0
2019-08-17,10286.0
2019-08-19,10295.0
2019-08-21,10284.0
2019-08-24,10221.0
2019-08-27,10211.0
2019-08-29,10210.0
2019-09-02,10239.0
2019-09-03,10269.0
2019-09-07,10276.0
2019-09-09,10248.0
2019-09-12,10247.0
2019-09-14,10295.0
2019-09-17,10267.0
2019-09-18,10288.0
2019-09-21,10281.0
2019-09-24,10253.0
2019-09-25,10251.0
2019-09-28,10267.0
2019-09-30,10276.0
2019-10-02,10273.0
2019-10-05,10247.0
2019-10-06,10241.0
2019-10-08,10267.0
2019-10-10,10257.0
2019-10-13,10224.0
2019-10-16,10236.0
2019-10-20,10228.0
2019-10-22,10104.0
2019-10-23,10081.0
2019-10-24,10093.0
2019-10-27,10069.0
2019-10-31,10000.0
2019-11-04,9989.0
2019-11-05,10008.0
2019-11-09,10027.0
2019-11-11,9998.0
2019-11-14,10033.0
2019-11-19,9957.0
2019-11-21,9975.0
2019-11-22,9970.0
2019-11-23,9945.0
2019-11-28,9953.0
2019-11-30,9925.0
2019-12-03,9925.0
2019-12-06,9921.0
2019-12-09,9952.0
2019-12-11,9943.0
2019-12-12,9968.0
2019-12-14,9980.0
2019-12-15,9977.0
2019-12-20,9960.0
2019-12-22,10004.0
2019-12-24,10005.0
2019-12-28,9981.0
2019-12-30,9987.0
2020-01-03,9986.0
2020-01-05,9933.0
2020-01-07,9988.0
2020-01-09,10005.0
2020-01-11,10032.0
2020-01-15,10040.0
2020-01-19,10062.0
2020-01-20,10020.0
2020-01-21,10012.0
2020-01-23,10061.0
2020-01-25,10073.0
2020-01-26,10073.0
2020-01-30,10062.0
2020-01-31,10056.0
2020-02-02,10088.0
2020-02-05,10075.0
2020-02-07,10047.0
2020-02-12,10054.0
2020-02-15,10001.0
2020-02-16,10036.0
