Date,Value
02-01-17,"1,145.90"
03-01-17,"1,151.00"
04-01-17,"1,164.30"
05-01-17,"1,176.70"
06-01-17,"1,175.90"
09-01-17,"1,178.50"
10-01-17,"1,189.50"
11-01-17,"1,178.60"
12-01-17,"1,205.10"
13-01-17,"1,190.40"
16-01-17,"1,203.00"
17-01-17,"1,216.10"
18-01-17,"1,214.80"
19-01-17,"1,196.10"
20-01-17,"1,200.60"
23-01-17,"1,212.90"
24-01-17,"1,216.80"
25-01-17,"1,195.00"
26-01-17,"1,189.70"
27-01-17,"1,184.90"
30-01-17,"1,192.80"
31-01-17,"1,212.80"
01-02-17,"1,203.70"
02-02-17,"1,222.00"
03-02-17,"1,215.20"
06-02-17,"1,226.80"
07-02-17,"1,231.00"
08-02-17,"1,242.10"
09-02-17,"1,236.80"
10-02-17,"1,228.30"
13-02-17,"1,222.30"
14-02-17,"1,230.80"
15-02-17,"1,224.40"
16-02-17,"1,240.60"
17-02-17,"1,242.00"
20-02-17,"1,237.30"
21-02-17,"1,233.20"
22-02-17,"1,236.70"
23-02-17,"1,247.90"
24-02-17,"1,253.70"
27-02-17,"1,257.20"
28-02-17,"1,255.60"
01-03-17,"1,240.40"
02-03-17,"1,238.10"
03-03-17,"1,226.50"
06-03-17,"1,231.00"
07-03-17,"1,216.70"
08-03-17,"1,209.20"
09-03-17,"1,206.60"
10-03-17,"1,202.70"
13-03-17,"1,204.20"
14-03-17,"1,204.60"
15-03-17,"1,198.80"
16-03-17,"1,229.40"
17-03-17,"1,229.60"
20-03-17,"1,232.40"
21-03-17,"1,241.60"
22-03-17,"1,249.10"
23-03-17,"1,247.50"
24-03-17,"1,247.50"
27-03-17,"1,257.60"
28-03-17,"1,257.30"
29-03-17,"1,251.10"
30-03-17,"1,248.80"
31-03-17,"1,244.90"
03-04-17,"1,247.30"
04-04-17,"1,257.70"
05-04-17,"1,245.80"
06-04-17,"1,252.50"
07-04-17,"1,266.50"
10-04-17,"1,250.10"
11-04-17,"1,252.90"
12-04-17,"1,274.30"
13-04-17,"1,284.20"
14-04-17,"1,284.20"
17-04-17,"1,284.20"
18-04-17,"1,279.00"
19-04-17,"1,279.10"
20-04-17,"1,282.10"
21-04-17,"1,281.90"
24-04-17,"1,269.40"
25-04-17,"1,267.80"
26-04-17,"1,261.90"
27-04-17,"1,262.80"
28-04-17,"1,266.50"
01-05-17,"1,266.50"
02-05-17,"1,255.50"
03-05-17,"1,250.30"
04-05-17,"1,228.50"
05-05-17,"1,228.10"
08-05-17,"1,229.80"
09-05-17,"1,220.40"
10-05-17,"1,223.00"
11-05-17,"1,223.20"
12-05-17,"1,231.30"
15-05-17,"1,233.30"
16-05-17,"1,234.20"
17-05-17,"1,257.40"
18-05-17,"1,255.90"
19-05-17,"1,252.00"
22-05-17,"1,258.90"
23-05-17,"1,260.20"
24-05-17,"1,252.60"
25-05-17,"1,257.00"
26-05-17,"1,265.10"
29-05-17,"1,265.10"
30-05-17,"1,262.70"
31-05-17,"1,266.20"
01-06-17,"1,264.90"
02-06-17,"1,275.00"
05-06-17,"1,280.00"
06-06-17,"1,293.50"
07-06-17,"1,291.00"
08-06-17,"1,273.10"
09-06-17,"1,266.60"
12-06-17,"1,266.40"
13-06-17,"1,262.00"
14-06-17,"1,275.50"
15-06-17,"1,254.60"
16-06-17,"1,255.40"
19-06-17,"1,248.20"
20-06-17,"1,242.20"
21-06-17,"1,242.50"
22-06-17,"1,250.80"
23-06-17,"1,255.70"
26-06-17,"1,245.30"
27-06-17,"1,249.60"
28-06-17,"1,248.00"
29-06-17,"1,243.50"
30-06-17,"1,242.30"
03-07-17,"1,229.30"
04-07-17,"1,223.80"
05-07-17,"1,220.30"
06-07-17,"1,224.90"
07-07-17,"1,215.70"
10-07-17,"1,211.90"
11-07-17,"1,211.10"
12-07-17,"1,218.80"
13-07-17,"1,218.90"
14-07-17,"1,230.30"
17-07-17,"1,234.10"
18-07-17,"1,240.80"
19-07-17,"1,242.20"
20-07-17,"1,238.70"
21-07-17,"1,248.60"
24-07-17,"1,255.60"
25-07-17,"1,254.40"
26-07-17,"1,248.10"
27-07-17,"1,261.10"
