Date,Price,Open,High,Low,Change %
10-Mar-22,"3,913.60","3,913.60","3,913.60","3,913.60",-2.33%
09-Mar-22,"4,007.04","4,007.04","4,007.04","4,007.04",7.21%
08-Mar-22,"3,737.67","3,737.67","3,737.67","3,737.67",-0.90%
07-Mar-22,"3,771.74","3,771.74","3,771.74","3,771.74",-4.88%
04-Mar-22,"3,965.11","3,965.11","3,965.11","3,965.11",-4.72%
03-Mar-22,"4,161.33","4,161.33","4,161.33","4,161.33",-2.62%
02-Mar-22,"4,273.39","4,273.39","4,273.39","4,273.39",0.94%
01-Mar-22,"4,233.55","4,233.55","4,233.55","4,233.55",-4.09%
28-Feb-22,"4,413.87","4,413.87","4,413.87","4,413.87",0.00%
25-Feb-22,"4,414.05","4,414.05","4,414.05","4,414.05",3.69%
24-Feb-22,"4,257.06","4,257.06","4,257.06","4,257.06",-2.92%
23-Feb-22,"4,384.92","4,384.92","4,384.92","4,384.92",-1.12%
22-Feb-22,"4,434.39","4,434.39","4,434.39","4,434.39",-1.47%
21-Feb-22,"4,500.70","4,500.70","4,500.70","4,500.70",-0.80%
18-Feb-22,"4,537.01","4,537.01","4,537.01","4,537.01",-0.91%
17-Feb-22,"4,578.56","4,578.56","4,578.56","4,578.56",-0.87%
16-Feb-22,"4,618.72","4,618.72","4,618.72","4,618.72",-0.08%
15-Feb-22,"4,622.46","4,622.46","4,622.46","4,622.46",3.24%
14-Feb-22,"4,477.35","4,477.35","4,477.35","4,477.35",-1.02%
11-Feb-22,"4,523.44","4,523.44","4,523.44","4,523.44",-2.16%
10-Feb-22,"4,623.29","4,623.29","4,623.29","4,623.29",-1.08%
09-Feb-22,"4,673.91","4,673.91","4,673.91","4,673.91",2.17%
08-Feb-22,"4,574.58","4,574.58","4,574.58","4,574.58",0.46%
07-Feb-22,"4,553.69","4,553.69","4,553.69","4,553.69",0.17%
04-Feb-22,"4,546.06","4,546.06","4,546.06","4,546.06",-0.02%
03-Feb-22,"4,546.78","4,546.78","4,546.78","4,546.78",-1.70%
02-Feb-22,"4,625.46","4,625.46","4,625.46","4,625.46",0.11%
01-Feb-22,"4,620.21","4,620.21","4,620.21","4,620.21",1.92%
31-Jan-22,"4,533.27","4,533.27","4,533.27","4,533.27",2.82%
28-Jan-22,"4,409.05","4,409.05","4,409.05","4,409.05",0.72%
27-Jan-22,"4,377.74","4,377.74","4,377.74","4,377.74",-2.31%
26-Jan-22,"4,481.40","4,481.40","4,481.40","4,481.40",0.86%
25-Jan-22,"4,443.37","4,443.37","4,443.37","4,443.37",-0.64%
24-Jan-22,"4,472.00","4,472.00","4,472.00","4,472.00",-2.28%
21-Jan-22,"4,576.52","4,576.52","4,576.52","4,576.52",-1.89%
20-Jan-22,"4,664.90","4,664.90","4,664.90","4,664.90",-0.32%
19-Jan-22,"4,679.95","4,679.95","4,679.95","4,679.95",0.39%
18-Jan-22,"4,661.58","4,661.58","4,661.58","4,661.58",-1.84%
17-Jan-22,"4,748.96","4,748.96","4,748.96","4,748.96",0.73%
14-Jan-22,"4,714.50","4,714.50","4,714.50","4,714.50",-1.22%
13-Jan-22,"4,772.76","4,772.76","4,772.76","4,772.76",-1.69%
12-Jan-22,"4,854.59","4,854.59","4,854.59","4,854.59",1.21%
11-Jan-22,"4,796.66","4,796.66","4,796.66","4,796.66",0.90%
10-Jan-22,"4,753.73","4,753.73","4,753.73","4,753.73",-1.93%
07-Jan-22,"4,847.10","4,847.10","4,847.10","4,847.10",-1.49%
06-Jan-22,"4,920.51","4,920.51","4,920.51","4,920.51",-1.99%
05-Jan-22,"5,020.26","5,020.26","5,020.26","5,020.26",-0.75%
04-Jan-22,"5,058.29","5,058.29","5,058.29","5,058.29",0.90%
03-Jan-22,"5,013.40","5,013.40","5,013.40","5,013.40",1.52%
31-Dec-21,"4,938.42","4,938.42","4,938.42","4,938.42",-0.08%
30-Dec-21,"4,942.16","4,942.16","4,942.16","4,942.16",-0.17%
29-Dec-21,"4,950.61","4,950.61","4,950.61","4,950.61",0.28%
28-Dec-21,"4,936.88","4,936.88","4,936.88","4,936.88",-0.11%
27-Dec-21,"4,942.43","4,942.43","4,942.43","4,942.43",0.74%
24-Dec-21,"4,906.22","4,906.22","4,906.22","4,906.22",0.00%
23-Dec-21,"4,906.43","4,906.43","4,906.43","4,906.43",1.12%
22-Dec-21,"4,852.08","4,852.08","4,852.08","4,852.08",1.95%
21-Dec-21,"4,759.30","4,759.30","4,759.30","4,759.30",2.15%
20-Dec-21,"4,659.06","4,659.06","4,659.06","4,659.06",-1.35%
17-Dec-21,"4,722.61","4,722.61","4,722.61","4,722.61",-1.62%
16-Dec-21,"4,800.24","4,800.24","4,800.24","4,800.24",-0.57%
15-Dec-21,"4,827.75","4,827.75","4,827.75","4,827.75",0.53%
14-Dec-21,"4,802.09","4,802.09","4,802.09","4,802.09",-1.36%
13-Dec-21,"4,868.24","4,868.24","4,868.24","4,868.24",-1.66%
10-Dec-21,"4,950.24","4,950.24","4,950.24","4,950.24",0.21%
09-Dec-21,"4,940.06","4,940.06","4,940.06","4,940.06",-1.15%
08-Dec-21,"4,997.70","4,997.70","4,997.70","4,997.70",0.16%
07-Dec-21,"4,989.68","4,989.68","4,989.68","4,989.68",3.08%
06-Dec-21,"4,840.58","4,840.58","4,840.58","4,840.58",0.97%
03-Dec-21,"4,794.31","4,794.31","4,794.31","4,794.31",-1.67%
02-Dec-21,"4,875.85","4,875.85","4,875.85","4,875.85",-0.08%
01-Dec-21,"4,879.63","4,879.63","4,879.63","4,879.63",0.06%
30-Nov-21,"4,876.91","4,876.91","4,876.91","4,876.91",-1.36%
29-Nov-21,"4,944.12","4,944.12","4,944.12","4,944.12",1.26%
26-Nov-21,"4,882.76","4,882.76","4,882.76","4,882.76",-4.04%
25-Nov-21,"5,088.48","5,088.48","5,088.48","5,088.48",0.58%
24-Nov-21,"5,059.36","5,059.36","5,059.36","5,059.36",-0.42%
23-Nov-21,"5,080.51","5,080.51","5,080.51","5,080.51",-1.25%
22-Nov-21,"5,144.66","5,144.66","5,144.66","5,144.66",-0.07%
19-Nov-21,"5,148.16","5,148.16","5,148.16","5,148.16",0.16%
18-Nov-21,"5,139.76","5,139.76","5,139.76","5,139.76",0.37%
17-Nov-21,"5,120.66","5,120.66","5,120.66","5,120.66",0.05%
16-Nov-21,"5,117.93","5,117.93","5,117.93","5,117.93",1.00%
15-Nov-21,"5,067.35","5,067.35","5,067.35","5,067.35",0.23%
12-Nov-21,"5,055.73","5,055.73","5,055.73","5,055.73",1.44%
11-Nov-21,"4,983.75","4,983.75","4,983.75","4,983.75",-0.07%
10-Nov-21,"4,987.26","4,987.26","4,987.26","4,987.26",-1.02%
09-Nov-21,"5,038.45","5,038.45","5,038.45","5,038.45",-1.56%
08-Nov-21,"5,118.10","5,118.10","5,118.10","5,118.10",-0.38%
05-Nov-21,"5,137.60","5,137.60","5,137.60","5,137.60",1.50%
04-Nov-21,"5,061.71","5,061.71","5,061.71","5,061.71",0.65%
03-Nov-21,"5,029.05","5,029.05","5,029.05","5,029.05",1.49%
02-Nov-21,"4,955.31","4,955.31","4,955.31","4,955.31",-0.21%
01-Nov-21,"4,965.57","4,965.57","4,965.57","4,965.57",2.08%
29-Oct-21,"4,864.28","4,864.28","4,864.28","4,864.28",0.11%
28-Oct-21,"4,859.00","4,859.00","4,859.00","4,859.00",1.42%
27-Oct-21,"4,790.73","4,790.73","4,790.73","4,790.73",-0.34%
26-Oct-21,"4,807.12","4,807.12","4,807.12","4,807.12",0.19%
25-Oct-21,"4,798.10","4,798.10","4,798.10","4,798.10",1.38%
22-Oct-21,"4,732.86","4,732.86","4,732.86","4,732.86",0.70%
21-Oct-21,"4,700.19","4,700.19","4,700.19","4,700.19",0.90%
20-Oct-21,"4,658.40","4,658.40","4,658.40","4,658.40",0.16%
19-Oct-21,"4,650.76","4,650.76","4,650.76","4,650.76",-0.24%
18-Oct-21,"4,661.80","4,661.80","4,661.80","4,661.80",-0.28%
15-Oct-21,"4,674.80","4,674.80","4,674.80","4,674.80",0.91%
14-Oct-21,"4,632.72","4,632.72","4,632.72","4,632.72",1.61%
13-Oct-21,"4,559.14","4,559.14","4,559.14","4,559.14",1.19%
12-Oct-21,"4,505.31","4,505.31","4,505.31","4,505.31",0.27%
