Date,Price
8/3/2019,7516
11/3/2019,7516
14/3/2019,7510
15/3/2019,7562
20/3/2019,7506
22/3/2019,7533
25/3/2019,7533
28/3/2019,7605
31/3/2019,7605
3/4/2019,7625
6/4/2019,7723
8/4/2019,7723
13/4/2019,7823
15/4/2019,7971
17/4/2019,7945
20/4/2019,7957
25/4/2019,7947
27/4/2019,7947
29/4/2019,8035
3/5/2019,8145
5/5/2019,8141
8/5/2019,8211
11/5/2019,8225
16/5/2019,8207
18/5/2019,8363
22/5/2019,8378
23/5/2019,8301
27/5/2019,8248
30/5/2019,8263
3/6/2019,7817
6/6/2019,7777
7/6/2019,7818
10/6/2019,7839
15/6/2019,7839
18/6/2019,7956
20/6/2019,7947
24/6/2019,7977
25/6/2019,7887
30/6/2019,7926
3/7/2019,7985
5/7/2019,8006
8/7/2019,7967
12/7/2019,8203
13/7/2019,8145
18/7/2019,8208
21/7/2019,8216
24/7/2019,8636
26/7/2019,8636
29/7/2019,8680
2/8/2019,8680
4/8/2019,8685
7/8/2019,8709
11/8/2019,8709
12/8/2019,8726
17/8/2019,8741
18/8/2019,8712
23/8/2019,8706
26/8/2019,8755
29/8/2019,8723
30/8/2019,8575
2/9/2019,8714
7/9/2019,8680
10/9/2019,8800
11/9/2019,8803
16/9/2019,8803
19/9/2019,8781
21/9/2019,8655
25/9/2019,8656
28/9/2019,8652
1/10/2019,8641
2/10/2019,8641
5/10/2019,8590
9/10/2019,8590
12/10/2019,8512
14/10/2019,8473
17/10/2019,8469
20/10/2019,8429
24/10/2019,8452
27/10/2019,8421
31/10/2019,8488
2/11/2019,8408
6/11/2019,8438
7/11/2019,8369
10/11/2019,8369
14/11/2019,8426
18/11/2019,8295
19/11/2019,8132
22/11/2019,8178
25/11/2019,8171
29/11/2019,8171
2/12/2019,8175
4/12/2019,8224
8/12/2019,8238
13/12/2019,8238
16/12/2019,8264
19/12/2019,8432
20/12/2019,8329
24/12/2019,8322
26/12/2019,8271
30/12/2019,8220
1/1/2020,8387
4/1/2020,8303
7/1/2020,8447
11/1/2020,8147
14/1/2020,8171
16/1/2020,8302
21/1/2020,8322
22/1/2020,8416
27/1/2020,8383
28/1/2020,8362
2/2/2020,8390
5/2/2020,8464
8/2/2020,8402
11/2/2020,8400
12/2/2020,8437
16/2/2020,8358
20/2/2020,8564
21/2/2020,8584
26/2/2020,8605
29/2/2020,8737
1/3/2020,8925
5/3/2020,8914
7/3/2020,8958
11/3/2020,8962
14/3/2020,9031
17/3/2020,8933
21/3/2020,8940
22/3/2020,8911
27/3/2020,8919
28/3/2020,8919
2/4/2020,8559
3/4/2020,8588
7/4/2020,8501
10/4/2020,8523
12/4/2020,8444
15/4/2020,8495
19/4/2020,8478
21/4/2020,8513
26/4/2020,8505
27/4/2020,8480
30/4/2020,8422
3/5/2020,8429
8/5/2020,8462
9/5/2020,8553
12/5/2020,8669
16/5/2020,8669
19/5/2020,8782
23/5/2020,8776
25/5/2020,8655
27/5/2020,8745
31/5/2020,8531
3/6/2020,8460
7/6/2020,8482
10/6/2020,8478
11/6/2020,8464
15/6/2020,8520
17/6/2020,8600
22/6/2020,8609
24/6/2020,8532
26/6/2020,8571
1/7/2020,8558
2/7/2020,8637
6/7/2020,8662
10/7/2020,8858
13/7/2020,8904
15/7/2020,8882
18/7/2020,8924
22/7/2020,8815
23/7/2020,8986
27/7/2020,9075
29/7/2020,9075
3/8/2020,9020
5/8/2020,9123
9/8/2020,9102
10/8/2020,9138
15/8/2020,9160
18/8/2020,9177
20/8/2020,9284
24/8/2020,9249
26/8/2020,9305
28/8/2020,9359
2/9/2020,9347
4/9/2020,9401
8/9/2020,9373
11/9/2020,9363
13/9/2020,9431
18/9/2020,9428
19/9/2020,9505
23/9/2020,9502
27/9/2020,9594
29/9/2020,9691
2/10/2020,9675
4/10/2020,9809
8/10/2020,9845
12/10/2020,10020
15/10/2020,10020
16/10/2020,10287
20/10/2020,10444
22/10/2020,10594
25/10/2020,10656
28/10/2020,10656
1/11/2020,10674
5/11/2020,10760
7/11/2020,10807
9/11/2020,10767
14/11/2020,10775
16/11/2020,11653
20/11/2020,11588
21/11/2020,11626
26/11/2020,11621
29/11/2020,11580
1/12/2020,11576
3/12/2020,11661
8/12/2020,11690
11/12/2020,11660
12/12/2020,11684
15/12/2020,11684
20/12/2020,11728
21/12/2020,11588
24/12/2020,11623
29/12/2020,11633
1/1/2021,11718
2/1/2021,11749
7/1/2021,11731
10/1/2021,11826
12/1/2021,11779
16/1/2021,11820
19/1/2021,11795
22/1/2021,11870
24/1/2021,11889
26/1/2021,11846
30/1/2021,11890
3/2/2021,11694
5/2/2021,11683
7/2/2021,11786
12/2/2021,11782
13/2/2021,11883
16/2/2021,11892
20/2/2021,11862
23/2/2021,11866
25/2/2021,11899
1/3/2021,11870
5/3/2021,12032
7/3/2021,12022
8/3/2021,11962
9/3/2021,11960
10/3/2021,11933
11/3/2021,11928
12/3/2021,11932
13/3/2021,11934
14/3/2021,11949
15/3/2021,11883
16/3/2021,11868
17/3/2021,11864
18/3/2021,11866
19/3/2021,11936
20/3/2021,11964
21/3/2021,11980
22/3/2021,11997
23/3/2021,11991
24/3/2021,12004
25/3/2021,12023
26/3/2021,12032
27/3/2021,12007
28/3/2021,12007
29/3/2021,12003
30/3/2021,11988
31/3/2021,11975
1/4/2021,11955
2/4/2021,11923
3/4/2021,11882
4/4/2021,11884
5/4/2021,11881
6/4/2021,11878
7/4/2021,11876
8/4/2021,11903
9/4/2021,11903
10/4/2021,11930
11/4/2021,11940
12/4/2021,11965
13/4/2021,11944
14/4/2021,11928
15/4/2021,11941
16/4/2021,11942
17/4/2021,11963
18/4/2021,11959
19/4/2021,11920
20/4/2021,11916
21/4/2021,11894
22/4/2021,11882
23/4/2021,11893
24/4/2021,11877
25/4/2021,11847
26/4/2021,11865
27/4/2021,11887
28/4/2021,11893
29/4/2021,11912
30/4/2021,11937
1/5/2021,11928
2/5/2021,11938
3/5/2021,11918
4/5/2021,11921
5/5/2021,11923
6/5/2021,11935
7/5/2021,11939
8/5/2021,11899
9/5/2021,11902
10/5/2021,11903
11/5/2021,11907
12/5/2021,11959
13/5/2021,12014
14/5/2021,12026
15/5/2021,12027
16/5/2021,12040
17/5/2021,12043
18/5/2021,12051
19/5/2021,12062
20/5/2021,12085
21/5/2021,12091
