Date,Price
8/3/2019,12151
9/3/2019,12151
12/3/2019,12151
17/3/2019,12151
20/3/2019,12233
23/3/2019,12233
24/3/2019,12233
29/3/2019,12510
1/4/2019,12510
4/4/2019,12624
7/4/2019,12624
10/4/2019,12665
13/4/2019,12826
16/4/2019,12826
17/4/2019,12682
22/4/2019,12736
24/4/2019,13051
26/4/2019,13123
1/5/2019,13119
4/5/2019,13194
5/5/2019,13311
10/5/2019,13416
12/5/2019,13636
15/5/2019,13728
17/5/2019,13776
20/5/2019,13776
23/5/2019,13776
28/5/2019,13776
29/5/2019,13776
1/6/2019,13906
6/6/2019,13889
7/6/2019,13962
10/6/2019,13962
15/6/2019,13962
17/6/2019,13997
21/6/2019,13953
23/6/2019,14182
25/6/2019,14271
28/6/2019,14217
1/7/2019,14257
5/7/2019,14237
8/7/2019,14348
12/7/2019,14348
14/7/2019,14348
17/7/2019,14634
19/7/2019,14756
22/7/2019,14756
25/7/2019,14927
28/7/2019,14993
1/8/2019,15005
5/8/2019,14957
6/8/2019,15064
9/8/2019,15153
13/8/2019,15153
17/8/2019,15199
19/8/2019,15402
22/8/2019,15402
26/8/2019,15354
29/8/2019,14732
30/8/2019,14739
2/9/2019,14556
5/9/2019,14556
8/9/2019,14689
13/9/2019,14709
14/9/2019,14557
19/9/2019,14524
21/9/2019,15018
24/9/2019,14984
28/9/2019,15010
30/9/2019,15010
4/10/2019,14915
6/10/2019,14751
10/10/2019,14829
11/10/2019,14713
14/10/2019,14724
19/10/2019,14724
21/10/2019,14499
25/10/2019,14499
27/10/2019,14293
31/10/2019,14220
1/11/2019,14335
5/11/2019,14424
9/11/2019,14376
10/11/2019,14279
15/11/2019,14094
16/11/2019,14212
21/11/2019,14104
23/11/2019,13616
27/11/2019,13562
30/11/2019,13094
3/12/2019,13058
7/12/2019,13263
9/12/2019,13263
13/12/2019,13136
14/12/2019,13232
18/12/2019,13249
22/12/2019,13239
24/12/2019,13059
27/12/2019,13059
29/12/2019,13019
2/1/2020,13051
5/1/2020,13051
9/1/2020,13059
12/1/2020,13119
14/1/2020,13707
18/1/2020,13707
21/1/2020,13675
24/1/2020,13771
25/1/2020,14036
28/1/2020,14010
2/2/2020,14046
3/2/2020,14183
8/2/2020,14143
9/2/2020,14045
13/2/2020,13953
17/2/2020,13990
20/2/2020,14099
21/2/2020,14251
