"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 10, 2022","3,913.596","3,913.596","3,913.596","3,913.596","-","-2.33%"
"Mar 09, 2022","4,007.039","4,007.039","4,007.039","4,007.039","-","7.21%"
"Mar 08, 2022","3,737.671","3,737.671","3,737.671","3,737.671","-","-0.90%"
"Mar 07, 2022","3,771.736","3,771.736","3,771.736","3,771.736","-","-4.88%"
"Mar 04, 2022","3,965.106","3,965.106","3,965.106","3,965.106","-","-4.72%"
"Mar 03, 2022","4,161.330","4,161.330","4,161.330","4,161.330","-","-2.62%"
"Mar 02, 2022","4,273.388","4,273.388","4,273.388","4,273.388","-","0.94%"
"Mar 01, 2022","4,233.546","4,233.546","4,233.546","4,233.546","-","-4.09%"
"Feb 28, 2022","4,413.873","4,413.873","4,413.873","4,413.873","-","-0.00%"
"Feb 25, 2022","4,414.046","4,414.046","4,414.046","4,414.046","-","3.69%"
"Feb 24, 2022","4,257.055","4,257.055","4,257.055","4,257.055","-","-2.92%"
"Feb 23, 2022","4,384.923","4,384.923","4,384.923","4,384.923","-","-1.12%"
"Feb 22, 2022","4,434.385","4,434.385","4,434.385","4,434.385","-","-1.47%"
"Feb 21, 2022","4,500.702","4,500.702","4,500.702","4,500.702","-","-0.80%"
"Feb 18, 2022","4,537.013","4,537.013","4,537.013","4,537.013","-","-0.91%"
"Feb 17, 2022","4,578.560","4,578.560","4,578.560","4,578.560","-","-0.87%"
"Feb 16, 2022","4,618.724","4,618.724","4,618.724","4,618.724","-","-0.08%"
"Feb 15, 2022","4,622.458","4,622.458","4,622.458","4,622.458","-","3.24%"
"Feb 14, 2022","4,477.351","4,477.351","4,477.351","4,477.351","-","-1.02%"
"Feb 11, 2022","4,523.436","4,523.436","4,523.436","4,523.436","-","-2.16%"
"Feb 10, 2022","4,623.286","4,623.286","4,623.286","4,623.286","-","-1.08%"
"Feb 09, 2022","4,673.913","4,673.913","4,673.913","4,673.913","-","2.17%"
"Feb 08, 2022","4,574.580","4,574.580","4,574.580","4,574.580","-","0.46%"
"Feb 07, 2022","4,553.690","4,553.690","4,553.690","4,553.690","-","0.17%"
"Feb 04, 2022","4,546.060","4,546.060","4,546.060","4,546.060","-","-0.02%"
"Feb 03, 2022","4,546.784","4,546.784","4,546.784","4,546.784","-","-1.70%"
"Feb 02, 2022","4,625.459","4,625.459","4,625.459","4,625.459","-","0.11%"
"Feb 01, 2022","4,620.208","4,620.208","4,620.208","4,620.208","-","1.92%"
"Jan 31, 2022","4,533.269","4,533.269","4,533.269","4,533.269","-","2.82%"
"Jan 28, 2022","4,409.053","4,409.053","4,409.053","4,409.053","-","0.72%"
"Jan 27, 2022","4,377.738","4,377.738","4,377.738","4,377.738","-","-2.31%"
"Jan 26, 2022","4,481.404","4,481.404","4,481.404","4,481.404","-","0.86%"
"Jan 25, 2022","4,443.372","4,443.372","4,443.372","4,443.372","-","-0.64%"
"Jan 24, 2022","4,471.995","4,471.995","4,471.995","4,471.995","-","-2.28%"
"Jan 21, 2022","4,576.515","4,576.515","4,576.515","4,576.515","-","-1.89%"
"Jan 20, 2022","4,664.896","4,664.896","4,664.896","4,664.896","-","-0.32%"
"Jan 19, 2022","4,679.951","4,679.951","4,679.951","4,679.951","-","0.39%"
"Jan 18, 2022","4,661.579","4,661.579","4,661.579","4,661.579","-","-1.84%"
"Jan 17, 2022","4,748.959","4,748.959","4,748.959","4,748.959","-","0.73%"
"Jan 14, 2022","4,714.504","4,714.504","4,714.504","4,714.504","-","-1.22%"
"Jan 13, 2022","4,772.762","4,772.762","4,772.762","4,772.762","-","-1.69%"
"Jan 12, 2022","4,854.588","4,854.588","4,854.588","4,854.588","-","1.21%"
"Jan 11, 2022","4,796.662","4,796.662","4,796.662","4,796.662","-","0.90%"
"Jan 10, 2022","4,753.731","4,753.731","4,753.731","4,753.731","-","-1.93%"
"Jan 07, 2022","4,847.103","4,847.103","4,847.103","4,847.103","-","-1.49%"
"Jan 06, 2022","4,920.505","4,920.505","4,920.505","4,920.505","-","-1.99%"
"Jan 05, 2022","5,020.259","5,020.259","5,020.259","5,020.259","-","-0.75%"
"Jan 04, 2022","5,058.286","5,058.286","5,058.286","5,058.286","-","0.90%"
"Jan 03, 2022","5,013.400","5,013.400","5,013.400","5,013.400","-","1.52%"
"Dec 31, 2021","4,938.422","4,938.422","4,938.422","4,938.422","-","-0.08%"
"Dec 30, 2021","4,942.163","4,942.163","4,942.163","4,942.163","-","-0.17%"
"Dec 29, 2021","4,950.609","4,950.609","4,950.609","4,950.609","-","0.28%"
"Dec 28, 2021","4,936.877","4,936.877","4,936.877","4,936.877","-","-0.11%"
"Dec 27, 2021","4,942.431","4,942.431","4,942.431","4,942.431","-","0.74%"
"Dec 24, 2021","4,906.215","4,906.215","4,906.215","4,906.215","-","-0.00%"
"Dec 23, 2021","4,906.429","4,906.429","4,906.429","4,906.429","-","1.12%"
"Dec 22, 2021","4,852.078","4,852.078","4,852.078","4,852.078","-","1.95%"
"Dec 21, 2021","4,759.304","4,759.304","4,759.304","4,759.304","-","2.15%"
"Dec 20, 2021","4,659.063","4,659.063","4,659.063","4,659.063","-","-1.35%"
"Dec 17, 2021","4,722.608","4,722.608","4,722.608","4,722.608","-","-1.62%"
"Dec 16, 2021","4,800.238","4,800.238","4,800.238","4,800.238","-","-0.57%"
"Dec 15, 2021","4,827.752","4,827.752","4,827.752","4,827.752","-","0.53%"
"Dec 14, 2021","4,802.088","4,802.088","4,802.088","4,802.088","-","-1.36%"
"Dec 13, 2021","4,868.239","4,868.239","4,868.239","4,868.239","-","-1.66%"
"Dec 10, 2021","4,950.243","4,950.243","4,950.243","4,950.243","-","0.21%"
"Dec 09, 2021","4,940.064","4,940.064","4,940.064","4,940.064","-","-1.15%"
"Dec 08, 2021","4,997.703","4,997.703","4,997.703","4,997.703","-","0.16%"
"Dec 07, 2021","4,989.680","4,989.680","4,989.680","4,989.680","-","3.08%"
"Dec 06, 2021","4,840.583","4,840.583","4,840.583","4,840.583","-","0.97%"
"Dec 03, 2021","4,794.307","4,794.307","4,794.307","4,794.307","-","-1.67%"
"Dec 02, 2021","4,875.845","4,875.845","4,875.845","4,875.845","-","-0.08%"
"Dec 01, 2021","4,879.626","4,879.626","4,879.626","4,879.626","-","0.06%"
"Nov 30, 2021","4,876.911","4,876.911","4,876.911","4,876.911","-","-1.36%"
"Nov 29, 2021","4,944.118","4,944.118","4,944.118","4,944.118","-","1.26%"
"Nov 26, 2021","4,882.755","4,882.755","4,882.755","4,882.755","-","-4.04%"
"Nov 25, 2021","5,088.482","5,088.482","5,088.482","5,088.482","-","0.58%"
"Nov 24, 2021","5,059.359","5,059.359","5,059.359","5,059.359","-","-0.42%"
"Nov 23, 2021","5,080.505","5,080.505","5,080.505","5,080.505","-","-1.25%"
"Nov 22, 2021","5,144.657","5,144.657","5,144.657","5,144.657","-","-0.07%"
"Nov 19, 2021","5,148.161","5,148.161","5,148.161","5,148.161","-","0.16%"
"Nov 18, 2021","5,139.758","5,139.758","5,139.758","5,139.758","-","0.37%"
