Date,Price
9/3/2019,1695
12/3/2019,1695
15/3/2019,1695
18/3/2019,1695
21/3/2019,1695
24/3/2019,1695
27/3/2019,1695
30/3/2019,1695
2/4/2019,1695
5/4/2019,1695
8/4/2019,1695
11/4/2019,1695
14/4/2019,1695
17/4/2019,1695
19/4/2019,1707
21/4/2019,1680
25/4/2019,1707
28/4/2019,1711
2/5/2019,1695
4/5/2019,1784
6/5/2019,1784
9/5/2019,1784
14/5/2019,1784
16/5/2019,1784
18/5/2019,1763
22/5/2019,1735
24/5/2019,1749
28/5/2019,1760
30/5/2019,1762
4/6/2019,1762
6/6/2019,1697
10/6/2019,1669
13/6/2019,1669
16/6/2019,1669
18/6/2019,1669
20/6/2019,1638
23/6/2019,1638
26/6/2019,1560
29/6/2019,1551
2/7/2019,1568
7/7/2019,1565
10/7/2019,1570
13/7/2019,1551
15/7/2019,1554
17/7/2019,1572
21/7/2019,1483
23/7/2019,1483
28/7/2019,1483
29/7/2019,1504
3/8/2019,1504
5/8/2019,1426
9/8/2019,1426
10/8/2019,1428
15/8/2019,1428
17/8/2019,1400
19/8/2019,1400
22/8/2019,1400
25/8/2019,1400
30/8/2019,1400
31/8/2019,1400
3/9/2019,1370
6/9/2019,1370
9/9/2019,1370
12/9/2019,1370
17/9/2019,1370
18/9/2019,1378
23/9/2019,1378
26/9/2019,1378
29/9/2019,1378
1/10/2019,1386
5/10/2019,1378
7/10/2019,1378
11/10/2019,1386
13/10/2019,1398
16/10/2019,1484
19/10/2019,1484
23/10/2019,1488
26/10/2019,1464
28/10/2019,1467
31/10/2019,1455
4/11/2019,1455
6/11/2019,1455
10/11/2019,1453
11/11/2019,1407
15/11/2019,1424
17/11/2019,1415
22/11/2019,1415
24/11/2019,1403
27/11/2019,1404
29/11/2019,1382
4/12/2019,1382
5/12/2019,1392
11/12/2019,1391
14/12/2019,1411
16/12/2019,1411
18/12/2019,1409
23/12/2019,1409
26/12/2019,1415
28/12/2019,1452
1/1/2020,1463
3/1/2020,1502
6/1/2020,1502
8/1/2020,1507
13/1/2020,1507
16/1/2020,1454
19/1/2020,1453
22/1/2020,1450
25/1/2020,1512
28/1/2020,1512
31/1/2020,1518
1/2/2020,1544
6/2/2020,1544
9/2/2020,1554
11/2/2020,1537
15/2/2020,1538
17/2/2020,1495
20/2/2020,1567
23/2/2020,1581
25/2/2020,1649
28/2/2020,1639
4/3/2020,1636
5/3/2020,1655
8/3/2020,1655
13/3/2020,1655
15/3/2020,1624
19/3/2020,1621
20/3/2020,1628
25/3/2020,1629
26/3/2020,1603
29/3/2020,1607
3/4/2020,1612
6/4/2020,1575
9/4/2020,1575
12/4/2020,1521
15/4/2020,1532
17/4/2020,1498
21/4/2020,1562
24/4/2020,1557
25/4/2020,1494
30/4/2020,1499
2/5/2020,1470
6/5/2020,1496
9/5/2020,1503
10/5/2020,1462
13/5/2020,1484
18/5/2020,1474
20/5/2020,1484
24/5/2020,1484
27/5/2020,1486
29/5/2020,1537
1/6/2020,1548
5/6/2020,1587
6/6/2020,1546
9/6/2020,1573
14/6/2020,1564
16/6/2020,1548
18/6/2020,1559
21/6/2020,1559
25/6/2020,1570
29/6/2020,1593
1/7/2020,1593
5/7/2020,1593
8/7/2020,1620
10/7/2020,1502
14/7/2020,1476
17/7/2020,1506
20/7/2020,1503
21/7/2020,1551
25/7/2020,1540
27/7/2020,1555
31/7/2020,1535
2/8/2020,1552
6/8/2020,1549
8/8/2020,1536
13/8/2020,1547
14/8/2020,1527
18/8/2020,1550
22/8/2020,1550
24/8/2020,1550
26/8/2020,1537
31/8/2020,1537
2/9/2020,1537
7/9/2020,1557
10/9/2020,1686
11/9/2020,1677
14/9/2020,1677
17/9/2020,1677
22/9/2020,1677
24/9/2020,1677
26/9/2020,1656
1/10/2020,1638
3/10/2020,1671
7/10/2020,1678
8/10/2020,1673
13/10/2020,1673
15/10/2020,1677
19/10/2020,1678
21/10/2020,1654
24/10/2020,1654
26/10/2020,1673
30/10/2020,1673
1/11/2020,1638
6/11/2020,1638
8/11/2020,1638
12/11/2020,1673
13/11/2020,1629
16/11/2020,1615
21/11/2020,1605
24/11/2020,1618
26/11/2020,1691
30/11/2020,1691
1/12/2020,1687
6/12/2020,1702
9/12/2020,1702
12/12/2020,1699
14/12/2020,1717
16/12/2020,1729
20/12/2020,1729
22/12/2020,1753
27/12/2020,1721
30/12/2020,1721
31/12/2020,1713
4/1/2021,1713
6/1/2021,1690
11/1/2021,1711
14/1/2021,1746
16/1/2021,1730
19/1/2021,1730
22/1/2021,1785
26/1/2021,1755
28/1/2021,1815
31/1/2021,1812
2/2/2021,1824
7/2/2021,1810
9/2/2021,1842
11/2/2021,1795
15/2/2021,1863
17/2/2021,1864
22/2/2021,1863
24/2/2021,1863
28/2/2021,1882
3/3/2021,1897
5/3/2021,1886
8/3/2021,1901
9/3/2021,1901
