Date,Price
10/3/2019,956
11/3/2019,956
14/3/2019,956
17/3/2019,956
20/3/2019,956
23/3/2019,956
26/3/2019,956
29/3/2019,956
1/4/2019,956
4/4/2019,956
7/4/2019,956
10/4/2019,956
15/4/2019,956
18/4/2019,958
21/4/2019,958
24/4/2019,958
27/4/2019,958
29/4/2019,958
1/5/2019,1014
4/5/2019,1015
9/5/2019,1015
10/5/2019,1011
15/5/2019,1008
17/5/2019,948
20/5/2019,926
23/5/2019,926
26/5/2019,890
30/5/2019,890
2/6/2019,890
3/6/2019,902
8/6/2019,901
9/6/2019,912
12/6/2019,912
17/6/2019,912
20/6/2019,910
21/6/2019,914
26/6/2019,914
27/6/2019,951
2/7/2019,951
4/7/2019,948
7/7/2019,948
9/7/2019,950
14/7/2019,950
16/7/2019,950
18/7/2019,965
21/7/2019,966
24/7/2019,966
27/7/2019,966
1/8/2019,966
3/8/2019,977
6/8/2019,977
8/8/2019,968
12/8/2019,968
14/8/2019,996
19/8/2019,996
21/8/2019,998
25/8/2019,998
28/8/2019,998
31/8/2019,980
2/9/2019,980
4/9/2019,980
9/9/2019,980
12/9/2019,980
15/9/2019,980
17/9/2019,963
20/9/2019,963
24/9/2019,964
25/9/2019,975
28/9/2019,975
1/10/2019,1005
6/10/2019,1003
9/10/2019,1007
10/10/2019,1000
15/10/2019,1003
17/10/2019,982
19/10/2019,982
22/10/2019,982
25/10/2019,982
28/10/2019,982
31/10/2019,982
5/11/2019,982
6/11/2019,972
11/11/2019,972
13/11/2019,972
16/11/2019,958
20/11/2019,958
21/11/2019,958
25/11/2019,968
27/11/2019,964
2/12/2019,964
5/12/2019,954
6/12/2019,966
10/12/2019,968
15/12/2019,924
18/12/2019,924
19/12/2019,928
24/12/2019,928
26/12/2019,928
30/12/2019,922
1/1/2020,954
3/1/2020,963
8/1/2020,963
10/1/2020,962
12/1/2020,943
16/1/2020,933
20/1/2020,937
23/1/2020,913
26/1/2020,922
29/1/2020,922
30/1/2020,925
2/2/2020,926
5/2/2020,926
10/2/2020,926
13/2/2020,936
14/2/2020,933
17/2/2020,933
22/2/2020,933
25/2/2020,941
28/2/2020,941
1/3/2020,930
4/3/2020,930
8/3/2020,921
11/3/2020,921
13/3/2020,921
17/3/2020,917
19/3/2020,886
23/3/2020,886
26/3/2020,891
29/3/2020,886
1/4/2020,926
2/4/2020,926
5/4/2020,926
10/4/2020,926
12/4/2020,934
14/4/2020,934
19/4/2020,934
22/4/2020,918
23/4/2020,933
26/4/2020,924
1/5/2020,924
3/5/2020,925
7/5/2020,925
9/5/2020,925
11/5/2020,912
16/5/2020,912
18/5/2020,895
20/5/2020,899
25/5/2020,899
27/5/2020,924
31/5/2020,924
2/6/2020,928
4/6/2020,928
7/6/2020,928
10/6/2020,928
15/6/2020,928
17/6/2020,974
19/6/2020,968
24/6/2020,968
26/6/2020,968
28/6/2020,977
3/7/2020,977
5/7/2020,967
9/7/2020,967
12/7/2020,955
15/7/2020,958
18/7/2020,958
20/7/2020,952
22/7/2020,952
27/7/2020,952
30/7/2020,953
31/7/2020,943
3/8/2020,943
6/8/2020,943
11/8/2020,943
12/8/2020,956
17/8/2020,956
19/8/2020,959
23/8/2020,959
26/8/2020,970
28/8/2020,1025
31/8/2020,1017
4/9/2020,1017
7/9/2020,1017
9/9/2020,1017
14/9/2020,1017
16/9/2020,976
20/9/2020,976
23/9/2020,976
26/9/2020,976
29/9/2020,976
2/10/2020,976
3/10/2020,979
6/10/2020,979
11/10/2020,979
14/10/2020,988
17/10/2020,987
19/10/2020,987
21/10/2020,996
24/10/2020,996
27/10/2020,996
30/10/2020,996
2/11/2020,996
7/11/2020,996
9/11/2020,996
13/11/2020,998
16/11/2020,1054
19/11/2020,1045
21/11/2020,1065
24/11/2020,1065
28/11/2020,1061
29/11/2020,1038
4/12/2020,1034
5/12/2020,1044
8/12/2020,1046
13/12/2020,1046
14/12/2020,1054
17/12/2020,1059
22/12/2020,1059
24/12/2020,1070
27/12/2020,1070
29/12/2020,1101
1/1/2021,1109
6/1/2021,1109
7/1/2021,1125
12/1/2021,1123
14/1/2021,1137
17/1/2021,1133
19/1/2021,1144
22/1/2021,1144
27/1/2021,1161
28/1/2021,1156
2/2/2021,1156
4/2/2021,1166
6/2/2021,1166
9/2/2021,1166
14/2/2021,1166
15/2/2021,1166
19/2/2021,1230
22/2/2021,1230
24/2/2021,1266
27/2/2021,1266
2/3/2021,1266
7/3/2021,1266
9/3/2021,1295
10/3/2021,1295
11/3/2021,1295
12/3/2021,1295
13/3/2021,1295
14/3/2021,1295
15/3/2021,1310
16/3/2021,1310
17/3/2021,1297
18/3/2021,1297
19/3/2021,1313
20/3/2021,1313
21/3/2021,1313
22/3/2021,1306
23/3/2021,1306
24/3/2021,1306
25/3/2021,1306
26/3/2021,1306
27/3/2021,1302
28/3/2021,1302
29/3/2021,1302
30/3/2021,1302
31/3/2021,1302
1/4/2021,1303
2/4/2021,1303
3/4/2021,1303
4/4/2021,1303
5/4/2021,1303
6/4/2021,1299
7/4/2021,1299
8/4/2021,1299
9/4/2021,1307
10/4/2021,1307
11/4/2021,1307
12/4/2021,1307
13/4/2021,1307
14/4/2021,1307
15/4/2021,1307
16/4/2021,1313
17/4/2021,1313
18/4/2021,1313
19/4/2021,1294
20/4/2021,1294
21/4/2021,1294
22/4/2021,1287
23/4/2021,1287
24/4/2021,1279
25/4/2021,1279
26/4/2021,1279
27/4/2021,1296
28/4/2021,1296
29/4/2021,1296
30/4/2021,1265
1/5/2021,1290
2/5/2021,1290
3/5/2021,1290
4/5/2021,1290
5/5/2021,1290
6/5/2021,1318
7/5/2021,1307
8/5/2021,1307
9/5/2021,1307
10/5/2021,1299
11/5/2021,1299
12/5/2021,1299
13/5/2021,1299
14/5/2021,1299
15/5/2021,1299
16/5/2021,1299
17/5/2021,1301
18/5/2021,1301
19/5/2021,1295
20/5/2021,1295
21/5/2021,1295
22/5/2021,1280
23/5/2021,1286
24/5/2021,1286
25/5/2021,1296
26/5/2021,1296
27/5/2021,1269
28/5/2021,1269
29/5/2021,1250
30/5/2021,1250
31/5/2021,1234
1/6/2021,1259
2/6/2021,1224
3/6/2021,1224
4/6/2021,1217
5/6/2021,1217
6/6/2021,1217
7/6/2021,1232
8/6/2021,1233
