Date,Price
18/4/2019,1375
20/4/2019,1287
21/4/2019,1230
24/4/2019,1230
27/4/2019,1230
2/5/2019,1230
4/5/2019,1249
8/5/2019,1249
9/5/2019,1115
13/5/2019,1047
16/5/2019,1011
18/5/2019,1011
22/5/2019,1011
24/5/2019,1002
26/5/2019,1020
30/5/2019,1020
1/6/2019,1072
6/6/2019,1072
8/6/2019,1049
11/6/2019,1049
15/6/2019,1025
17/6/2019,1025
19/6/2019,1015
23/6/2019,1015
24/6/2019,979
29/6/2019,949
2/7/2019,949
5/7/2019,924
7/7/2019,924
10/7/2019,936
14/7/2019,911
16/7/2019,911
19/7/2019,903
22/7/2019,862
24/7/2019,862
28/7/2019,827
30/7/2019,841
3/8/2019,833
6/8/2019,820
8/8/2019,803
11/8/2019,741
13/8/2019,749
17/8/2019,749
20/8/2019,749
21/8/2019,740
25/8/2019,742
27/8/2019,756
1/9/2019,756
4/9/2019,756
6/9/2019,756
9/9/2019,777
11/9/2019,777
14/9/2019,777
16/9/2019,777
19/9/2019,777
24/9/2019,777
27/9/2019,793
28/9/2019,793
3/10/2019,793
6/10/2019,793
7/10/2019,783
12/10/2019,780
13/10/2019,791
16/10/2019,791
20/10/2019,791
21/10/2019,796
24/10/2019,797
27/10/2019,797
30/10/2019,797
2/11/2019,797
5/11/2019,797
8/11/2019,797
11/11/2019,797
14/11/2019,797
16/11/2019,797
19/11/2019,797
24/11/2019,797
27/11/2019,814
28/11/2019,805
2/12/2019,816
4/12/2019,812
7/12/2019,812
10/12/2019,812
13/12/2019,812
15/12/2019,812
20/12/2019,812
21/12/2019,830
26/12/2019,830
29/12/2019,822
31/12/2019,839
4/1/2020,839
7/1/2020,839
10/1/2020,839
13/1/2020,839
14/1/2020,823
16/1/2020,838
19/1/2020,838
22/1/2020,838
25/1/2020,838
28/1/2020,838
31/1/2020,838
3/2/2020,838
6/2/2020,838
11/2/2020,838
12/2/2020,854
16/2/2020,858
17/2/2020,879
21/2/2020,879
25/2/2020,895
26/2/2020,927
2/3/2020,916
5/3/2020,962
7/3/2020,962
9/3/2020,947
12/3/2020,954
16/3/2020,954
19/3/2020,964
22/3/2020,962
25/3/2020,948
27/3/2020,981
30/3/2020,949
1/4/2020,961
5/4/2020,961
9/4/2020,949
12/4/2020,949
14/4/2020,943
15/4/2020,943
20/4/2020,943
23/4/2020,973
25/4/2020,962
29/4/2020,962
1/5/2020,962
5/5/2020,999
7/5/2020,989
9/5/2020,989
12/5/2020,989
14/5/2020,989
19/5/2020,989
20/5/2020,988
25/5/2020,988
26/5/2020,968
29/5/2020,971
3/6/2020,971
6/6/2020,973
7/6/2020,951
10/6/2020,976
13/6/2020,978
15/6/2020,960
18/6/2020,971
23/6/2020,971
26/6/2020,993
29/6/2020,993
1/7/2020,995
5/7/2020,995
8/7/2020,995
9/7/2020,995
13/7/2020,995
16/7/2020,1020
18/7/2020,1020
20/7/2020,1017
25/7/2020,1017
27/7/2020,1002
29/7/2020,1035
3/8/2020,1033
4/8/2020,1049
7/8/2020,1048
11/8/2020,1062
12/8/2020,1062
15/8/2020,1062
20/8/2020,1062
21/8/2020,1062
26/8/2020,995
27/8/2020,995
1/9/2020,995
2/9/2020,970
5/9/2020,970
8/9/2020,970
11/9/2020,970
13/9/2020,970
18/9/2020,970
21/9/2020,957
22/9/2020,980
25/9/2020,980
28/9/2020,956
1/10/2020,954
6/10/2020,954
9/10/2020,951
10/10/2020,963
14/10/2020,953
16/10/2020,919
18/10/2020,919
23/10/2020,919
26/10/2020,883
28/10/2020,883
1/11/2020,838
4/11/2020,838
5/11/2020,838
9/11/2020,864
12/11/2020,837
15/11/2020,837
17/11/2020,837
19/11/2020,846
22/11/2020,846
25/11/2020,846
30/11/2020,846
3/12/2020,847
6/12/2020,853
8/12/2020,850
11/12/2020,848
12/12/2020,871
17/12/2020,881
20/12/2020,924
23/12/2020,924
26/12/2020,924
29/12/2020,924
30/12/2020,939
4/1/2021,939
5/1/2021,939
9/1/2021,939
12/1/2021,939
15/1/2021,939
18/1/2021,939
21/1/2021,939
22/1/2021,934
25/1/2021,934
30/1/2021,934
2/2/2021,939
3/2/2021,939
6/2/2021,974
10/2/2021,980
11/2/2021,987
16/2/2021,987
19/2/2021,987
22/2/2021,987
25/2/2021,954
27/2/2021,971
3/3/2021,971
5/3/2021,987
7/3/2021,987
9/3/2021,987
10/3/2021,987
11/3/2021,987
12/3/2021,987
13/3/2021,987
14/3/2021,987
15/3/2021,987
16/3/2021,1011
17/3/2021,1011
18/3/2021,1011
19/3/2021,1011
20/3/2021,1011
21/3/2021,1011
22/3/2021,1011
23/3/2021,1011
24/3/2021,1011
25/3/2021,1011
26/3/2021,1011
27/3/2021,1011
28/3/2021,1011
29/3/2021,1011
30/3/2021,1011
31/3/2021,1011
1/4/2021,1020
2/4/2021,1020
3/4/2021,1020
4/4/2021,1035
5/4/2021,1035
6/4/2021,1035
7/4/2021,1035
8/4/2021,1035
9/4/2021,1035
10/4/2021,1035
11/4/2021,1050
12/4/2021,1050
13/4/2021,1051
14/4/2021,1016
15/4/2021,1016
16/4/2021,1016
17/4/2021,1012
18/4/2021,1012
19/4/2021,1012
20/4/2021,989
21/4/2021,989
22/4/2021,989
23/4/2021,989
24/4/2021,989
25/4/2021,989
26/4/2021,980
27/4/2021,980
28/4/2021,980
29/4/2021,980
30/4/2021,994
1/5/2021,994
2/5/2021,994
3/5/2021,1003
4/5/2021,1003
5/5/2021,1003
6/5/2021,1003
7/5/2021,987
8/5/2021,989
9/5/2021,980
10/5/2021,980
11/5/2021,980
12/5/2021,980
13/5/2021,981
14/5/2021,981
15/5/2021,981
16/5/2021,981
17/5/2021,973
18/5/2021,973
19/5/2021,973
20/5/2021,973
21/5/2021,973
22/5/2021,973
23/5/2021,973
24/5/2021,973
25/5/2021,973
26/5/2021,973
27/5/2021,973
28/5/2021,973
29/5/2021,973
30/5/2021,973
31/5/2021,973
1/6/2021,973
2/6/2021,963
3/6/2021,963
4/6/2021,963
5/6/2021,944
6/6/2021,944
7/6/2021,944
8/6/2021,978
9/6/2021,978
10/6/2021,978
11/6/2021,978
12/6/2021,978
13/6/2021,978
14/6/2021,978
15/6/2021,978
16/6/2021,978
17/6/2021,988
18/6/2021,988
19/6/2021,988
20/6/2021,988
21/6/2021,988
22/6/2021,988
23/6/2021,988
24/6/2021,988
25/6/2021,988
26/6/2021,988
27/6/2021,986
28/6/2021,986
29/6/2021,985
30/6/2021,985
1/7/2021,985
2/7/2021,990
3/7/2021,996
4/7/2021,996
5/7/2021,996
6/7/2021,996
7/7/2021,1028
8/7/2021,1028
9/7/2021,1028
10/7/2021,1028
11/7/2021,1025
12/7/2021,1025
13/7/2021,1025
14/7/2021,1025
15/7/2021,1025
16/7/2021,1025
17/7/2021,1025
18/7/2021,1025
19/7/2021,1025
20/7/2021,1025
21/7/2021,1041
22/7/2021,1041
23/7/2021,1041
24/7/2021,1041
25/7/2021,1045
26/7/2021,1045
27/7/2021,1045
28/7/2021,1045
29/7/2021,1045
30/7/2021,1045
31/7/2021,1045
1/8/2021,1045
2/8/2021,1045
3/8/2021,1045
4/8/2021,1039
5/8/2021,1039
6/8/2021,1057
7/8/2021,1057
8/8/2021,1057
9/8/2021,1058
10/8/2021,1058
11/8/2021,1055
12/8/2021,1058
13/8/2021,1058
14/8/2021,1058
15/8/2021,1058
16/8/2021,1058
17/8/2021,1058
18/8/2021,1058
19/8/2021,1058
20/8/2021,1058
21/8/2021,1058
22/8/2021,1086
23/8/2021,1086
24/8/2021,1086
25/8/2021,1086
26/8/2021,1086
27/8/2021,1086
28/8/2021,1083
29/8/2021,1083
30/8/2021,1083
31/8/2021,1083
1/9/2021,1083
2/9/2021,1083
3/9/2021,1083
4/9/2021,1110
5/9/2021,1130
6/9/2021,1130
7/9/2021,1130
8/9/2021,1130
9/9/2021,1137
10/9/2021,1126
11/9/2021,1138
12/9/2021,1137
13/9/2021,1137
14/9/2021,1137
15/9/2021,1137
16/9/2021,1137
17/9/2021,1147
18/9/2021,1148
19/9/2021,1156
20/9/2021,1168
21/9/2021,1168
22/9/2021,1168
23/9/2021,1168
24/9/2021,1168
25/9/2021,1168
26/9/2021,1168
27/9/2021,1168
28/9/2021,1168
29/9/2021,1166
30/9/2021,1166
1/10/2021,1166
2/10/2021,1166
3/10/2021,1180
4/10/2021,1196
5/10/2021,1196
6/10/2021,1196
7/10/2021,1196
8/10/2021,1196
9/10/2021,1196
10/10/2021,1196
11/10/2021,1196
12/10/2021,1187
13/10/2021,1192
14/10/2021,1194
15/10/2021,1194
16/10/2021,1207
17/10/2021,1207
18/10/2021,1207
19/10/2021,1227
20/10/2021,1227
21/10/2021,1227
22/10/2021,1227
23/10/2021,1227
24/10/2021,1227
25/10/2021,1227
26/10/2021,1227
27/10/2021,1227
28/10/2021,1227
29/10/2021,1227
30/10/2021,1227
31/10/2021,1227
1/11/2021,1226
2/11/2021,1226
3/11/2021,1226
4/11/2021,1226
5/11/2021,1226
6/11/2021,1226
7/11/2021,1220
8/11/2021,1220
9/11/2021,1220
10/11/2021,1231
11/11/2021,1231
12/11/2021,1231
13/11/2021,1203
14/11/2021,1203
15/11/2021,1203
16/11/2021,1203
17/11/2021,1203
18/11/2021,1210
19/11/2021,1210
20/11/2021,1223
21/11/2021,1223
22/11/2021,1223
23/11/2021,1223
24/11/2021,1212
25/11/2021,1212
26/11/2021,1231
27/11/2021,1244
28/11/2021,1244
29/11/2021,1244
30/11/2021,1244
1/12/2021,1258
2/12/2021,1258
3/12/2021,1258
4/12/2021,1255
5/12/2021,1255
6/12/2021,1263
7/12/2021,1242
8/12/2021,1242
9/12/2021,1242
10/12/2021,1242
11/12/2021,1243
12/12/2021,1243
13/12/2021,1243
14/12/2021,1229
15/12/2021,1231
16/12/2021,1231
17/12/2021,1229
