Model,Predition,%Error,,,
A. Lange & Söhne 140.029,Next 30D,2.891240116,,Next 30D,Next 90D
A. Lange & Söhne 140.029,Next 30D,2.953357829,max,34.44470758,48.22971643
A. Lange & Söhne 140.029,Next 30D,3.015723633,mean,6.604995748,11.74199977
A. Lange & Söhne 140.029,Next 30D,3.063079243,,,
A. Lange & Söhne 140.029,Next 30D,3.083076472,,,
A. Lange & Söhne 140.029,Next 30D,3.077284798,,,
A. Lange & Söhne 140.029,Next 30D,3.132207196,,,
A. Lange & Söhne 140.029,Next 30D,3.190878826,,,
A. Lange & Söhne 140.029,Next 30D,3.23287062,,,
A. Lange & Söhne 140.029,Next 30D,3.251366034,,,
A. Lange & Söhne 140.029,Next 30D,3.243228768,,,
A. Lange & Söhne 140.029,Next 30D,3.21006412,,,
A. Lange & Söhne 140.029,Next 30D,3.096782352,,,
A. Lange & Söhne 140.029,Next 30D,3.108533994,,,
A. Lange & Söhne 140.029,Next 30D,3.130503359,,,
A. Lange & Söhne 140.029,Next 30D,3.141849451,,,
A. Lange & Söhne 140.029,Next 30D,3.134485177,,,
A. Lange & Söhne 140.029,Next 30D,3.105546468,,,
A. Lange & Söhne 140.029,Next 30D,4.024570977,,,
A. Lange & Söhne 140.029,Next 30D,3.959525073,,,
A. Lange & Söhne 140.029,Next 30D,3.961201375,,,
A. Lange & Söhne 140.029,Next 30D,3.972746239,,,
A. Lange & Söhne 140.029,Next 30D,3.971500348,,,
A. Lange & Söhne 140.029,Next 30D,3.951650199,,,
A. Lange & Söhne 140.029,Next 30D,3.911178448,,,
A. Lange & Söhne 140.029,Next 30D,3.987144236,,,
A. Lange & Söhne 140.029,Next 30D,3.911708734,,,
A. Lange & Söhne 140.029,Next 30D,3.902791124,,,
A. Lange & Söhne 140.029,Next 30D,3.907200715,,,
A. Lange & Söhne 140.029,Next 30D,3.903699289,,,
A. Lange & Söhne 140.029,Next 30D,2.824771418,,,
A. Lange & Söhne 140.029,Next 30D,2.868269745,,,
A. Lange & Söhne 140.029,Next 30D,2.929959656,,,
A. Lange & Söhne 140.029,Next 30D,1.640928947,,,
A. Lange & Söhne 140.029,Next 30D,1.778074774,,,
A. Lange & Söhne 140.029,Next 30D,1.923963197,,,
A. Lange & Söhne 140.029,Next 30D,2.05281173,,,
A. Lange & Söhne 140.029,Next 30D,2.153555744,,,
A. Lange & Söhne 140.029,Next 30D,2.22187809,,,
A. Lange & Söhne 140.029,Next 30D,2.258208601,,,
A. Lange & Söhne 140.029,Next 30D,2.265513045,,,
A. Lange & Söhne 140.029,Next 30D,2.674554088,,,
A. Lange & Söhne 140.029,Next 30D,2.747056624,,,
A. Lange & Söhne 140.029,Next 30D,3.342753427,,,
A. Lange & Söhne 140.029,Next 30D,3.376548671,,,
A. Lange & Söhne 140.029,Next 30D,3.384133903,,,
A. Lange & Söhne 140.029,Next 30D,3.366445028,,,
A. Lange & Söhne 140.029,Next 30D,3.326437747,,,
A. Lange & Söhne 140.029,Next 30D,3.351557202,,,
A. Lange & Söhne 140.029,Next 30D,3.251935257,,,
A. Lange & Söhne 140.029,Next 30D,3.240742941,,,
A. Lange & Söhne 140.029,Next 30D,3.200417501,,,
A. Lange & Söhne 140.029,Next 30D,3.132636882,,,
A. Lange & Söhne 140.029,Next 30D,3.042040466,,,
A. Lange & Söhne 140.029,Next 30D,2.933939079,,,
A. Lange & Söhne 140.029,Next 30D,2.895025944,,,
A. Lange & Söhne 140.029,Next 30D,3.028255683,,,
A. Lange & Söhne 140.029,Next 30D,2.994241172,,,
A. Lange & Söhne 140.029,Next 30D,2.945206462,,,
A. Lange & Söhne 140.029,Next 30D,3.300460907,,,
